firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
54594,0.8287297664,0.0414784741,-4.05268786,0.0333918336,0.997766357,1.7833207231,0.051057184,0.1437076716,0.2168746628,0.0003144456,0.2967175377,0.0292894708,20.0,0.0060911345,0.0449438202,0.0652437431,-0.183096828,-0.014171329,0.1329244474,0.0161576991,0.0014375106,0.4897114883,0.0,4.5444516644,0.2283270344,1.9612340136,0.5188856328,22.560252296,4.744249363,0.0829850052,0.0,0.0,1.0,0.0,0.0,0.367981566,4.0,0.0779441698,-0.434735688,0.5903032973,0.401792357,-1.127465209,0.3459554031,-26.60232434,0.4846769348,12.561619829,-0.000416426,0.005033557,0.0108720808,0.0296748438,0.003982792,-0.000690468,1.0,-0.001782857,0.9634839868,0.0099009899,3.0,11.174991661,0.4232118251,0.0,0.0514705889,0.0185475404,0.0199768004,0.8395329688,1.4549874642,3.1510919e-08,4.6733247e-08,0.8087135111,0.654017543,-0.127548844,0.0264053177,0.350996917,0.0758712206
10154,1.8400038026,0.0512406122,-4.897821314,0.0,1.6190068764,3.9335171277,0.0409088107,-0.047886538,0.3214242102,0.0072173216,-0.124044166,0.2793674937,20.0,0.0066219247,-0.090054816,0.0936563877,0.0999048318,-0.016958068,0.1553143966,0.0599584809,0.0309836648,0.6091283576,0.0,1.9819335774,-0.054841182,1.8350179657,-0.07255257,10.482182064,3.1095468323,0.1553871885,0.0,0.0,1.0,0.0,0.0,0.622212358,6.0,-0.973894608,-0.270010264,1.3787403091,474.90686798,-0.28499582,0.2710559646,-392.9464664,0.0626025367,11.303848144,0.0026565427,0.0063134364,0.0106634467,0.1024218406,0.0390444708,0.0004195313,2.0,0.0059004844,1.9856751972,0.0716696456,4.0,10.378742992,0.4625395055,0.0,0.0459770113,0.0246598514,0.0268237367,1.4003828485,2.5996935995,5.1694103e-07,4.8028354e-08,-0.192077966,0.0368939449,0.8063056415,0.0683753187,1.497228019,0.3349894507
10867,0.6986729118,0.1267191825,0.0967222542,0.0,0.2901142573,2.0365907317,0.2072166639,0.329941583,0.5659386812,0.0700190031,0.4729408374,0.2090696189,14.0,0.0414430506,0.3015726179,0.2893162009,0.0372841774,-0.096358454,0.2774872966,0.2547249055,0.2784054019,0.604673308,0.0,2.0800174902,-0.063583596,1.6551705291,-0.086910396,16.502357677,7.0038561039,0.959524434,0.0,0.0,0.0,0.0,0.0,0.7682898325,3.0,0.0123327803,0.1385314215,0.0695764721,-0.681349041,-0.141420067,0.2930433643,-738.6969818,0.0639047177,11.821659384,-0.003042817,0.0355271657,0.0502793296,0.0587755373,0.1154423841,-0.01969613,3.0,0.0016161616,1.490159763,-0.039479639,6.0,12.373312819,2.4304912976,0.0,0.171875,0.0466116238,0.0562998423,0.8448524772,13.161130443,1.5361282e-08,5.3156426e-09,1.6009982765,2.5631954812,0.0788618904,0.0543923026,0.0252747189,0.3969433196
11624,0.3894275013,0.0456286784,2.9672822617,0.0,0.0360406635,0.3272338149,0.3204897371,0.9880883766,0.878962536,0.1204364247,0.0132370638,0.068400214,11.0,0.0084871086,-0.25,0.1814248184,-0.007344596,-0.02990204,1.2173913043,-0.087992315,3.8001163467,0.5085900657,0.0,6.9560570071,0.1235147469,6.6235154394,0.1162322714,1.7430460556,7.6834170854,1.3078302451,0.0,0.0,0.0,0.0,0.0,7.3059293044,4.0,-3.941320017,-0.426359303,0.0024242137,-2.088146289,-0.717087965,0.0853851673,-1362.399269,0.0266488737,10.766293116,-0.001312999,0.0400649153,0.0415221276,4.7259e-05,0.3101937494,-0.0230557,2.0,0.0036862004,0.2322002572,-0.085978428,6.0,9.1023374794,1.4744141559,0.0,0.1181818172,0.0528253968,0.0793401827,0.9515104186,12.181417729,1.4224964e-07,6.7438133e-09,1.3979066589,1.9541430271,-0.772959048,0.0740170918,1.747089911,0.0921100682
11790,0.5565159711,0.0632864227,3.9996377187,0.0086314557,0.2803012001,0.2717843938,0.0150339371,0.1289164347,0.1201555526,0.0,0.170868539,0.0544748038,20.0,0.0173740666,0.0378787879,0.2224391322,-0.161154064,0.2603147874,0.060408215,0.0728821424,0.1089045902,0.5367532319,0.0,5.0072438163,-0.376985725,3.1199646643,-0.372114864,3.4352551496,4.2499679857,0.3636879343,0.0,0.0,0.0,0.0,0.0,0.1605991874,6.0,-0.038124815,0.0945065884,-0.353221806,-0.049810304,0.3521232058,-0.571312224,-267.6670478,0.2952636387,11.748029207,0.0001865467,0.0041199785,0.006195094,0.0112345648,0.0912773584,0.0596643623,0.0,0.0003546889,-0.974625599,-0.029185622,5.0,10.012868725,0.2493359894,0.0,0.042857144,0.0261107558,0.0276247534,1.6236558274,0.813637493,1.7543063e-06,0.9130435862,0.7828211898,0.6128090152,0.3809575865,0.0345762933,0.0964211963,0.0396209387
12117,1.0057493206,0.0211075435,-1.124223395,0.0,0.4453942962,2.4706505327,0.0317526263,0.1119133574,0.8531407942,1.1536432575,-0.215273935,0.1803564209,13.0,-0.068786325,0.1353846154,-0.126837174,-0.00331033,0.0192393695,0.5951257862,-0.062960289,0.363713799,0.6068437662,0.0,2.1989619377,0.2497884771,1.8251153403,0.4209603249,6.2916333387,6.5287184595,0.3233488372,0.0,0.0,0.0,0.0,1.0,1.5022146508,6.0,-1.486404768,-0.040420489,0.6533934687,-11.39268055,-1.628142507,0.1376731301,-459.5690234,0.1088391198,8.9861142036,0.0013083501,-0.008571553,-0.012809676,-0.068058194,0.1683553149,-0.016702229,1.0,-0.039988995,1.161510975,-0.147368427,5.0,8.3034428851,0.8684357684,0.0,0.151515156,0.0627956587,0.080103565,1.1911339057,5.9903361236,2.2319048e-06,1.4223976e-08,2.1705746616,4.7113943617,-0.295475694,0.1035609869,0.4134125575,0.2318921706
12320,0.6129275451,0.0804195123,-0.033638251,0.0230008485,0.4673500897,1.5125589418,0.1274371038,0.0998317633,0.4032808986,0.0094283327,0.0822113712,0.1589250692,20.0,0.0210252011,0.1052631579,0.2210399608,0.0837339544,-0.064561021,0.162055014,0.104572979,0.113657501,0.5321224808,0.0,1.9949627324,0.0336853873,1.2072446556,0.1616075098,17.636953419,7.0795833333,0.3265785973,0.0,0.0,1.0,0.0,0.0,0.7035988678,7.0,-0.01260407,-0.013722006,-0.099279622,-0.297049929,-0.146837629,-0.550718467,-2062.545032,0.0823687897,11.99437583,0.0027234314,0.018659772,0.0328876301,0.0967912847,0.0424122208,-0.00767601,0.0,0.0004938272,-0.261854707,-0.024653018,6.0,10.957342161,0.5981023779,0.0,0.0537634417,0.0218992576,0.023925093,0.9305509189,4.5574803734,3.4885707e-08,2.0279187e-08,1.1801027386,1.3926424736,-0.200791028,0.0415548309,-0.066295943,0.0611167386
13056,0.509877916,0.0633493454,5.4918580433,0.0172467775,0.2477131521,0.8566827179,0.1397442097,0.0108718677,0.7519891501,1.033387287,-0.14109404,0.0365975525,20.0,0.0097853505,0.1656050955,0.0587859486,-0.106391785,0.0353546044,0.1548906328,0.0652014983,0.105935215,0.4436194039,0.0,2.2616681963,-0.18099394,1.614295785,-0.220383725,17.512951932,5.4852839544,0.3562835788,0.0,0.0,0.0,0.0,0.0,1.2046622959,6.0,0.06327497,0.0917235173,-0.055571857,-0.412923559,-0.121324082,-0.047572065,1406.6884191,0.0440807125,14.533246687,0.0004281784,0.037804186,0.0542097972,0.015526234,0.0209905838,-0.007103165,1.0,-0.00036036,3.0255775274,-0.017821152,4.0,15.079990471,1.5721266839,0.0,0.0221238937,0.0102459967,0.0157174985,0.4145400343,1.8699906385,9.882987e-10,1.943696e-08,0.577914364,0.3339850122,0.7769155623,0.0309081796,0.1898037969,0.067330121
13283,0.1832715808,0.0649429974,5.2948491654,0.050971876,0.0372847204,0.1793954465,0.5525667913,0.2308057999,0.8505665161,0.5,2.7729885057,0.0876744663,16.0,0.0,0.0454545455,0.25,0.2180477528,0.0524751274,0.4444444444,0.0057047778,0.0824318658,0.8098448564,0.0,5.458492003,-0.660156505,5.458492003,-0.660156505,1.2186535494,4.2990813202,1.8972198821,0.0,0.0,0.0,0.0,0.0,0.9002096436,6.0,-1.56324136,-0.130350559,-0.169084271,-10.59060124,0.0727385447,0.0449911755,-405.0565068,0.1088391198,11.805072554,0.0166150593,0.0742486415,0.0916370107,0.0067116168,0.5384656624,-0.005520538,1.0,0.0031765847,2.7516869096,0.0518622966,5.0,9.1103680914,0.1285609398,0.0,0.0601851866,0.0166640375,0.0132968429,1.1462962631,0.4406218601,5.8069924e-07,0.9545457027,0.2162875685,0.0467803123,0.8516247217,0.0348794687,0.8642461524,0.2318921706
13646,0.8394738754,0.0549088002,-2.838113051,0.0324395029,1.4300414214,2.8235157329,0.0892053232,0.049781954,0.132314536,0.0241506345,0.0371018403,0.1819344524,20.0,-0.001170432,-0.071428571,0.1975835285,-0.313077452,-0.143951688,0.0615752212,0.0884179485,0.0629370629,0.49343698,0.0,1.4954811715,0.0719449099,1.0370711297,0.0821869888,13.457467443,68.550458716,0.111099613,0.0,0.0,1.0,0.0,0.0,0.2881854987,6.0,7.8735621056,-0.751522606,0.4996326074,-1.271144682,-1.318799251,0.0982032096,-450.1565897,0.086200467,10.508936757,0.0040108795,0.0053280012,0.0146867511,-0.409752988,0.0463645448,0.9396438244,0.0,0.0135139442,7.3709333832,0.0,2.0,8.8720665134,0.2689618784,0.0,0.0545454547,0.023703557,0.0259499387,0.9035233276,0.8390112257,9.2828579e-07,1.0582776e-07,0.4610530309,0.2125698973,4.6067667864,0.0516035141,0.7446652744,0.087862293
