firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
54594,0.9021367317,0.0491384659,-10.48222174,0.0242815246,0.9589624468,2.3182531727,0.0640554034,-0.052826054,0.2165242011,0.002680067,-0.099234588,27.0,-0.021385423,-0.137931034,-0.146512902,-0.043971374,-0.014458933,0.1705767306,0.0212786206,-0.02110667,0.0020529284,0.4698921428,0.0,3.8746969504,0.2414987778,1.3179947684,0.2320106305,63.310522123,7.5898755936,0.0972527437,0.0,0.0,1.0,0.0,0.0,0.4081027348,4.0,0.0177812473,-0.217905121,1.6852139176,86.394327317,0.1431514131,12.575158004,-0.00142868,0.0006924517,0.001428521,-0.084315518,0.0564401196,-0.005162292,0.0,-0.009378664,3.9570595158,-0.269978102,5.0,11.95371011,0.932278481,0.0,0.0571429171,0.0204890539,0.0397268869,0.4376945237,2.8379422726,1.3267528e-08,1.6253458e-08,1.4370754841,2.0651859471,-0.043253453,0.0751363577,0.7171650028,0.2225880778
11624,0.2029184114,0.0195152899,32.663571819,0.0,0.0355538637,0.2278644842,0.1216176384,0.3078458362,0.7556090847,0.0424603175,1.4818423384,18.0,0.0381713536,0.4838709677,0.4435691318,0.3864492606,0.7539889146,0.1992805755,7.518008723,0.4030970406,0.2122498484,0.5409272746,0.0,2.9125624554,-0.556237542,2.022840828,-0.565447247,9.807755325,6.8333333333,1.7690155177,0.0,0.0,0.0,0.0,0.0,0.8322468163,6.0,-0.544535759,0.3596079039,0.1763888061,-3846.98686,0.0244816592,11.081742469,-0.002904538,0.0168920697,0.0198135918,0.0142137737,0.0891186125,0.1193672523,2.0,-0.000739659,1.9608534491,-0.119517187,6.0,9.5253882931,0.264957265,0.0,0.0745614395,0.0236765297,0.0294716086,0.8140763155,1.0836044739,3.0083135e-07,9.7271127e-08,0.7130594732,0.5084538123,-1.05279953,0.1003018794,0.1423076834,0.1007883398
11790,0.5609353405,0.0800169337,2.7393996473,0.0350030506,0.3312440078,0.2719808748,-0.025852564,0.0127660056,0.09391325,0.0024188958,-0.09304387,27.0,0.0074829359,0.0416666667,0.2108425721,0.3372944526,0.1372340389,0.0671279742,0.3750284939,0.0161808272,0.0877009996,0.5697451293,0.0,7.976205955,0.7405040602,4.953582109,0.7643286708,2.1885620391,4.322041947,0.3291213467,0.0,0.0,0.0,0.0,0.0,0.1294799363,6.0,0.0584156707,0.1529680495,-0.367341472,-477.3751914,0.2248013571,12.235041011,0.0113243176,0.0628446054,0.1078354478,-0.01405501,0.1392923733,-0.117525885,3.0,0.040949784,-0.923816434,0.0176930311,5.0,10.083684486,0.2419058391,0.0,0.0194464773,0.0081418462,0.011843451,0.9512093985,0.6205991964,9.1675022e-08,1.6714535e-07,0.3409124965,0.1162213303,0.2094835379,0.0555840902,-0.299045146,0.2024301886
12320,1.6128917401,-0.518459409,-14.47006542,0.0328828178,4.7917875337,7.3916245857,-0.010004305,-0.045163681,0.1660435566,0.0203426124,0.0577809834,27.0,-0.0411447,-0.116997792,-0.133106255,0.1095178912,-0.152748723,0.1399220775,-0.038082889,0.0626183944,-0.259320056,0.4850563801,0.0,1.1407864999,-0.204066275,0.7023881272,-0.14611745,35.336292637,8.2190566389,-0.009673312,0.0,0.0,1.0,0.0,0.0,0.3990471549,2.0,3.904208253,-0.116204095,11.285108763,-3677.86942,0.0686654204,10.761587573,-0.010081476,-0.024217089,-0.085705566,-0.266692917,0.0326604025,0.2034236256,1.0,-0.028742515,-0.431001372,-0.023034921,2.0,9.3303343113,0.4304391682,0.0,0.0233333111,0.0161290018,0.0214274394,1.0421159266,4.8078942582,1.0546163e-07,2.8887125e-08,0.435905338,0.1900134637,-0.955944768,0.0692392638,0.0850850779,0.3164370267
13056,1.2629432111,-0.111766476,-29.07244317,0.0475260489,2.0079010926,3.0377668249,0.0614279974,0.0770819342,0.642418952,-0.015979541,0.3155189906,27.0,0.0442779113,0.1315789474,0.1579497581,0.2584337133,-0.032986009,0.2054892411,0.4289106466,0.072582301,-0.163860745,0.2890220831,0.0,1.084996504,-0.425813909,0.7563478544,-0.482451652,48.728289257,6.4995948743,0.0036745135,0.0,0.0,0.0,0.0,0.0,1.2473644834,4.0,-1.630835181,0.1124343907,1.3486614479,-112.7126727,0.0421158232,13.886079665,-0.000448529,-0.012983109,-0.036905158,-0.117822349,0.0263451199,-0.035245859,2.0,0.0037821483,0.8739145615,-0.041963592,1.0,14.299167982,3.4864214235,0.0,0.2838398218,0.0657016677,0.044982891,0.9390235676,37.378573731,1.6759529e-09,5.0349561e-09,0.6338174023,0.4017244994,0.1240315417,0.061983261,0.1128097981,0.132155619
50091,1.3766925194,0.1912638925,-17.82332378,0.0381924072,2.2338822722,4.1555165238,0.0113270584,0.0424474962,0.3438460717,-0.030811623,0.0540222968,26.0,-0.027774222,0.0,0.0102370106,-0.166895033,-0.035884052,0.1241218766,-0.022002508,-0.020297756,0.0241971704,0.4898684395,0.0,2.0567381412,-0.024063538,1.414168173,0.1064290503,47.825343061,3.9343888655,0.1503538083,0.0,0.0,0.0,0.0,1.0,0.8140579385,5.0,-0.169180685,-0.062260293,3.7882446717,-661.5159405,0.092179625,12.534972534,0.0012701888,0.0170899684,0.0445736744,0.0418305281,0.0224480753,-0.005689924,2.0,0.0002064694,0.5118529269,-0.22454213,4.0,11.163593518,0.3092348739,0.0,0.0161764473,0.0075420795,0.0090179299,0.599584891,0.798767902,2.2122658e-08,7.1753935e-08,0.787634842,0.6203686443,-0.011412025,0.0524076627,-0.202731778,0.3129706889
14286,0.5918698691,-0.098970204,-4.313880427,0.018537857,1.1969113735,2.4121776646,0.0207344492,-0.108895953,0.2779513982,0.0293971101,-0.101939971,27.0,-0.040031912,-0.105263158,0.369417711,0.1937681512,-0.233809566,0.1539860888,0.1323556734,-0.067972412,-0.135630956,0.4185832023,0.0,2.4408268734,0.0300399767,1.301464255,0.1063680953,30.127189642,7.2250228311,-0.00887089,0.0,0.0,1.0,1.0,1.0,0.7432540743,4.0,-3.165732669,-0.501953646,3.1304459313,-7526.080607,0.0294348519,9.7509655224,-0.000820726,-0.014043966,-0.032150615,-0.566236628,0.0273161938,-1.316001477,0.0,-0.022137535,-0.84454061,-0.003919758,4.0,8.2423156591,0.2344794651,0.0,0.0914285928,0.0464267133,0.0463160109,1.3542563961,1.6675928937,1.2533079e-06,4.2000000631,1.0295321653,1.0599364793,-4.167854131,0.1964360957,-0.283265359,-0.17800669
14526,0.6246976623,0.0562847994,-19.42652351,0.0245764179,1.1980140135,3.644757758,0.0666394075,-0.10074737,0.4431554139,0.0029557005,-0.171805744,27.0,-0.060733197,-0.076826983,0.0294019665,0.0582112161,0.0353757658,0.2319147927,0.3066778558,-0.121229378,0.0763580408,0.4451643551,0.0,1.2747004082,-0.195089071,0.9805001564,-0.092186848,184.51695457,7.1232741374,0.1516162792,0.0,0.0,1.0,0.0,0.0,1.4530964202,7.0,-0.037204649,-0.109672275,9.0160832411,-482.0101737,0.0496109426,12.753253712,0.0042405874,0.0237463201,0.0678093914,-0.091638366,0.0222163889,0.0391208075,3.0,0.0138751239,0.1020896992,0.0872425213,2.0,12.993938922,1.1117619384,0.0,0.0743801296,0.0407167829,0.0626825449,0.4265275626,1.8133440037,2.5535805e-08,2.7022598e-08,0.0372582616,0.0013881781,0.5007664072,0.0878414165,-0.878185929,0.1429718686
11581,-0.502307448,0.1433020234,5.7615323492,0.0,2.8387980799,2.8356737369,0.2247993117,-0.17810164,0.4354826719,-0.278576604,-0.168063373,15.0,-0.028592979,0.0295081967,-0.282446601,0.2454845608,-0.011496304,0.479079074,0.0445835881,-0.065717623,-0.14237673,0.3443574884,0.0,1.1116410436,-0.311108219,0.6888195009,-0.361138447,18.149393688,8.7671499518,0.0814566183,0.0,1.0,1.0,0.0,1.0,-0.816108742,4.0,1.6409664422,-0.023110344,0.2320159807,-1527.413411,0.0310388259,13.079923235,0.0250347138,0.0454573424,-0.098953948,-0.091041355,0.077481063,-0.02887991,1.0,0.0015322961,3.5487992508,0.3603908727,4.0,13.702612867,1.1779868243,0.0,0.041645214,0.0257400593,0.0296693603,0.4417888874,2.7158235359,5.9823688e-09,1.726311e-08,0.9233544939,0.8525835214,0.3155715642,0.0782392161,1.2604875246,0.1085399726
15203,1.0539451449,-0.56310932,-342.4809712,0.0,1.7296243338,3.6992070714,-0.053349528,-0.289892559,0.190940443,-0.000795545,-0.248927523,27.0,-0.146674423,-0.328431373,-0.17402914,0.2853534755,-0.221265966,0.2541789577,0.1197021327,-0.127072556,-0.348231511,0.557906323,0.0,1.3649334179,-0.032971605,0.2260621433,-0.327156132,1564.2272727,10.690458302,-0.2126233,0.0,0.0,1.0,0.0,1.0,0.372829582,3.0,3.2946710832,-0.880070032,0.9722852613,-3238.502587,0.0324035929,8.7011364553,0.0,-0.01044226,-0.026736566,-0.530046225,0.0014742015,0.019701062,0.0,-0.076014381,-1.0,-0.005167954,2.0,6.5282502942,0.1319229446,0.0,0.2244897783,0.072367826,0.0583971916,1.0927343529,0.8832554625,2.40399e-05,7.3500001811,-0.008720075,7.60397e-05,1.9009415653,0.057468667,0.9128626127,0.1085399726
