firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,cfp,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
54594,0.4107590612,0.0486835162,13.899343863,0.0124490647,0.5047742122,1.0678547755,0.0976234317,0.2661995075,0.3072015016,0.5218633267,0.4201824642,0.031160891,24.0,0.0769674947,0.2857142857,0.3271437977,-0.001583102,0.019307356,0.172281527,-0.002962902,0.1330629324,0.1173256976,0.4808992721,0.0,3.1405047336,-0.241751259,1.3743060584,-0.302022777,45.414179538,4.7877558016,0.1585311269,0.0,0.0,1.0,0.0,0.0,0.5503808601,5.0,-0.506831581,0.1443815753,-0.376597473,-2.242855318,0.0700560526,371.46775572,0.2091536928,13.108706546,0.0005782485,0.0139378587,0.0326507532,0.1023680378,0.016782968,0.0127426849,2.0,0.0006413223,0.3648784888,0.0567563176,5.0,12.475666483,0.491149958,0.0,0.0252707582,0.0252259863,0.0311922959,0.915280689,2.740522564,2.5443069e-08,3.4689728e-08,0.8288649507,0.6870171065,0.0039368267,0.0507162945,0.1041673755,0.0565711185
11624,0.1511237626,0.0314869666,7.3957867464,0.0,0.0054025109,0.1269931986,0.6443775532,0.0830355961,0.5522694191,0.0019546521,-0.328068044,0.0525010731,15.0,0.0151192707,0.0,0.1045118532,0.196948828,0.0118449744,0.5315315315,0.3521416153,0.0173349213,0.1110392875,0.8582468691,0.0,27.960216998,0.8103421123,25.511754069,0.8107954807,1.1180012041,5.7314814815,1.7243468383,0.0,0.0,0.0,0.0,0.0,0.5995115995,7.0,8.3515026719,-0.155131275,0.0277555206,0.7622776058,0.0909107855,-2669.030155,0.0264272264,10.3609124,-0.040690506,-0.085497292,-0.093081226,-0.022962084,0.5061951754,0.5128522496,0.0,-0.061181701,0.8421715712,-0.095833335,5.0,9.5108615443,0.684335443,0.0,0.0649999976,0.0333594566,0.0444805205,1.5893218931,5.5743087302,4.2121917e-07,2.2635487e-08,1.5327911733,2.3494487809,-0.316349321,0.0924336777,-0.102527074,0.2846610696
11790,0.7263105632,0.0547031731,1.2519318182,0.0340441678,0.3276619964,0.3359853393,0.0560611483,0.1089931449,0.1210468642,0.0,0.3725735543,0.0324699177,24.0,0.0099727321,-0.040322581,0.2048171844,-0.134498441,0.2024512336,0.0605659844,-0.000861239,0.0984684386,0.0205778589,0.5554135071,0.0,7.4976101965,-0.012904699,4.3775889538,0.0156006373,3.1528787879,3.717884581,0.3276365865,0.0,0.0,0.0,0.0,0.0,0.1450659649,4.0,-0.168319825,-0.082970397,-0.342685067,0.6829044254,0.1287391667,-829.3205977,0.2054802195,11.548900532,0.0195612105,0.0281404208,0.0425333854,-0.002906124,0.1081817975,-0.370172773,1.0,0.0194029078,1.2465655308,7.62781e-05,5.0,8.6879902624,0.1293397837,0.0,0.0197628457,0.0210366949,0.0186402615,1.5393295657,1.0611647675,1.0550875e-06,3.0000001556,0.3700016402,0.1369012138,-0.021141162,0.0323662296,0.0371238976,-0.043117972
12320,1.1406689232,0.1189157318,-29.23224331,0.0365578098,2.8559352578,4.0743728707,0.068019582,0.1071528223,0.2501719334,0.0032690422,0.148118577,0.0679518468,24.0,0.0229305612,0.1138613861,0.4840783256,0.3799218075,-0.115122485,0.1234559833,0.4192581405,0.106325577,0.016356351,0.4821799095,0.0,1.6404930667,0.4285144817,1.019702038,0.3747120036,81.802050698,5.1718257613,0.1297655205,0.0,0.0,1.0,0.0,0.0,0.7095673277,5.0,-0.05494729,-0.065222643,0.582256442,-0.717224379,-0.016793259,-3888.405617,0.0798490138,11.70703817,0.00580497,0.0079300912,0.0259936719,0.0273004161,0.0089833615,-0.01791518,0.0,-0.001584158,-0.077961019,-0.039636173,3.0,11.400077264,0.6767167343,0.0,0.0289855078,0.0188844038,0.0245520623,0.7151093531,2.3520454147,5.0880058e-08,3.0574551e-08,0.6314169496,0.3986873642,-0.226997618,0.0458260633,-0.274808433,0.1486483244
13056,0.8227897644,0.1101170397,-2.209827142,0.0402867963,0.6554384063,1.347703472,0.1439229321,0.1274230017,0.7063146701,-0.029360943,0.3397658226,0.1290863865,25.0,-0.0087251,-0.003511236,0.0031567721,-0.042737969,0.0251145408,0.1542044038,0.0470349435,-1.6776e-05,0.001036264,0.3281946032,0.0,2.7433309232,0.3866616956,2.1416918458,0.4729499624,15.258593615,5.644945488,0.2639821244,0.0,0.0,0.0,0.0,0.0,1.1049139284,5.0,-0.599050307,-0.025735624,0.5945322339,-0.416777708,0.0384743379,716.52204122,0.033931299,14.294997825,0.0007139222,0.0234596086,0.0427548902,0.000240126,0.0597500628,0.0263039533,0.0,-0.000844327,-0.686146715,-0.074269267,5.0,13.781079879,0.696611255,0.0,0.0510204099,0.0186871862,0.0302818895,0.5746654073,1.7927181429,3.72574e-09,3.5126151e-08,0.6529855622,0.4263901444,0.107220207,0.0415490435,0.3794547842,0.0601635159
50091,1.1287317905,0.1400786617,-11.40745603,0.0347124458,2.2487871575,3.7281342314,-0.019630335,0.1546401985,0.3645011253,0.0062421973,0.1884364641,0.2569706791,24.0,0.0233586589,0.0883737776,0.0349386886,-0.079714116,0.0015015611,0.1184095543,-0.093409986,0.128662935,0.0927298636,0.5132023534,0.0,2.157927935,-0.219569728,1.3170070173,-0.210329687,33.716780655,4.0485848365,0.1286332493,0.0,0.0,0.0,0.0,0.0,0.9299460067,4.0,-1.044872813,-0.031853747,-1.171771135,-0.695889172,0.8748044343,-561.5731539,0.0710736631,12.140864567,0.0025902947,0.0020071209,0.0060059342,0.1298617275,0.0262512718,-0.112153083,0.0,0.0123914592,1.8127112914,-0.001692509,3.0,11.413538737,0.5440881764,0.0,0.0138504151,0.0076715683,0.0108058407,0.8633771416,2.5767363881,2.6011887e-08,4.2957989e-08,0.5925307018,0.3510926325,-0.039097499,0.0347048007,0.3183310049,0.1380384395
14286,1.5119294606,-0.3843361,-2.144827586,0.0499221992,2.6828319502,3.4878112033,0.1631855432,-0.170914208,0.2232025195,-0.00464636,-0.158087487,0.0150414938,25.0,-0.006227867,-0.010416667,0.0591014687,0.5046433439,-0.035438285,0.1450832886,-0.024895734,0.0138929218,-0.244182278,0.5587793852,0.0,3.7130481862,0.1452877009,2.3015701137,0.0108785901,3.144126242,6.5636896047,-0.071313377,0.0,0.0,0.0,1.0,1.0,0.5352952616,4.0,0.6198744714,-0.346418729,-35.65528301,-1.28670367,-3.667634051,-7204.589678,0.0317619105,9.316028334,0.009693775,-0.007397121,-0.016074745,-0.026841286,0.2304749589,0.0429568027,0.0,-0.003241701,1.4634435516,0.3336827308,2.0,8.0335773348,0.2705638903,0.0,0.1041666642,0.060173389,0.094191022,1.6073232362,2.4830145578,1.74855e-05,13.000000151,1.9432324845,3.7761524887,0.2813885925,0.1647798329,1.0269918439,0.7881694937
14526,0.5406012588,0.0814517922,-48.85641123,0.0234421626,1.4088756264,3.279056273,0.0884153803,0.0152330965,0.4225492921,0.0061924016,-0.03947027,0.325318963,25.0,-0.006004414,-0.045713429,-0.131764806,0.1369449069,0.0959864288,0.143758175,-0.221362818,0.1184066224,0.1921789035,0.4661824122,0.0,1.782338492,0.2081982773,1.1906328389,0.1066134342,601.3292868,6.7042701496,0.1312860857,0.0,0.0,0.0,0.0,0.0,1.6839901096,6.0,-1.077113892,-3.052320828,0.291828206,0.4484986903,0.3819093049,-586.1013704,0.050238934,12.183011904,0.0325647838,0.004738799,0.0182681198,-0.033094574,0.0027971672,0.0243217079,0.0,-0.010285714,0.6097534895,0.0398448035,3.0,12.421596239,0.9617570874,0.0,0.0241228063,0.0231263995,0.0488308319,0.5991035457,2.6389760924,2.431311e-08,2.7482989e-08,1.0092796692,1.0186454506,0.0682165696,0.0697683812,-0.380767483,0.0579530001
11581,0.3567187813,0.0278451457,46.659729879,0.0026752709,0.8689830697,1.2840976719,0.1216957256,1.5339565825,0.9663130511,1.795541724,2.2096129612,0.1352942074,12.0,0.0598481121,1.3966942149,0.8305216595,0.0904364144,-0.169792677,0.1887818093,-0.277358903,0.5951440059,0.6749971829,0.274387976,0.0,1.3983613852,-0.205982097,0.7662902558,-0.1075844,193.83981729,8.350447822,0.1266932949,0.0,0.0,0.0,0.0,0.0,2.0550000245,3.0,-1.934665861,1.27288527,-0.126398002,0.7387669915,0.318702613,-618.5163296,0.0307916777,13.983551252,-0.003423053,0.0124744408,0.0428627421,0.073569905,0.0051291829,0.0512981419,1.0,-0.000414508,-0.108302303,0.0131491944,6.0,13.530528171,0.8858847293,0.0,0.1224018484,0.0349112686,0.0353057461,0.7813472008,4.0339945479,6.6113491e-09,2.539197e-08,1.2971105371,1.6824957454,0.1462276177,0.0535272179,0.1171623038,0.5789147529
15203,0.9302960964,-0.044260783,-267.5279661,0.0,1.391345924,3.2284416516,0.0316824686,0.1091894009,0.3614410651,0.0,0.2438935027,-0.171988662,25.0,0.0392363153,0.018957346,0.1641298458,-0.061312988,-0.319278587,0.1679469274,-0.179087002,0.0475786451,-0.045416316,0.5532245366,0.0,1.7921369689,-0.049752633,0.601521877,0.0668835648,1688.0714286,6.2110381078,0.0170902955,0.0,0.0,1.0,0.0,0.0,0.6979254275,1.0,-1.941521434,-0.104851599,0.4471793128,-1.793877912,0.011419744,-1569.603705,0.0307916777,8.4053533972,-0.004630663,-0.011885849,-0.029662261,-0.018791841,0.0013534985,-0.023509616,1.0,-0.024272795,-0.678546471,-0.024390243,1.0,6.867974409,0.2135458167,0.0,0.1228070185,0.0624369814,0.0592935645,1.3247010363,1.8505967416,1.96299e-05,11.000000101,0.0562085536,0.0031594015,0.5068294026,0.060289569,0.0567622857,0.5789147529
