firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
47730,0.6322915929,0.0339523327,-7.178190991,0.0225930495,0.7168900115,3.073784381,0.0413025832,-0.019654339,0.2374025263,0.0074518324,-0.066824606,-0.04200152,-1.685767098,0.091188058,0.0420015198,41.0,0.0,0.0169491525,-0.026824034,-0.019740367,-0.026286188,0.7702702703,0.121126362,0.000319212,0.0399463254,0.2913124477,0.0,1.6670186554,-0.053582161,1.6670186554,-0.053582161,88.248648649,6.5928119532,0.093897904,0.0,0.0,0.0,0.0,0.0,0.5268373245,5.0,-1.575887114,-0.296082609,0.7463357625,-1.069626074,0.178594884,-3166.120371,0.0278203388,14.712929941,-0.003355096,0.0030152536,0.0068293663,0.0448443543,0.020920119,0.0017198914,0.0,0.0012433945,1.5553167893,0.0912075476,4.0,14.396470509,1.0152938776,0.0,0.0287984088,0.0142915575,0.0205965714,0.4292502428,2.1712031524,1.0447752e-09,1.8534827e-08,0.7046854362,0.4965815639,0.0710986189,0.0217868774,0.1349146008,0.0057590367
13777,0.359609148,0.0388129586,1.8175403439,0.0435954184,0.1585184591,0.4315923689,0.1850426134,0.0183069429,0.4841583126,0.0100052475,0.0118529269,-0.059404406,-0.785881664,0.0693153511,0.0594044061,34.0,0.0,0.0447761194,0.1070834913,0.0588765842,0.0165380388,1.6542991755,0.006077044,0.00486348,0.0211781417,0.6324396595,0.0,2.3946404031,0.0981380514,2.3946404031,0.0981380514,1.6278926831,5.5425832198,0.3813875195,0.0,0.0,0.0,0.0,0.0,0.6995458752,7.0,-1.560991803,-0.268255642,0.4736533175,-1.141022691,0.1567221771,-4495.649831,0.0278203388,12.596316673,0.0014523409,0.0252891997,0.0361724724,0.0047976182,0.5116950938,0.000840277,1.0,0.0054704595,5.8893195659,0.008848466,6.0,11.712115885,0.4382863394,0.0,0.0453230739,0.0200667165,0.0357443947,0.4122673904,0.9156657641,2.6875585e-08,4.5676263e-08,0.9701151226,0.9411233511,0.1519121679,0.0283665605,0.2156902249,0.0057590367
38746,2.3100420913,-0.285088484,-4.970570663,0.0,1.0535781756,1.161769032,-0.05820904,-0.130477406,0.0169322925,0.0003723932,-0.16789993,-0.105576483,-1.339104069,0.0966746648,0.1055764834,42.0,-0.035919601,-0.201754386,-0.163205463,0.1870830413,-0.478551438,0.1301158623,0.1325324889,-0.063087026,-0.112268407,0.4969255977,0.0,55.64244373,0.8273255225,26.142174432,0.8399874863,2.8611454471,5.6925809537,-0.208265218,0.0,0.0,1.0,0.0,0.0,0.0105871133,4.0,8.4363888102,-0.204512791,29.517420208,-2.065097696,3.1832110651,-806.8485279,0.0855191314,10.962736139,-0.016708835,-0.058625899,-0.085797254,-0.034074543,0.1207182412,-0.401456026,0.0,-0.14647592,0.1701672632,-0.065472219,3.0,9.0853273099,0.6337377239,0.0,0.1138328463,0.0340584469,0.0354573842,1.581615751,1.6434482619,8.4053611e-07,1.0000000824,0.435127155,0.189335641,0.674909361,0.0490395219,0.6957271363,-0.026034977
60871,0.2703976324,0.0371448224,4.0269779671,0.0261743079,0.1060288695,0.1830964421,0.262341536,0.0295185351,0.348876407,0.0027505985,-0.053560936,-0.030300532,-0.302664168,0.0483872292,0.0303005315,41.0,0.0063765868,0.0104166667,0.1990799969,0.0227786391,0.0306293043,0.3450342333,0.5126921008,0.0245104371,0.0662187517,0.556857872,0.0,3.6626307426,-0.318707248,3.2924539651,-0.32213646,1.1340949669,7.3631151037,0.4493352745,0.0,0.0,0.0,0.0,0.0,0.4973108918,7.0,45.073978354,-0.109542264,8.564087277,-1.145432987,0.3243146651,13552.056704,0.0587429544,16.945713162,-0.002201043,0.0224494843,0.0341496922,-0.002440966,0.4958964595,-0.009581802,2.0,0.0003551136,0.5176463401,0.0048949395,6.0,17.317682462,1.8403072753,0.0,0.0439702049,0.012693467,0.020574945,0.4286172888,4.8445998692,4.693615e-11,9.7061586e-09,1.2017396556,1.4441781998,0.0148200712,0.0248401424,0.3142344859,0.0286577931
14198,0.5305829803,0.0334288944,3.0176793215,0.0051210179,0.0964097262,0.539450159,0.077850725,0.0221830837,0.4114874125,0.0049300897,-0.051119278,-0.008418175,-0.156178131,0.0386497566,0.0084181751,41.0,0.0127745687,-0.012352941,0.0439437501,-0.076554207,0.0008322459,0.219258883,0.134863779,0.0159015662,0.0367357291,0.5509811679,0.0,5.070118054,0.1463902976,3.4069353585,0.1563606307,4.3642245557,4.1656656464,0.5726848257,0.0,0.0,0.0,0.0,0.0,0.4931796012,6.0,-0.786728155,-0.120879877,0.8313011013,-1.247996747,0.9726684273,-2110.357276,0.0352290716,13.953375414,0.0048163757,0.0078248247,0.0095343332,-0.00570741,0.1983567803,0.0267659336,1.0,-0.001265983,1.2202842342,0.0007366878,6.0,14.30064604,1.5102761721,0.0,0.0355893001,0.0121416694,0.0244434728,0.3134912906,1.5503209637,1.9544897e-09,2.0204796e-08,0.3800437095,0.1444332212,-3.202738615,0.0334849258,0.1425850329,0.049995752
14702,0.3913494952,0.0707852693,1.5079959718,0.0247774145,0.39556474,0.4965249933,0.152373586,0.1619857295,0.3289054198,-0.04995905,0.4502450057,0.0150270346,0.1554103123,0.0597845085,0.0150270346,41.0,0.0186784636,0.0367892977,0.0647045855,0.0233872203,-0.031562001,0.4159192825,-0.045049327,0.0276301807,-0.032409761,0.5022377842,0.0,2.4383886256,-0.011974869,1.9557661927,0.0224311041,1.9454179255,5.5543415756,0.2689023921,0.0,0.0,0.0,0.0,0.0,0.5376207422,3.0,-5.542576853,0.0343884242,-0.080100429,-0.136450772,0.0484161087,15412.833106,0.0400118084,17.362584507,0.0036799882,0.0240132073,0.0446428571,0.0003588284,0.2019120459,-0.004733985,1.0,0.0009770396,1.3293896144,0.1518761801,5.0,18.060369311,2.4300340737,0.0,0.0393338278,0.0158473859,0.0231837094,0.3454389361,3.9264538853,3.403467e-11,8.8515983e-09,1.4739463822,2.1725179377,-0.012786531,0.0309375321,0.0138562238,0.052874127
15537,0.5848554785,0.0392808846,1.8234477692,0.0177783982,0.0919302913,0.8217127021,0.092381482,0.0488766312,0.5411408583,0.0125499931,-0.021166466,-0.042050521,-0.707624309,0.0670769935,0.042050521,36.0,-0.009087745,-0.032352941,0.0714342309,-0.006377947,-0.041131977,0.2105638829,-0.14478198,0.0295708328,0.0608083639,0.5773477804,0.0,5.7094679514,-0.117641093,4.1499790532,-0.142974155,4.6357804006,6.0422571173,0.6156289411,0.0,0.0,0.0,0.0,1.0,0.6333233613,4.0,-5.571937932,-0.034753815,0.1134055546,0.3336938371,0.0557085937,-3925.170914,0.0400118084,11.494827117,6.67762e-05,0.0130703026,0.0151247532,0.0179811528,0.2886904393,-0.024361952,1.0,-0.007665505,-0.824982857,-0.026226121,8.0,8.4342462706,0.1040635176,0.0,0.0581818335,0.021177972,0.0255555348,2.1255745809,2.9198219019,5.6690636e-06,9.9790298e-08,0.4056812287,0.1645772593,0.6464547062,0.0363063232,-0.15532577,0.052874127
68830,0.876296978,0.0885015945,-0.437953158,0.0,0.1658940373,1.2288422181,0.0892136366,-0.09248775,0.152037326,-0.158374478,-0.079036619,-0.020086459,-0.278470543,0.1131466816,0.0200864585,32.0,-0.002028379,0.0943396226,-0.237215805,-0.838841133,-0.32398703,0.0981123931,0.1641948197,0.0185163706,-0.11060345,0.6278990704,0.0,9.1347084288,0.0165153645,8.2598421187,0.0244460869,3.2137477083,23.070190275,0.8148304843,0.0,0.0,0.0,0.0,0.0,0.1985107337,4.0,-16.1755167,-0.211768478,0.808962909,11.927898185,0.446374385,-4880.095029,0.0238858186,13.373790762,-0.00198082,0.0068437489,0.0091176915,-0.013946451,0.3013889331,-0.006822912,0.0,-0.003433879,0.3522898661,0.0115244271,5.0,14.246567476,3.4646004254,0.0,0.0530400835,0.0146117333,0.0296807232,0.5266510329,7.4506659887,1.2771541e-09,6.6619768e-09,1.7369796206,3.0170982024,0.0986160053,0.0468818593,0.7425154566,-0.237483398
85914,0.4841234774,0.0892388411,-0.905035352,0.0557328078,1.0108206275,4.3710444987,0.1482144633,-0.113856843,0.6398138437,-0.078780999,-0.108716849,-0.035794961,-0.638166047,0.1461880395,0.0357949609,31.0,-0.008549088,0.0,-0.020104613,0.0720828866,0.0260821461,0.2800511509,-0.020247879,0.0212375459,-0.123523524,0.6150482284,0.0,1.4275812274,-0.053431733,0.6981949458,-0.171645752,11.404500866,34.017211704,0.150951178,0.0,0.0,1.0,0.0,0.0,1.9381381381,6.0,-0.019532913,-0.105910678,-0.262726703,0.1025458479,0.0919613293,7433.05541,0.2968282139,16.489619347,0.0069975946,0.0167172128,0.0516217451,-0.011064161,0.2375784823,-0.005275294,0.0,0.0028054863,4.3927994777,-0.004079776,6.0,17.291785564,3.5987107505,0.0,0.1369592249,0.0362777462,0.0286095844,0.6089819963,16.64685588,6.632122e-11,4.1984321e-09,0.9849568547,0.9701400056,0.1192969534,0.0511357367,0.4012212857,-0.237483398
49373,0.0051762331,0.0859351483,3.1010956804,0.0451882483,0.6351089908,0.6806989612,0.338380401,-0.3671076,0.3252206882,-0.198917446,0.0567391036,-0.040373542,-0.388058495,0.1192830126,0.0403735423,42.0,0.0,-0.038539554,-0.013156707,0.0752431886,-0.04312849,0.591344336,0.1522673948,0.014284607,-0.987395721,0.4439045114,0.0,1.1757330909,-0.251731175,1.1757330909,-0.251731175,3.0319556826,19.842165417,0.2019708389,0.0,0.0,1.0,0.0,0.0,0.7635487949,5.0,-0.034490165,-0.056385897,-0.148912598,-0.32504673,0.0387781781,1473.391315,0.2058056635,15.395540431,-0.00583423,0.1140121234,-1.270994832,-0.000872228,0.3506378214,0.038084453,2.0,-0.006422925,2.2433407963,0.1264110878,3.0,15.933129809,2.489597667,0.0,0.0359874554,0.0328235254,0.0303282322,0.4563554015,6.4054434362,3.284122e-10,7.7255152e-09,0.577666333,0.3336983923,0.3323544357,0.03728523,0.4672260427,-0.099805972
