firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
21020,0.1586860104,0.0775645578,-0.769747169,0.0080030133,1.9187022192,1.7059756597,0.1013648613,0.0023793736,0.2719701993,-0.062657946,-0.000400093,-0.055030681,-1.472120896,0.1917489641,0.0550306808,43.0,0.0051621701,0.035159444,0.0504479841,-0.048673722,-0.087727929,0.0590525823,0.0076776621,0.0919374342,0.0372523118,0.4991344268,0.0,0.6112002138,-0.178751514,0.5203822507,-0.217904379,7.8393387816,24.090753425,0.0828989353,0.0,0.0,1.0,0.0,0.0,3.3931307794,5.0,1.4730365056,0.0453286779,-0.035295236,0.1475173265,-0.323021853,0.1014177215,16020.613579,0.0762250898,16.597875235,-0.002204192,0.003093626,0.0404992359,0.0239236574,0.1048235736,-0.040037802,1.0,0.0038491147,1.4858078903,-0.048966806,2.0,17.689213267,3.748371441,0.0,0.0669083297,0.0366462117,0.0501040845,0.3059652055,9.1287652037,6.900903e-11,3.1988824e-09,1.2323498497,1.5186861519,-0.020351928,0.0417531791,-0.099381146,0.1457833232,-0.0422119815668202,-0.0434462444771722,-0.0013453776667307,0.0291146761734997,0.1097821443827424,0.0941250789639924,0.1613768439874832,0.0301348136399683,0.032591414944356,0.0733319562073953,0.2191459408728298,0.2283687943262411,0.1207937877480587,0.1742372881355931,0.112872135360891,0.1188630490956073,0.2798029556650245,0.4192843485386506,0.431404958677686,0.463661971830986,0.8353938537619217,0.6283296772171734,0.4978379936581147,0.2670080468178493,0.2673170731707317,0.3326493972813542,0.226918536009445,0.2593310712554533,0.1241886629164863,0.3381406129281483,0.3329912775782453,0.2957605985037406,0.3011143107549767,0.2263393910785933,0.0761105933519727,-0.015536187949981,0.0847599164926931,0.058679706601467,-0.0311392877121015,0.0706779311765917,0.2565900846432889,0.4644870349492673,0.3363853810344384,0.3374517374517374,0.2094972067039107,0.2938247011952193,0.4816082121471343,0.4196721311475408
11499,1.0520169546,-0.01707979,-4.924700751,0.043937182,1.4208535835,1.9456581865,0.0290915953,-0.120499204,0.23171304,0.0119430947,-0.183346729,-0.020484793,-3.169032684,0.0370466229,0.0204847933,38.0,-0.010017254,-0.086294416,-0.172561395,0.0088934216,0.0040117198,0.6875213675,-0.008162319,-0.007338048,-0.018481497,0.277423736,0.0,1.6127991396,0.1083119217,1.1036151728,0.0531721706,11.315744597,5.0750257391,0.0465950204,0.0,0.0,1.0,0.0,0.0,0.5724845067,5.0,8.641768004,-0.097461191,-0.13878611,0.7305884019,-1.756766279,0.0319775288,-5786.868767,0.0324385682,12.468544604,0.0095769473,0.0131410629,0.030889376,-0.12022079,0.0805981252,0.0075735097,1.0,0.008988764,2.8880714659,0.2688294649,1.0,11.389602828,0.5010205055,0.0,0.0386151746,0.0205518374,0.0334694825,0.4629454988,0.8812147503,3.8320219e-08,4.9510177e-08,1.8731042875,3.5085196717,-0.039716742,0.0627455231,1.0470609437,0.189458148,0.0827250608272505,-0.0176600441501103,-0.1325536062378167,-0.177449168207024,-0.492588369441277,-0.4739952718676123,-0.4042838018741632,-0.5393374741200828,-0.5152505446623094,-0.5265957446808511,-0.6058458813108946,-0.5765937202664129,-0.6061946902654867,-0.6608231707317073,-0.6810035842293907,-0.686398872445384,-0.5505050505050505,-0.6054964539007092,-0.5950864422202002,-0.518918918918919,-0.4908466819221968,-0.4539877300613497,-0.3257575757575757,-0.2834138486312398,-0.2834138486312398,-0.4294871794871794,-0.4205729166666666,-0.4879171461449941,-0.5011210762331839,-0.4566544566544566,-0.540289256198347,-0.5055555555555555,-0.6072374227714034,-0.6079295154185022,-0.6225614927905003,-0.5805843543826579,-0.6872803935347856,-0.6756559766763848,-0.7136422136422136,-0.6857344632768361,-0.6892458100558659,-0.667910447761194,-0.6834992887624467,-0.6723122238586157,-0.7145606157793457,-0.6892458100558659,-0.7199496538703587,-0.7317661241711875
81912,0.804798724,0.0017613827,0.1388012843,0.0271661895,0.1540126505,0.5605121599,0.0921425645,0.0788536267,0.1545487167,0.0030012505,0.6453317697,-0.074011796,-38.81608961,0.0701313722,0.0740117965,38.0,0.0165621428,0.3814814815,0.1903103695,-0.108159491,-0.133597189,0.1430098067,-0.196117176,0.1993555374,0.0121652405,0.5757796339,0.0,5.7771138941,-0.32027829,4.0227285844,-0.361965639,1.8888663229,5.4426431657,0.1875504341,0.0,0.0,0.0,0.0,0.0,0.1727428954,4.0,0.487463344,0.0649617265,0.3510231873,0.5299710024,-0.323611199,0.0758527955,-5799.8995,0.0535851382,14.850295131,0.0024796027,0.0123076161,0.0145930301,0.0419912206,0.3094928625,-0.013071481,1.0,0.0,0.6144467072,-0.135878748,5.0,13.868987063,0.5612429278,0.0,0.0510397255,0.0276881564,0.0360499781,0.4754425135,1.2023497443,3.3440131e-09,3.3409283e-08,1.2022791309,1.4454751086,-0.066325465,0.0283749163,0.3510277552,0.0691706808,-0.0433526011560693,-0.0774804905239687,-0.0433526011560693,-0.087651598676957,-0.1215498938428873,-0.0921557871640152,-0.0515759312320915,-0.0738668158925573,0.0128518971848226,0.0109957238851556,-0.0212891780011826,0.0103785103785105,0.0663659793814432,0.021604938271605,0.0588611644273833,0.0895325872284398,0.1804564907275321,0.2001450326323424,0.2045123726346434,0.2115666178623718,0.2187039764359353,0.1984069514844315,0.2518910741301059,0.3166268894192523,0.409710391822828,0.4416376306620209,0.3632619439868203,0.2268346923647146,0.225925925925926,0.2643239113827349,0.2672281776416538,0.228656273199703,0.2295690936106984,0.1663143058491896,0.2018881626724764,0.1597757533286616,0.1614035087719298,0.279969064191802,0.1821428571428571,0.1581525542337301,0.1461218836565097,0.2462349397590362,0.2010159651669085,0.2169117647058824,0.2462349397590362,0.2277448071216616,0.2397003745318353,0.2556904400606981
27991,0.5259661101,0.0513136029,-115.9082804,0.031672537,1.2483777558,0.374543834,0.0523127017,0.0634099573,0.0917596716,0.0037274222,0.0736344318,-0.038129402,-1.288918552,0.1174526575,0.0381294015,43.0,0.0004047441,-0.007414419,0.0190397413,-0.148840102,0.075408591,0.0405000668,0.0523931894,0.0455928184,0.0422739341,0.4421224074,0.0,0.848425348,0.3341556934,0.6069347465,0.4542018501,256.64382378,8.5896672352,0.0891066293,0.0,0.0,0.0,0.0,0.0,0.2599598803,6.0,0.1175473206,-0.034382834,-0.014359162,0.6978844055,-0.125221114,0.0484592471,800.4403523,0.0259683336,16.03578537,-0.000338174,0.0001892582,0.0006433392,0.0016777401,0.0009003805,0.0442854693,0.0,-0.002005013,0.2820385825,-0.008550287,5.0,16.342219617,1.8006632167,0.0,0.0273386799,0.0138076258,0.0196502729,0.2350931766,2.0790812448,1.365913e-10,9.2161753e-09,0.1270779401,0.0161488029,1.8191161409,0.0202369746,0.1060403238,0.0658638826,0.036902286902287,-0.0018761726078799,-0.0631603662831651,-0.13081363685873,-0.0901835594573023,-0.0562913907284768,-0.1130376792264088,-0.0799031476997579,-0.0629403475810239,-0.0967741935483871,-0.0621694676225174,-0.0429359558647157,-0.0290789633775399,0.0279531109107304,0.0226835832372163,0.0793994318950357,0.0482070143176145,0.0501381760757995,0.0634328358208953,0.0117915557246099,-0.0155440414507772,0.0843864655523847,0.0984170681348932,0.0630078593312908,0.1593781781200058,0.2034383954154726,0.2375930521091809,0.259469696969697,0.2564950401511572,0.2441534144059869,0.3405005879388543,0.2931453573164801,0.4027069783793284,0.309914642153644,0.3039215686274508,0.2517647058823529,0.2453183520599251,0.1370760900541463,0.1682037768994289,0.2620591491380675,0.2981942410932161,0.4604685212298682,0.4012291483757682,0.4918676388109926,0.3796680497925309,0.4399133886683506,0.42627345844504,0.4599341383095499
10517,0.6192991925,0.1048419498,5.1748641875,0.0028653273,0.3455810516,1.2126867948,0.1028612179,0.0292567751,1.1946060306,-0.020014276,-0.149786005,0.0502641296,0.4560156699,0.0570323778,0.0502641296,36.0,0.0007535795,0.0347826087,0.0548652063,-0.44630124,0.0180082562,1.1396932838,-0.016729727,0.0681379925,0.1663109696,0.3735523708,0.0,4.6602244466,-0.374331743,4.4585441902,-0.384996256,47.376270617,11.711493067,1.4337129554,0.0,0.0,1.0,0.0,0.0,2.095194513,6.0,2.445309883,0.0659187919,0.0482659944,12.284813676,-0.668153562,2.1376229714,-1618.246506,0.1271346173,14.988884688,-0.005645681,0.0194059721,0.0302348837,0.0337164882,0.0771884168,-0.084155169,0.0,-0.003004292,1.8666801468,-0.071922573,4.0,15.653322765,1.8496100299,0.0,0.0392291024,0.0279753261,0.0367103982,0.3945904194,4.5861292681,6.656286e-10,8.5903596e-09,1.088952654,1.1858178826,-0.027734684,0.0439651022,-0.006917347,0.1413907344,0.0084397316598139,0.1396429444852043,0.1693851944792974,0.2354188759278896,0.2663043478260871,0.0680724272289707,0.0526315789473683,0.0069144338807261,0.1979434447300772,0.2760131434830228,0.2966054535336673,0.5669132481506389,0.7082111436950147,0.5061409179056238,0.4567052203813693,0.6002747252747254,0.8858761634965602,0.8332022029897717,0.9129720853858784,0.9457202505219208,1.128825947921425,0.8565737051792828,0.7779473483403281,0.8565737051792828,1.026968247063941,1.0367132867132869,1.0812862885216616,0.9200659250103008,0.8889339278475881,0.2905012461921905,0.2377158034528552,0.2601406165494864,0.2869373101353216,0.3302883242934626,0.3705882352941176,0.6460614623807843,0.5632338141563236,0.4718888186986734,0.5243702976774616,0.64200140944327,0.8820678513731826,0.9161184210526316,0.8188914910226386,0.7664897649734648,0.3075196408529741,0.4190012180267966,0.5812690872073296,0.5410052910052912
20482,0.3104996263,0.0035474761,5.2515469448,0.0195663907,0.4537553525,0.2752560043,0.0569846024,0.4478031367,0.3280484563,0.1838133602,0.413252371,-0.080936424,-14.77903683,0.0559757555,0.0809364237,43.0,0.0181048124,0.32,0.3134800748,-0.302591354,0.0423231113,0.3971342185,0.6745385931,0.0772035089,0.5043821209,0.2544593705,0.0,2.2606597846,-0.437705626,1.8565978456,-0.492032633,2.8501560874,5.218136788,0.0875215626,0.0,0.0,0.0,0.0,0.0,0.7970591099,5.0,-4.009210827,-0.027077184,0.2282326656,0.2694674412,6.9569058534,0.322278444,95089.062044,0.0339416103,18.611975267,-0.004627083,0.0053639344,0.0132375312,0.0100427388,0.0570034411,-0.007790001,1.0,0.0001668892,0.3513353583,0.0103082517,6.0,18.199831157,0.73421574,0.0,0.0327510945,0.0159386581,0.0226741565,0.2267608448,1.0955821688,2.143385e-11,1.8267437e-08,0.9306055102,0.8660266155,-0.003775985,0.0226290252,0.1139357101,0.3157534424,-0.0067959555776562,-0.036036036036036,0.0499386718065533,0.0629767606883093,0.1049234740918312,0.1229385307346326,0.1762858264625049,0.2183814558763726,0.2326681752725776,0.3123083661848447,0.3730522456461962,0.3492456653906779,0.329192546583851,0.4345223844864734,0.5600104139546995,0.5739427370633046,0.5270132517838939,0.4168834239772996,0.4259876249405043,0.3389944134078213,0.524294072755024,0.5119858692909411,0.5403598971722365,0.4324647382261535,0.5467217346411977,0.5830911492734479,0.3342240035626811,0.3339269813000891,0.3375000000000001,0.4898060666335158,0.3230293663060279,0.1820871966857369,0.2208638956805217,0.2329218106995885,0.2908229211546747,0.2933304554284481,0.2649356132573359,0.3386952636282396,0.3309640159928919,0.3462143338575603,0.3746272080752466,0.4407309449386871,0.4185606060606059,0.4226020892687561,0.4650366748166259,0.4976255936015996,0.5467217346411977,0.5559594910412882
10656,0.8712011963,0.024467026,-4.054199148,0.0169802365,1.3616837684,1.3728677114,0.0426830699,0.9197988824,0.3126014742,0.0168609562,1.6788893778,-0.042041517,-2.917633615,0.0958528434,0.0420415171,43.0,0.04848752,0.0592592593,0.1428658392,-0.371346807,-0.055621575,2.2779056387,0.8018021921,0.0723531653,0.3305227268,0.3208209462,0.0,2.1164471174,-0.406429068,1.5043109445,-0.415505636,11.057720958,2.3385466469,0.0808093355,0.0,0.0,1.0,1.0,0.0,0.5034719257,3.0,-11.07939824,-0.350856717,-5.280284733,0.3343456937,0.1852015982,0.023283868,-2500.204444,0.123555817,11.053142206,0.0019119231,-0.264039198,-0.674986084,-0.017621228,0.0855120463,0.0022289704,0.0,-0.032894737,0.7439900396,0.0109604523,4.0,12.097089349,3.006327331,0.0,0.0627802089,0.0262809678,0.054588575,0.9191231361,46.314067961,2.5944381e-08,3.6240279e-09,1.881790288,3.5411346882,-0.019182169,0.0841303665,0.5655539715,0.3163547109,0.0599721059972104,-0.3097184377838329,-0.2642787996127783,-0.2836946277097077,-0.2452830188679245,-0.3232413178984862,-0.2836946277097077,-0.5497630331753555,-0.5080906148867315,-0.4628975265017668,-0.5205047318611988,-0.519291587602783,-0.5045632333767927,-0.6018858040859089,-0.6540737369139735,-0.6279980420949585,-0.5853791598472449,-0.5997893628225381,-0.6235760277365032,-0.70439517697394,-0.6528095020557332,-0.659345584939489,-0.6611680784663397,-0.6774193548387097,-0.6456876456876457,-0.6673960612691466,-0.7183098591549296,-0.7305919886565049,-0.7480106100795756,-0.7231329690346084,-0.6608656849620705,-0.6756295347844643,-0.6914332115306536,-0.6775562155282138,-0.607843137254902,-0.6545454545454545,-0.6450256889304063,-0.6082474226804124,-0.6497695852534562,-0.638095238095238,-0.6657871591908531,-0.6066252587991718,-0.6045785639958376,-0.5465393794749405,-0.5810363836824697,-0.5639701663798049,-0.6526508226691041,-0.6217023394723744
60038,0.6325140972,0.0513225824,1.2189548083,0.0183276843,0.8206546796,1.6535447033,0.0734590861,0.246171225,0.5517129016,0.0147368421,0.4101771645,-0.007340568,-0.187314906,0.0609360672,0.0073405675,43.0,0.0275633958,0.0525,0.0479714868,-0.251314263,0.0107220811,0.2108828671,-0.305793105,0.1148415267,0.0827840416,0.4986434586,0.0,4.6367157242,-0.091964994,2.2481677888,0.0210979612,13.980509745,5.0186445239,0.1254673193,0.0,0.0,1.0,0.0,0.0,1.0719210755,4.0,-0.152975553,-0.1806218,0.0252893261,335.45102909,1.8704698118,13.099756887,-2348.405345,0.054027085,10.978023007,-0.000698575,0.0066591127,0.0152989707,0.0563755579,0.0099304403,-0.043366259,1.0,0.0009596929,-0.681453009,-0.010267243,4.0,9.3249682453,0.3758781043,0.0,0.0363636613,0.0300012959,0.0436868802,1.3324868909,3.8720667173,4.1718579e-07,0.913043506,0.3494318872,0.1221026438,0.8151859762,0.0427184757,-0.136453558,0.0743711448,-0.113191489361702,-0.1406185567010309,-0.1094017094017093,-0.0788543140028288,-0.0737777777777778,-0.0939130434782609,-0.1258389261744966,-0.2468377303939285,-0.2713286713286713,-0.2687719298245614,-0.2813793103448275,-0.2559800071403071,-0.1938104448742746,-0.1444991789819375,-0.1849824012514666,-0.0518653321201092,-0.0466605672461115,-0.0038240917782027,0.0155945419103313,-0.0378578024007386,0.1387978142076502,0.1539313399778517,0.2416365293756663,0.2753977968176255,0.3638743455497382,0.5046931407942239,0.1977011494252873,0.2169485191067923,0.274617737003058,0.2092024717862426,0.2046242774566473,0.1410050042158053,0.1513812154696132,0.1577777777777778,0.1295392953929539,0.1406677613574165,0.0837233489339572,0.1026746739331727,0.0425212606303151,0.1577777777777778,0.2081159420289855,0.252403846153846,0.2367952522255192,0.2244418331374853,0.244179104477612,0.277743715511956,0.2382650029708855,0.2692612217552834
10779,0.660420183,-0.074817496,0.3468005633,0.0425877857,0.2227192631,0.8128613462,-0.108575746,0.0060408048,0.3288830387,-0.005318761,0.5943870015,-0.031401957,-0.369553227,-0.047168449,0.0314019568,40.0,0.0084129123,0.1121495327,-0.222809683,-0.82489785,-0.000676637,0.4279872785,0.129486597,0.0190626175,-0.105299939,0.6848443027,0.0,3.5862503636,-0.233522867,2.1940269563,-0.114764111,2.4122833874,7.1316075308,-0.305625142,0.0,0.0,0.0,0.0,1.0,0.3911220439,1.0,0.4350542054,-0.317851993,0.0816912385,0.3855924614,-1.38977873,-0.041447025,-8539.0176,0.0535851382,10.904655738,0.0003541578,-0.010350225,-0.013840722,0.0815190247,0.1978540035,0.0056092945,1.0,0.0154038469,0.6180908577,0.0611991175,3.0,9.9151097995,0.2442298575,0.0,0.0545454659,0.0235978084,0.0275720325,0.7546318264,0.6101773757,5.9588542e-07,1.0870439e-07,0.6603722456,0.4360915028,-0.702389863,0.0530880925,-0.007543801,0.0691706808,0.1126760563380282,0.0972222222222223,0.1126760563380282,0.0533333333333334,0.1126760563380282,0.0972222222222223,0.0128205128205129,0.1126760563380282,0.0533333333333334,-0.1505376344086021,-0.2178217821782178,-0.2099999999999999,-0.2178217821782178,-0.202020202020202,-0.1684210526315789,-0.2254901960784312,-0.2403846153846154,-0.2602996254681647,-0.2895683453237408,-0.2359767891682784,-0.2239685658153241,-0.2752293577981651,-0.2068273092369478,-0.1261061946902654,0.0259740259740259,0.0025380710659899,0.0025380710659899,-0.0365853658536584,-0.0813953488372092,-0.1022727272727272,-0.1413043478260868,0.1549707602339183,-0.1987829614604461,-0.2657992565055761,-0.4086826347305389,-0.3524590163934425,-0.3639291465378421,-0.2670798233569599,-0.1770833333333332,-0.2052313883299797,-0.2882882882882882,-0.2344961240310077,-0.1770833333333332,-0.0365853658536584,0.0233160621761658,0.0286726216828563,0.2579617834394905,0.2539682539682539
61487,0.801812702,-0.002626946,-0.894664192,0.020225307,0.7389512925,7.2053541745,0.0023022197,0.1451440423,0.1004893224,0.0,0.4188467978,-0.100374639,-48.99920255,0.1422257103,0.1003746393,44.0,-0.00331586,-0.108527132,0.2023755389,-0.162186126,-0.49872226,0.4631496492,0.1417309227,-0.264307009,-0.027710955,0.7763588205,0.0,1.8957468479,-0.15241944,1.8016713221,-0.135810612,12.0854168,10.77737018,0.1134958576,0.0,0.0,1.0,0.0,0.0,0.1637741884,3.0,-11.03762395,0.4303251782,-5.280284733,0.2649571993,-1.181344441,0.0696567349,-2781.673744,0.123555817,12.049652123,0.0033047777,0.0040254117,0.0077352347,0.3705180938,0.3920311555,0.0105548172,0.0,0.0108892922,-0.468560371,-0.033107283,2.0,10.894546902,0.3112059428,0.0,0.0381776541,0.0185998104,0.0365440881,0.8698950007,1.1258911295,1.0473561e-07,5.7445189e-08,1.319517928,1.7411275622,-0.00467132,0.0534808416,-0.183029243,0.3163547109,0.1012658227848102,-0.0224719101123596,0.0,-0.0824720523096392,0.0130414531904983,0.0481927710843372,0.2546870493221804,0.1450381679389312,0.0589094449853944,0.0910458991723099,0.0709010339734121,0.1646586345381526,0.0740740740740741,0.1225806451612903,0.0970996216897857,0.1001517450682853,0.1904761904761904,0.1063072227873855,0.1725067385444743,0.4370664023785926,0.1298701298701299,0.1214230471771076,0.0807453416149068,0.0880440220110057,0.3294621026894866,0.2919512919512919,0.1328125,0.0135135135135133,-0.0215924426450742,0.0609756097560976,-0.0462617846963384,-0.0893866443374503,-0.0246636771300449,0.0139860139860139,-0.0665236051502146,-0.3527748846897782,-0.3495813397129186,-0.2505168849069606,-0.1291291291291292,-0.0178369835177241,0.0344827586206897,-0.0178369835177241,-0.3367891446866901,-0.3342516069788798,-0.4432356329194931,-0.3120354262217302,-0.3963363863447128,-0.24896408839779
