firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,secured,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,chmom,turn,IPO,indmom,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
48291,0.5947335576,0.0427641487,0.661766631,0.0,0.2368741366,0.7408995408,0.107524947,0.1600971215,0.4724438814,0.0131497958,0.2980830173,-0.011448568,-0.207271115,0.0516279215,0.0114485684,36,0.0282185783,-0.021479714,0.2053169898,-0.004870859,0.020849297,0.2171244169,-0.204231049,0.0166630079,0.1129762488,0.6544044135,0,3.6114561626,-0.191602869,2.7829021601,-0.185209474,2.4313170404,4.2035110743,0.2599252189,0.0,0.0,1,1.1041773523,0,0.0,0.629797969,7.0,-3.92098832,0.1020630712,-0.113247048,0.5537013725,8.2813883548,-0.613250316,0.3179306099,-3890.876316,0.0339416103,13.216126907,0.0179378602,0.0311384844,0.0422958358,0.0676718242,0.3664369273,0.0063419404,3.0,0.0051493306,0.7932583854,0.0175187271,5.0,13.53007075,-0.10523982,2.2121885338,0,0.1590699375,0.0247167628,0.0104500521,0.0205106669,1.1563825277,32.290108619,2.2077949e-09,5.8293355e-09,1.259861131,1.5872500693,-0.03662817,0.0417578346,-0.006141248720573089,0.0,-0.009183673469387754,0.09223847019122622,0.11098398169336399,0.2810026385224276,0.2709424083769636,0.5315457413249214,0.7622504537205084,0.6023102310231025,0.6569965870307168,0.5918032786885248,0.6886956521739132,0.4869831546707504,0.6457627118644069,0.48926380368098177,0.7005253940455343,0.7718978102189782,0.6049586776859506,0.6049586776859506,0.39913544668587897,0.5461783439490446,0.55111821086262,0.5449482895783613,0.28269484808454437,0.25777202072538885,-0.012207527975584886,0.09223847019122622,0.06938325991189442,0.26432291666666674,0.06004366812227091,0.21223470661672916,0.14369846878680814,-0.008171603677221473,-0.07081339712918644,0.03850267379679151,0.06703296703296724,0.006217616580310947,0.008307372793354029,0.08978675645342316,-0.04051383399209474,0.13567251461988294,0.21526908635794761,0.34487534626038796,0.5840130505709626,0.473444613050076,1.3916256157635472,0.8115671641791045
48347,0.436211631,0.0635344442,2.7645244737,0.0152732006,0.2127747993,1.1239981283,0.1822081232,0.1110284752,0.7904775952,-0.017412986,0.1850488228,-0.071351259,-0.70124066,0.1080873797,0.0713512592,43,-0.000562502,0.0287356322,-0.003499415,-0.032848761,0.0480924824,0.1529160656,0.1261316605,0.0092396651,0.078182629,0.5196571634,0,2.6043508023,-0.149338273,1.7229459019,-0.1147087,9.0602722743,10.076899619,0.4213793922,0.0,0.0,1,1.0,0,0.0,1.1547861433,5.0,-0.001591362,-0.219242802,0.0188274801,-0.03854196,-0.088959267,0.3753728541,0.014403649,-632.3384117,0.1725520505,14.183611323,-0.001613896,0.0131078747,0.0197501691,0.009988609,0.1638808964,0.0069120933,0.0,-0.002366864,3.5702086334,-0.195169061,6.0,14.298990583,0.406832766,1.6194158806,0,0.1524323285,0.0986159295,0.0321196812,0.0358349263,0.4248805919,4.9303297636,1.7167516e-09,1.2606024e-08,1.2489148821,1.5597883827,-0.015678668,0.0429126374,0.039999999999999813,0.2754716981132075,0.2114695340501791,0.25185185185185177,0.25185185185185177,0.18181818181818166,0.08856682769726243,0.2635514018691587,0.4444444444444444,0.37622149837133545,0.26734158230221206,0.1184645929847783,0.2149532710280373,0.2764350453172204,0.3065326633165828,0.26402393418100223,0.38809034907597506,0.5764925373134326,0.3841113841113839,0.26072361059306215,0.18388791593695264,0.2725903614457832,0.22419413256066645,0.3307086614173227,0.2832194381169324,0.27402940067847714,0.28958412819534507,0.20241906794734965,0.35470941883767537,0.26639190708130367,0.2593144560357674,0.30050019238168524,0.4785651793525809,0.7079332996462859,0.5838800374882849,0.6064638783269962,0.4587829089339661,0.3841113841113839,0.39496491952125456,0.247232472324723,0.3234142521534846,0.2555720653789002,0.0903225806451613,0.15516062884483928,0.46447140381282503,0.48833113166006137,0.5898400752587016,0.6304872165943076
64282,-0.042334347,0.0672471524,7.6267114788,0.0736350512,0.5166648664,0.7301949006,0.3071863972,-0.03803132,0.6657247145,-0.013793103,0.0166838076,-0.087859329,-0.632124352,0.1097557151,0.0878593291,42,-0.003120687,0.0648464164,0.0345565246,-0.091880257,-0.035793055,0.1889821233,-0.03648064,0.0726480631,1.8146718147,0.5153190942,0,1.7204568024,-0.223807386,1.176266137,-0.27307218,6.5015511892,42.768707483,0.1899365367,0.0,0.0,0,0.0,0,0.0,-8.315523466,4.0,0.0366769013,-0.023010827,-0.009425741,9.4281330399,-0.20226472,-0.251146267,2.5199473629,9370.9199607,0.1367481784,16.449134077,-0.006365204,0.017635118,-0.166267943,-0.01017521,0.1751900039,0.0046925215,1.0,0.0010778185,2.1704552623,-0.059822981,6.0,17.784065369,0.6854011475,3.0594866682,0,0.0525863681,0.0404660963,0.0225341505,0.0414048125,0.3006682254,4.563408795,9.743075e-11,8.6676955e-09,0.8824915796,0.778791388,-0.201820221,0.0421088564,-0.13917238819818145,-0.100968992248062,-0.1215678848702898,-0.015074309978768574,-0.11839604713036866,-0.2295299784089022,-0.2954131227217497,-0.3393620051267445,-0.3573902202521124,-0.3444962554754839,-0.39128723264663423,-0.37225981055480384,-0.3089527781915685,-0.3232676878191101,-0.4074594456507856,-0.47170026192916525,-0.45288359476353346,-0.5175247009880395,-0.515863076601962,-0.5137826223666282,-0.5166701396124193,-0.4852990125374459,-0.44707985697258645,-0.4252973240832507,-0.45888253820132974,-0.46382339343504386,-0.48086392121754695,-0.5080072117934034,-0.4949923797082517,-0.45184922604277444,-0.4640092432120162,-0.42657601977750315,-0.3567665002773156,-0.3074051955807704,-0.2734534064212999,-0.199758495773676,-0.20917149676099556,-0.19167102282627635,-0.14409594095940959,-0.18284305090716935,-0.17646014557074374,-0.11401833460656985,-0.24995957962813253,-0.2861978765963994,-0.2590640472767928,-0.2407528641571195,-0.1912482566248257,-0.16819078357539896
61399,0.101663399,0.0488407781,65.764863222,0.0184713263,0.4420161524,1.0273312425,0.1855407407,0.1004925478,0.7184801382,-0.048351648,0.1847365746,-0.076925419,-0.817211258,0.0887540119,0.0769254195,42,0.0304534519,0.0740740741,0.100602634,,-0.008526795,0.0746403328,-0.015341108,0.0641271669,-0.159393781,0.4955603639,0,1.0021713713,-0.004376287,0.1945836824,0.2249768727,98.810030395,,0.1775675571,0.0,0.0,1,0.060302904,0,0.0,2.848575908,5.0,0.0221910775,0.0058749698,0.0201940743,-0.168099399,-0.313756118,0.5925171957,0.0726511757,32040.923186,0.3942020707,18.124136652,0.0023854569,0.037726318,0.2565539685,0.0190634078,0.0494982001,0.0115698362,1.0,-0.000645995,1.51229048,-0.015864443,4.0,18.717945926,0.220539514,1.6498369478,0,0.3169776355,0.0270547178,0.0234194113,0.0317525956,0.4561320159,7.9176353654,2.131473e-11,1.2630691e-08,0.8021891279,0.643507397,-0.013765509,0.0237773134,-0.0016767702824712627,-0.01739240827726285,-0.08812441093308188,-0.058508697238778606,0.040742234772085606,0.05911330049261099,0.08830146231721026,0.09709425939050331,0.16129032258064524,0.07187370170336527,0.010971786833855912,-0.05930967428293621,-0.022356953391436063,-0.03406963684013464,0.01815311760063154,0.0217821782178218,0.1461572634384718,0.08010047446274093,0.01788532351394001,0.010443864229765065,0.0483543275091427,0.12304120719674994,0.11898221772444706,0.11591695501730115,0.15574137673585198,0.10603029436981992,0.12401975021783329,0.040462427745664886,0.04467539479012017,0.1422668240850058,0.12500000000000022,0.2125959580134733,0.3531468531468531,0.4625850340136055,0.4740049514378215,0.6175548589341693,0.6128360075015629,0.6440101954120647,0.6859072097582228,0.5828220858895707,0.5470717569458325,0.6720674011665588,0.5620585267406661,0.6301600673967989,0.5548413017276015,0.6257088846880909,0.6892186817983414,0.7362045760430689
27617,0.6613756614,0.0254761905,2.9944413563,0.0,0.1964153439,0.2585978836,0.0518233197,0.0205208907,0.1491384059,0.0,-0.046551946,-0.032026419,-1.067497404,0.0526719577,0.0320264187,42,0.0,0.0,0.0520368078,0.4971980982,0.0272252352,0.0340109935,0.0200179668,0.0326697616,0.0422963874,0.4933602677,0,2.6048184106,0.6146054333,2.6048184106,0.6146054333,3.6223828053,113.6627907,0.2372547086,0.0,0.0,1,1.0,0,0.0,0.1928665235,8.0,1.1840013869,0.1566738485,-0.044768019,108.79090319,-0.831158387,-0.892502695,25.845124044,-1061.249671,0.0803554168,11.213008855,0.0007081596,0.0083395802,0.0108064353,0.0034259259,0.0832241052,-0.019075974,0.0,0.0012037037,-0.841909023,0.0086441755,6.0,5.9348941956,0.1401940719,0.0284391534,0,0.1367309428,0.1428571492,0.0758488272,0.1274970782,1.8843312472,0.0540829599,1.45949e-05,3.3157897197,0.0151990415,0.0002310109,0.162454576,0.039860188,0.06990014265335254,-0.08481227669419555,-0.05897114178168139,-0.055415617128463546,-0.09638554216867468,-0.12790697674418605,-0.11764705882352944,-0.18478260869565222,-0.19354838709677424,-0.18460534898891068,-0.21874837239244238,-0.21052631578947367,-0.24623115577889443,-0.3042671614100185,-0.27884615384615385,-0.30024258257137526,-0.27884615384615385,-0.3180640292414144,-0.34725848563968675,-0.3523316062176166,-0.32735426008968604,-0.34782608695652173,-0.3742699816452528,-0.293119698397738,-0.3303571428571429,-0.29111531190926276,-0.20431494699676633,-0.2424227119650746,-0.26971762414800393,-0.295774647887324,-0.22807898707495455,-0.24698643973180667,-0.25,-0.3421052631578947,-0.37810945273631835,-0.37584572903715463,-0.25491754420822565,-0.18478260869565222,-0.25742574257425743,-0.27184466019417475,-0.18920671985470583,-0.014713610089332696,0.11940632658604966,0.3416815742397139,0.3392857142857142,0.47347740667976423,0.4999400023999039,0.40712945590994387
60097,0.4420070196,0.0353999339,2.9100177451,0.020881391,0.4341501325,0.261105272,0.0750005815,0.0003407428,0.2146078451,-0.021152694,0.0352270584,-0.028577441,-0.708043694,0.0604646338,0.0285774407,43,-0.001352719,0.0476549986,0.0304165366,0.0252025848,-0.001639213,0.6688832837,0.1482496369,-0.001583452,-0.033978065,0.21904891,0,1.7491561181,-0.468953238,1.514416315,-0.460883743,2.1673475343,5.313897335,0.1430204182,0.0,0.0,1,0.0008873114,0,1.0,0.3902963717,6.0,8.0679434909,-0.033843364,-0.056884138,0.6022987016,-0.778697133,0.0074849548,0.8946379647,110420.20586,0.0336401505,18.500155295,0.0012880194,0.0101787289,0.0202012168,0.0019693172,0.130553616,0.0221365431,0.0,0.0004763606,0.7288513031,-0.044338204,5.0,18.387621533,-0.004737055,0.7970558658,0,0.1590699375,0.0252518822,0.0168484954,0.0234393166,0.2780622282,1.4088248519,2.64144e-11,2.6636968e-08,0.504119222,0.25413619,0.027565173,0.0199627079,-0.05385915492957749,-0.0036782154722354576,0.010590925502467208,0.04232869910625614,0.037819799777530694,0.10457774269928977,0.17885722308016283,0.15011642240788925,0.023774689100219515,-0.028125000000000067,-0.0351602895553258,-0.04176651831564526,-0.032269217471476264,0.04336481113320079,0.06089703095388499,0.11959999999999993,0.08502390489727363,0.10603266596417282,0.09165366614664583,0.11454738518715146,0.13595779220779214,0.25440693158051997,0.16157144833310277,0.07118254879448904,0.13319838056680178,0.10023584905660377,0.12787105439892543,0.07667649698679324,0.0822270911199896,0.17605042016806705,0.16301939058171744,0.13672668200893456,0.23195422535211274,0.35544794188861983,0.31511354737666397,0.3600583090379008,0.31696988707653695,0.3758807144027527,0.4275756545392724,0.3644783880402991,0.4169760377995275,0.48461810466760946,0.46314688970203854,0.4649337055129099,0.46289198606271786,0.5769014084507043,0.6226086956521739,0.5200941346850108
53197,0.3301683605,0.0566857156,3.2716355442,0.0083594651,0.0993983107,0.4982119135,0.2646341463,0.0733343497,0.3683488337,-0.001303108,-0.123250807,-0.07691742,-0.562970936,0.0885981259,0.0769174204,43,-0.01220678,0.0273878021,0.0091459647,0.0672656228,0.0264305463,0.2682119205,0.0436698163,0.0038115566,0.1510316954,0.6993349432,0,4.2628617363,0.0128806907,3.7974276527,0.041201675,2.7772108844,4.9395039322,0.6722110697,0.0,0.0,0,0.0,0,0.0,0.5139332057,7.0,-4.43408133,-0.049313272,-0.023364231,0.0833175216,-0.3583692,-0.043635782,0.1317100042,-4606.93637,0.0542543586,14.225232114,-0.001828989,0.0291193182,0.0378857882,0.0063557704,0.3802655093,0.133067489,0.0,0.0017610063,1.0302493092,0.0237867348,6.0,14.360792932,-0.020768231,1.4032078595,0,0.1626951761,0.0437580645,0.0184635234,0.0251361679,0.4404688736,3.0368385836,1.4624023e-09,1.8322124e-08,1.4318162013,2.0500976343,0.0822610569,0.0448023253,-0.03519417475728159,-0.00996264009962633,-0.1077441077441077,-0.1282894736842105,-0.04216867469879515,-0.05469678953626633,-0.03869407496977029,0.0757780784844384,0.2740384615384617,0.13668859022018887,0.08458390177353348,0.13474165001427352,0.16126205083260303,0.34700101660454075,0.33703329969727536,0.3594391244870041,0.39131956597829887,0.5253261703760552,0.24882186616399626,0.10171840354767192,0.1926192619261926,0.24608150470219448,0.49604817463304474,0.48155050316809556,0.4480874316939891,-0.15299382058384825,-0.06382477626000949,-0.15497448979591832,0.022113653895603047,0.09897705280619284,0.08874281018898933,0.02580645161290329,0.009395632300660095,0.07811228641171697,0.17882562277580072,0.24296435272045036,0.04030358544883539,0.2760834670947032,0.43294881038211974,0.2964774951076321,0.1725663716814161,0.18092691622103407,0.1626206493126645,0.37400622191496713,0.5539483971853012,0.4196428571428572,0.663876098786103,1.10428798305982
14696,-0.446668887,0.0994519982,14.651217885,0.0,1.011476519,1.3668353118,0.3930145979,0.0614661265,1.061455253,-0.075049283,0.0263368569,-0.089312734,-0.492538853,0.1484359713,0.0893127339,26,0.0600203744,0.0,0.0579121972,-4.106439931,-0.026943553,0.2802785335,-0.07553952,-0.023688304,-0.014888391,0.53896992,0,1.5063160012,-0.091166087,0.4052121411,-0.262418466,17.393125466,178.97011019,0.1301018063,0.0,0.0,1,0.8311860331,0,0.0,-1.172411033,4.0,0.0465655347,0.0365318929,-0.074272158,9.0237985005,-0.640348814,0.2089719339,2.558627619,-4046.712669,0.1367481784,15.247245726,0.0001994032,0.0176944652,-0.020652467,0.0033579712,0.0651053941,0.0033870207,0.0,0.001489573,1.949410226,0.115760931,6.0,16.097248388,-0.092527106,2.109558647,0,0.0525863681,0.0341098048,0.021409487,0.0395755802,0.3382288711,3.7558371852,3.984787e-10,1.2432344e-08,0.871251338,0.759078894,-0.216032993,0.0394755609,0.08747300215982734,0.04190377651319199,-0.13784246575342463,-0.10049129075480123,0.002488800398208202,0.023894255210981097,-0.015158924205378899,-0.17391304347826086,-0.13376344086021508,-0.16673562267273478,-0.159432387312187,-0.2359635811836115,-0.2918424753867792,-0.31286250426475604,-0.2915933872669715,-0.2799427958526993,-0.1356223175965665,-0.07614678899082572,-0.08909995477159649,-0.09320126069338142,-0.1385799828913601,-0.12813852813852822,-0.23159099580312859,-0.20520915548539853,-0.25157933853586023,-0.26388888888888884,-0.22119102861562256,-0.2557280118255727,-0.28581560283687935,-0.2193798449612403,-0.18560452891225232,-0.16292601828761422,0.10175054704595188,0.15217391304347827,0.18610129564193167,0.33554376657824947,0.18123167155425213,,,,,,,,,,,
57809,0.148410727,0.0473746773,63.505583218,0.0098352258,0.273740147,0.3152573614,0.1686071149,0.0262327765,0.4506791943,-0.000889152,-0.076254919,-0.024803416,-0.218195797,0.0577116327,0.0248034157,37,-0.002220871,-0.016848524,0.0712562461,-0.028884942,0.0151904765,0.2574021799,-0.013174512,0.0131318515,0.2902762963,0.2643370764,0,2.2488033226,-0.081076018,1.5841504722,-0.052037608,26.903939678,4.2210985626,0.2091880936,0.0,0.0,1,0.0162449294,0,0.0,1.5794783763,7.0,0.2281176828,0.0433366654,0.0057826728,-0.290864578,-0.695546669,-0.101619233,0.0426324624,1236.4022192,0.0351574588,15.86609477,0.003310196,0.0300232744,0.1054341354,0.0135853113,0.0319908938,-0.007971873,2.0,0.0008661417,3.534707651,-0.10940588,6.0,15.891320351,0.3167315837,0.9958371426,0,0.2139131545,0.0258887336,0.0193118465,0.0325493763,0.3450823966,2.2062875888,3.7923e-10,2.5221962e-08,1.3590989256,1.8471498897,-0.054509937,0.0319449787,0.04681833168480054,0.09596133931653439,0.01437699680511173,0.03386519049169645,0.0579806731089636,0.11864705364220907,0.13342257920571177,0.1899184858989975,0.2683511435134327,0.2747164508682125,0.28633647320976396,0.43844149960357903,0.5189570625523263,0.4601057714417107,0.6551544376384726,0.6701735928458705,0.7720106041579462,1.1016051629985109,0.9797349961028836,0.7509995863780505,0.7827063447501406,1.0177947251350492,0.9092002405291644,0.7136688705977601,0.6305045577095905,0.5696452848844396,0.5944758317639673,0.6211386264998722,0.6508514233718963,0.7430688992588526,0.629040533606978,0.6250799744081892,0.6590463749183542,0.6695149204679902,0.5667406859116704,0.6895037914061459,0.5837386207756579,0.5575177826833455,0.7081371889710828,0.8016739963115336,0.7359212684527066,0.8320830929024814,0.7092866756393001,0.7609539656128674,0.761686780413372,0.724840418307755,0.9054763690922729,0.7599778270509978
57817,0.1157315029,0.0470907495,2.4055610725,0.0340543273,0.9295767154,1.9630457339,0.1392497446,0.0207846194,0.7744868797,-0.020172911,0.0235828329,-0.166366675,-3.655367232,0.219224732,0.1663666752,43,-0.00629982,0.0,0.0221652698,0.0068591473,-0.002148161,0.1655119323,0.0732414357,0.0780722266,-0.001148106,0.5435596844,0,1.0703202377,0.0337432687,0.4443710796,0.2100694225,14.654419067,74.155778894,0.1446254072,0.0,0.0,1,0.009771987,0,0.0,6.6762342135,6.0,-0.026508731,0.1574854989,-0.007909286,-0.657434179,-0.071595764,1.752532658,0.0739994079,3764.7481377,0.1002720493,15.961128651,0.0006150062,0.0141551924,0.1624815362,0.017714827,0.1126087489,0.0103112926,1.0,0.0004117768,2.0523870428,-0.053385867,5.0,16.852166324,0.1865502019,2.3497207836,0,-0.004351906,0.0654466078,0.026010631,0.0355334914,0.4916572967,8.1875192016,2.106013e-10,1.0006025e-08,1.2858419665,1.6533895628,0.0173693654,0.0434963214,0.015471461425883293,0.1619617224880383,0.00621504039776255,0.04294610264118526,0.04093441920274343,0.09837177747625514,0.013352806175672916,-0.13143776824034337,-0.0659615384615384,-0.06380107941403246,-0.03745541022592158,0.09812344562514141,0.27647831800262823,0.278830963665087,-0.050068452963035415,-0.151022548505506,-0.053585346843335935,-0.010794297352342164,-0.024894599478016533,-0.13745338305807142,-0.25517558656647743,-0.3226886068888578,-0.3335620197585071,-0.3635172323417639,-0.34805369127516783,-0.3313601321585903,-0.35719957649550027,-0.3952938247011951,-0.3961208504289445,-0.36259842519685037,-0.38821010202796324,-0.36393399685699324,-0.331083872744801,-0.28960070206230804,-0.29862815884476535,-0.29842553806153405,-0.284999263948182,-0.2863649720834558,-0.20740861618798956,-0.22225780624499603,-0.2099869876382563,-0.1545691906005222,-0.21407766990291255,-0.2192573541231313,-0.19679179758557963,-0.1357651245551602,-0.12847658352772284,-0.20689092096668849
