firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom
15763,0.7092982425,0.1050630513,-3.698693851,0.04530557,0.7753411335,1.9866394033,0.092510058,-0.028830179,0.4596950336,0.1226575809,-0.066652373,-0.032190086,-0.462034917,0.1536058495,0.0321900862,7.0,-0.03497499,-0.181259601,-0.171100956,-0.074481219,0.1160225607,0.1387036644,-0.008748459,-0.050062237,0.0172374388,0.5711478393,0.0,1.7825527095,-0.067928164,1.2441949403,-0.029047239,30.446221626,4.0188369748,0.2236334329,0.0,0.0,1.0,1.0,0.0,0.9503782243,3.0,-0.045590302,-0.274005231,-0.247880195,-0.64500963,-0.27942504,0.2550953655,5.0944031582,590.01155879,0.0966186901,12.737314679,-0.008044349,0.0151226576,0.0327479599,-0.037498413,0.0448414219,0.0827116865,0.0,-0.004876153,0.0680564997,-0.027827084,5.0,12.057036676,0.4696331327,0.0,0.0500000007,0.0249913779,0.0290132087,0.9076595391,2.4561769833,2.5606264e-08,3.664182e-08,1.2283163083,1.5087609532,0.0447263529,0.0431458129,-0.470224774,-0.033740009
21020,2.310805686,0.0532193941,-4.143151316,0.0380278485,9.1570130141,12.984694684,-0.009074321,0.1404379413,0.0984355142,0.0023695031,0.1709935585,0.027766126,5.7841448931,-0.254609293,0.027766126,7.0,0.0002804976,-0.03255814,0.0752993082,0.0725116298,0.9336790181,0.1070954831,-0.117257687,0.1548579235,0.0519880184,0.5866895309,0.0,0.9920270476,0.0003919842,0.8396713542,0.0280139733,8.934198624,7.7227044441,0.0995121675,0.0,0.0,1.0,1.0,0.0,0.2683853573,4.0,0.0389873474,0.0640106405,-0.164228809,1.3253643596,-0.676936578,-0.065112987,-1.632235628,161.91545433,0.0705343959,12.949681806,-0.002179455,-0.005447893,-0.023511879,0.0797469235,0.1230221541,-0.121869231,0.0,0.1331938589,1.0641684629,0.0834429851,2.0,13.639381786,1.5669432747,0.0,0.0486111119,0.0224025486,0.0362411366,0.75068952,8.6719888286,4.0041707e-09,8.2921694e-09,1.3195809598,1.7412939094,0.1211318471,0.0653752183,0.6621848945,-0.203071179
62500,0.2566769355,0.0553977082,10.123151395,0.0,0.2533227253,0.560259571,0.1650080448,1.1815076292,0.8962650877,1.6691358025,0.8986432562,0.3747315676,2.5156174916,-0.083961736,0.3747315676,5.0,0.2045812455,0.1857142857,0.6135858315,-0.068582415,0.1667806015,0.1501714286,-0.342183851,0.7098610795,1.5575596817,0.6204282284,0.0,3.9045619927,0.7400150139,2.3143017072,0.7462355052,8.8540176693,3.7059341433,0.3769273128,0.0,0.0,1.0,1.0,0.0,1.8564986737,4.0,0.0405939177,-0.16862613,0.124667755,-0.406113681,-1.178410565,-0.879471446,-11.68023495,-139.4717802,0.0851159683,10.388410582,0.0108506441,0.0361709715,0.0610490112,0.0734549689,0.1396754545,-0.000373847,1.0,0.0098422421,0.1567493113,0.0654337509,4.0,9.2603797555,0.6414519257,0.0,0.0891089141,0.0354929968,0.0411288584,0.8448836066,7.1811214406,2.68263e-07,1.744692e-08,2.3929539644,5.7262286759,-0.014591002,0.0831322088,0.5222694873,-0.185031194
28636,1.9032252096,-0.313182713,-13.96735892,0.0084377255,3.8471094005,6.6517402809,0.026846346,-0.059144515,0.2240178233,0.0,-0.010269756,0.0287390981,0.5443516622,-0.483664243,0.0287390981,7.0,0.0186242664,0.0833333333,0.1552502807,0.1326195284,-0.184629128,0.1025631172,0.2034226738,-0.009718848,-0.14455854,0.4991577868,0.0,2.9826658358,-0.231619384,1.4381691497,-0.253755966,47.250262881,7.6689612015,-0.012874742,0.0,0.0,1.0,0.0,0.0,0.4312359999,2.0,-0.071975209,0.0979844809,0.1126946193,0.7613320958,-0.622734144,-1.583873692,-0.47874888,-55.7234269,0.1143814836,9.2807172852,0.008300005,0.0011079943,0.0032786032,0.3429861407,0.0316323432,0.026961637,1.0,0.2097656873,-0.660678643,-0.02631579,1.0,7.2743062936,0.1878997588,0.0,0.0799999982,0.0393620065,0.0205069902,1.3999377845,1.2390458044,8.6080547e-06,3.0000001555,0.6962958191,0.4848278677,0.2754025005,0.0447359305,-3.843697e-09,-0.157658764
56899,0.9745504596,-0.044303983,-1.791827705,0.0230283172,1.3069751156,1.8695000584,-0.073536824,-0.068849482,0.1331894434,0.0119837364,-0.079564237,-0.001674864,-0.089439284,-0.040341466,0.0016748638,7.0,-0.088851527,0.1047482701,-0.130871913,-0.338205426,-0.350917008,0.091811502,0.1326616736,0.0117434114,-0.05408204,0.6159531469,0.0,4.1025422206,-0.137250234,2.3358336328,-0.033524428,8.2939148073,3.4241569897,0.0256082089,0.0,0.0,1.0,0.0,0.0,0.2010473218,1.0,-0.052205061,-0.22788128,-0.01474933,-54.53115241,3.1043091957,3.7636672798,3.7531337005,-132.112678,0.0459337256,11.235748025,-0.001909548,0.0014277962,0.003426941,-0.085300789,0.0987962753,0.0697213444,2.0,-0.007848831,1.3073945025,-0.018169113,2.0,10.763207933,0.4887763,0.0,0.0610687025,0.0232458202,0.0228365754,1.2443096196,2.2338310186,3.8674014e-07,5.3634511e-08,1.8529074338,3.4332659583,0.2218820636,0.0637702832,0.5570721427,-0.154201088
49648,0.196547191,0.0144694114,41.532021243,0.0011535481,0.3594934835,0.481273343,-0.102532601,0.078653879,0.0821924494,0.0743117957,0.0328547487,-0.077282208,-2.970517449,0.0574510504,0.0772822084,7.0,0.0046647961,-0.133333333,-0.162873281,-0.192094289,-0.204440432,0.0829419431,-0.064177599,0.067964956,0.2019059281,0.4567683333,0.0,1.993573999,-0.173628858,1.2243673959,-0.219037796,34.5395189,3.7864652899,0.0824028103,0.0,0.0,1.0,1.0,1.0,0.1249234701,3.0,0.1206143737,-0.046450466,-0.173244128,-0.31203927,0.1420182836,-1.539345679,69.955997623,19.023907559,0.0385211925,10.68994291,-0.008053298,-0.008393807,-0.021978461,-0.052253554,0.0241402715,0.1442122148,0.0,-0.004805725,0.4072972902,-0.170047591,1.0,10.110135801,0.3053607214,0.0,0.275000006,0.0845654783,0.0802381041,0.9723470995,1.8595607272,1.2781831e-06,6.5434041e-08,1.8538130281,3.4366227432,0.0570638873,0.094398031,-0.696413225,-0.246014765
20482,0.3483144369,0.0747643235,8.9179255832,0.0267761149,0.3638890401,0.7082452003,0.1575088794,0.1419315776,0.5365807783,0.9833881126,0.1621744802,0.0462293861,0.4130126212,0.0438857143,0.0462293861,7.0,0.0137849402,0.0148186328,0.149334643,0.0500634958,0.0255782105,0.0874140734,0.0771415895,0.1117517083,0.121519983,0.4320416817,0.0,1.2231709803,-0.076488704,0.7390580774,-0.06660076,18.064553692,6.2226286485,0.277819162,0.0,0.0,0.0,0.0,0.0,0.9918917235,5.0,0.0083208603,0.0479342744,-0.046227898,-0.314476179,-0.42691433,0.2388102854,-11.5523875,3130.463489,0.0851159683,14.999655687,0.0057634275,0.0321978899,0.0670861602,0.0267724868,0.0550493651,0.0192042453,1.0,0.0030424792,-0.143759519,-0.036890462,6.0,13.803748404,0.2799343218,0.0,0.0468421057,0.0190609435,0.0252940502,0.6512524795,1.1039934967,2.0805045e-09,5.4648709e-08,0.910056535,0.828202897,0.1320280064,0.0298191262,-0.00502464,-0.185031194
10057,1.4013983938,0.1298160711,-19.11231884,0.0752935588,1.5480189421,4.7592179683,0.1323504533,-0.044347622,0.4058328783,0.0170840159,-0.106470342,-0.057793919,-1.363370231,0.3068034381,0.0577939189,7.0,-0.04365471,-0.119667334,-0.011084899,0.0394348963,0.0447041063,0.0999130435,0.2134180329,-0.010162602,0.0336089554,0.5940300218,0.0,2.3862183349,-0.095759142,1.2607062359,-0.052696769,66.757288023,5.0088617246,0.1373782717,0.0,0.0,1.0,0.0,0.0,0.8668517772,4.0,0.0130593906,-0.050419763,-0.239164935,-54.10430448,2.4006924123,0.0147032084,4.100278605,-113.5237962,0.0459337256,11.255465405,0.0041706744,0.0152370673,0.031561298,-0.007678965,0.0582388057,-0.022211933,1.0,0.0169481833,-0.751076174,-0.032173663,1.0,10.444903,0.3830845771,0.0,0.0352112688,0.0179904551,0.0179798418,1.301442019,3.2732270765,3.687904e-07,5.8271783e-08,0.8262029875,0.6826113766,-0.017187553,0.0497342603,-0.169738755,-0.154201088
28695,2.0920444825,-0.038323353,-1.916224287,0.0,0.8841745081,2.1905902481,-0.143912738,-0.378513859,0.1260933925,-0.027939464,-0.564516129,-0.236272151,-10.01885246,1.2715141146,0.3249575552,7.0,-0.005942275,-0.515759312,2.6764705882,1.4860251972,-0.564027849,0.2223175966,1.882487863,-0.005113713,-0.118766215,0.6243495056,0.0,2.025203252,0.5733926694,1.6487804878,0.4235614227,2.1240875912,6.8987068966,0.0772744576,0.0,0.0,0.0,0.0,0.0,0.2496396656,2.0,0.1817703319,0.5153413129,-0.789910794,1.5834580217,-0.377772134,0.0394488592,70.184432706,-209.2408424,0.0385211925,7.4812035272,-0.002224529,-0.003219131,-0.004579653,-0.033968427,0.3320692107,-0.012718184,1.0,-0.01480675,-0.864661654,0.0027295016,0.0,6.4967749902,0.2123752495,0.0,0.1176470593,0.0496850766,0.0201122609,1.0896185642,0.9219742155,3.22826e-05,2.1000001384,0.8793565813,0.7732679971,0.4627625242,0.0984454812,0.5890804503,-0.240739737
60038,0.3667111277,0.0733111144,20.191469069,0.0186888897,0.2347111218,0.8978000407,0.2540999421,0.112182512,0.5800746789,0.0105263158,0.0393623302,0.0960836118,0.7496210973,0.0183555564,0.0960836118,7.0,0.0735099852,-0.031317495,0.1377038101,0.1020982819,0.0532818681,0.1421751764,0.095683906,0.0967133068,0.1647374365,0.572320273,0.0,4.5635301481,0.2115587596,1.2737325266,0.1896028515,35.161879896,9.1384302194,0.3844817603,0.0,0.0,1.0,0.0,0.0,0.9341473744,5.0,-0.056353315,0.0596992284,-0.034744361,-0.865079428,-0.364468439,0.4649719378,-0.544152936,-49.80016732,0.0374117784,10.348173374,0.000328259,0.035822478,0.0595943052,0.0159111118,0.0423907028,-0.006996116,1.0,0.0017555556,0.7637130802,-0.023021888,5.0,8.032684876,0.0972222222,0.0,0.0178571437,0.015566834,0.010053142,0.9686334463,0.2879667283,1.4842724e-06,4.0000005208,1.0269614278,1.0546497742,-0.128471907,0.0571612577,-0.165981696,-0.241246228
