month,invested,first,second,number of clusters
1990-01,1953,217,212,10
1990-02,1958,228,221,10
1990-03,1921,215,214,10
1990-04,1927,224,215,10
1990-05,1951,224,211,10
1990-06,1969,227,226,10
1990-07,1981,214,212,10
1990-08,2009,233,208,10
1990-09,2005,235,229,10
1990-10,2021,224,221,10
1990-11,2037,240,219,10
1990-12,2126,247,228,10
1991-01,2149,247,240,10
1991-02,2166,246,234,10
1991-03,2112,234,229,10
1991-04,2139,247,242,10
1991-05,2159,244,238,10
1991-06,2183,253,244,10
1991-07,2216,264,234,10
1991-08,2240,262,254,10
1991-09,2219,254,245,10
1991-10,2230,260,250,10
1991-11,2233,269,247,10
1991-12,2295,260,255,10
1992-01,2288,249,247,10
1992-02,2284,264,259,10
1992-03,2232,265,251,10
1992-04,2237,247,244,10
1992-05,2244,250,249,10
1992-06,2276,252,251,10
1992-07,2295,265,247,10
1992-08,2305,261,260,10
1992-09,2279,254,244,10
1992-10,2284,265,245,10
1992-11,2294,251,249,10
1992-12,2349,278,274,10
1993-01,2343,273,257,10
1993-02,2358,275,262,10
1993-03,2293,255,251,10
1993-04,2306,268,262,10
1993-05,2314,252,247,10
1993-06,2317,267,265,10
1993-07,2334,298,267,10
1993-08,2339,270,267,10
1993-09,2302,271,251,10
1993-10,2306,253,248,10
1993-11,2315,272,249,10
1993-12,2375,267,262,10
1994-01,2390,288,267,10
1994-02,2389,285,255,10
1994-03,2331,285,276,10
1994-04,2335,269,264,10
1994-05,2355,285,275,10
1994-06,2345,270,258,10
1994-07,2365,284,262,10
1994-08,2382,298,266,10
1994-09,2349,295,279,10
1994-10,2341,280,270,10
1994-11,2337,263,250,10
1994-12,2376,285,283,10
1995-01,2382,280,277,10
1995-02,2380,275,267,10
1995-03,2351,269,268,10
1995-04,2359,283,270,10
1995-05,2378,298,274,10
1995-06,2347,285,254,10
1995-07,2372,282,266,10
1995-08,2395,289,270,10
1995-09,2382,263,261,10
1995-10,2393,288,287,10
1995-11,2416,283,277,10
1995-12,2672,313,305,10
1996-01,2686,324,294,10
1996-02,2708,303,296,10
1996-03,2494,309,267,10
1996-04,2537,305,270,10
1996-05,2560,284,281,10
1996-06,2576,302,291,10
1996-07,2867,318,317,10
1996-08,2895,369,339,10
1996-09,2808,313,303,10
1996-10,2832,346,324,10
1996-11,2861,342,308,10
1996-12,2985,363,317,10
1997-01,2991,339,321,10
1997-02,2991,358,327,10
1997-03,2847,327,303,10
1997-04,2895,321,308,10
1997-05,2904,334,324,10
1997-06,2930,336,304,10
1997-07,2965,337,321,10
1997-08,3001,368,326,10
1997-09,2938,343,317,10
1997-10,2963,355,327,10
1997-11,2979,355,318,10
1997-12,3136,354,336,10
1998-01,3187,384,335,10
1998-02,3217,377,357,10
1998-03,3180,363,332,10
1998-04,3201,363,353,10
1998-05,3220,361,334,10
1998-06,3163,363,336,10
1998-07,3168,367,336,10
1998-08,3177,354,351,10
1998-09,3116,342,322,10
1998-10,3124,357,332,10
1998-11,3146,374,338,10
1998-12,3145,347,346,10
1999-01,3156,390,324,10
1999-02,3161,357,354,10
1999-03,3317,366,364,10
1999-04,3316,398,382,10
1999-05,3314,369,365,10
1999-06,3269,381,348,10
1999-07,3297,374,360,10
1999-08,3314,389,360,10
1999-09,3312,404,353,10
1999-10,3343,436,380,10
1999-11,3391,413,390,10
1999-12,3578,457,396,10
2000-01,3609,458,391,10
2000-02,3608,430,396,10
2000-03,3061,376,371,10
2000-04,3082,395,369,10
2000-05,3110,406,349,10
2000-06,3071,399,345,10
2000-07,3102,407,337,10
2000-08,3122,390,358,10
2000-09,3045,384,348,10
2000-10,3064,388,354,10
2000-11,3096,387,339,10
2000-12,3579,431,379,10
2001-01,3587,429,377,10
2001-02,3606,425,391,10
2001-03,3461,434,371,10
2001-04,3469,403,379,10
2001-05,3479,422,373,10
2001-06,3444,406,375,10
2001-07,3449,414,378,10
2001-08,3477,400,382,10
2001-09,3377,383,382,10
2001-10,3406,409,373,10
2001-11,3442,411,381,10
2001-12,3496,393,379,10
2002-01,3518,421,363,10
2002-02,3532,406,370,10
2002-03,3425,384,380,10
2002-04,3452,410,388,10
2002-05,3485,412,385,10
2002-06,3466,415,385,10
2002-07,3498,404,387,10
2002-08,3525,434,390,10
2002-09,3445,394,392,10
2002-10,3447,388,378,10
2002-11,3452,422,365,10
2002-12,3439,399,374,10
2003-01,3446,374,373,10
2003-02,3453,405,369,10
2003-03,3360,391,362,10
2003-04,3363,406,369,10
2003-05,3381,379,374,10
2003-06,3377,372,361,10
2003-07,3405,373,354,10
2003-08,3433,392,361,10
2003-09,3382,372,363,10
2003-10,3390,391,367,10
2003-11,3420,394,375,10
2003-12,3469,403,387,10
2004-01,3496,405,370,10
2004-02,3499,413,380,10
2004-03,3422,409,369,10
2004-04,3442,409,380,10
2004-05,3477,423,410,10
2004-06,3458,438,373,10
2004-07,3480,408,396,10
2004-08,3511,434,367,10
2004-09,3471,428,413,10
2004-10,3486,389,380,10
2004-11,3499,408,383,10
2004-12,3526,418,380,10
2005-01,3530,410,395,10
2005-02,3531,414,401,10
2005-03,3439,406,394,10
2005-04,3441,416,378,10
2005-05,3451,432,375,10
2005-06,3399,403,355,10
2005-07,3398,407,390,10
2005-08,3405,407,398,10
2005-09,3329,376,371,10
2005-10,3325,381,366,10
2005-11,3328,384,380,10
2005-12,3354,408,396,10
2006-01,3360,414,391,10
2006-02,3362,442,391,10
2006-03,3280,408,363,10
2006-04,3280,410,373,10
2006-05,3286,396,381,10
2006-06,3252,416,363,10
2006-07,3258,380,365,10
2006-08,3266,389,363,10
2006-09,3191,380,371,10
2006-10,3192,411,367,10
2006-11,3202,368,357,10
2006-12,3199,365,355,10
2007-01,3201,400,344,10
2007-02,3207,365,362,10
2007-03,3102,381,360,10
2007-04,3101,382,356,10
2007-05,3097,381,360,10
2007-06,3036,360,329,10
2007-07,3039,367,356,10
2007-08,3043,367,347,10
2007-09,2998,356,353,10
2007-10,3001,360,330,10
2007-11,3004,355,340,10
2007-12,3001,368,342,10
2008-01,3014,357,325,10
2008-02,3023,348,345,10
2008-03,2968,341,340,10
2008-04,2976,346,337,10
2008-05,2981,332,329,10
2008-06,2963,347,338,10
2008-07,2983,351,336,10
2008-08,2997,369,337,10
2008-09,2941,341,333,10
2008-10,2944,335,324,10
2008-11,2958,359,357,10
2008-12,2668,305,302,10
2009-01,2688,314,296,10
2009-02,2691,333,282,10
2009-03,2935,335,324,10
2009-04,2935,325,317,10
2009-05,2942,343,334,10
2009-06,2918,340,316,10
2009-07,2942,334,316,10
2009-08,2955,339,305,10
2009-09,2920,325,320,10
2009-10,2924,325,323,10
2009-11,2930,321,316,10
2009-12,2730,301,298,10
2010-01,2744,317,306,10
2010-02,2750,322,302,10
2010-03,2658,310,297,10
2010-04,2662,324,291,10
2010-05,2672,318,296,10
2010-06,2640,317,307,10
2010-07,2653,304,293,10
2010-08,2663,310,295,10
2010-09,2614,305,292,10
2010-10,2613,321,284,10
2010-11,2626,294,286,10
2010-12,2669,311,310,10
2011-01,2680,340,296,10
2011-02,2687,308,289,10
2011-03,2845,352,310,10
2011-04,2854,353,300,10
2011-05,2860,381,305,10
2011-06,2834,350,324,10
2011-07,2851,336,315,10
2011-08,2865,347,322,10
2011-09,2830,353,307,10
2011-10,2832,323,313,10
2011-11,2845,342,317,10
2011-12,2569,298,294,10
2012-01,2583,305,281,10
2012-02,2583,310,295,10
2012-03,2778,354,312,10
2012-04,2783,328,316,10
2012-05,2786,330,301,10
2012-06,2760,336,307,10
2012-07,2768,344,295,10
2012-08,2772,315,304,10
2012-09,2753,312,308,10
2012-10,2749,337,321,10
2012-11,2750,336,307,10
2012-12,2750,328,314,10
2013-01,2751,324,321,10
2013-02,2752,330,314,10
2013-03,2680,317,294,10
2013-04,2676,310,290,10
2013-05,2677,323,296,10
2013-06,2654,312,295,10
2013-07,2655,307,288,10
2013-08,2658,320,289,10
2013-09,2608,315,284,10
2013-10,2617,297,284,10
2013-11,2626,310,296,10
2013-12,2655,314,301,10
2014-01,2662,301,288,10
2014-02,2665,297,295,10
2014-03,2620,330,305,10
2014-04,2635,296,292,10
2014-05,2643,317,299,10
2014-06,2623,313,289,10
2014-07,2631,330,298,10
2014-08,2640,305,304,10
2014-09,2603,310,279,10
2014-10,2601,322,304,10
2014-11,2604,299,290,10
2014-12,2623,302,290,10
2015-01,2640,320,292,10
2015-02,2642,289,286,10
2015-03,2608,321,279,10
2015-04,2613,328,284,10
2015-05,2618,311,284,10
2015-06,2584,332,282,10
2015-07,2585,321,282,10
2015-08,2598,318,295,10
2015-09,2538,305,273,10
2015-10,2538,308,283,10
2015-11,2542,298,291,10
2015-12,2532,293,285,10
2016-01,2533,289,279,10
2016-02,2536,284,273,10
2016-03,2494,280,278,10
2016-04,2507,289,279,10
2016-05,2512,275,272,10
2016-06,2483,287,283,10
2016-07,2485,291,263,10
2016-08,2494,288,277,10
2016-09,2454,281,278,10
2016-10,2457,284,277,10
2016-11,2471,280,273,10
2016-12,2468,292,269,10
2017-01,2470,283,259,10
2017-02,2473,278,277,10
2017-03,2411,269,260,10
2017-04,2415,285,265,10
2017-05,2426,266,263,10
2017-06,2390,268,250,10
2017-07,2402,277,256,10
2017-08,2410,280,256,10
2017-09,2383,271,268,10
2017-10,2398,254,253,10
2017-11,2412,272,257,10
2017-12,2433,265,264,10
2018-01,2437,280,271,10
2018-02,2451,269,259,10
2018-03,2391,267,258,10
2018-04,2411,269,257,10
2018-05,2429,281,278,10
2018-06,2404,279,275,10
2018-07,2415,299,263,10
2018-08,2434,278,270,10
2018-09,2395,282,261,10
2018-10,2403,272,266,10
2018-11,2416,273,259,10
2018-12,2432,282,268,10
2019-01,2440,257,253,10
2019-02,2445,279,258,10
2019-03,2360,272,261,10
2019-04,2359,272,266,10
2019-05,2362,264,261,10
2019-06,2358,267,264,10
2019-07,2367,272,250,10
2019-08,2396,263,250,10
2019-09,2363,276,264,10
2019-10,2367,255,253,10
2019-11,2375,275,271,10
2019-12,2391,259,255,10
2020-01,2396,284,272,10
2020-02,2395,260,257,10
2020-03,2324,255,253,10
2020-04,2319,264,257,10
2020-05,2319,284,257,10
2020-06,2303,271,255,10
2020-07,2299,260,258,10
2020-08,2299,275,250,10
2020-09,2272,281,268,10
2020-10,2270,270,266,10
2020-11,2270,274,264,10
2020-12,2276,264,262,10
2021-01,2274,295,256,10
2021-02,2273,278,257,10
2021-03,2206,264,249,10
2021-04,2205,268,265,10
2021-05,2204,271,253,10
2021-06,2171,259,256,10
2021-07,2166,290,266,10
2021-08,2168,278,237,10
2021-09,2144,274,241,10
2021-10,2144,250,246,10
2021-11,2143,258,254,10
2021-12,2155,245,241,10
2022-01,2155,246,241,10
2022-02,2155,258,248,10
2022-03,2084,262,230,10
2022-04,2082,258,235,10
2022-05,2081,239,231,10
2022-06,2062,260,220,10
2022-07,1911,218,215,10
2022-08,1845,214,210,10
