month,invested,first,second,number of clusters
1990-01,1953,219,215,10
1990-02,1958,222,215,10
1990-03,1921,210,209,10
1990-04,1927,218,216,10
1990-05,1951,219,218,10
1990-06,1969,229,224,10
1990-07,1981,221,219,10
1990-08,2009,240,223,10
1990-09,2005,221,208,10
1990-10,2021,244,231,10
1990-11,2037,231,225,10
1990-12,2126,239,234,10
1991-01,2149,239,238,10
1991-02,2166,243,233,10
1991-03,2112,240,236,10
1991-04,2139,239,236,10
1991-05,2159,238,228,10
1991-06,2183,248,239,10
1991-07,2216,257,233,10
1991-08,2240,254,245,10
1991-09,2219,253,252,10
1991-10,2230,249,237,10
1991-11,2233,257,251,10
1991-12,2295,255,251,10
1992-01,2288,256,245,10
1992-02,2284,264,255,10
1992-03,2232,253,236,10
1992-04,2237,245,230,10
1992-05,2244,271,262,10
1992-06,2276,257,246,10
1992-07,2295,260,251,10
1992-08,2305,258,250,10
1992-09,2279,251,246,10
1992-10,2284,260,254,10
1992-11,2294,253,245,10
1992-12,2349,258,255,10
1993-01,2343,262,256,10
1993-02,2358,268,259,10
1993-03,2293,275,238,10
1993-04,2306,266,257,10
1993-05,2314,263,248,10
1993-06,2317,257,255,10
1993-07,2334,278,251,10
1993-08,2339,285,265,10
1993-09,2302,267,263,10
1993-10,2306,265,253,10
1993-11,2315,276,252,10
1993-12,2375,303,262,10
1994-01,2390,275,268,10
1994-02,2389,280,271,10
1994-03,2331,291,268,10
1994-04,2335,281,262,10
1994-05,2355,288,273,10
1994-06,2345,279,266,10
1994-07,2365,276,274,10
1994-08,2382,280,261,10
1994-09,2349,271,266,10
1994-10,2341,280,263,10
1994-11,2337,276,261,10
1994-12,2376,275,254,10
1995-01,2382,277,260,10
1995-02,2380,286,259,10
1995-03,2351,278,266,10
1995-04,2359,285,247,10
1995-05,2378,293,251,10
1995-06,2347,284,258,10
1995-07,2372,282,256,10
1995-08,2395,280,265,10
1995-09,2382,296,261,10
1995-10,2393,295,275,10
1995-11,2416,281,278,10
1995-12,2672,298,290,10
1996-01,2686,310,290,10
1996-02,2708,322,292,10
1996-03,2494,319,266,10
1996-04,2537,311,296,10
1996-05,2560,301,279,10
1996-06,2576,316,285,10
1996-07,2867,367,328,10
1996-08,2895,362,322,10
1996-09,2808,333,310,10
1996-10,2832,353,317,10
1996-11,2861,358,322,10
1996-12,2985,368,321,10
1997-01,2991,352,331,10
1997-02,2991,362,324,10
1997-03,2847,325,303,10
1997-04,2895,338,312,10
1997-05,2904,340,329,10
1997-06,2930,353,343,10
1997-07,2965,338,327,10
1997-08,3001,331,325,10
1997-09,2938,334,331,10
1997-10,2963,349,331,10
1997-11,2979,366,330,10
1997-12,3136,363,343,10
1998-01,3187,362,340,10
1998-02,3217,377,352,10
1998-03,3180,380,342,10
1998-04,3201,351,343,10
1998-05,3220,353,350,10
1998-06,3163,358,328,10
1998-07,3168,390,348,10
1998-08,3177,350,347,10
1998-09,3116,343,342,10
1998-10,3124,339,330,10
1998-11,3146,366,339,10
1998-12,3145,363,340,10
1999-01,3156,363,335,10
1999-02,3161,369,348,10
1999-03,3317,373,363,10
1999-04,3316,385,370,10
1999-05,3314,379,345,10
1999-06,3269,369,350,10
1999-07,3297,372,368,10
1999-08,3314,389,343,10
1999-09,3312,386,355,10
1999-10,3343,433,372,10
1999-11,3391,407,366,10
1999-12,3578,458,383,10
2000-01,3609,467,403,10
2000-02,3608,439,409,10
2000-03,3061,440,343,10
2000-04,3082,432,350,10
2000-05,3110,409,343,10
2000-06,3071,364,352,10
2000-07,3102,388,333,10
2000-08,3122,398,380,10
2000-09,3045,426,337,10
2000-10,3064,393,340,10
2000-11,3096,371,370,10
2000-12,3579,441,368,10
2001-01,3587,413,380,10
2001-02,3606,401,393,10
2001-03,3461,432,354,10
2001-04,3469,426,387,10
2001-05,3479,436,370,10
2001-06,3444,395,384,10
2001-07,3449,382,367,10
2001-08,3477,408,379,10
2001-09,3377,378,360,10
2001-10,3406,405,373,10
2001-11,3442,388,371,10
2001-12,3496,385,369,10
2002-01,3518,410,390,10
2002-02,3532,397,396,10
2002-03,3425,381,380,10
2002-04,3452,407,374,10
2002-05,3485,407,395,10
2002-06,3466,390,383,10
2002-07,3498,382,380,10
2002-08,3525,394,376,10
2002-09,3445,366,365,10
2002-10,3447,401,386,10
2002-11,3452,385,367,10
2002-12,3439,385,378,10
2003-01,3446,381,375,10
2003-02,3453,381,366,10
2003-03,3360,370,365,10
2003-04,3363,370,365,10
2003-05,3381,381,365,10
2003-06,3377,388,363,10
2003-07,3405,363,356,10
2003-08,3433,378,370,10
2003-09,3382,387,365,10
2003-10,3390,372,365,10
2003-11,3420,373,363,10
2003-12,3469,415,375,10
2004-01,3496,407,376,10
2004-02,3499,392,376,10
2004-03,3422,404,363,10
2004-04,3442,400,385,10
2004-05,3477,404,382,10
2004-06,3458,410,387,10
2004-07,3480,423,376,10
2004-08,3511,387,386,10
2004-09,3471,398,369,10
2004-10,3486,411,364,10
2004-11,3499,414,365,10
2004-12,3526,407,388,10
2005-01,3530,423,380,10
2005-02,3531,425,393,10
2005-03,3439,419,372,10
2005-04,3441,391,387,10
2005-05,3451,425,356,10
2005-06,3399,400,372,10
2005-07,3398,392,379,10
2005-08,3405,405,396,10
2005-09,3329,373,368,10
2005-10,3325,379,376,10
2005-11,3328,394,379,10
2005-12,3354,423,388,10
2006-01,3360,430,381,10
2006-02,3362,419,400,10
2006-03,3280,410,352,10
2006-04,3280,386,364,10
2006-05,3286,409,360,10
2006-06,3252,399,368,10
2006-07,3258,402,347,10
2006-08,3266,379,376,10
2006-09,3191,385,364,10
2006-10,3192,376,370,10
2006-11,3202,389,360,10
2006-12,3199,394,358,10
2007-01,3201,402,364,10
2007-02,3207,383,369,10
2007-03,3102,379,350,10
2007-04,3101,364,362,10
2007-05,3097,380,350,10
2007-06,3036,395,338,10
2007-07,3039,379,356,10
2007-08,3043,386,352,10
2007-09,2998,353,340,10
2007-10,3001,352,348,10
2007-11,3004,349,344,10
2007-12,3001,346,336,10
2008-01,3014,343,339,10
2008-02,3023,351,324,10
2008-03,2968,348,337,10
2008-04,2976,334,320,10
2008-05,2981,344,332,10
2008-06,2963,327,326,10
2008-07,2983,337,334,10
2008-08,2997,354,335,10
2008-09,2941,349,328,10
2008-10,2944,344,341,10
2008-11,2958,367,338,10
2008-12,2668,314,305,10
2009-01,2688,299,294,10
2009-02,2691,318,300,10
2009-03,2935,345,331,10
2009-04,2935,340,332,10
2009-05,2942,332,322,10
2009-06,2918,322,311,10
2009-07,2942,341,326,10
2009-08,2955,329,318,10
2009-09,2920,327,325,10
2009-10,2924,323,317,10
2009-11,2930,323,317,10
2009-12,2730,298,296,10
2010-01,2744,330,298,10
2010-02,2750,321,305,10
2010-03,2658,313,308,10
2010-04,2662,316,296,10
2010-05,2672,294,288,10
2010-06,2640,326,298,10
2010-07,2653,316,285,10
2010-08,2663,315,304,10
2010-09,2614,294,286,10
2010-10,2613,316,291,10
2010-11,2626,294,286,10
2010-12,2669,310,298,10
2011-01,2680,320,307,10
2011-02,2687,360,297,10
2011-03,2845,354,320,10
2011-04,2854,360,313,10
2011-05,2860,359,311,10
2011-06,2834,343,318,10
2011-07,2851,347,318,10
2011-08,2865,335,312,10
2011-09,2830,337,312,10
2011-10,2832,334,315,10
2011-11,2845,326,317,10
2011-12,2569,299,289,10
2012-01,2583,312,305,10
2012-02,2583,303,297,10
2012-03,2778,334,328,10
2012-04,2783,338,320,10
2012-05,2786,341,324,10
2012-06,2760,329,315,10
2012-07,2768,330,318,10
2012-08,2772,336,307,10
2012-09,2753,321,318,10
2012-10,2749,334,304,10
2012-11,2750,308,301,10
2012-12,2750,314,308,10
2013-01,2751,334,314,10
2013-02,2752,321,319,10
2013-03,2680,315,314,10
2013-04,2676,310,307,10
2013-05,2677,316,315,10
2013-06,2654,314,290,10
2013-07,2655,317,291,10
2013-08,2658,308,305,10
2013-09,2608,309,290,10
2013-10,2617,311,307,10
2013-11,2626,309,282,10
2013-12,2655,331,303,10
2014-01,2662,321,294,10
2014-02,2665,330,290,10
2014-03,2620,328,302,10
2014-04,2635,321,281,10
2014-05,2643,312,299,10
2014-06,2623,316,294,10
2014-07,2631,331,288,10
2014-08,2640,299,293,10
2014-09,2603,310,282,10
2014-10,2601,308,293,10
2014-11,2604,308,283,10
2014-12,2623,331,307,10
2015-01,2640,312,296,10
2015-02,2642,299,291,10
2015-03,2608,340,287,10
2015-04,2613,295,287,10
2015-05,2618,308,283,10
2015-06,2584,316,287,10
2015-07,2585,297,288,10
2015-08,2598,312,293,10
2015-09,2538,293,274,10
2015-10,2538,282,279,10
2015-11,2542,289,282,10
2015-12,2532,296,289,10
2016-01,2533,304,293,10
2016-02,2536,310,275,10
2016-03,2494,275,274,10
2016-04,2507,288,276,10
2016-05,2512,278,275,10
2016-06,2483,305,270,10
2016-07,2485,322,263,10
2016-08,2494,284,278,10
2016-09,2454,285,283,10
2016-10,2457,273,264,10
2016-11,2471,278,272,10
2016-12,2468,287,284,10
2017-01,2470,288,267,10
2017-02,2473,280,276,10
2017-03,2411,261,252,10
2017-04,2415,275,274,10
2017-05,2426,265,259,10
2017-06,2390,272,253,10
2017-07,2402,265,260,10
2017-08,2410,259,255,10
2017-09,2383,268,257,10
2017-10,2398,284,259,10
2017-11,2412,270,269,10
2017-12,2433,276,256,10
2018-01,2437,278,272,10
2018-02,2451,272,269,10
2018-03,2391,275,265,10
2018-04,2411,279,274,10
2018-05,2429,268,259,10
2018-06,2404,281,278,10
2018-07,2415,285,269,10
2018-08,2434,274,266,10
2018-09,2395,260,254,10
2018-10,2403,280,268,10
2018-11,2416,272,257,10
2018-12,2432,264,262,10
2019-01,2440,281,258,10
2019-02,2445,272,270,10
2019-03,2360,265,262,10
2019-04,2359,281,263,10
2019-05,2362,262,258,10
2019-06,2358,271,264,10
2019-07,2367,266,255,10
2019-08,2396,275,263,10
2019-09,2363,283,256,10
2019-10,2367,284,266,10
2019-11,2375,275,274,10
2019-12,2391,280,264,10
2020-01,2396,273,266,10
2020-02,2395,268,266,10
2020-03,2324,268,257,10
2020-04,2319,261,259,10
2020-05,2319,270,254,10
2020-06,2303,290,277,10
2020-07,2299,258,254,10
2020-08,2299,282,266,10
2020-09,2272,269,259,10
2020-10,2270,278,260,10
2020-11,2270,282,258,10
2020-12,2276,288,253,10
2021-01,2274,281,272,10
2021-02,2273,281,263,10
2021-03,2206,283,265,10
2021-04,2205,273,260,10
2021-05,2204,295,249,10
2021-06,2171,270,253,10
2021-07,2166,278,263,10
2021-08,2168,258,256,10
2021-09,2144,277,249,10
2021-10,2144,267,253,10
2021-11,2143,261,245,10
2021-12,2155,274,250,10
2022-01,2155,256,227,10
2022-02,2155,261,245,10
2022-03,2084,241,237,10
2022-04,2082,241,239,10
2022-05,2081,230,227,10
2022-06,2062,233,227,10
2022-07,1911,219,213,10
2022-08,1845,213,208,10
