month,invested,first,second,number of clusters
1990-01,1953,94,88,50
1990-02,1958,89,86,50
1990-03,1921,91,85,50
1990-04,1927,104,83,50
1990-05,1951,107,82,50
1990-06,1969,101,96,50
1990-07,1981,88,79,50
1990-08,2009,107,88,50
1990-09,2005,83,77,50
1990-10,2021,101,83,49
1990-11,2037,106,95,49
1990-12,2126,100,93,49
1991-01,2149,99,92,50
1991-02,2166,111,99,50
1991-03,2112,84,79,50
1991-04,2139,107,92,50
1991-05,2159,104,94,50
1991-06,2183,104,102,50
1991-07,2216,136,103,50
1991-08,2240,101,83,50
1991-09,2219,95,90,50
1991-10,2230,111,108,50
1991-11,2233,111,105,50
1991-12,2295,117,110,50
1992-01,2288,126,107,50
1992-02,2284,98,97,50
1992-03,2232,100,93,50
1992-04,2237,127,88,50
1992-05,2244,96,90,50
1992-06,2276,119,96,50
1992-07,2295,112,93,50
1992-08,2305,102,92,50
1992-09,2279,99,98,50
1992-10,2284,103,99,50
1992-11,2294,88,84,50
1992-12,2349,109,91,50
1993-01,2343,99,94,50
1993-02,2358,112,108,50
1993-03,2293,95,94,50
1993-04,2306,99,97,50
1993-05,2314,111,110,49
1993-06,2317,137,104,50
1993-07,2334,117,98,50
1993-08,2339,106,105,50
1993-09,2302,109,103,50
1993-10,2306,110,100,49
1993-11,2315,110,80,50
1993-12,2375,96,94,50
1994-01,2390,122,107,50
1994-02,2389,123,95,50
1994-03,2331,114,113,50
1994-04,2335,100,98,50
1994-05,2355,98,94,50
1994-06,2345,119,113,50
1994-07,2365,123,118,50
1994-08,2382,121,100,50
1994-09,2349,116,109,49
1994-10,2341,98,97,50
1994-11,2337,111,100,50
1994-12,2376,108,105,49
1995-01,2382,108,107,50
1995-02,2380,127,105,50
1995-03,2351,106,95,50
1995-04,2359,104,101,50
1995-05,2378,110,104,50
1995-06,2347,135,100,50
1995-07,2372,97,93,50
1995-08,2395,104,98,50
1995-09,2382,123,117,49
1995-10,2393,129,110,50
1995-11,2416,131,111,50
1995-12,2672,145,127,50
1996-01,2686,108,95,50
1996-02,2708,123,109,50
1996-03,2494,89,85,50
1996-04,2537,117,112,50
1996-05,2560,109,108,50
1996-06,2576,103,102,50
1996-07,2867,131,122,50
1996-08,2895,178,113,50
1996-09,2808,116,112,50
1996-10,2832,128,125,50
1996-11,2861,167,122,50
1996-12,2985,165,114,50
1997-01,2991,120,103,50
1997-02,2991,123,113,50
1997-03,2847,139,124,50
1997-04,2895,136,102,50
1997-05,2904,147,133,50
1997-06,2930,130,116,50
1997-07,2965,144,116,50
1997-08,3001,137,121,49
1997-09,2938,139,127,50
1997-10,2963,127,126,50
1997-11,2979,142,132,50
1997-12,3136,145,142,50
1998-01,3187,143,114,50
1998-02,3217,148,146,50
1998-03,3180,158,142,50
1998-04,3201,125,118,50
1998-05,3220,172,145,49
1998-06,3163,154,139,50
1998-07,3168,126,123,50
1998-08,3177,140,127,50
1998-09,3116,161,132,50
1998-10,3124,128,124,50
1998-11,3146,153,151,50
1998-12,3145,129,125,50
1999-01,3156,125,119,50
1999-02,3161,130,123,50
1999-03,3317,193,134,50
1999-04,3316,149,109,50
1999-05,3314,148,144,49
1999-06,3269,155,140,50
1999-07,3297,157,130,50
1999-08,3314,136,134,50
1999-09,3312,147,116,50
1999-10,3343,147,123,50
1999-11,3391,179,131,50
1999-12,3578,171,140,50
2000-01,3609,180,140,50
2000-02,3608,161,149,50
2000-03,3061,172,138,50
2000-04,3082,142,121,50
2000-05,3110,156,119,50
2000-06,3071,129,126,50
2000-07,3102,180,127,50
2000-08,3122,123,114,50
2000-09,3045,143,120,50
2000-10,3064,153,135,49
2000-11,3096,162,126,50
2000-12,3579,192,159,50
2001-01,3587,141,133,50
2001-02,3606,167,166,50
2001-03,3461,211,151,50
2001-04,3469,175,132,50
2001-05,3479,136,134,49
2001-06,3444,198,161,50
