month,invested,first,second,number of clusters
1990-01,1953,141,128,20
1990-02,1958,138,135,20
1990-03,1921,157,131,20
1990-04,1927,123,122,20
1990-05,1951,137,123,20
1990-06,1969,132,129,20
1990-07,1981,132,126,20
1990-08,2009,133,126,20
1990-09,2005,137,131,20
1990-10,2021,149,141,20
1990-11,2037,155,138,20
1990-12,2126,152,129,20
1991-01,2149,157,148,20
1991-02,2166,142,137,20
1991-03,2112,129,126,20
1991-04,2139,157,147,20
1991-05,2159,143,138,20
1991-06,2183,145,139,20
1991-07,2216,152,133,20
1991-08,2240,150,143,20
1991-09,2219,146,138,20
1991-10,2230,171,138,20
1991-11,2233,153,138,20
1991-12,2295,157,142,20
1992-01,2288,152,146,20
1992-02,2284,145,144,20
1992-03,2232,158,126,20
1992-04,2237,156,137,20
1992-05,2244,172,164,20
1992-06,2276,142,137,20
1992-07,2295,161,156,20
1992-08,2305,175,141,20
1992-09,2279,160,141,20
1992-10,2284,161,148,20
1992-11,2294,177,146,20
1992-12,2349,169,138,20
1993-01,2343,154,148,20
1993-02,2358,156,152,20
1993-03,2293,154,145,20
1993-04,2306,164,145,20
1993-05,2314,168,157,20
1993-06,2317,172,147,20
1993-07,2334,166,158,20
1993-08,2339,175,159,20
1993-09,2302,158,154,20
1993-10,2306,187,169,20
1993-11,2315,165,159,20
1993-12,2375,170,149,20
1994-01,2390,159,150,20
1994-02,2389,170,153,20
1994-03,2331,170,168,20
1994-04,2335,173,169,20
1994-05,2355,199,170,20
1994-06,2345,192,142,20
1994-07,2365,192,154,20
1994-08,2382,160,155,20
1994-09,2349,169,161,20
1994-10,2341,163,161,20
1994-11,2337,172,139,20
1994-12,2376,218,165,20
1995-01,2382,161,150,20
1995-02,2380,158,157,20
1995-03,2351,157,156,20
1995-04,2359,156,147,20
1995-05,2378,175,161,20
1995-06,2347,169,165,20
1995-07,2372,175,149,20
1995-08,2395,154,146,20
1995-09,2382,168,154,20
1995-10,2393,178,156,20
1995-11,2416,176,148,20
1995-12,2672,192,189,20
1996-01,2686,205,187,20
1996-02,2708,174,154,20
1996-03,2494,162,160,20
1996-04,2537,174,164,20
1996-05,2560,203,160,20
1996-06,2576,171,154,20
1996-07,2867,208,191,20
1996-08,2895,197,195,20
1996-09,2808,202,166,20
1996-10,2832,201,187,20
1996-11,2861,215,183,20
1996-12,2985,215,208,20
1997-01,2991,201,195,20
1997-02,2991,227,188,20
1997-03,2847,178,174,20
1997-04,2895,194,176,20
1997-05,2904,187,172,20
1997-06,2930,209,188,20
1997-07,2965,189,183,20
1997-08,3001,220,183,20
1997-09,2938,209,188,20
1997-10,2963,212,202,20
1997-11,2979,235,185,20
1997-12,3136,236,193,20
1998-01,3187,221,190,20
1998-02,3217,202,185,20
1998-03,3180,216,208,20
1998-04,3201,214,211,20
1998-05,3220,222,197,20
1998-06,3163,209,180,20
1998-07,3168,217,213,20
1998-08,3177,219,204,20
1998-09,3116,205,198,20
1998-10,3124,207,206,20
1998-11,3146,226,206,20
1998-12,3145,247,207,20
1999-01,3156,238,215,20
1999-02,3161,231,200,20
1999-03,3317,266,221,20
1999-04,3316,249,213,20
1999-05,3314,206,202,20
1999-06,3269,206,195,20
1999-07,3297,226,208,20
1999-08,3314,212,196,20
1999-09,3312,243,218,20
1999-10,3343,223,218,20
1999-11,3391,257,217,20
1999-12,3578,271,224,20
2000-01,3609,287,231,20
2000-02,3608,245,230,20
2000-03,3061,206,200,20
2000-04,3082,213,203,20
2000-05,3110,221,205,20
2000-06,3071,231,211,20
2000-07,3102,229,208,20
2000-08,3122,248,207,20
2000-09,3045,232,204,20
2000-10,3064,228,194,20
2000-11,3096,252,184,20
2000-12,3579,254,222,20
2001-01,3587,283,237,20
2001-02,3606,254,246,20
2001-03,3461,248,217,20
2001-04,3469,235,217,20
2001-05,3479,266,222,20
2001-06,3444,273,231,20
2001-07,3449,225,213,20
2001-08,3477,259,220,20
2001-09,3377,217,212,20
2001-10,3406,226,209,20
2001-11,3442,268,227,20
2001-12,3496,269,227,20
2002-01,3518,240,221,20
2002-02,3532,263,213,20
2002-03,3425,238,222,20
2002-04,3452,252,218,20
2002-05,3485,223,205,20
2002-06,3466,241,225,20
2002-07,3498,259,213,20
2002-08,3525,267,228,20
2002-09,3445,228,226,20
2002-10,3447,253,233,20
2002-11,3452,244,218,20
2002-12,3439,259,220,20
2003-01,3446,232,231,20
2003-02,3453,252,207,20
2003-03,3360,254,212,20
2003-04,3363,209,208,20
2003-05,3381,242,213,20
2003-06,3377,245,217,20
2003-07,3405,221,205,20
2003-08,3433,237,190,20
2003-09,3382,235,188,20
2003-10,3390,259,192,20
2003-11,3420,235,197,20
2003-12,3469,243,217,20
2004-01,3496,236,214,20
2004-02,3499,226,224,20
2004-03,3422,217,202,20
2004-04,3442,230,196,20
2004-05,3477,251,249,20
2004-06,3458,301,228,20
2004-07,3480,281,225,20
2004-08,3511,274,226,20
2004-09,3471,266,201,20
2004-10,3486,231,215,20
2004-11,3499,249,239,20
2004-12,3526,271,220,20
2005-01,3530,258,230,20
2005-02,3531,234,233,20
2005-03,3439,258,215,20
2005-04,3441,250,224,20
2005-05,3451,246,241,20
2005-06,3399,230,224,20
2005-07,3398,231,212,20
2005-08,3405,236,227,20
2005-09,3329,217,208,20
2005-10,3325,217,206,20
2005-11,3328,248,214,20
2005-12,3354,252,226,20
2006-01,3360,257,225,20
2006-02,3362,246,237,20
2006-03,3280,242,215,20
2006-04,3280,226,204,20
2006-05,3286,226,222,20
2006-06,3252,234,228,20
2006-07,3258,224,211,20
2006-08,3266,241,202,20
2006-09,3191,228,227,20
2006-10,3192,221,199,20
2006-11,3202,224,187,20
2006-12,3199,257,209,20
2007-01,3201,240,220,20
2007-02,3207,236,229,20
2007-03,3102,224,201,20
2007-04,3101,242,225,20
2007-05,3097,242,233,20
2007-06,3036,233,197,20
2007-07,3039,208,204,20
2007-08,3043,197,192,20
2007-09,2998,215,185,20
2007-10,3001,214,188,20
2007-11,3004,213,202,20
2007-12,3001,205,196,20
2008-01,3014,210,197,20
2008-02,3023,210,198,20
2008-03,2968,225,199,20
2008-04,2976,217,209,20
2008-05,2981,210,200,20
2008-06,2963,195,190,20
2008-07,2983,198,193,20
2008-08,2997,204,187,20
2008-09,2941,205,184,20
2008-10,2944,201,198,20
2008-11,2958,205,203,20
2008-12,2668,193,186,20
2009-01,2688,209,166,20
2009-02,2691,211,174,20
2009-03,2935,215,176,20
2009-04,2935,221,183,20
2009-05,2942,217,189,20
2009-06,2918,187,183,20
2009-07,2942,199,177,20
2009-08,2955,202,188,20
2009-09,2920,201,169,20
2009-10,2924,186,180,20
2009-11,2930,223,205,20
2009-12,2730,203,184,20
2010-01,2744,181,180,20
2010-02,2750,195,183,20
2010-03,2658,209,175,20
2010-04,2662,195,172,20
2010-05,2672,188,174,20
2010-06,2640,216,184,20
2010-07,2653,181,164,20
2010-08,2663,205,158,20
2010-09,2614,194,167,20
2010-10,2613,189,178,20
2010-11,2626,189,176,20
2010-12,2669,179,168,20
2011-01,2680,204,187,20
2011-02,2687,227,161,20
2011-03,2845,204,180,20
2011-04,2854,215,179,20
2011-05,2860,209,180,20
2011-06,2834,193,191,20
2011-07,2851,210,199,20
2011-08,2865,207,195,20
2011-09,2830,194,173,20
2011-10,2832,235,185,20
2011-11,2845,225,213,20
2011-12,2569,196,166,20
2012-01,2583,199,161,20
2012-02,2583,183,175,20
2012-03,2778,192,171,20
2012-04,2783,250,198,20
2012-05,2786,185,169,20
2012-06,2760,196,174,20
2012-07,2768,195,188,20
2012-08,2772,192,172,20
2012-09,2753,194,176,20
2012-10,2749,195,162,20
2012-11,2750,201,187,20
2012-12,2750,194,164,20
2013-01,2751,193,166,20
2013-02,2752,196,171,20
2013-03,2680,183,156,20
2013-04,2676,199,173,20
2013-05,2677,204,177,20
2013-06,2654,190,183,20
2013-07,2655,183,163,20
2013-08,2658,213,179,20
2013-09,2608,195,189,20
2013-10,2617,185,170,20
2013-11,2626,191,190,20
2013-12,2655,207,163,20
2014-01,2662,174,169,20
2014-02,2665,177,171,20
2014-03,2620,186,164,20
2014-04,2635,173,171,20
2014-05,2643,183,179,20
2014-06,2623,219,174,20
2014-07,2631,215,158,20
2014-08,2640,204,172,20
2014-09,2603,161,158,20
2014-10,2601,195,181,20
2014-11,2604,187,163,20
2014-12,2623,204,167,20
2015-01,2640,202,181,20
2015-02,2642,177,162,20
2015-03,2608,175,165,20
2015-04,2613,194,166,20
2015-05,2618,195,170,20
2015-06,2584,194,159,20
2015-07,2585,191,170,20
2015-08,2598,195,152,20
2015-09,2538,165,164,20
2015-10,2538,175,146,20
2015-11,2542,183,173,20
2015-12,2532,188,180,20
2016-01,2533,174,167,20
2016-02,2536,164,151,20
2016-03,2494,173,163,20
2016-04,2507,166,160,20
2016-05,2512,152,144,20
2016-06,2483,172,158,20
2016-07,2485,159,152,20
2016-08,2494,146,141,20
2016-09,2454,183,152,20
2016-10,2457,168,163,20
2016-11,2471,174,159,20
2016-12,2468,183,155,20
2017-01,2470,163,161,20
2017-02,2473,167,147,20
2017-03,2411,173,149,20
2017-04,2415,160,147,20
2017-05,2426,188,167,20
2017-06,2390,156,152,20
2017-07,2402,177,152,20
2017-08,2410,152,146,20
2017-09,2383,158,153,20
2017-10,2398,158,153,20
2017-11,2412,158,148,20
2017-12,2433,157,156,20
2018-01,2437,160,145,20
2018-02,2451,162,146,20
2018-03,2391,171,157,20
2018-04,2411,158,147,20
2018-05,2429,183,171,20
2018-06,2404,171,153,20
2018-07,2415,157,145,20
2018-08,2434,159,153,20
2018-09,2395,154,152,20
2018-10,2403,167,162,20
2018-11,2416,156,147,20
2018-12,2432,171,167,20
2019-01,2440,181,155,20
2019-02,2445,196,189,20
2019-03,2360,177,170,20
2019-04,2359,163,148,20
2019-05,2362,178,148,20
2019-06,2358,162,161,20
2019-07,2367,186,151,20
2019-08,2396,166,165,20
2019-09,2363,163,151,20
2019-10,2367,184,155,20
2019-11,2375,162,161,20
2019-12,2391,177,151,20
2020-01,2396,168,164,20
2020-02,2395,173,164,20
2020-03,2324,159,151,20
2020-04,2319,180,144,20
2020-05,2319,176,164,20
2020-06,2303,174,170,20
2020-07,2299,154,152,20
2020-08,2299,149,144,20
2020-09,2272,157,149,20
2020-10,2270,170,159,20
2020-11,2270,150,148,20
2020-12,2276,187,167,20
2021-01,2274,151,144,20
2021-02,2273,177,148,20
2021-03,2206,188,158,20
2021-04,2205,164,153,20
2021-05,2204,172,149,20
2021-06,2171,159,151,20
2021-07,2166,169,146,20
2021-08,2168,166,157,20
