month,invested,first,second,number of clusters
1990-01,1953,122,120,20
1990-02,1958,131,130,20
1990-03,1921,129,117,20
1990-04,1927,133,116,20
1990-05,1951,120,119,20
1990-06,1969,129,124,20
1990-07,1981,145,129,20
1990-08,2009,128,126,20
1990-09,2005,142,140,20
1990-10,2021,143,136,20
1990-11,2037,132,128,20
1990-12,2126,140,137,20
1991-01,2149,144,140,20
1991-02,2166,127,124,20
1991-03,2112,158,143,20
1991-04,2139,138,136,20
1991-05,2159,141,134,20
1991-06,2183,141,138,20
1991-07,2216,145,140,20
1991-08,2240,154,144,20
1991-09,2219,149,137,20
1991-10,2230,160,147,20
1991-11,2233,144,142,20
1991-12,2295,161,149,20
1992-01,2288,153,150,20
1992-02,2284,157,136,20
1992-03,2232,157,138,20
1992-04,2237,139,137,20
1992-05,2244,147,135,20
1992-06,2276,162,155,20
1992-07,2295,154,141,20
1992-08,2305,155,147,20
1992-09,2279,160,152,20
1992-10,2284,153,144,20
1992-11,2294,158,147,20
1992-12,2349,146,135,20
1993-01,2343,161,149,20
1993-02,2358,174,142,20
1993-03,2293,155,133,20
1993-04,2306,162,147,20
1993-05,2314,156,153,20
1993-06,2317,165,150,20
1993-07,2334,150,148,20
1993-08,2339,162,157,20
1993-09,2302,147,145,20
1993-10,2306,148,137,20
1993-11,2315,152,150,20
1993-12,2375,174,166,20
1994-01,2390,167,143,20
1994-02,2389,152,145,20
1994-03,2331,161,160,20
1994-04,2335,171,155,20
1994-05,2355,174,169,20
1994-06,2345,146,143,20
1994-07,2365,146,143,20
1994-08,2382,165,144,20
1994-09,2349,163,153,20
1994-10,2341,158,153,20
1994-11,2337,173,165,20
1994-12,2376,157,150,20
1995-01,2382,168,151,20
1995-02,2380,164,139,20
1995-03,2351,156,151,20
1995-04,2359,172,146,20
1995-05,2378,162,159,20
1995-06,2347,159,155,20
1995-07,2372,160,143,20
1995-08,2395,146,142,20
1995-09,2382,169,165,20
1995-10,2393,160,151,20
1995-11,2416,178,146,20
1995-12,2672,177,169,20
1996-01,2686,173,165,20
1996-02,2708,170,160,20
1996-03,2494,171,159,20
1996-04,2537,180,179,20
1996-05,2560,188,178,20
1996-06,2576,168,158,20
1996-07,2867,209,188,20
1996-08,2895,209,188,20
1996-09,2808,176,170,20
1996-10,2832,189,184,20
1996-11,2861,210,191,20
1996-12,2985,197,187,20
1997-01,2991,219,169,20
1997-02,2991,202,189,20
1997-03,2847,195,184,20
1997-04,2895,188,187,20
1997-05,2904,174,171,20
1997-06,2930,207,189,20
1997-07,2965,187,181,20
1997-08,3001,194,187,20
1997-09,2938,195,172,20
1997-10,2963,219,176,20
1997-11,2979,203,180,20
1997-12,3136,204,201,20
1998-01,3187,211,188,20
1998-02,3217,207,195,20
1998-03,3180,217,203,20
1998-04,3201,231,209,20
1998-05,3220,199,191,20
1998-06,3163,205,192,20
1998-07,3168,199,179,20
1998-08,3177,203,188,20
1998-09,3116,200,190,20
1998-10,3124,211,188,20
1998-11,3146,213,195,20
1998-12,3145,212,205,20
1999-01,3156,206,197,20
1999-02,3161,247,205,20
1999-03,3317,217,211,20
1999-04,3316,234,219,20
1999-05,3314,221,199,20
1999-06,3269,198,192,20
1999-07,3297,220,205,20
1999-08,3314,209,199,20
1999-09,3312,251,208,20
1999-10,3343,251,216,20
1999-11,3391,220,209,20
1999-12,3578,251,231,20
2000-01,3609,243,224,20
2000-02,3608,241,219,20
2000-03,3061,289,212,20
2000-04,3082,226,216,20
2000-05,3110,233,201,20
2000-06,3071,251,191,20
2000-07,3102,234,200,20
2000-08,3122,226,224,20
2000-09,3045,241,198,20
2000-10,3064,229,187,20
2000-11,3096,236,187,20
2000-12,3579,243,220,20
2001-01,3587,224,218,20
2001-02,3606,238,216,20
2001-03,3461,227,203,20
2001-04,3469,224,213,20
2001-05,3479,227,225,20
2001-06,3444,229,205,20
2001-07,3449,212,206,20
2001-08,3477,258,219,20
2001-09,3377,216,206,20
2001-10,3406,243,202,20
2001-11,3442,214,204,20
2001-12,3496,231,212,20
2002-01,3518,242,211,20
2002-02,3532,250,223,20
2002-03,3425,243,210,20
2002-04,3452,230,213,20
2002-05,3485,221,218,20
2002-06,3466,223,215,20
2002-07,3498,233,217,20
2002-08,3525,235,211,20
2002-09,3445,228,215,20
2002-10,3447,243,225,20
2002-11,3452,231,217,20
2002-12,3439,225,202,20
2003-01,3446,237,223,20
