month,invested,first,second,number of clusters
1990-01,1953,114,96,30
1990-02,1958,99,93,30
1990-03,1921,99,92,30
1990-04,1927,96,95,30
1990-05,1951,93,89,30
1990-06,1969,107,98,30
1990-07,1981,98,96,30
1990-08,2009,104,99,30
1990-09,2005,109,106,30
1990-10,2021,109,102,30
1990-11,2037,102,97,30
1990-12,2126,123,122,30
1991-01,2149,117,99,30
1991-02,2166,109,101,30
1991-03,2112,102,98,30
1991-04,2139,106,101,30
1991-05,2159,112,107,30
1991-06,2183,109,104,30
1991-07,2216,106,105,30
1991-08,2240,111,109,30
1991-09,2219,109,106,30
1991-10,2230,117,107,30
1991-11,2233,110,100,30
1991-12,2295,121,109,30
1992-01,2288,128,109,30
1992-02,2284,119,107,30
1992-03,2232,107,101,30
1992-04,2237,114,113,30
1992-05,2244,105,104,30
1992-06,2276,121,111,30
1992-07,2295,106,104,30
1992-08,2305,115,107,30
1992-09,2279,124,120,30
1992-10,2284,123,110,30
1992-11,2294,112,104,30
1992-12,2349,123,118,30
1993-01,2343,125,122,30
1993-02,2358,130,115,30
1993-03,2293,116,114,30
1993-04,2306,119,111,30
1993-05,2314,123,108,30
1993-06,2317,118,110,30
1993-07,2334,113,112,30
1993-08,2339,124,122,30
1993-09,2302,136,111,30
1993-10,2306,127,119,30
1993-11,2315,106,101,30
1993-12,2375,132,127,30
1994-01,2390,119,115,30
1994-02,2389,118,108,30
1994-03,2331,132,121,30
1994-04,2335,126,108,30
1994-05,2355,127,126,30
1994-06,2345,134,111,30
1994-07,2365,159,121,30
1994-08,2382,113,108,30
1994-09,2349,125,118,30
1994-10,2341,136,122,30
1994-11,2337,135,116,30
1994-12,2376,144,112,30
1995-01,2382,140,122,30
1995-02,2380,129,113,30
1995-03,2351,123,114,30
1995-04,2359,146,113,30
1995-05,2378,117,115,30
1995-06,2347,123,119,30
1995-07,2372,122,101,30
1995-08,2395,131,125,30
1995-09,2382,121,113,30
1995-10,2393,111,106,30
1995-11,2416,114,112,30
1995-12,2672,148,135,30
1996-01,2686,134,127,30
1996-02,2708,132,126,30
1996-03,2494,129,115,30
1996-04,2537,136,124,30
1996-05,2560,149,137,30
1996-06,2576,135,131,30
1996-07,2867,153,136,30
1996-08,2895,142,135,30
1996-09,2808,148,145,30
1996-10,2832,146,144,30
1996-11,2861,137,133,30
1996-12,2985,161,150,30
1997-01,2991,173,136,30
1997-02,2991,147,145,30
1997-03,2847,129,126,30
1997-04,2895,170,141,30
1997-05,2904,155,125,30
1997-06,2930,153,141,30
1997-07,2965,186,159,30
1997-08,3001,140,139,30
1997-09,2938,141,139,30
1997-10,2963,149,147,30
1997-11,2979,174,141,30
1997-12,3136,188,177,30
1998-01,3187,164,147,30
1998-02,3217,172,148,30
1998-03,3180,185,156,30
1998-04,3201,162,153,30
1998-05,3220,161,149,30
1998-06,3163,140,139,30
1998-07,3168,187,160,30
1998-08,3177,169,157,30
1998-09,3116,147,144,30
1998-10,3124,163,145,30
1998-11,3146,157,153,30
1998-12,3145,161,148,30
1999-01,3156,156,154,30
1999-02,3161,149,136,30
1999-03,3317,177,154,30
1999-04,3316,173,154,30
1999-05,3314,167,154,30
1999-06,3269,187,158,30
1999-07,3297,189,153,30
1999-08,3314,165,150,30
1999-09,3312,150,140,30
1999-10,3343,180,152,30
1999-11,3391,195,164,30
1999-12,3578,172,164,30
2000-01,3609,188,171,30
2000-02,3608,206,189,30
2000-03,3061,203,178,30
2000-04,3082,170,168,30
2000-05,3110,181,162,30
2000-06,3071,151,142,30
2000-07,3102,137,130,30
