month,invested,first,second,number of clusters
1990-01,1953,72,56,100
1990-02,1958,75,66,100
1990-03,1921,75,66,100
1990-04,1927,53,51,100
1990-05,1951,64,59,100
1990-06,1969,71,68,100
1990-07,1981,49,48,100
1990-08,2009,67,65,100
1990-09,2005,63,54,100
1990-10,2021,75,59,99
1990-11,2037,64,62,100
1990-12,2126,73,68,100
1991-01,2149,66,63,100
1991-02,2166,70,61,100
1991-03,2112,67,62,100
1991-04,2139,72,69,100
1991-05,2159,94,71,100
1991-06,2183,74,69,100
1991-07,2216,61,58,100
1991-08,2240,67,61,100
1991-09,2219,83,81,100
1991-10,2230,80,73,100
1991-11,2233,85,83,100
1991-12,2295,82,79,100
1992-01,2288,78,72,100
1992-02,2284,80,74,100
1992-03,2232,81,71,100
1992-04,2237,64,63,100
1992-05,2244,76,68,100
1992-06,2276,71,64,100
1992-07,2295,97,75,100
1992-08,2305,75,65,100
1992-09,2279,57,55,100
1992-10,2284,84,67,100
1992-11,2294,80,68,100
1992-12,2349,74,64,100
1993-01,2343,78,68,100
1993-02,2358,68,66,100
1993-03,2293,73,67,100
1993-04,2306,102,67,100
1993-05,2314,74,66,100
1993-06,2317,91,81,100
1993-07,2334,84,83,100
1993-08,2339,79,66,100
1993-09,2302,74,72,100
1993-10,2306,91,88,100
1993-11,2315,70,60,100
1993-12,2375,75,72,100
1994-01,2390,83,75,100
1994-02,2389,81,70,100
1994-03,2331,88,74,100
1994-04,2335,78,64,100
1994-05,2355,87,74,99
1994-06,2345,68,61,100
1994-07,2365,88,68,100
1994-08,2382,80,77,100
1994-09,2349,86,73,100
1994-10,2341,72,69,99
1994-11,2337,94,85,100
1994-12,2376,85,78,99
1995-01,2382,87,84,100
1995-02,2380,80,70,100
1995-03,2351,92,55,100
1995-04,2359,75,68,100
1995-05,2378,87,83,100
1995-06,2347,76,66,100
1995-07,2372,84,64,100
1995-08,2395,84,79,99
1995-09,2382,106,87,100
1995-10,2393,84,78,100
1995-11,2416,94,80,100
1995-12,2672,96,82,100
1996-01,2686,95,89,100
1996-02,2708,90,82,100
1996-03,2494,71,67,100
1996-04,2537,81,78,100
1996-05,2560,91,86,100
1996-06,2576,96,90,100
1996-07,2867,93,83,100
1996-08,2895,92,90,100
1996-09,2808,105,98,100
1996-10,2832,110,79,100
1996-11,2861,95,68,100
1996-12,2985,119,91,100
1997-01,2991,105,91,100
1997-02,2991,99,88,100
1997-03,2847,80,79,100
1997-04,2895,95,86,100
1997-05,2904,106,97,100
1997-06,2930,99,87,100
1997-07,2965,97,80,100
1997-08,3001,94,93,100
1997-09,2938,88,84,100
1997-10,2963,91,83,100
1997-11,2979,127,108,100
1997-12,3136,93,90,100
1998-01,3187,107,106,100
1998-02,3217,101,89,100
1998-03,3180,120,82,100
1998-04,3201,113,89,100
1998-05,3220,92,91,100
1998-06,3163,116,97,100
1998-07,3168,122,97,100
1998-08,3177,110,85,100
1998-09,3116,111,88,100
1998-10,3124,97,90,100
1998-11,3146,125,95,100
1998-12,3145,92,84,100
1999-01,3156,107,95,100
1999-02,3161,92,79,100
1999-03,3317,99,96,100
1999-04,3316,93,85,100
1999-05,3314,118,109,100
1999-06,3269,95,89,100
1999-07,3297,100,94,100
1999-08,3314,116,97,100
1999-09,3312,94,87,100
1999-10,3343,106,85,99
1999-11,3391,103,88,100
1999-12,3578,124,99,100
2000-01,3609,120,95,100
2000-02,3608,104,103,100
2000-03,3061,128,83,100
2000-04,3082,95,91,100
2000-05,3110,91,88,100
2000-06,3071,98,79,100
2000-07,3102,107,105,100
2000-08,3122,108,101,100
2000-09,3045,95,88,100
2000-10,3064,141,83,100
2000-11,3096,102,98,100
2000-12,3579,122,91,100
2001-01,3587,113,107,100
2001-02,3606,135,113,100
2001-03,3461,123,104,100
2001-04,3469,116,112,100
