Firm Name,Momentum_1,Long Short
BLVN-L,-0.3379816513761468,1
VAST-L,-0.2800000000000001,1
PHEG-L,-0.2571428571428571,1
ASTO-L,-0.2520325203252034,1
KWG-L,-0.2424242424242424,1
IQE-L,-0.2254335260115607,1
EMPR-L,-0.2150537634408602,1
AGY-L,-0.2142857142857143,1
CYAN-L,-0.2034883720930231,1
TITN-L,-0.1926605504587155,1
LLOY-L,-0.1893328085022632,1
GFTU_u-L,-0.1855072463768117,1
BARC-L,-0.1828280926379213,1
ALUG-L,-0.1802325581395348,1
CASPC-L,-0.1714285714285713,1
NWMS-L,-0.1696113074204946,1
CNDR-L,-0.1666666666666666,1
RS1R-L,-0.1650237312887915,1
BIDS-L,-0.1627906976744186,1
PLAZ-L,-0.1626344086021504,1
TPK-L,-0.1625812906453226,1
N4P-L,-0.1607142857142858,1
CAPX-L,-0.1578947368421053,1
HAYS-L,-0.1572657743785849,1
BLPU-L,-0.1536964980544747,1
MAB-L,-0.1513718070009461,1
BPFU_u-L,-0.1502590673575129,1
CCL-L,-0.1477411477411477,1
NWG-L,-0.1395817586293776,1
ALBA-L,-0.1395348837209301,1
CHG-L,-0.1394799054373522,1
HDD-L,-0.1379310344827586,1
ACCS-L,-0.1354166666666666,0
CNE-L,-0.1307048984468339,0
BVIC-L,-0.1269357705001269,0
TPT-L,-0.1260869565217391,0
BEM-L,-0.1205673758865247,0
BVC-L,-0.1182795698924731,0
TW-L,-0.1159979423868313,0
KEFI-L,-0.1132075471698111,0
AV-L,-0.1129285234147435,0
INCH-L,-0.1088387400094028,0
RUR-L,-0.1076923076923076,0
BRK-L,-0.1038461538461538,0
INSP-L,-0.1025641025641025,0
EUA-L,-0.0952380952380953,0
DCC-L,-0.093069306930693,0
SMDS-L,-0.0890625,0
BOOT-L,-0.0884353741496598,0
MNDI-L,-0.0868544600938968,0
CINE-L,-0.0868486352357319,0
JET2-L,-0.0861833105335156,0
LIO-L,-0.0846394984326018,0
BEG-L,-0.0837988826815642,0
TSTL-L,-0.0833333333333334,0
SBRY-L,-0.0823958650045606,0
BZT-L,-0.0822784810126582,0
CEPS-L,-0.081967213114754,0
PRES-L,-0.0798816568047336,0
IPO-L,-0.079326923076923,0
MKS-L,-0.0775299238302503,0
MRIT-L,-0.0769230769230769,0
CNKS-L,-0.0765239948119325,0
JLP-L,-0.0755813953488372,0
GNC-L,-0.0753768844221106,0
BAES-L,-0.07494512386328,0
HFG-L,-0.0747826086956521,0
AAL-L,-0.0746292714377822,0
DSCV-L,-0.074074074074074,0
MRCH-L,-0.0718309859154929,0
BWY-L,-0.0709318497913769,0
LOOK-L,-0.0697674418604651,0
CNA-L,-0.0693464252838292,0
CGS-L,-0.0689529368843487,0
BRIGB-L,-0.0687285223367697,0
BIOM-L,-0.0681818181818181,0
ARBB-L,-0.0680272108843537,0
HBR-L,-0.0677200902934537,0
FSV-L,-0.0674740484429065,0
BAB-L,-0.0673143650242887,0
ELM-L,-0.0666666666666668,0
GLEG-L,-0.0657894736842105,0
BRLA-L,-0.0652414301511241,0
GNS-L,-0.0639423076923076,0
BAG-L,-0.0638783269961976,0
CLIG-L,-0.0636363636363637,0
GFRD-L,-0.0627358490566039,0
REDD-L,-0.0623456790123456,0
IES-L,-0.062111801242236,0
TRFT-L,-0.0612745098039215,0
ESNT-L,-0.0603681645912289,0
CLLN-L,-0.0574742947534933,0
CKT-L,-0.0569620253164556,0
AFN-L,-0.0568720379146918,0
HSX-L,-0.0562874251497004,0
AZN-L,-0.0555377720870678,0
BKGH-L,-0.0543056633048875,0
CMX-L,-0.0542635658914728,0
HWC-L,-0.0540540540540539,0
GRG-L,-0.0538812785388126,0
DPLM-L,-0.0536277602523659,0
FKE-L,-0.0526315789473684,0
KMR-L,-0.0519480519480519,0
GPEG-L,-0.051410373066424,0
NTV-L,-0.051094890510949,0
HYG-L,-0.0505050505050505,0
CNN-L,-0.05,0
CDFF-L,-0.05,0
GFM-L,-0.0483870967741935,0
PRIMP-L,-0.0476190476190476,0
KLR-L,-0.0474468085106383,0
RNWH-L,-0.0472972972972972,0
MNKS-L,-0.0467687074829932,0
KIE-L,-0.0464104423495285,0
ATST-L,-0.0462724935732649,0
BNZL-L,-0.0461922596754057,0
ANP-L,-0.0454545454545454,0
SYS1-L,-0.0448504983388705,0
MLVN-L,-0.0442477876106194,0
ADIG-L,-0.0441176470588234,0
BCEB-L,-0.0427350427350426,0
CLDN-L,-0.0421965317919074,0
ASPL-L,-0.0416666666666666,0
JMG-L,-0.041631973355537,0
UBGU-L,-0.0410879629629628,0
