mom1,firms,clusters
0.025085518814139,21020,9
0.0050359712230216,11499,1
0.121771217712177,81912,2
0.0184660581261146,27991,6
0.0023397285914834,10517,8
-0.0193389592123768,20482,8
-0.0131739773287332,60038,7
-0.1384615384615385,10779,3
0.0100977188083453,61487,3
-0.0782193958664547,61241,4
-0.0179709631728044,28222,5
0.0580281690140844,11368,9
0.0869055592766241,28804,7
0.0025991892787957,11587,5
0.0557275541795665,11691,7
0.1396984924623117,11790,3
0.0278216498602841,10145,6
0.0528763119436694,45911,7
-0.0392374900714853,28484,2
0.1092657129856093,81073,7
0.0676344717630277,93330,8
0.05563810467228,12758,6
0.0278661546900711,24109,6
-0.0173631303480934,59176,5
0.084684842640484,13507,7
-0.023385214007782,13769,3
0.1079745942131262,11144,7
0.0685441638542998,85257,5
-0.0724283865401208,14008,3
0.0250696378830084,18075,0
-0.0213787085514834,83112,9
0.186833565136764,39490,9
0.0729615275959791,14593,8
-0.0033149171270719,14761,1
0.0793692509855454,10516,7
0.0283687943262411,77595,2
0.0777456647398844,29209,2
0.05202075368651,24272,1
0.0679752817157397,15457,1
-0.0495760715967971,44644,5
-0.0173055291165526,44601,6
0.061947958940081,27684,7
0.0411012020162855,53110,2
0.1171303074670571,10318,6
0.0771604938271603,10239,1
-0.0945156075115034,57568,6
0.0287236066197451,16505,6
0.0393081761006288,16548,7
0.0748930099857345,49656,7
0.149163879598662,39693,7
-0.0054576463899943,27887,5
0.063869638509084,29612,7
-0.0037806789540011,39642,6
0.3681790647560599,17444,3
0.0378266850068775,65875,6
0.0288836537129055,17778,6
0.0106457012049547,61508,5
0.0002607222004955,61946,6
0.0449888763767201,19561,8
0.0409575462876379,52230,2
0.0981308411214954,12437,9
-0.0692593401791566,60898,3
0.4027777777777777,17961,0
0.0549199084668192,19393,3
0.1184549356223174,10874,7
0.0428280081577157,55597,5
0.0327660251312234,19880,8
0.1360856269113148,10890,9
0.0141643059490086,20117,4
-0.0141586672728454,64186,4
0.0284974093264249,67838,0
-0.0165109376717599,20336,5
0.0335720680393911,62148,5
0.1342446547493865,28564,5
-0.0794198895027624,86290,0
0.133,46690,7
0.0403526942441268,20512,8
-0.0621899362154499,20750,5
0.0941340134477159,21371,9
0.0040009655076596,27334,6
0.0620888157894736,20618,6
0.0614285714285713,18542,6
0.0469831580094839,89792,5
0.0966608084358522,60599,9
-0.0144421520393587,90011,1
-0.027617959332556,64194,8
0.0078240642842037,23182,6
-0.1584699453551913,88208,3
0.0074753652735304,14541,2
-0.0460324324324324,30509,3
0.1228947368421053,23297,3
-0.0569064928553523,23393,6
0.0015820217426576,79026,1
-0.0662983425414364,47677,9
-0.0906801007556675,27422,6
-0.0397698533131005,46578,3
-0.0972638690848123,11995,8
-0.0109011627906977,11308,6
-0.1206581352833638,24441,1
0.0604303904228482,24476,6
0.1329697986577183,30648,3
-0.0086311530681052,18729,3
-0.0065691554237026,61735,5
0.018526886579304,89525,3
0.0703974047039739,25081,7
0.0627299807254249,25129,7
0.0088300220750552,25452,3
0.1408962454582156,25487,9
-0.1119807344972907,40125,9
-0.0118577075098813,26084,3
0.0489367780906901,79618,4
0.0287667331244658,13625,1
0.062654668166479,11404,6
0.2427317295633337,26607,0
0.0275689223057642,26650,3
0.0142743854084061,23229,5
-0.0134940390410061,30840,9
0.0544520547945206,91983,9
0.1119625372498935,27430,1
0.1195482866043613,59248,1
0.0240574506283661,22293,2
0.0575813221406085,20204,2
0.0033414337788577,17726,5
0.1660447761194028,59256,3
0.0167460661180887,31077,5
0.0667389471148054,27888,7
0.0897702150465598,41080,6
0.0548760600130464,18091,6
-0.0918181818181818,19828,5
0.1343283582089551,92570,1
0.0555555555555555,28629,1
0.014218009478673,80912,0
-0.0044936052540615,91926,6
0.0668402777777776,61743,1
0.025451257134043,11674,6
-0.108380149812734,76708,2
-0.0216903515332833,29867,9
-0.000892060660125,40440,0
-0.0411392405063292,79322,9
0.0984952120383038,44943,5
-0.0505608371383387,26403,6
0.0866141732283463,10886,0
0.0439263171454336,64936,2
0.5578512396694215,38682,0
0.0620866225730745,25953,6
0.0294504338679988,30681,7
0.0296260320543952,63132,5
0.0336424412335563,27959,2
0.0944236176194939,30940,7
-0.2109375,31051,0
0.0298669891172913,42200,6
0.1251133272892113,31480,2
0.0954356846473027,14276,0
0.0301040634291378,11762,6
-0.0400853569870583,70578,5
0.0056971514242878,82855,6
-0.0090206185567009,32062,3
0.1220003356267829,22103,2
-0.0538211070676115,81124,9
-0.0073194483711871,32548,4
0.0332033021863376,32986,5
-0.0390080612105478,52476,6
0.0542110358180059,33532,1
-0.0553564317005177,31691,3
-0.0056029489204845,42550,2
0.0531520395550062,33770,9
0.0448663853727147,87717,6
0.0126640571033846,33823,4
0.0978609625668449,87725,9
0.0311039719626167,11850,3
0.0156376694080853,19166,5
0.0634928336680664,24205,8
0.0667215815485995,34367,9
0.1019858633456749,47706,8
0.1638861629048087,21135,1
0.0351606805293005,34746,2
0.0437576499388003,35263,7
0.0606162379528512,10777,6
0.0804321810798043,35554,7
0.0233733417561592,36397,3
0.054101639918511,54244,7
-0.0211360634081902,36768,9
0.0144736842105261,88924,6
0.082625919637804,88853,0
-0.1423236514522821,37154,3
-0.0010905125408942,25785,1
0.0883977900552486,37402,6
0.0427480916030533,37568,2
0.0981735159817351,37584,9
0.0220472440944883,58421,3
0.0445971436270546,12036,6
-0.0125675228750964,38093,5
0.0852550663871418,47941,7
-0.0329312655561937,20765,8
-0.0446489256025515,12052,2
0.0836363636363635,12060,9
0.3303571428571428,46834,0
0.0577352472089311,14558,5
0.0105149636020489,12369,2
0.0542819499341236,55212,5
0.0351503759398494,38659,5
0.1030014398050724,46674,2
0.0702364394993044,57154,1
-0.1041666666666666,32299,3
0.2558849171752395,16432,9
0.1647137596250418,53604,2
-0.0140304238664892,85908,7
0.0103138029405309,39571,1
0.0787615426398695,60468,7
0.0858761222684496,52695,6
0.0343761638733706,39731,8
-0.0700934579439253,90213,0
0.0005307855626328,23819,9
-0.013102502246819,25582,8
0.0592178770949722,25304,5
0.0744093419027789,52978,5
0.0962434026699783,41188,5
0.057941024314537,10294,3
-0.0417136414881623,41241,7
0.0771618625277161,41292,1
0.1751563896336014,76927,5
-0.0112359550561798,32651,9
0.0946316614420061,15408,9
0.065974993349295,32707,9
-0.0220216431095404,16600,8
-0.0240047534165182,61567,5
-0.0227526002971768,52716,5
0.0080112590667964,14338,8
0.2091974752028855,32803,5
0.1381853158063481,42439,7
0.0899241603466955,21792,6
0.0019825377459206,32942,2
0.0241577193631987,42877,6
0.0769811320754716,42906,2
-0.0666666666666666,87464,0
0.0750175685172169,12570,5
0.0522388059701492,80210,1
0.0260449867953738,21928,6
0.0442413586013612,56573,6
0.005079365079365,43634,0
0.0175076389462383,12431,5
0.2416302765647742,14855,3
0.083080040526849,44274,7
0.2017191977077364,46463,6
0.0869014975743514,59328,5
0.3067873303167419,44768,3
0.0729727735556702,12490,3
0.1179043280182232,40272,3
0.0671140939597314,45306,9
0.0695652173913043,21573,1
