month,1,2,3,number of clusters
1990-02,254,250,4,2
1990-03,258,253,5,2
1990-04,243,242,1,2
1990-05,243,243,0,1
1990-06,244,242,2,2
1990-07,265,262,3,2
1990-08,246,243,3,2
1990-09,248,244,4,2
1990-10,249,247,2,2
1990-11,250,248,2,2
1990-12,60,32,28,25
1991-01,103,55,48,12
1991-02,125,65,60,12
1991-03,267,263,4,3
1991-04,267,263,4,3
1991-05,268,264,4,3
1991-06,243,239,4,2
1991-07,266,255,11,3
1991-08,245,241,4,2
1991-09,309,273,36,8
1991-10,350,342,8,3
1991-11,352,344,8,3
1991-12,363,357,6,3
1992-01,362,357,5,4
1992-02,368,361,7,4
1992-03,227,132,95,16
1992-04,279,194,85,11
1992-05,375,375,0,1
1992-06,378,378,0,1
1992-07,383,381,2,2
1992-08,387,372,15,2
1992-09,389,389,0,1
1992-10,392,392,0,1
1992-11,396,396,0,1
1992-12,381,359,22,4
1993-01,414,410,4,2
1993-02,384,384,0,1
1993-03,395,395,0,1
1993-04,397,397,0,1
1993-05,399,399,0,1
1993-06,402,402,0,1
1993-07,405,405,0,1
1993-08,410,410,0,1
1993-09,413,413,0,1
1993-10,417,417,0,1
1993-11,419,419,0,1
1993-12,424,424,0,1
1994-01,426,426,0,1
1994-02,433,433,0,1
1994-03,436,436,0,1
1994-04,439,439,0,1
1994-05,441,441,0,1
1994-06,442,442,0,1
1994-07,446,446,0,1
1994-08,447,447,0,1
1994-09,449,449,0,1
1994-10,450,450,0,1
1994-11,454,454,0,1
1994-12,460,460,0,1
1995-01,463,463,0,1
1995-02,463,463,0,1
1995-03,466,449,17,2
1995-04,469,452,17,2
1995-05,471,455,16,2
1995-06,476,476,0,1
1995-07,479,479,0,1
1995-08,478,478,0,1
1995-09,483,483,0,1
1995-10,483,483,0,1
1995-11,484,470,14,2
1995-12,482,482,0,1
1996-01,484,484,0,1
1996-02,487,487,0,1
1996-03,492,492,0,1
1996-04,551,551,0,1
1996-05,556,556,0,1
1996-06,559,559,0,1
1996-07,559,559,0,1
1996-08,560,560,0,1
1996-09,560,560,0,1
1996-10,563,563,0,1
1996-11,562,562,0,1
1996-12,526,526,0,1
1997-01,529,529,0,1
1997-02,531,531,0,1
1997-03,537,536,1,2
1997-04,539,539,0,1
1997-05,543,543,0,1
1997-06,494,394,100,5
1997-07,491,390,101,5
1997-08,495,383,112,5
1997-09,555,473,82,3
1997-10,553,478,75,3
1997-11,552,520,32,3
1997-12,611,611,0,1
1998-01,622,622,0,1
1998-02,624,624,0,1
1998-03,684,676,8,2
1998-04,635,610,25,2
1998-05,692,681,11,3
1998-06,640,640,0,1
1998-07,653,653,0,1
1998-08,627,576,51,4
1998-09,727,727,0,1
1998-10,735,735,0,1
1998-11,733,723,10,2
1998-12,740,740,0,1
1999-01,681,670,11,4
1999-02,745,731,14,4
1999-03,817,817,0,1
1999-04,810,810,0,1
1999-05,807,806,1,2
1999-06,802,800,2,2
1999-07,813,812,1,2
1999-08,799,799,0,1
1999-09,793,793,0,1
1999-10,716,701,15,3
1999-11,780,780,0,1
1999-12,702,702,0,1
2000-01,758,758,0,1
2000-02,754,751,3,2
2000-03,684,684,0,1
2000-04,678,654,24,3
2000-05,677,653,24,3
2000-06,679,659,20,3
2000-07,676,652,24,2
2000-08,674,651,23,2
2000-09,664,626,38,4
2000-10,663,661,2,2
2000-11,659,657,2,2
2000-12,652,651,1,2
2001-01,647,645,2,2
2001-02,645,643,2,3
2001-03,646,645,1,2
2001-04,645,644,1,2
2001-05,642,635,7,3
2001-06,642,640,2,3
2001-07,640,639,1,3
2001-08,639,638,1,2
2001-09,638,633,5,2
2001-10,632,627,5,2
2001-11,649,644,5,2
2001-12,658,658,0,1
2002-01,652,652,0,1
2002-02,649,649,0,1
2002-03,650,650,0,1
2002-04,649,649,0,1
2002-05,653,653,0,1
2002-06,653,653,0,1
2002-07,655,655,0,1
2002-08,651,651,0,1
2002-09,660,660,0,1
2002-10,653,653,0,1
2002-11,650,650,0,1
2002-12,642,642,0,1
2003-01,640,640,0,1
2003-02,636,636,0,1
2003-03,634,634,0,1
2003-04,632,632,0,1
2003-05,632,632,0,1
2003-06,632,632,0,1
2003-07,629,629,0,1
2003-08,622,621,1,2
2003-09,624,624,0,1
2003-10,621,621,0,1
2003-11,620,620,0,1
2003-12,616,615,1,2
2004-01,628,628,0,1
2004-02,629,626,3,2
2004-03,616,616,0,1
2004-04,613,613,0,1
2004-05,613,613,0,1
2004-06,613,613,0,1
2004-07,641,635,6,2
2004-08,639,633,6,2
2004-09,632,625,7,2
2004-10,598,598,0,1
2004-11,604,604,0,1
2004-12,628,628,0,1
2005-01,631,631,0,1
2005-02,623,623,0,1
2005-03,624,624,0,1
2005-04,623,623,0,1
2005-05,622,622,0,1
2005-06,619,619,0,1
2005-07,608,608,0,1
2005-08,603,603,0,1
2005-09,604,604,0,1
2005-10,603,603,0,1
2005-11,602,602,0,1
2005-12,605,589,16,2
2006-01,631,620,11,2
2006-02,626,618,8,2
2006-03,596,588,8,2
2006-04,573,567,6,2
2006-05,574,569,5,2
2006-06,594,592,2,2
2006-07,597,594,3,2
2006-08,595,591,4,2
2006-09,594,591,3,2
2006-10,593,590,3,2
2006-11,593,591,2,2
2006-12,565,565,0,1
2007-01,559,559,0,1
2007-02,559,559,0,1
2007-03,598,598,0,1
2007-04,600,600,0,1
