month,1,2,3,number of clusters
1979-05,0,0,0,0
1979-06,7,4,3,80
1979-07,13,7,6,164
1979-08,11,6,5,174
1979-09,13,7,6,169
1979-10,15,8,7,163
1979-11,13,7,6,164
1979-12,20,11,9,164
1980-01,17,9,8,171
1980-02,17,10,7,165
1980-03,13,7,6,172
1980-04,13,7,6,172
1980-05,15,8,7,168
1980-06,15,8,7,160
1980-07,13,7,6,167
1980-08,13,7,6,168
1980-09,11,6,5,159
1980-10,14,8,6,165
1980-11,11,6,5,127
1980-12,13,7,6,140
1981-01,15,9,6,140
1981-02,14,8,6,140
1981-03,13,7,6,106
1981-04,12,7,5,94
1981-05,9,5,4,92
1981-06,9,5,4,96
1981-07,14,9,5,158
1981-08,11,6,5,155
1981-09,9,6,3,75
1981-10,9,5,4,73
1981-11,7,4,3,89
1981-12,11,6,5,125
1982-01,9,5,4,128
1982-02,9,5,4,145
1982-03,9,5,4,123
1982-04,11,6,5,120
1982-05,7,4,3,121
1982-06,11,6,5,178
1982-07,14,8,6,161
1982-08,13,7,6,170
1982-09,11,6,5,158
1982-10,13,7,6,164
1982-11,15,9,6,135
1982-12,9,5,4,101
1983-01,11,7,4,113
1983-02,9,5,4,119
1983-03,11,6,5,91
1983-04,13,8,5,103
1983-05,11,7,4,88
1983-06,11,6,5,91
1983-07,9,5,4,91
1983-08,9,5,4,93
1983-09,12,7,5,85
1983-10,13,7,6,87
1983-11,11,6,5,82
1983-12,11,6,5,105
1984-01,11,6,5,110
1984-02,12,7,5,112
1984-03,11,6,5,91
1984-04,8,5,3,93
1984-05,9,5,4,96
1984-06,11,6,5,100
1984-07,9,5,4,96
1984-08,11,6,5,85
1984-09,12,7,5,68
1984-10,9,5,4,81
1984-11,9,5,4,78
1984-12,9,5,4,89
1985-01,9,5,4,97
1985-02,9,5,4,97
1985-03,7,4,3,85
1985-04,9,5,4,77
1985-05,9,5,4,88
1985-06,7,4,3,86
1985-07,7,4,3,92
1985-08,11,6,5,92
1985-09,9,5,4,75
1985-10,9,5,4,76
1985-11,7,4,3,71
1985-12,9,5,4,105
1986-01,11,6,5,105
1986-02,11,7,4,112
1986-03,9,5,4,77
1986-04,7,4,3,75
1986-05,7,4,3,83
1986-06,9,5,4,83
1986-07,7,4,3,83
1986-08,9,5,4,72
1986-09,5,3,2,65
1986-10,5,3,2,68
1986-11,10,6,4,85
1986-12,7,4,3,91
1987-01,9,5,4,93
1987-02,9,5,4,96
1987-03,7,4,3,103
1987-04,7,4,3,98
1987-05,11,6,5,97
1987-06,9,5,4,102
1987-07,11,6,5,125
1987-08,9,5,4,124
1987-09,9,5,4,115
1987-10,11,6,5,135
1987-11,11,6,5,132
1987-12,11,6,5,140
1988-01,11,6,5,135
1988-02,15,9,6,138
1988-03,13,8,5,136
1988-04,15,8,7,141
1988-05,11,6,5,152
1988-06,13,7,6,140
1988-07,13,7,6,147
1988-08,13,7,6,144
1988-09,14,8,6,138
1988-10,13,7,6,138
1988-11,13,7,6,145
1988-12,22,13,9,170
1989-01,20,11,9,182
1989-02,15,8,7,188
1989-03,23,14,9,199
1989-04,21,11,10,197
1989-05,23,13,10,206
