month,1,2,3,number of clusters
1990-02,47,25,22,23
1990-03,36,19,17,24
1990-04,52,28,24,21
1990-05,47,30,17,24
1990-06,45,26,19,22
1990-07,37,20,17,23
1990-08,43,26,17,23
1990-09,39,21,18,25
1990-10,45,23,22,24
1990-11,62,35,27,23
1990-12,57,29,28,23
1991-01,64,36,28,22
1991-02,66,40,26,22
1991-03,40,23,17,24
1991-04,49,26,23,20
1991-05,60,34,26,23
1991-06,57,31,26,23
1991-07,38,20,18,24
1991-08,58,32,26,22
1991-09,52,29,23,25
1991-10,95,54,41,24
1991-11,106,55,51,23
1991-12,61,34,27,24
1992-01,96,54,42,24
1992-02,92,60,32,24
1992-03,89,49,40,25
1992-04,114,66,48,24
1992-05,74,38,36,25
1992-06,78,40,38,25
1992-07,88,45,43,25
1992-08,108,62,46,25
1992-09,113,84,29,24
1992-10,95,54,41,24
1992-11,126,68,58,25
1992-12,92,47,45,25
1993-01,112,79,33,25
1993-02,63,32,31,25
1993-03,106,54,52,23
1993-04,115,62,53,24
1993-05,91,56,35,23
1993-06,113,74,39,25
1993-07,118,70,48,24
1993-08,107,55,52,23
1993-09,74,42,32,23
1993-10,73,37,36,23
1993-11,90,48,42,25
1993-12,76,41,35,24
1994-01,88,48,40,23
1994-02,61,31,30,25
1994-03,83,54,29,25
1994-04,73,37,36,23
1994-05,59,31,28,22
1994-06,94,56,38,25
1994-07,70,37,33,25
1994-08,73,37,36,25
1994-09,84,44,40,23
1994-10,93,47,46,25
1994-11,98,52,46,24
1994-12,87,47,40,25
1995-01,91,60,31,24
1995-02,103,56,47,25
1995-03,97,61,36,25
1995-04,93,54,39,25
1995-05,77,39,38,25
1995-06,86,45,41,25
1995-07,75,40,35,25
1995-08,87,55,32,25
1995-09,85,54,31,24
1995-10,97,67,30,25
1995-11,86,45,41,25
1995-12,88,48,40,24
1996-01,99,56,43,25
1996-02,111,67,44,24
1996-03,62,34,28,25
1996-04,76,42,34,25
1996-05,91,54,37,25
1996-06,76,42,34,24
1996-07,91,49,42,24
1996-08,93,51,42,25
1996-09,108,66,42,25
1996-10,86,48,38,25
1996-11,89,47,42,25
1996-12,63,34,29,24
1997-01,83,43,40,24
1997-02,77,40,37,25
1997-03,88,55,33,25
1997-04,85,44,41,25
1997-05,89,45,44,25
1997-06,139,79,60,25
1997-07,140,71,69,25
1997-08,96,52,44,24
1997-09,91,46,45,25
1997-10,118,60,58,24
1997-11,106,55,51,25
1997-12,161,91,70,25
1998-01,84,50,34,25
1998-02,136,71,65,25
1998-03,151,105,46,25
1998-04,101,51,50,25
1998-05,120,65,55,25
1998-06,110,64,46,25
1998-07,158,102,56,25
1998-08,162,100,62,25
1998-09,142,82,60,25
1998-10,179,107,72,25
1998-11,124,73,51,25
1998-12,161,92,69,25
1999-01,168,89,79,25
1999-02,144,77,67,25
1999-03,147,86,61,25
1999-04,159,114,45,25
1999-05,167,94,73,25
1999-06,200,141,59,25
1999-07,191,126,65,25
1999-08,174,91,83,25
1999-09,151,95,56,25
1999-10,132,79,53,25
1999-11,160,88,72,25
1999-12,143,77,66,25
2000-01,216,120,96,25
2000-02,226,118,108,25
2000-03,144,80,64,24
2000-04,208,147,61,25
2000-05,130,66,64,25
2000-06,121,74,47,25
2000-07,148,94,54,25
2000-08,135,68,67,25
2000-09,125,66,59,24
2000-10,143,80,63,25
2000-11,147,96,51,25
2000-12,121,68,53,25
2001-01,189,120,69,25
2001-02,193,135,58,25
