month,1,2,3,number of clusters
1990-02,274,268,6,2
1990-03,279,274,5,2
1990-04,264,257,7,2
1990-05,265,257,8,2
1990-06,266,259,7,2
1990-07,253,246,7,2
1990-08,270,262,8,2
1990-09,225,219,6,2
1990-10,220,215,5,2
1990-11,90,84,6,2
1990-12,262,250,12,3
1991-01,269,257,12,2
1991-02,266,257,9,2
1991-03,299,293,6,2
1991-04,301,295,6,2
1991-05,300,294,6,2
1991-06,35,30,5,2
1991-07,293,287,6,2
1991-08,241,236,5,2
1991-09,360,353,7,2
1991-10,387,381,6,3
1991-11,388,382,6,3
1991-12,401,394,7,2
1992-01,303,296,7,2
1992-02,303,295,8,2
1992-03,357,348,9,4
1992-04,396,390,6,2
1992-05,340,334,6,2
1992-06,308,302,6,2
1992-07,0,0,0,0
1992-08,370,362,8,2
1992-09,14,8,6,2
1992-10,0,0,0,0
1992-11,21,12,9,2
1992-12,388,376,12,2
1993-01,74,68,6,2
1993-02,376,357,19,2
1993-03,378,361,17,2
1993-04,373,359,14,2
1993-05,370,356,14,2
1993-06,381,367,14,2
1993-07,382,368,14,2
1993-08,384,370,14,2
1993-09,391,377,14,2
1993-10,380,369,11,2
1993-11,376,364,12,2
1993-12,383,372,11,2
1994-01,386,373,13,2
1994-02,392,380,12,2
1994-03,404,393,11,2
1994-04,404,393,11,2
1994-05,408,395,13,2
1994-06,412,400,12,2
1994-07,412,403,9,2
1994-08,412,399,13,2
1994-09,417,405,12,2
1994-10,418,404,14,2
1994-11,423,409,14,2
1994-12,438,423,15,2
1995-01,440,425,15,2
1995-02,440,424,16,2
1995-03,409,394,15,2
1995-04,403,388,15,2
1995-05,407,392,15,2
1995-06,424,409,15,2
1995-07,420,406,14,2
1995-08,402,390,12,2
1995-09,428,413,15,2
1995-10,421,407,14,2
1995-11,421,410,11,2
1995-12,451,435,16,2
1996-01,444,428,16,2
1996-02,451,436,15,2
1996-03,455,449,6,2
1996-04,512,500,12,2
1996-05,531,520,11,2
1996-06,540,529,11,2
1996-07,540,530,10,2
1996-08,542,531,11,2
1996-09,524,514,10,2
1996-10,541,528,13,2
1996-11,543,529,14,2
1996-12,502,490,12,2
1997-01,509,498,11,2
1997-02,505,495,10,2
1997-03,501,492,9,2
1997-04,497,488,9,2
1997-05,514,504,10,2
1997-06,539,527,12,2
1997-07,557,551,6,2
1997-08,533,524,9,2
1997-09,535,526,9,2
1997-10,543,532,11,2
1997-11,547,536,11,2
1997-12,577,565,12,2
1998-01,591,578,13,2
1998-02,584,570,14,2
1998-03,630,621,9,2
1998-04,610,598,12,2
1998-05,637,626,11,2
1998-06,502,367,135,2
1998-07,506,365,141,2
1998-08,668,653,15,2
1998-09,493,354,139,2
1998-10,503,353,150,2
1998-11,658,652,6,2
1998-12,668,661,7,2
1999-01,748,740,8,2
1999-02,754,746,8,2
1999-03,472,312,160,2
1999-04,455,303,152,2
1999-05,732,726,6,2
1999-06,437,294,143,2
1999-07,469,299,170,2
1999-08,379,243,136,2
1999-09,332,216,116,2
1999-10,550,543,7,2
1999-11,374,248,126,2
1999-12,613,601,12,2
2000-01,397,255,142,2
2000-02,319,204,115,2
2000-03,664,656,8,2
2000-04,654,646,8,2
2000-05,654,646,8,2
2000-06,519,513,6,2
2000-07,581,575,6,2
2000-08,530,522,8,2
2000-09,541,534,7,2
2000-10,579,571,8,2
2000-11,536,529,7,2
2000-12,701,695,6,2
2001-01,696,690,6,2
2001-02,582,576,6,2
2001-03,703,697,6,2
2001-04,701,695,6,2
2001-05,707,701,6,2
2001-06,600,593,7,2
2001-07,691,685,6,2
2001-08,589,582,7,2
2001-09,574,568,6,2
2001-10,563,557,6,2
2001-11,575,569,6,2
2001-12,337,204,133,2
2002-01,399,231,168,2
2002-02,400,236,164,2
2002-03,289,188,101,2
2002-04,306,197,109,2
2002-05,326,207,119,2
2002-06,313,198,115,2
2002-07,268,168,100,2
2002-08,278,174,104,2
2002-09,287,179,108,2
2002-10,262,165,97,2
2002-11,313,193,120,2
2002-12,350,343,7,2
2003-01,307,301,6,2
2003-02,356,349,7,2
2003-03,213,117,96,2
2003-04,322,184,138,2
2003-05,318,173,145,2
2003-06,363,356,7,2
2003-07,191,105,86,2
2003-08,192,107,85,2
2003-09,214,111,103,2
2003-10,355,348,7,2
2003-11,351,345,6,2
2003-12,252,246,6,2
2004-01,296,170,126,2
2004-02,647,641,6,2
2004-03,285,152,133,2
2004-04,267,142,125,2
2004-05,275,150,125,2
2004-06,279,151,128,2
2004-07,303,166,137,2
2004-08,298,169,129,2
2004-09,263,148,115,2
2004-10,258,134,124,2
2004-11,290,149,141,2
2004-12,309,176,133,2
2005-01,331,180,151,2
2005-02,335,187,148,2
