month,1,2,3,number of clusters
1979-05,13,7,6,23
1979-06,26,16,10,216
1979-07,26,16,10,269
1979-08,25,16,9,283
1979-09,26,15,11,279
1979-10,26,16,10,282
1979-11,25,16,9,277
1979-12,28,18,10,252
1980-01,31,18,13,263
1980-02,29,18,11,255
1980-03,31,19,12,268
1980-04,27,19,8,268
1980-05,30,19,11,273
1980-06,30,19,11,263
1980-07,30,22,8,257
1980-08,26,19,7,260
1980-09,31,20,11,243
1980-10,32,21,11,237
1980-11,33,20,13,216
1980-12,33,23,10,235
1981-01,37,24,13,235
1981-02,37,24,13,232
1981-03,31,19,12,202
1981-04,30,18,12,194
1981-05,29,19,10,198
1981-06,29,18,11,186
1981-07,31,19,12,226
1981-08,30,19,11,207
1981-09,28,17,11,177
1981-10,30,16,14,177
1981-11,27,16,11,189
1981-12,28,16,12,205
1982-01,25,13,12,213
1982-02,23,12,11,222
1982-03,21,11,10,204
1982-04,19,10,9,205
1982-05,26,15,11,204
1982-06,28,15,13,231
1982-07,24,13,11,235
1982-08,26,15,11,234
1982-09,24,13,11,232
1982-10,27,16,11,223
1982-11,28,15,13,206
1982-12,29,15,14,195
1983-01,30,16,14,204
1983-02,27,14,13,210
1983-03,32,17,15,190
1983-04,29,15,14,192
1983-05,35,19,16,178
1983-06,27,14,13,203
1983-07,27,14,13,206
1983-08,27,14,13,206
1983-09,25,13,12,199
1983-10,27,14,13,200
1983-11,29,15,14,191
1983-12,29,16,13,197
1984-01,29,16,13,201
1984-02,30,18,12,202
1984-03,28,17,11,201
1984-04,29,17,12,199
1984-05,29,17,12,198
1984-06,29,17,12,196
1984-07,28,17,11,195
1984-08,27,17,10,194
1984-09,29,17,12,182
1984-10,29,17,12,183
1984-11,29,17,12,186
1984-12,25,13,12,201
1985-01,21,12,9,203
1985-02,25,13,12,207
1985-03,25,13,12,196
1985-04,25,13,12,198
1985-05,29,15,14,203
1985-06,30,17,13,197
1985-07,26,14,12,199
1985-08,26,14,12,196
1985-09,34,20,14,184
1985-10,33,21,12,178
1985-11,34,21,13,181
1985-12,28,15,13,196
1986-01,33,17,16,190
1986-02,28,15,13,190
1986-03,29,16,13,176
1986-04,31,19,12,169
1986-05,32,17,15,181
1986-06,29,16,13,170
1986-07,33,17,16,168
1986-08,35,19,16,167
1986-09,45,27,18,153
1986-10,33,18,15,163
1986-11,31,16,15,165
1986-12,29,15,14,185
1987-01,27,14,13,185
1987-02,27,14,13,179
1987-03,25,14,11,176
1987-04,24,14,10,179
1987-05,26,14,12,176
1987-06,27,15,12,189
1987-07,27,14,13,186
1987-08,27,14,13,192
1987-09,29,15,14,185
1987-10,29,15,14,194
1987-11,28,15,13,198
1987-12,29,15,14,205
1988-01,30,17,13,199
1988-02,31,16,15,209
1988-03,26,14,12,210
1988-04,26,14,12,208
