month,1,2,3,number of clusters
1990-01,1746,1707,39,6
1990-02,1756,1717,39,6
1990-03,1682,1649,33,5
1990-04,1688,1655,33,5
1990-05,1705,1672,33,6
1990-06,1718,1685,33,7
1990-07,1725,1692,33,7
1990-08,1750,1717,33,9
1990-09,1745,1676,69,7
1990-10,1752,1680,72,7
1990-11,1764,1693,71,7
1990-12,1887,1848,39,6
1991-01,1894,1855,39,7
1991-02,1878,1833,45,8
1991-03,1806,1766,40,11
1991-04,1827,1786,41,10
1991-05,1845,1803,42,10
1991-06,1879,1831,48,7
1991-07,1915,1862,53,7
1991-08,1975,1936,39,6
1991-09,1960,1922,38,6
1991-10,1957,1918,39,8
1991-11,1979,1940,39,7
1991-12,2057,2020,37,6
1992-01,2022,1984,38,7
1992-02,2051,2013,38,5
1992-03,1956,1918,38,7
1992-04,1953,1916,37,7
1992-05,1960,1923,37,7
1992-06,1987,1950,37,7
1992-07,1999,1962,37,7
1992-08,2004,1966,38,8
1992-09,1984,1945,39,8
1992-10,1967,1928,39,9
1992-11,1980,1941,39,10
1992-12,2049,2012,37,5
1993-01,2037,1998,39,6
1993-02,2047,2008,39,5
1993-03,1993,1953,40,5
1993-04,2031,1989,42,5
1993-05,2013,1971,42,8
1993-06,1994,1953,41,8
1993-07,2004,1959,45,8
1993-08,2016,1970,46,8
1993-09,1983,1925,58,9
1993-10,1981,1918,63,10
1993-11,1992,1927,65,9
1993-12,2023,1910,113,10
1994-01,2047,1933,114,9
1994-02,2043,1929,114,9
1994-03,1978,1858,120,7
1994-04,1988,1859,129,8
1994-05,2002,1871,131,10
1994-06,2002,1893,109,10
1994-07,2018,1919,99,11
1994-08,2032,1933,99,11
1994-09,2017,1935,82,8
1994-10,2005,1931,74,8
1994-11,1995,1925,70,8
1994-12,2057,2015,42,9
1995-01,2061,2019,42,8
1995-02,2065,2023,42,9
1995-03,2051,2009,42,9
1995-04,2073,2030,43,8
1995-05,2086,2043,43,8
1995-06,2050,2004,46,9
1995-07,2077,2032,45,9
1995-08,2103,2058,45,8
1995-09,2101,2058,43,6
1995-10,2109,2066,43,6
1995-11,2130,2088,42,6
1995-12,2347,2302,45,6
1996-01,2362,2313,49,5
1996-02,2378,2329,49,6
1996-03,2192,2146,46,6
1996-04,2212,2166,46,7
1996-05,2233,2187,46,6
1996-06,2306,2265,41,4
1996-07,2568,2527,41,5
1996-08,2556,2511,45,6
1996-09,2465,2427,38,6
1996-10,2502,2461,41,5
1996-11,2571,2530,41,5
1996-12,2658,2616,42,8
1997-01,2690,2648,42,6
1997-02,2690,2648,42,4
1997-03,2560,2513,47,5
1997-04,2604,2557,47,5
1997-05,2615,2568,47,5
1997-06,2628,2587,41,6
1997-07,2644,2598,46,7
1997-08,2706,2659,47,6
1997-09,2620,2574,46,7
1997-10,2629,2586,43,8
1997-11,2646,2604,42,7
1997-12,2689,2604,85,9
1998-01,2705,2621,84,9
1998-02,2729,2643,86,11
1998-03,2674,2590,84,12
1998-04,2696,2612,84,12
1998-05,2711,2626,85,11
1998-06,2728,2649,79,8
1998-07,2737,2658,79,8
1998-08,2750,2672,78,8
1998-09,2725,2642,83,8
1998-10,2681,2599,82,9
1998-11,2704,2622,82,8
1998-12,2734,2693,41,10
1999-01,2744,2693,51,8
1999-02,2762,2710,52,7
1999-03,2857,2643,214,8
1999-04,2853,2639,214,8
1999-05,2849,2634,215,8
1999-06,2841,2790,51,8
1999-07,2859,2808,51,8
1999-08,2862,2812,50,9
1999-09,2820,2762,58,9
1999-10,2840,2771,69,8
1999-11,2880,2808,72,9
1999-12,3066,2892,174,10
2000-01,3100,2924,176,9
2000-02,3100,2912,188,7
2000-03,2609,2400,209,8
2000-04,2621,2411,210,8
2000-05,2639,2420,219,9
2000-06,2594,2410,184,8
2000-07,2617,2438,179,8
2000-08,2634,2460,174,8
2000-09,2587,2446,141,8
2000-10,2553,2418,135,8
2000-11,2589,2455,134,9
2000-12,3032,2966,66,10
2001-01,3099,3038,61,9
2001-02,3129,3068,61,9
2001-03,2883,2820,63,11
2001-04,2896,2831,65,10
2001-05,2898,2840,58,11
2001-06,2898,2837,61,10
2001-07,2902,2841,61,9
2001-08,2928,2866,62,10
2001-09,2835,2776,59,10
2001-10,2860,2800,60,9
2001-11,2897,2835,62,8
2001-12,3035,2997,38,8
2002-01,3062,3021,41,7
2002-02,3076,3033,43,7
2002-03,2969,2929,40,9
2002-04,2991,2951,40,7
2002-05,3021,2981,40,8
2002-06,3014,2974,40,8
2002-07,3039,2998,41,8
2002-08,3068,3029,39,7
2002-09,2984,2949,35,9
2002-10,2993,2957,36,10
2002-11,2992,2953,39,9
2002-12,2934,2878,56,10
2003-01,2941,2887,54,9
2003-02,2947,2888,59,9
2003-03,2877,2800,77,9
2003-04,2886,2813,73,8
2003-05,2889,2816,73,9
2003-06,2943,2894,49,8
2003-07,2970,2916,54,7
2003-08,2992,2936,56,7
2003-09,2881,2828,53,9
2003-10,2885,2824,61,9
2003-11,2949,2915,34,10
2003-12,2918,2730,188,11
2004-01,2931,2746,185,12
2004-02,2941,2752,189,12
2004-03,2850,2662,188,11
2004-04,2872,2677,195,11
2004-05,2879,2673,206,14
2004-06,2892,2703,189,11
2004-07,2909,2724,185,11
2004-08,2939,2753,186,10
2004-09,2910,2744,166,11
2004-10,2919,2753,166,10
2004-11,2931,2772,159,10
2004-12,2966,2885,81,11
2005-01,2971,2889,82,11
2005-02,2979,2897,82,11
2005-03,2898,2816,82,12
2005-04,2903,2821,82,10
2005-05,2918,2835,83,12
2005-06,2839,2760,79,13
2005-07,2836,2759,77,13
2005-08,2873,2795,78,11
2005-09,2800,2725,75,11
2005-10,2794,2719,75,10
2005-11,2796,2722,74,10
2005-12,2929,2821,108,10
2006-01,2921,2791,130,9
2006-02,2914,2784,130,11
2006-03,2827,2719,108,12
2006-04,2827,2721,106,10
2006-05,2832,2727,105,10
2006-06,2839,2707,132,8
2006-07,2841,2709,132,8
2006-08,2850,2713,137,7
2006-09,2811,2777,34,7
2006-10,2817,2783,34,7
2006-11,2823,2790,33,8
2006-12,2733,2640,93,11
2007-01,2742,2663,79,9
2007-02,2734,2663,71,12
2007-03,2635,2562,73,8
2007-04,2625,2562,63,8
2007-05,2635,2569,66,7
2007-06,2599,2528,71,9
2007-07,2606,2538,68,9
2007-08,2609,2541,68,9
2007-09,2563,2499,64,8
2007-10,2557,2493,64,7
2007-11,2561,2498,63,8
2007-12,2568,2531,37,11
2008-01,2576,2535,41,8
2008-02,2534,2292,242,11
2008-03,2449,2194,255,15
