month,1,2,3,number of clusters
1990-02,225,225,0,1
1990-03,273,273,0,1
1990-04,204,204,0,1
1990-05,204,204,0,1
1990-06,258,258,0,1
1990-07,229,229,0,1
1990-08,250,250,0,1
1990-09,215,215,0,1
1990-10,218,218,0,1
1990-11,237,237,0,1
1990-12,98,50,48,3
1991-01,59,30,29,3
1991-02,83,53,30,2
1991-03,274,274,0,1
1991-04,263,263,0,1
1991-05,273,273,0,1
1991-06,200,200,0,1
1991-07,206,206,0,1
1991-08,229,229,0,1
1991-09,126,126,0,1
1991-10,355,355,0,1
1991-11,236,236,0,1
1991-12,360,360,0,1
1992-01,370,370,0,1
1992-02,360,360,0,1
1992-03,193,124,69,2
1992-04,302,302,0,1
1992-05,417,417,0,1
1992-06,379,379,0,1
1992-07,376,376,0,1
1992-08,382,382,0,1
1992-09,381,381,0,1
1992-10,390,390,0,1
1992-11,388,388,0,1
1992-12,407,407,0,1
1993-01,460,460,0,1
1993-02,403,403,0,1
1993-03,439,439,0,1
1993-04,399,399,0,1
1993-05,406,406,0,1
1993-06,404,404,0,1
1993-07,404,404,0,1
1993-08,418,418,0,1
1993-09,415,415,0,1
1993-10,420,420,0,1
1993-11,426,426,0,1
1993-12,436,436,0,1
1994-01,436,436,0,1
1994-02,432,432,0,1
1994-03,453,453,0,1
1994-04,457,457,0,1
1994-05,445,445,0,1
1994-06,452,452,0,1
1994-07,463,463,0,1
1994-08,428,428,0,1
1994-09,457,457,0,1
1994-10,447,447,0,1
1994-11,443,443,0,1
1994-12,484,484,0,1
1995-01,457,457,0,1
1995-02,444,444,0,1
1995-03,464,464,0,1
1995-04,487,487,0,1
1995-05,470,470,0,1
1995-06,496,496,0,1
1995-07,484,484,0,1
1995-08,484,484,0,1
1995-09,496,496,0,1
1995-10,482,482,0,1
1995-11,521,521,0,1
1995-12,451,451,0,1
1996-01,443,443,0,1
1996-02,471,471,0,1
1996-03,489,489,0,1
1996-04,575,575,0,1
1996-05,553,553,0,1
1996-06,572,572,0,1
1996-07,581,581,0,1
1996-08,581,581,0,1
1996-09,581,581,0,1
1996-10,626,626,0,1
1996-11,581,581,0,1
1996-12,533,533,0,1
1997-01,544,544,0,1
1997-02,544,544,0,1
1997-03,552,552,0,1
1997-04,536,536,0,1
1997-05,549,549,0,1
1997-06,506,506,0,1
1997-07,543,543,0,1
1997-08,558,558,0,1
1997-09,578,578,0,1
1997-10,572,572,0,1
1997-11,565,565,0,1
1997-12,653,653,0,1
1998-01,661,661,0,1
1998-02,663,663,0,1
1998-03,733,733,0,1
1998-04,645,645,0,1
1998-05,771,771,0,1
1998-06,673,673,0,1
1998-07,686,686,0,1
1998-08,647,647,0,1
1998-09,781,781,0,1
1998-10,794,794,0,1
1998-11,773,773,0,1
1998-12,785,785,0,1
1999-01,670,670,0,1
1999-02,798,798,0,1
1999-03,875,875,0,1
1999-04,900,900,0,1
1999-05,838,838,0,1
1999-06,835,835,0,1
1999-07,858,858,0,1
1999-08,835,835,0,1
1999-09,808,808,0,1
1999-10,750,750,0,1
1999-11,813,813,0,1
1999-12,681,681,0,1
2000-01,789,789,0,1
2000-02,795,795,0,1
2000-03,663,663,0,1
2000-04,656,656,0,1
2000-05,660,660,0,1
2000-06,710,710,0,1
2000-07,700,700,0,1
2000-08,661,661,0,1
2000-09,670,670,0,1
2000-10,691,691,0,1
2000-11,669,669,0,1
2000-12,643,643,0,1
2001-01,642,642,0,1
2001-02,662,662,0,1
2001-03,662,662,0,1
2001-04,685,685,0,1
2001-05,664,664,0,1
2001-06,674,674,0,1
2001-07,659,659,0,1
2001-08,651,651,0,1
2001-09,656,656,0,1
2001-10,641,641,0,1
2001-11,669,669,0,1
2001-12,642,642,0,1
2002-01,681,681,0,1
2002-02,671,671,0,1
2002-03,673,673,0,1
2002-04,639,639,0,1
2002-05,675,675,0,1
2002-06,675,675,0,1
2002-07,672,672,0,1
2002-08,667,667,0,1
2002-09,662,662,0,1
2002-10,675,675,0,1
2002-11,662,662,0,1
2002-12,714,714,0,1
2003-01,683,683,0,1
2003-02,666,666,0,1
2003-03,674,674,0,1
2003-04,677,677,0,1
2003-05,608,608,0,1
2003-06,658,658,0,1
2003-07,633,633,0,1
2003-08,604,604,0,1
2003-09,646,646,0,1
2003-10,629,629,0,1
2003-11,643,643,0,1
2003-12,630,630,0,1
2004-01,623,623,0,1
2004-02,635,635,0,1
2004-03,685,685,0,1
2004-04,633,633,0,1
2004-05,682,682,0,1
2004-06,649,649,0,1
2004-07,693,693,0,1
2004-08,666,666,0,1
