mom1,firms,clusters
0.342756183745583,54594,2
0.5462962962962963,11624,4
0.056,11790,2
-0.1238532110091743,12320,7
-0.2203389830508474,13056,1
-0.1057692307692307,50091,7
1.8393782383419688,14286,5
0.0,14526,1
-0.1322869955156951,11581,6
0.0344827586206897,15203,1
0.28,15748,8
-0.0238095238095238,16126,6
0.0188679245283018,17137,7
-0.1912568306010929,85885,4
0.1439790575916231,85914,5
0.1176470588235294,38471,4
-0.1711145996860282,18092,8
0.3333333333333332,18244,5
0.0828402366863905,67176,0
0.6764705882352942,20336,8
0.3345656192236599,20670,9
-0.0666666666666666,64899,6
-0.0769230769230768,22905,8
0.0503246753246753,47175,8
-0.1474316210807205,23660,6
0.1187050359712229,23975,6
1.75,24548,9
-0.0113636363636363,82542,4
-0.1316306483300588,30680,2
-0.2361516034985422,56274,1
-0.0408653846153845,64565,3
0.25,27642,8
0.0158730158730158,28215,6
-0.2007366482504604,63554,2
-0.2651515151515151,30593,5
0.3387096774193547,31318,8
0.0384615384615385,31668,0
-0.0433962264150943,54391,6
-0.0645161290322581,32046,7
-0.2925117004680188,32054,8
-0.0714285714285714,47511,6
-0.2536231884057971,33188,8
0.0444444444444445,48143,1
0.0,23552,2
-0.1169036334913111,60628,3
0.0064516129032257,57330,3
-0.0557692307692307,37875,6
-0.0461538461538461,20765,7
0.0561122244488978,17144,0
-0.1320754716981131,39328,1
-0.1515837104072398,26657,3
0.3333333333333332,40540,5
0.0408163265306122,22250,1
0.1304347826086955,64979,3
-0.125,41452,3
-0.03125,62287,7
1.591194968553459,44821,5
-0.1379310344827586,53129,1
0.3894230769230768,89181,5
0.0733333333333332,46843,3
-0.0677966101694915,47141,1
0.4399999999999999,48550,5
-0.0357142857142857,48697,0
-0.1489361702127659,61145,1
0.0352941176470589,52708,0
0.0913461538461537,49585,2
-0.0457142857142857,64020,3
-0.0617977528089888,51423,7
-0.039039039039039,67328,3
0.1323529411764705,67002,2
0.0354609929078013,52090,0
0.5597989949748743,53613,5
-0.0601719197707736,54114,6
-0.1022727272727272,55160,6
-0.04,64442,9
0.0638297872340425,55862,8
-0.03125,56363,0
-0.2307692307692307,52337,1
0.430952380952381,51377,9
-0.1708542713567838,22066,3
-0.375,57665,3
0.5,67010,5
-0.036231884057971,34948,7
0.2013201320132014,35107,6
0.1361702127659574,61621,8
0.0606060606060605,51692,0
-0.0304878048780488,65307,7
0.4285714285714286,66852,8
-0.0265486725663717,46922,3
-0.1220930232558139,67193,7
0.0,67679,3
-0.1739130434782608,67732,4
-0.1967054263565891,77354,6
-0.0742358078602619,69199,3
-0.0175438596491228,69682,6
0.3837209302325581,70288,6
0.1818181818181818,70798,5
0.0749999999999999,38850,2
-0.0344827586206896,71002,0
0.1635514018691588,72128,9
0.2526041666666667,72486,8
0.1818181818181818,72710,2
-0.0927835051546391,27764,7
-0.0451388888888888,44951,0
-0.1637931034482759,74500,0
0.0,60353,0
-0.0581395348837209,74740,3
0.1142857142857143,65752,4
0.4298921417565484,40061,8
0.0416666666666667,75417,3
-0.188034188034188,40694,1
0.9310344827586208,76129,5
-0.125,65306,7
-0.0178571428571429,79039,0
0.0406976744186047,61698,8
-0.024793388429752,92874,7
-0.0133333333333333,81294,6
-0.0760626398210291,19502,4
0.119047619047619,81614,4
-0.2894736842105263,82449,0
0.0788643533123027,51086,8
-0.0822510822510822,83601,7
-0.1111111111111111,83919,1
0.0305343511450382,62042,3
0.1336206896551723,10012,9
0.0231481481481481,88867,4
0.0540540540540539,21785,1
0.3846153846153846,65067,8
-0.1428571428571429,10044,1
0.0632075471698112,69032,0
0.486393345121717,10104,5
1.7906976744186047,10160,5
-0.1161971830985915,10216,9
0.032258064516129,39416,2
0.8524404086265607,75510,5
0.3999999999999999,10800,4
-0.0887096774193548,89659,6
-0.06,10972,0
0.28125,10087,4
-0.1240875912408758,11353,5
0.3621711578947368,75033,9
1.0919540229885056,75094,9
-0.1182795698924731,75174,3
0.1219512195121952,11694,6
0.0245098039215685,11614,0
-0.0697674418604651,11757,2
0.2666666666666666,75110,5
0.0271739130434782,11956,6
-0.25,11952,0
0.5900000000000001,10114,6
0.0,12099,7
0.0597014925373133,11106,4
0.1358024691358024,11794,5
0.0150943396226415,12211,7
0.2916666666666667,12171,5
-0.0285714285714285,82540,3
0.2620967741935485,75434,8
-0.5872791519434629,80297,0
0.9898477157360406,75625,9
0.125,75657,0
-0.0566037735849056,75976,6
-0.0981067125645438,75857,5
0.0117647058823529,75993,0
-0.1388888888888888,77488,6
-0.125,76526,5
0.0,77820,7
-0.0465116279069767,76400,6
0.0124771408330035,76138,1
0.0217391304347827,76276,4
0.0338983050847456,76410,6
-0.1666666666666666,76279,2
-0.1565217391304347,76568,0
0.9384615384615383,76990,5
-0.0857142857142857,76605,0
-0.0512820512820513,76623,6
0.7558139534883721,76988,5
0.153179190751445,76752,8
0.0,76772,6
0.3288590604026846,76774,4
0.117117117117117,76797,8
-0.0323785803237858,77163,4
-0.1111111111111111,77478,5
0.0606060606060605,79580,9
0.0234375,77637,7
0.2416502946954812,77667,6
0.0434782608695651,77669,2
-0.2023809523809523,77989,2
-0.101123595505618,77803,2
0.0978260869565217,79094,5
-0.2222222222222222,79562,6
0.0871212121212121,79255,3
0.3426883308714918,79505,9
0.0140485312899105,87055,4
-0.1358885017421602,79866,7
0.2777777777777777,79931,0
0.1043165467625899,79950,6
0.062330623306233,80032,8
0.1858407079646018,80006,6
