,proportion
BIRCH,0.21308631774834513
DBSCAN,0.16275306636901818
Gaussian_Mixture_Model,0.2217234021421174
HDBSCAN,0.20792028602316676
Hierarchical_Agglomerative,0.20844705675180253
K_Means_outlier,0.43709003892822934
Meanshift,0.1991740812761013
OPTICS,0.15653240928988799
Reversal,0.199377896832933
FTSE 100,0.0
