,,,,,,,,K_mean,DBSCAN,Agglomerative,OPTICS,HDBSCAN,BIRCH,GMM,Meanshift,Reversal,FTSE 100,,,,,
,,,,,,,03/1990-12/1991,-0.0581,-0.0980,-0.0419,-0.0619,-0.0414,-0.1389,-0.0585,-0.0420,-0.0606,-0.1633,,,,,
,,,,,,,01/1992-12/1994(Black_Wednesday),-0.0286,-0.2385,-0.0370,-0.0121,-0.0138,-0.0130,-0.0077,-0.0094,-0.0481,-0.1663,,,,,
,,,,,,,01/1995-12/2001(Dotcom_Bubble),-0.1182,-0.0068,-0.0522,-0.0312,-0.0312,-0.1128,-0.0327,-0.0095,-0.0673,-0.2981,,,,,
,,,,,,,01/2002-12/2006,-0.2716,-0.0646,-0.1115,-0.0856,-0.0427,-0.0639,-0.0428,-0.0427,-0.0194,-0.3096,,,,,
,,,,,,,01/2007-12/2009(GFC),-0.1298,-0.0534,-0.0534,-0.0534,-0.0163,-0.0674,-0.0420,-0.0097,-0.0235,-0.4714,,,,,
,,,,,,,01/2010-12/2013(eurozone_crisis),-0.1306,-0.1457,-0.2109,-0.1975,-0.1861,-0.3403,-0.1621,-0.1861,-0.0436,-0.1669,,,,,
,,,,,,,01/2014-12/2015,-0.0486,-0.0852,-0.0821,-0.0575,-0.0584,-0.1081,-0.0320,-0.0595,-0.0497,-0.1174,,,,,
,,,,,,,01/2016-12/2019(Brexit),-0.1183,-0.0736,-0.0665,-0.2312,-0.1125,-0.3380,-0.2337,-0.1598,-0.0183,-0.1313,,,,,
,,,,,,,01/2020-12/2022(Covid-19),-0.0615,-0.0507,-0.0610,-0.0707,-0.0534,-0.0680,-0.0643,-0.0620,-0.0575,-0.2932,,,,,
,,,,,,,Overall,-0.0925,,,-0.0859,,,,,-0.1392,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
