,BIRCH,Hierarchical_Agglomerative,Reversal
03/1990-12/1991,0.012995921861220155,-0.012019062820592601,-0.10504397255916564
01/1992-12/1994(Black_Wednesday),-0.36533364727931145,-0.10216221371945114,-0.5414699725382663
01/1995-12/2001(Dotcom_Bubble),-0.1691387138440455,-0.27876581910313647,-0.07601326643276289
01/2002-12/2006,-0.11822271612983655,-0.07902886044446099,-0.13567659217835454
01/2007-12/2009(GFC),-0.2598330550346385,-0.2744335422453781,-0.06057828685730428
01/2010-12/2013(eurozone_crisis),-0.10031987584755236,-0.06215307952462263,-0.06582979053772982
01/2014-12/2015,0.040850477024785566,0.04400410001646711,0.04148477585588453
01/2016-12/2019(Brexit),-0.061312102979609914,-0.07413369461632588,-0.031226296671197713
01/2020-12/2022(Covid-19),-0.1238565205819599,-0.14444488159830687,-0.1416783462510457
01/2023-07/2023,0.05399681063315671,-0.1454618238339655,-0.5127051838987118
Overall,-0.07572602123510981,-0.05850245345202463,-0.048077744404288386
