,BIRCH,Hierarchical_Agglomerative,Reversal
03/1990-12/1991,-0.11098895518997695,0.09072420154236209,0.8325006315072871
01/1992-12/1994(Black_Wednesday),1.022577701102895,0.45664559785343267,1.600167222402307
01/1995-12/2001(Dotcom_Bubble),1.0923421078100761,1.636602202606331,0.5247307941548085
01/2002-12/2006,0.7262892963418952,0.5220623910628468,0.6234458286135974
01/2007-12/2009(GFC),1.1253528328381097,1.1755112857878913,0.3513965736848301
01/2010-12/2013(eurozone_crisis),0.7024577190698517,0.5456122247427205,0.44204857240875806
01/2014-12/2015,-0.4169417436574247,-0.5259494614241987,-0.5776408341007992
01/2016-12/2019(Brexit),0.5458664642741287,0.6028017734614467,0.2628312401373915
01/2020-12/2022(Covid-19),0.4787341744441847,0.5454077013048862,0.5575726426905377
01/2023-07/2023,-0.14053602325688577,0.32250350150922996,1.2613080716386762
Overall,0.7423999789779756,0.8414601056003032,0.5025041472835062
