,Agglomerative,BIRCH,DBSCAN,GMM,HDBSCAN,K_mean,Meanshift,OPTICS,Reversal,FTSE 100
count,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0
mean,0.0601694720051709,0.08284105789982553,0.07009699641684437,0.0703341599213526,0.08480650855900664,0.03294079102037123,0.07595319031182748,0.08437765044056736,0.020456182334616674,0.004138802167680815
std,0.10748992932810546,0.1455456363284952,0.12168875110482008,0.10239313860092707,0.12388711289806209,0.058277070794135265,0.11375522500426398,0.1360598494915135,0.03635619084234688,0.04282821528394495
min,-0.16241610738255033,-0.5094936708860759,-0.23851148661477115,-0.1584232152028761,-0.21515151515151504,-0.10927163993867137,-0.24118004866180046,-0.1350282485875705,-0.04988173332316567,-0.19307872225054834
25%,0.0,0.0,0.0,0.006386001662880499,0.0024642130553344053,0.0,0.006636857958074581,0.0,0.00279210819075242,-0.017163499946843075
50%,0.023352366626782577,0.03517547823189421,0.024437699506394475,0.036583525998668695,0.04117845383035685,0.01676485862371299,0.04102850450220754,0.03209324375230859,0.013352687801672525,0.008147550277063043
75%,0.08053550538664045,0.1283513358802887,0.09791939696658056,0.10853527536743729,0.13462345801288594,0.05391344375136347,0.11892505747749674,0.12068036699383226,0.029863033435162275,0.0313553084553575
max,0.75,0.6913863889011169,0.75,0.5227368843744524,0.75,0.3055555555555556,0.7073170731707317,0.75,0.3671042847125761,0.13490760075991903
