,100,FTSE 100
count,394.0,394.0
mean,0.1391696212528597,0.03916150612446567
std,0.06626441083316811,0.0432596083310102
min,-0.49042522669554756,-0.21452916472761155
25%,-0.016409849948538974,-0.017312500835169803
50%,0.006154322111601123,0.00811447656963376
75%,0.03534256925859322,0.030873755757942836
max,0.6256250208932828,0.12655123859737394
Sharpe ratio,0.16475608394791177,0.07411782080843901
Maximum drawdown,-0.555481436621851,-0.5021825547496205
