,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,FTSE 100
count,394,394,394,394,394,394,394,394,394,394
annual return mean,115.62%,118.65%,119.51%,119.25%,122.59%,126.07%,127.36%,126.47%,131.99%,3.85%
annual return std,1.8336,1.8616,1.8505,1.8544,1.9083,1.9456,1.9551,1.9940,1.9953,0.5185
monthly return min,-0.5964,-0.5748,-0.5755,-0.5755,-0.5840,-0.5840,-0.5753,-0.5822,-0.5455,-0.2145
monthly return max,0.6794,0.6846,0.6846,0.6779,0.6913,0.6913,0.6806,0.6806,0.6775,0.1266
Sharpe ratio,0.6306,0.6374,0.6458,0.6431,0.6424,0.6480,0.6514,0.6342,0.6615,0.0742
Maximum drawdown,-0.6940,-0.6733,-0.6737,-0.6737,-0.6781,-0.6764,-0.6748,-0.8244,-0.8094,-0.5022
