,BIRCH,Hierarchical_Agglomerative,Reversal
03/1990-12/1991,-0.0628839367768043,0.045820265497198344,0.31329649131342424
01/1992-12/1994(Black_Wednesday),0.38470298104718903,0.34794183168316906,0.3955045920441329
01/1995-12/2001(Dotcom_Bubble),0.34513080846522975,0.3611452973224163,0.30254405016728814
01/2002-12/2006,0.21590128673558262,0.1819814959654593,0.20804660473663997
01/2007-12/2009(GFC),0.43722493993700456,0.43209879472337465,0.22760830327662154
01/2010-12/2013(eurozone_crisis),0.2878433439416405,0.21817476392742335,0.2174670769624338
01/2014-12/2015,-0.3073811878187635,-0.48523263140901757,-0.45650237233853674
01/2016-12/2019(Brexit),0.19645446520674004,0.20241853687104672,0.1241689510983028
01/2020-12/2022(Covid-19),0.3341167763035883,0.36007149376749403,0.3711700088079995
01/2023-07/2023,-0.08243291171201715,0.20790908259109747,0.39587413630102186
Overall,0.25579419007321424,0.2384437122817734,0.2459698455486507
