,BIRCH,Hierarchical_Agglomerative,Reversal
03/1990-12/1991,-0.06797325317949615,-0.057033375766588006,-0.058859464922923474
01/1992-12/1994(Black_Wednesday),-0.03197532397515408,-0.0644510000403879,-0.026018632788911426
01/1995-12/2001(Dotcom_Bubble),-0.14465575847535903,-0.12133025428837173,-0.15329432295626885
01/2002-12/2006,-0.06894530833604794,-0.07700738126598622,-0.05359945140651336
01/2007-12/2009(GFC),-0.0796676903444706,-0.08055078078779035,-0.11279172422539581
01/2010-12/2013(eurozone_crisis),-0.06437841098000166,-0.07299259439974547,-0.065044766936152
01/2014-12/2015,-0.12409416615131125,-0.18950539560464558,-0.13306893347495438
01/2016-12/2019(Brexit),-0.07248417511560024,-0.0647202902384394,-0.06294211325455441
01/2020-12/2022(Covid-19),-0.07854454051544027,-0.07279412451969067,-0.07598148096966784
01/2023-07/2023,-0.04820594009735787,-0.044225033652546784,-0.026791734385954138
Overall,-0.14465575847535891,-0.20865078121118721,-0.15329432295626902
