,BIRCH,Hierarchical_Agglomerative,Reversal
03/1990-12/1991,0.8495961599055982,1.128897413154048,2.1547153655782285
01/1992-12/1994(Black_Wednesday),4.623168797110955,2.845340336968568,8.972024525528136
01/1995-12/2001(Dotcom_Bubble),4.756132484898013,7.065090785356206,2.640890104393823
01/2002-12/2006,2.4723572463173102,1.9576029207163588,2.2034130756161887
01/2007-12/2009(GFC),4.332434891003975,4.54477932033747,2.0199075461994043
01/2010-12/2013(eurozone_crisis),2.167512998905403,1.7039986898963109,1.7128276428894726
01/2014-12/2015,0.4317802909008663,0.2236830551663852,0.29527626725137834
01/2016-12/2019(Brexit),1.7966454492802877,1.841222160716259,1.3624871688653526
01/2020-12/2022(Covid-19),2.730379835624793,3.0650907915463024,2.95017040479364
01/2023-07/2023,0.8036288599604644,1.7475277166891172,3.069367166888045
Overall,2.8299629735739167,3.0259937316463748,2.2504513871061547
