,0.9,FTSE 100
count,394.0,394.0
mean,0.08437745985697889,0.004138802167680815
std,0.13610795683276825,0.04282821528394495
min,-0.1350282485875705,-0.19307872225054834
25%,0.0,-0.017163499946843075
50%,0.032374649627482266,0.008147550277063043
75%,0.11875390939368394,0.0313553084553575
max,0.75,0.13490760075991903
