Firm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
888,0.0498011350940696,2.956811049770243,-1.471685387375741,-0.7264726495673529,-0.42215817848023285,-0.4320550054021361,0.040094581101161604,0.5208239877981771,-0.36218681902257627,0.34302466292488143,0.18548635627109086,-9.975284675325353e-06,0.1624978695453719,-0.29093061602416004,0.05078405284010377,0.1877475621597147,-0.09430398729773636,0.025138969935222785,-0.02311048453350216,-0.0999662801053846,0.08611894280855546
AAL,-0.0575413843475964,3.4389099709802333,5.454537446435277,0.5978783917136499,2.8034481873882697,0.13825801097144938,-0.48355042553671573,1.3560810377606949,0.4015192942818665,0.2733270297062133,-0.3499059865138875,-0.12021730899412211,0.8520959425130561,0.48720046962181945,0.21581022232205524,0.22733853434752,0.8166713882797964,-0.40067624775581184,-0.16480178153944838,0.42242503889381683,0.21414672633173812
ABDN,-0.0249493754269541,-1.1507864868404485,0.638156122703591,0.727099146760851,0.1080909159472116,0.22159022701377784,0.19562697605964557,-0.17552545040221126,-0.028287207275784373,-0.05510794098193394,-0.170235292922449,0.04578409827544866,-0.08628234846616176,0.060253853182961906,-0.029437047613861365,-0.02700812112049827,-0.10573450866146605,-0.07285803606446292,0.10396886169350078,0.08536083521939603,-0.05304732502675964
ABF,-0.1201719842616905,-1.3197383531503775,-0.3290892079064767,0.3622282832280246,-0.24372638897305413,0.46884118219928267,-0.07855737840109071,-0.05435920132185188,0.09481283059871755,0.10882810976319979,-0.05144528613064455,-0.07147409182168098,-0.07899267545975673,0.1330796974399155,-0.0171097587712345,0.09471676687163032,0.09884363982862837,-0.02301987932896508,0.027731358073633555,0.0781681492613774,-0.04289484123761962
ADM,0.0274638144398751,-0.24127090038143423,-0.7937620315109963,-0.7638419027942961,-0.02688950275622684,0.18406807041115625,-0.21694175158328965,0.12487789378882418,0.04388595780954481,0.027050844020677554,0.29536773720322135,0.01302834581822593,-0.049571244520870215,-0.0031268846190745203,-0.023446316306424214,-0.016691068875989454,0.043190304880763,0.006771779194491003,0.04036203260890623,-0.0043637854269879765,0.06603835575450054
AEP,-0.0715145248781906,0.35943864856422725,1.1418736487140708,0.7847001737860394,-0.3416874609119605,-0.10727779960024522,0.15756440131223248,-0.6499105730184161,-0.17081060176030183,-0.21034896009181578,-0.06771193512248766,0.0902891330691997,0.1323928016646017,0.13330709431234197,0.013509791993632485,0.02438280722391125,0.05017140194447495,-0.20549731019378636,0.09294693321913318,-0.005435724735436372,-0.01571997184881573
AEWU,-0.0024694129531933,-1.7654589916725496,0.6210439208273856,-0.022293932298252887,0.022330842304781138,0.16375561427897747,0.20342510806773337,8.971317766029706e-05,0.028089046183541126,0.031408346518933705,-0.024824089746179747,0.06246651182859504,-0.03229402463211933,0.003185415169213929,0.0019997938668763807,0.0007894346114159735,-0.025357085934373663,-0.04864583300451658,0.05042886100093281,-0.023862241674024284,0.08434620652092716
AEX,-0.2407407407407407,9.064978159949463,-2.2473306091407226,2.7799653101339725,1.281032995683638,-2.8453935133939776,3.85114692073416,0.09281097402820476,-0.584748754799131,0.9948121461743716,-0.6419592743987791,-0.07936821621526188,-0.276550031389667,-1.1176435513651313,0.2946891935863681,0.4546884979986165,0.12708454141438005,0.37607087448210413,-0.29671039874287064,1.212857781541397,-0.20230768804797494
AGR,-0.0231970355773555,-0.08146543753018841,-1.1030024382109143,-0.05643337669157457,0.495859146976109,0.23590643166998515,-0.046348132524576056,-0.023308182495345935,0.036513431007940966,0.040819396369509126,0.11148115834600945,0.07244924071517393,-0.08464001493600806,-0.07506690844667302,0.03386208077139008,0.02817756179539158,-0.07840108756244542,-0.09979219729513004,0.09252759240172566,-0.04113465435566674,0.05397475990230185
AGRO,-0.012621359223301,3.509159263819032,-3.81372037583827,-1.4531882180901705,-0.25906139210773643,-0.2700551308387031,0.23014397472193082,0.04442298558619192,0.49755107937676246,-0.8070894081727226,0.5051445080176175,-0.9336295330267473,-0.08743518663998073,-0.46159605034079004,0.4890795323817776,0.14178338161425327,0.184139918229046,-0.08883601639769192,-0.04771149329519929,-0.04543939231432182,-0.18641008463328718
AHT,-0.0114229219632068,4.435229999752124,-0.8454181512615361,0.4569806902907009,0.9012089936715546,0.5285139566981152,0.010711396267449186,-0.35823914572523935,0.1267456497440024,-0.1498559505514363,-0.4626095994426511,0.6081230489522936,-0.3442447077572642,-0.06496438201753307,0.19055718194449134,-0.40351568816663264,-0.12097500436267244,0.0777078459450228,-0.12858423802937297,0.1309666860006284,-0.1047627933760728
AIRE,-0.0085329085841061,-2.224218063417425,0.18031019720643285,-0.25662355259108627,0.017406345576911262,0.026003979630147406,0.09676011979292339,0.012872969736784343,0.05097280619093584,0.015329976244860332,-0.04578862696907517,-0.060299603236001725,0.010813214750686676,-0.01164454900628205,-0.0041790744558601,-0.010383059770056399,0.04067531707731613,-0.02275057001602284,-0.0073429333048401525,-0.031018712497864854,0.04439545674166383
ALFA,-0.0102045884053501,-2.220659604932847,0.1812542025652725,-0.23783473389096463,0.006827243880009025,0.045801716755117475,0.10045417935172644,0.04341074118113678,0.057099325576493755,-0.018679843919230624,-0.0952749923845338,-0.08565638969182979,0.014842202584659495,-0.0108269110755911,-0.008393520789836456,-0.015290291874396003,0.0412846436184643,-0.033079520708372494,0.0007652622069473996,-0.03172582546164345,0.06637587433177798
ALNA,0.0163934426229508,-2.1033562702438617,0.48672170697910605,-0.12938519474693647,0.15862069379535057,0.25050756212698455,0.3441563875727836,-0.2551380301847235,0.04125504212150407,0.04184297594797217,0.053768875724291884,-0.14875910839752834,0.05316927573219274,0.004122493442139256,-0.05637918700738748,0.08670668068446882,-0.04434976635276998,-0.1496437994245146,0.01319345911783052,0.03303899212692006,0.028598006238315845
ALTN,-0.1294117647058823,-4.724180555155139,0.7988934294148203,-0.520778235566087,0.875435872548469,0.007725395257303438,-0.10122696185206735,-0.07711169836143818,0.17420619800286186,0.06317989808999179,0.13671339915533762,0.1301848693816272,0.09443051567994314,0.05434348900043008,-0.07641538684736429,0.03418940520284312,0.07937323752504613,-0.2110943024272104,-0.032279420585624774,0.15733972074243563,0.08337181967631023
ANTO,-0.0731955520668469,1.5907186768860424,2.2254100273248634,1.1445242345052713,0.3956397581515858,-0.05725226522681791,0.19291461159444337,-0.24655684209415119,-0.2552645573157837,-0.2754759482136258,-0.12554463704890256,0.33901339368917427,-0.07220137758005264,0.31751915269241315,0.03829778155842988,-0.12202890855224037,0.1768272333668336,-0.2608320568596241,-0.21622748214545667,0.17808094047096232,0.08273241163138219
AO,0.1791383219954647,-4.087486156825297,-0.15853009662297576,-0.6767367599944139,0.8937857395607657,0.3543940950666783,0.3500515512649359,-0.31751168226657767,0.26313627143186286,-0.07818835628617726,0.11244218500215546,0.05138846075385588,0.022402287941938444,0.07812532148466612,-0.18681595826106528,-0.0071294615640459715,0.26821699520940606,0.09724228934861612,0.23427667621145098,0.12041484721497954,-0.16121373662147562
API,-0.0004824217572212,-0.27490952511802313,-0.6554647856805742,-0.015247330085101082,0.12376498111838562,0.15837286179646784,0.00675769715231502,-0.11770875121239728,-0.013564199646438518,-0.041794623522192965,0.03765185788366796,-0.06330850460161067,0.014108316222906798,-0.008961970643934598,0.025248093949067893,0.01934036527286753,0.03085714828736057,-0.02283015532296028,0.08520793140582071,-0.007672838800205759,0.020992914621347888
APTD,0.0535125307020807,12.705065678842148,2.657988329416926,-0.09865723387197553,-0.9851960393956806,1.6758345871644307,1.1028883372929457,0.2587338307694424,0.4382655445834981,0.798487043051256,0.07312068043036674,0.7323872478763782,-0.035508211179666946,0.22973330993042676,0.4617102030176358,0.389593169500501,-0.1963651336574755,0.1799329147659592,-0.1671588703539995,-0.0342797544033199,0.21788914880712196
AQSG,-0.0699844479004666,-0.784133128924058,-0.118986711879356,-1.0654728072140722,-1.4612511013768612,-0.2893154369257863,-0.3682597185842039,0.1756013036544873,0.0011485046586007977,0.0854221981737504,-0.03251848506989732,0.06476876204505859,-0.022279152517974653,-0.032335627241631026,-0.24831886346153734,0.1294753948841478,0.29174955216542653,-0.02487653558082354,0.07810599680223429,0.07427365872322247,-0.08225187591305302
ARIX,-0.0450928381962865,-2.2333710566427123,0.1792179620131066,-0.3044684847091458,0.0540800905278205,-0.03059097149337318,0.09817981908574426,-0.058965991144591445,0.03398993097719615,0.0594525251888265,0.07598519596373228,-0.0033426313469913783,-0.005891944759156267,-0.014906186031025741,0.0027642841423180567,0.018004587472159973,0.02312792982190008,-0.05120814740814478,-0.01095662894986001,-0.02227154570787167,0.049203548923855686
ASC,0.0807174887892376,1.3686609572066004,0.9206204713316462,-0.9381851012056902,-0.9834941468712963,-1.0709480351037517,-0.6415434393781682,0.8708407260084281,-1.0638269508731515,0.13503875025943543,-0.02087123148622605,0.6098157896441465,-0.05829507412534037,-0.009997162142376862,-0.03229600160928744,-0.2077524130493548,-0.18453218198576118,-0.25765807683457065,-0.17785086258134947,-0.20073332937223562,-0.1447433052434504
ASCL,0.0308587441374585,-1.7399873387673443,0.6718072681543008,0.6534192771792258,-0.09167803204746215,-0.1313180236589369,0.1362141821550754,-0.3050595451502104,0.08198056831938119,-0.028387213556226525,-0.014026271939223848,0.23734596154448487,-0.3206019135373503,-0.04868259422157378,-0.05441556867045869,-0.1529150538091012,-0.19690242779855383,-0.01912940284508064,0.04450220390537158,-0.08781925360554366,0.06137514045850272
ASHM,-0.002392901984926,0.5523629698145254,0.9081052241974888,-0.2866400224574906,-0.06909048211476151,0.12492675295916228,0.1167708501006529,0.37657338495786796,0.12951588082922824,-0.19638826152215982,0.07365919578885001,0.013667618424564182,0.1393834362229937,-0.2739735154938767,-0.09619356686134632,-0.01697342983433651,-0.12300739596033519,-0.024961101185426524,-0.08582467775003444,-0.014955527473675425,-0.05081908971874609
ASIA,0.3,-2.225374689253169,0.18071249629066347,-0.2575052236348626,0.018566632166251238,0.025343974458115887,0.09065079742779426,0.008501029552404869,0.05507311909608468,0.022114183493088326,-0.0175150906130913,-0.05470274127343655,0.010274585078583929,-0.006759369167589502,0.003861508388735701,-0.021212912261954125,0.04014331959546964,-0.034703732957850585,0.0235342706108453,-0.06833259040134142,0.037279354524323086
