firms,clusters,mom1
54594,8,-0.0211480362537764
13056,8,0.0319264069264069
50091,8,-0.0023178328263073
14526,3,0.038517441860465
11581,4,0.0799045915324985
15203,2,0.1604938271604938
16126,8,0.0442154255319149
16249,1,0.0658682634730538
17137,4,-0.0596330275229359
85914,3,-0.0040927694406548
20670,5,-0.0310344827586206
64899,6,-0.0923076923076923
23660,6,-0.0127439267224213
23975,8,0.0114268066707843
82542,6,-0.0115226337448559
56274,8,0.075637642919965
31668,8,0.0166666666666666
32046,3,-0.0051325919589391
47511,6,0.0246666666666666
53866,9,0.0683290155440414
60628,3,0.0818123803446075
57330,8,0.0187891440501044
37875,6,0.0484515484515484
20765,10,-0.2285714285714284
17144,7,0.0098162950497826
39328,9,-0.050595238095238
26657,1,-0.0293724966622164
41452,7,0.0254560882477725
89888,5,0.0352112676056337
84226,2,0.0388953714507973
64020,4,0.0
51423,2,0.0921288014311272
52090,8,0.0223140495867768
53613,10,0.0389908256880733
54114,2,0.0775606867969211
55213,1,0.1707670043415339
51377,2,0.0920060331825038
57665,8,0.060392156862745
67010,10,0.0609756097560976
35107,7,0.0354285714285713
61621,3,0.0327699206622973
51692,5,0.1980392156862747
64742,1,0.008238042542727
65307,8,0.0294117647058824
66852,9,0.0234375
46922,1,0.1176470588235294
67193,6,0.0877587758775879
77354,8,-0.0167224080267558
69199,7,0.0461811722912965
38850,2,-0.0688148552703439
72128,7,0.1201550387596899
72486,6,-0.0215538847117794
44951,4,0.0380693405846361
65429,10,0.2723785166240409
74500,10,-0.0576543209876544
74740,8,0.1081654727647503
65752,6,0.0162556053811657
40694,2,0.0468473777253979
65306,9,0.0461783439490446
92874,2,0.1849931103595139
81294,8,0.0178745531361717
19502,8,-0.0224687933425795
81614,2,-0.0421052631578946
51086,4,-0.0225941422594141
83601,6,0.0946786454733932
62042,10,0.0857699805068226
88867,6,0.0420485175202154
21785,10,-0.0145454545454545
10044,6,-0.0183908045977011
10104,9,0.0689505637467475
75510,8,0.0727554179566563
75033,2,0.0857142857142856
12211,7,-0.0852385685884691
75434,5,0.175
80297,1,-0.2372881355932202
75976,8,0.140235294117647
77488,9,-0.1558567279767666
76858,5,0.3562499999999999
76568,4,0.0071174377224199
76605,9,0.0703089079532994
76752,7,-0.0039104159260575
77478,2,0.0436090225563909
77637,6,0.1164122137404579
77669,5,0.090171325518485
79094,10,0.0476519337016574
87055,7,0.0616402577050321
79866,8,0.1274074074074074
80032,8,0.0746361102508517
80719,1,0.1276073619631901
80763,5,0.0215827338129497
81138,9,-0.0117181052979039
81655,7,0.0971320346320345
82777,8,0.0551053484602916
83148,6,-0.0456692913385826
83597,7,0.0507936507936508
20598,5,-0.0180704441041346
89508,10,-0.0213281628696072
84746,5,0.1284403669724769
84785,9,-0.0224999999999999
85040,10,-0.0001796407185628
85982,3,0.0394498733260948
85272,1,0.4005494505494504
85394,9,0.0624687656171913
85796,2,-0.0720338983050846
85972,2,0.02504816955684
87092,7,0.0234375
87184,9,0.0304922850844968
87214,5,0.0812720848056536
88193,7,0.0454545454545454
88668,9,-0.0689246178176066
88841,6,-0.0459126539753639
88873,7,-0.0379775280898876
89271,3,-0.0066006600660065
89216,3,0.0894354387926215
89900,9,0.0819795995466565
90739,10,-0.2702702702702703
90386,5,0.0911979069332835
90992,9,0.0069984447900466
90179,3,0.0130841121495328
10568,4,-0.125444110412681
47730,8,0.054582904222451
13777,6,0.0547445255474452
38746,4,-0.021897810218978
60871,3,0.0845697329376853
14198,6,0.0324999999999999
14702,6,0.0049261083743843
15537,6,0.0344965517241377
68830,7,0.2000000000000001
18570,8,0.0214976710856324
18973,3,-0.0084925690021232
19271,9,0.1766497461928935
29938,3,0.0295935568458511
10866,10,0.1289795918367346
20248,10,-0.0661218424962852
25320,8,0.0066445182724252
21726,2,-0.0459412780656303
21742,9,-0.0088005215123858
11267,7,-0.041564792176039
86474,3,0.0171520342612419
22753,10,0.0240963855421687
22825,9,0.0140041493775933
24951,1,0.1697735849056603
26201,7,-0.1057692307692307
65541,3,0.1342015855039637
