Momentum Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
888,-0.1740954378605138,4.55830388230764,3.552857124047359,1.6063930740775425,-0.7901364873434549,0.08914624138601236,-0.06538034866148114,-0.46334730958740605,0.48248841682383925,-0.13154847180158427,0.10950810177470266,-0.669009539472515,-0.14663448246821723,0.2773280722117818,-0.027506830610117206,-0.28875646421954315,-0.3496102715178417,-0.2056484127607467,0.5076905966916412
AAL,0.011199921227297,2.5999579882265618,-0.31701334568432354,-0.34587307162475484,-0.5500510034828497,0.2918225424111269,0.16543158544940834,0.03219889312462134,0.11064899618452066,-0.06375707990025013,-0.0032173605171157502,-0.16140908100816473,-0.01867738010034046,-0.3514228659866399,0.2341902651519938,-0.17199658874075743,0.2557196847914821,-0.0764240300410684,0.0821465010639034
ABDN,-0.0660404262880559,-1.916331008562688,-0.2682861629714489,0.8681162027092827,0.26982625246703534,0.25297695472894904,0.08732641968094222,-0.011865104572981807,-0.06463269778362839,0.05126068804656949,-0.08491395504584263,0.03541754324645026,-0.0725717149148583,0.07990705601588106,-0.07437581341694251,-0.029516485885689114,0.07773008646057969,0.030081408823887212,0.1549117859659472
ABF,0.0788961250013662,-3.2282065133133,-1.039797382319192,0.5536222799129322,-0.05798471302087979,0.3226214887934685,0.17755575627384854,0.15677808743403748,0.17003400228835788,-0.014810307947732342,0.004825054268885884,0.04556388520559779,0.058303492160551494,0.010286570094401298,0.030390585156616266,-0.014748117079001744,0.00539618290068977,-0.02332914120246473,0.04848244772996026
ADM,0.0310560265837374,0.9755222521697257,-0.9389415611060079,0.6183465171891932,-0.5064070970714063,-0.08067710455550875,-0.026016323424587796,0.02127636246001408,0.3134637646187333,-0.22665619417927363,0.1492585092666141,0.0751578963095617,0.01727760210089018,-0.013751146340584683,-0.03333266970272357,0.007859242501420276,0.02545875011835437,0.04515756061971003,0.04321464006401528
AEP,-0.0653585542991689,-0.06525567796898643,0.9419968974754542,0.5599063469646521,0.2233600413123959,-0.525706252310013,-0.4338490628204312,0.14079182708582821,-0.03424072286994057,-0.024874957832601848,0.17924934836681491,0.10883990400480634,-0.13626082220780647,-0.020174892091119393,-0.09294105032640652,-0.05824081586407483,-0.07120509562480444,-0.26600289359029106,-0.04568549536377873
AEWU,0.0259710625939946,1.0828651330581665,0.2457942672235198,-0.38298113109156506,0.05710357638070676,-0.11376662122607221,-0.35530084483216573,-0.19958666959749474,-0.26595588047332064,-0.07628526301692269,0.23552438232704503,0.08826236150044627,0.2503922588656255,-0.0947496732994326,0.040858931331118294,-0.05360234376893626,0.06573598492317134,0.016129145915947076,-0.06316425679891603
AEX,-0.1071428571428571,-4.552542567896761,-0.02046346843177237,0.2542921951719711,0.042498765012740025,-0.2592480658884693,-0.5009432203217952,-0.10709681319018438,-0.44814662751693635,0.4065180294103155,0.11174670728979162,-0.0682551899624649,-0.21601039926026783,-0.019167712025817244,-0.2819166310358733,0.026415095433521576,-0.26393696480993384,0.07208861522775359,-0.29042806954675715
AGR,-0.0620739688345449,-0.1581376098114866,-1.6269661522513865,0.8778588558113465,0.13160315929534716,0.016043652194030457,-0.13422810990029302,-0.13111096498180916,0.04246819519081931,-0.10085229758547988,0.15830399275162027,0.0698985021857822,0.05025518010288214,-0.11029502888118096,-0.00711926261096141,-0.04244162652907753,-0.0008580291337051061,0.03612493601934483,0.06246525328946354
AGRO,-0.0712568998758682,3.721955454708872,1.4111126618481478,-0.8978210201276836,-0.35464506434759663,-0.2431777299788023,-0.8529133359414244,-0.3992643974847441,0.10682173282495755,0.05083183293112974,0.13866616730632017,0.24727971982598995,-0.17064699940236577,0.01566351303299878,0.02483108827357782,0.11055097767676955,-0.1360489624758557,-0.05088226524849362,-0.07301321947878125
AHT,0.0048448228598818,9.721786432663357,1.756121769353733,0.034063977297929524,-0.1484559422811028,-0.33187016270917263,0.12483863312280663,-0.5209030684955785,-0.24144598974061945,0.0040407182885424785,-0.5669521102305793,-0.5877146023684635,-0.11480465372174962,0.12326647806319964,-0.08655953548227127,-0.02948349260268821,0.17779512287314375,-0.0158518720849408,-0.10732041328005762
AIRE,0.0054089442426696,-1.477769094616023,0.30291038204408044,-0.2312903232770572,-0.08206211086890161,-0.02692801946199434,-0.23232767312640046,0.06259593689744093,0.00630457874391798,-0.06550251804124972,0.2268203721942791,0.051812128679827624,-0.007271244522951205,-0.030677684163550226,-0.025711484768689254,0.0683818049846175,0.0749011712109769,0.05731488859630444,-0.15116759244941996
ALFA,0.0390588183113504,1.9377841067530837,4.968837392791363,0.3242636143525021,0.19249575211701628,0.1578492004403574,-1.318824528398634,0.9302634658024096,0.14859079162995276,-0.9133421723307653,1.0320590957894988,0.13763718986526197,-0.5603057658304569,-0.1580455847022493,-0.3025765965057901,-0.2159110020488602,-0.40008609594937,-0.41946816952599814,0.22946044247700503
ALNA,0.0,-3.803666387200685,-1.568634273995308,0.799756838287673,-0.09856536127961592,-0.13619284968995674,-0.28884456466118136,-0.12908675355152946,-0.2245856344609926,-0.06919055474109924,0.11331150640257419,0.06539118340109233,0.18095360523658216,-0.018164074844280755,-0.0650122653903195,-0.010077841057214872,-0.21757747436619027,0.12115545705507685,-0.05728419097939808
ALTN,-0.0576923076923077,2.420277779929603,1.3310796274429477,4.438129896066621,-0.5716812909597873,-1.1205086853491817,-0.6241439049434929,-0.18687043140990117,0.5533019671300469,0.8395145463253996,-0.03541267250314207,-0.5113408095201734,-0.17781128726289055,0.1652843831297839,0.21284817030265046,-0.30821613309627804,0.049414088794212115,0.07511186926733547,-0.07609981338980716
ANTO,-0.016683998182478,2.207720736028936,0.1517246531016111,0.6211251603129283,-0.5036172189559197,0.21082710694226503,0.020737608715058333,0.016250903206379334,0.4363438620774329,-0.015518197673935382,-0.0800915705102461,-0.05557117855875761,-0.09895725810496743,0.1811000347975863,0.2999390997300438,-0.17303692337372822,0.04006747336677008,-0.2206147853866604,0.2385200320211752
AO,-0.3086463501063076,-0.37901645119032007,0.690185006136592,2.3298487767817706,-2.1783433481401198,0.40296989409816675,0.5568416754012382,0.7732057871074101,0.44397008114313613,-0.2541250304855284,-0.11400610773149197,0.15235913349104768,-0.08022945874105804,-0.03597612974915397,-0.2500448211482933,0.14916491725258782,0.18896383263310312,0.09675050253568464,0.339253529673989
API,0.0203713527851461,-1.993344198842682,-0.4969534347357494,-0.3843069750684501,0.4983694499599129,-0.4065921631084954,-0.21826099266848556,-0.07080792812706575,0.07325589446049345,-0.16704414067741066,0.006855488408403016,0.18747228497764631,-0.007544422920421537,-0.01675877963065035,-0.009084468231750999,0.033810034444848036,-0.01774540880809001,0.051072025936515664,0.018892387393227936
APTD,-0.1616480407827103,0.05719364455388381,-0.11877143854001163,-0.09780367016095942,0.4131494057243578,0.3457907836111215,0.15273382638625943,-0.413939810454136,0.021618645324675483,-0.16042124333826074,0.11378135445699127,-0.06705231747996387,0.19312594050811907,0.06088047180702462,0.0783334010225857,-0.18910525293678782,-0.17238425741468533,-0.008364806189271726,0.0011189485272370414
