Firm Name,Momentum_1,Cluster Index
50906,-0.2746144721233688,27
10568,0.0707317073170732,8
11157,-0.0335570469798657,13
47730,-0.0350877192982457,3
13777,-0.1071428571428571,18
38746,-0.312039764359352,20
60871,0.005911636589919,13
14198,-0.0186655224200814,28
45583,-0.0393386545039907,17
14702,-0.031941031941032,24
15537,-0.1631799163179915,11
68830,-0.0250871080139372,24
85631,-0.01015670342426,11
49373,-0.0465213746856664,19
18570,-0.0823058980339888,7
18973,-0.0836047774158524,7
19271,-0.0559999999999999,4
29938,0.0296657381615599,6
10866,-0.0498826291079811,7
20248,0.0456026058631922,9
25320,-0.0115871732686607,1
21726,-0.0644753476611883,15
21742,-0.0951619352259097,11
11267,-0.0591876208897486,16
86474,-0.0756302521008404,11
22825,0.0098314606741574,2
24951,-0.0290290290290291,10
26201,-0.0515886573283224,18
82165,-0.0952380952380952,22
65541,-0.0020320614134115,12
27562,-0.0368514150943396,8
27677,0.0902957965749871,1
27909,0.0613496932515338,19
63546,0.0021413276231263,24
49154,-0.0603642316349497,10
19350,-0.1307941070786921,11
76769,0.1103140752229547,20
49429,-0.0571428571428571,15
61313,-0.0289341600236195,28
80971,0.1592802399200266,9
12008,-0.1550023485204321,30
31500,-0.0080128205128204,13
33209,-0.1452254641909813,8
50788,0.0177927386390959,25
33690,-0.0669642857142857,21
77462,-0.0407103825136612,12
46295,-0.0557029177718833,4
37058,-0.0405117270788912,20
62228,-0.0793528505392913,30
21055,-0.2007676409802183,11
47888,0.1783243658724058,26
83233,-0.0767075773745997,26
40468,-0.0775813953488372,5
39765,-0.1288343558282209,19
85987,-0.1940298507462686,22
32678,0.0881834215167549,15
23077,0.0181950509461426,30
41663,-0.0428189116859947,23
27828,0.0072601010101009,1
66181,-0.0301760268231349,24
32870,0.0158858373721053,18
42922,-0.1860646165823277,20
47133,-0.0728476821192052,26
57437,-0.0963443799111718,28
47571,-0.0090191657271702,13
16678,0.0489478499542543,14
48291,-0.2310984308131241,10
48347,-0.0892857142857143,23
64282,-0.0168034388432981,1
53612,-0.0986409469530907,15
61399,-0.5327179825284325,10
51984,-0.0119047619047618,22
60097,0.0767263427109974,24
60548,0.0311750599520383,17
53197,-0.2388201712654614,3
56777,-0.0045454545454544,1
57745,-0.0003681885125185,15
57809,-0.0748271655144368,25
57817,-0.0602739726027398,29
79611,-0.0183006535947711,16
59185,0.0137055837563451,1
60709,-0.1835616438356164,22
35051,-0.0685714285714286,16
18403,-0.0673974226040586,26
35238,-0.0809889173060529,23
13936,-0.0689203354297692,26
49971,0.0592592592592591,23
63686,-0.051078320090806,23
63715,-0.0208942749686585,1
42307,-0.1574181564894358,29
62033,-0.0536507936507937,1
66078,-0.20625,21
91556,-0.1126559714795009,28
50948,-0.1072664359861591,13
70923,-0.013180714533472,16
42585,-0.0015659955257271,3
72005,0.0212389380530972,28
76081,-0.1157894736842105,25
60580,-0.1132762312633833,30
