Firm Name,Momentum_1,Long Short,Long,Short
61970.0,-0.665879574970484,1.0,1,0
59184.0,-0.6467315716272601,1.0,1,0
14218.0,-0.573109243697479,1.0,1,0
32205.0,-0.5063694267515924,1.0,1,0
60062.0,-0.4919354838709677,1.0,1,0
52695.0,-0.4866412213740457,1.0,1,0
16571.0,-0.4473684210526315,1.0,1,0
34913.0,-0.4155844155844156,1.0,1,0
58085.0,-0.4074074074074074,1.0,1,0
59387.0,-0.4025974025974026,1.0,1,0
59897.0,-0.3813229571984435,1.0,1,0
38893.0,-0.3795620437956204,1.0,1,0
45428.0,-0.3478260869565217,1.0,1,0
57488.0,-0.3333333333333333,1.0,1,0
19561.0,-0.3270676691729323,1.0,1,0
45233.0,-0.3199999999999999,1.0,1,0
29102.0,-0.3125,1.0,1,0
60513.0,-0.3125,1.0,1,0
46519.0,-0.304147465437788,1.0,1,0
57736.0,-0.3,1.0,1,0
53823.0,-0.296028880866426,1.0,1,0
61460.0,-0.2577319587628865,1.0,1,0
57234.0,-0.2572614107883817,1.0,1,0
58763.0,-0.25,1.0,1,0
26286.0,-0.2439024390243902,1.0,1,0
45890.0,-0.2406417112299465,1.0,1,0
38527.0,-0.2364864864864865,1.0,1,0
58333.0,-0.2352941176470588,1.0,1,0
51270.0,-0.2295081967213115,1.0,1,0
49672.0,-0.2291666666666666,1.0,1,0
62439.0,-0.2222222222222222,1.0,1,0
57015.0,-0.2142857142857143,1.0,1,0
52943.0,-0.2093023255813954,1.0,1,0
39984.0,-0.2051282051282051,1.0,1,0
53364.0,-0.1999999999999999,1.0,1,0
46121.0,-0.1999999999999999,1.0,1,0
27430.0,-0.196078431372549,1.0,1,0
61380.0,-0.1893939393939394,1.0,1,0
61719.0,-0.1891891891891891,1.0,1,0
61866.0,-0.1875,1.0,1,0
31042.0,-0.1869918699186992,1.0,1,0
61700.0,-0.1833333333333333,1.0,1,0
60329.0,-0.1818181818181817,1.0,1,0
58464.0,-0.1818181818181817,1.0,1,0
43844.0,-0.1764705882352941,1.0,1,0
17806.0,-0.1757575757575757,1.0,1,0
62607.0,-0.175,1.0,1,0
27270.0,-0.1710526315789473,1.0,1,0
30744.0,-0.1690140845070422,1.0,1,0
62615.0,-0.1666666666666666,1.0,1,0
50606.0,-0.1666666666666666,1.0,1,0
58675.0,-0.1666666666666666,1.0,1,0
57883.0,-0.1666666666666666,1.0,1,0
59096.0,-0.1643835616438356,1.0,1,0
44513.0,-0.1641791044776119,1.0,1,0
38295.0,-0.1632653061224489,1.0,1,0
10364.0,-0.1623036649214659,1.0,1,0
43027.0,-0.1612903225806451,1.0,1,0
43334.0,-0.1578947368421053,1.0,1,0
24045.0,-0.152,1.0,1,0
46762.0,-0.1496062992125983,1.0,1,0
43043.0,-0.1481481481481481,1.0,1,0
57744.0,-0.1462450592885376,1.0,1,0
20458.0,-0.1458333333333333,1.0,1,0
62738.0,-0.144578313253012,1.0,1,0
10153.0,-0.1428571428571429,1.0,1,0
32299.0,-0.1428571428571429,1.0,1,0
58069.0,-0.1428571428571429,1.0,1,0
42307.0,-0.1408450704225352,1.0,1,0
