Firm Name,Momentum_1,Long Short
FSOF_21-L,-0.0259740259740259,0
QBLW_05-L^A21,-0.0256410256410256,0
NRDT_55-L^C23,-0.0253411306042884,0
LTEG_60-L,-0.024390243902439,0
OIQS_15-L^J19,-0.0243902439024389,0
MBEL_16-L^J15,-0.0236220472440944,0
LVWS_61-L,-0.0235294117647059,0
LZPS_05-L^A23,-0.0234879624192602,0
FTJE_09-L,-0.0232558139534884,0
DLY_Y2-L^F16,-0.0230769230769229,0
LXUH_C1-L,-0.0227272727272727,0
LXWQ_54-L^G17,-0.0217391304347825,0
PROM_J7-L,-0.0217391304347825,0
FSXN_M8-L,-0.0208333333333333,0
OFVT_45-L^L19,-0.0208333333333333,0
PSEH_P2-L^G12,-0.02,0
FSUE_08-L,-0.0199999999999999,0
NEYF_42-L^A21,-0.0198019801980198,0
LXGK_40-L,-0.0196078431372549,0
MAUF_G6-L^E21,-0.0193050193050192,0
PVQL_05-L,-0.0192307692307692,0
BPVK_29-L,-0.0191780821917808,0
LLVF_88-L,-0.0188679245283018,0
LQVW_00-L^A19,-0.0186915887850467,0
MNNT_J9-L,-0.0186915887850467,0
ISUP_H5-L,-0.0185873605947954,0
NVSW_89-L,-0.0178918708673667,0
PRJP_83-L,-0.0162689804772234,0
NTAB_05-L,-0.015625,0
LQOJ_65-L^F13,-0.0150784077201447,0
PPPL_53-L,-0.0147275405007363,0
PJTO_M7-L^E23,-0.0133744855967079,0
BLNT_37-L^D19,-0.0122591943957969,0
FTKZ_L8-L,-0.012101210121012,0
FVYE_M4-L,-0.0120274914089347,0
MCCY_05-L^A19,-0.0118302018093249,0
NNZZ_33-L,-0.0112359550561798,0
LWFX_41-L,-0.0104166666666666,0
NPYI_74-L^I21,-0.0104166666666666,0
OQCN_54-L^C15,-0.0100502512562814,0
FVWA_N4-L,-0.0091220068415051,0
FVUH_J7-L,-0.0091047040971168,0
LQSJ_26-L,-0.0086956521739131,0
BUBP_92-L^K18,-0.0084269662921349,0
NRZN_08-L,-0.0082644628099173,0
LUHP_34-L,-0.0082352941176471,0
FTQA_00-L,-0.0079365079365079,0
MOLX_03-L^G19,-0.0078125,0
