Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-07-01 00:00:00+01:00,2.296,2.296,2.296,2.296,0,0.0,0.0
1988-07-04 00:00:00+01:00,2.296,2.296,2.296,2.296,0,0.0,0.0
1988-07-05 00:00:00+01:00,2.296,2.296,2.296,2.296,0,0.0,0.0
1988-07-06 00:00:00+01:00,2.296,2.296,2.296,2.296,0,0.0,0.0
1988-07-07 00:00:00+01:00,2.296,2.296,2.296,2.296,0,0.0,0.0
1988-07-08 00:00:00+01:00,2.427,2.427,2.427,2.427,0,0.0,0.0
1988-07-11 00:00:00+01:00,2.427,2.427,2.427,2.427,0,0.0,0.0
1988-07-12 00:00:00+01:00,2.427,2.427,2.427,2.427,0,0.0,0.0
1988-07-13 00:00:00+01:00,2.427,2.427,2.427,2.427,0,0.0,0.0
1988-07-14 00:00:00+01:00,2.427,2.427,2.427,2.427,0,0.0,0.0
1988-07-15 00:00:00+01:00,2.493,2.493,2.493,2.493,0,0.0,0.0
1988-07-18 00:00:00+01:00,2.427,2.427,2.427,2.427,0,0.0,0.0
1988-07-19 00:00:00+01:00,2.558,2.558,2.558,2.558,0,0.0,0.0
1988-07-20 00:00:00+01:00,2.624,2.624,2.624,2.624,0,0.0,0.0
1988-07-21 00:00:00+01:00,2.821,2.821,2.821,2.821,0,0.0,0.0
1988-07-22 00:00:00+01:00,2.755,2.755,2.755,2.755,0,0.0,0.0
1988-07-25 00:00:00+01:00,2.821,2.821,2.821,2.821,0,0.0,0.0
1988-07-26 00:00:00+01:00,2.821,2.821,2.821,2.821,0,0.0,0.0
1988-07-27 00:00:00+01:00,2.821,2.821,2.821,2.821,0,0.0,0.0
1988-07-28 00:00:00+01:00,2.755,2.755,2.755,2.755,0,0.0,0.0
1988-07-29 00:00:00+01:00,3.018,3.018,3.018,3.018,0,0.0,0.0
1988-08-01 00:00:00+01:00,3.083,3.083,3.083,3.083,0,0.0,0.0
1988-08-02 00:00:00+01:00,3.215,3.215,3.215,3.215,0,0.0,0.0
1988-08-03 00:00:00+01:00,3.28,3.28,3.28,3.28,0,0.0,0.0
1988-08-04 00:00:00+01:00,3.28,3.28,3.28,3.28,0,0.0,0.0
1988-08-05 00:00:00+01:00,3.215,3.215,3.215,3.215,0,0.0,0.0
1988-08-08 00:00:00+01:00,3.215,3.215,3.215,3.215,0,0.0,0.0
1988-08-09 00:00:00+01:00,3.149,3.149,3.149,3.149,0,0.0,0.0
1988-08-10 00:00:00+01:00,3.149,3.149,3.149,3.149,0,0.0,0.0
1988-08-11 00:00:00+01:00,3.083,3.083,3.083,3.083,0,0.0,0.0
1988-08-12 00:00:00+01:00,3.28,3.28,3.28,3.28,0,0.0,0.0
1988-08-15 00:00:00+01:00,3.411,3.411,3.411,3.411,0,0.0,0.0
1988-08-16 00:00:00+01:00,3.28,3.28,3.28,3.28,0,0.0,0.0
1988-08-17 00:00:00+01:00,3.28,3.28,3.28,3.28,0,0.0,0.0
1988-08-18 00:00:00+01:00,3.28,3.28,3.28,3.28,0,0.0,0.0
1988-08-19 00:00:00+01:00,3.28,3.28,3.28,3.28,0,0.0,0.0
1988-08-22 00:00:00+01:00,3.28,3.28,3.28,3.28,0,0.0,0.0
1988-08-23 00:00:00+01:00,3.28,3.28,3.28,3.28,0,0.0,0.0
1988-08-24 00:00:00+01:00,3.28,3.28,3.28,3.28,0,0.0,0.0
1988-08-25 00:00:00+01:00,3.254,3.254,3.254,3.254,0,0.0,0.0
1988-08-26 00:00:00+01:00,3.149,3.149,3.149,3.149,0,0.0,0.0
1988-08-29 00:00:00+01:00,3.149,3.149,3.149,3.149,0,0.0,0.0
1988-08-30 00:00:00+01:00,3.215,3.215,3.215,3.215,0,0.0,0.0
1988-08-31 00:00:00+01:00,3.215,3.215,3.215,3.215,0,0.0,0.0
1988-09-01 00:00:00+01:00,3.11,3.11,3.11,3.11,0,0.0,0.0
1988-09-02 00:00:00+01:00,2.887,2.887,2.887,2.887,0,0.0,0.0
1988-09-05 00:00:00+01:00,2.887,2.887,2.887,2.887,0,0.0,0.0
1988-09-06 00:00:00+01:00,2.887,2.887,2.887,2.887,0,0.0,0.0
1988-09-07 00:00:00+01:00,2.887,2.887,2.887,2.887,0,0.0,0.0
1988-09-08 00:00:00+01:00,2.729,2.729,2.729,2.729,0,0.0,0.0
1988-09-09 00:00:00+01:00,2.755,2.755,2.755,2.755,0,0.0,0.0
1988-09-12 00:00:00+01:00,2.624,2.624,2.624,2.624,0,0.0,0.0
1988-09-13 00:00:00+01:00,2.624,2.624,2.624,2.624,0,0.0,0.0
1988-09-14 00:00:00+01:00,2.624,2.624,2.624,2.624,0,0.0,0.0
1988-09-15 00:00:00+01:00,2.558,2.558,2.558,2.558,0,0.0,0.0
1988-09-16 00:00:00+01:00,2.493,2.493,2.493,2.493,0,0.0,0.0
