Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2011-06-15 00:00:00-04:00,7.714,8.19,7.714,7.798,4456,0.0,0.0,0.0
2011-06-16 00:00:00-04:00,7.707,7.777,7.637,7.637,51547,0.0,0.0,0.0
2011-06-17 00:00:00-04:00,7.917,7.917,7.637,7.637,62359,0.0,0.0,0.0
2011-06-20 00:00:00-04:00,7.917,8.127,7.742,7.742,8914,0.0,0.0,0.0
2011-06-21 00:00:00-04:00,8.022,8.022,7.847,8.022,38210,0.0,0.0,0.0
2011-06-22 00:00:00-04:00,8.022,8.022,7.952,8.008,63517,0.0,0.0,0.0
2011-06-23 00:00:00-04:00,8.001,8.001,7.917,7.917,27543,0.0,0.0,0.0
2011-06-24 00:00:00-04:00,7.987,8.057,7.644,7.644,164122,0.0,0.0,0.0
2011-06-27 00:00:00-04:00,7.637,7.707,7.637,7.658,308701,0.0,0.0,0.0
2011-06-28 00:00:00-04:00,7.637,7.686,7.496,7.637,65503,0.0,0.0,0.0
2011-06-29 00:00:00-04:00,7.496,7.707,7.496,7.637,9565,0.0,0.0,0.0
2011-06-30 00:00:00-04:00,7.637,7.721,7.503,7.707,219557,0.0,0.0,0.0
2011-07-01 00:00:00-04:00,7.707,7.777,7.707,7.777,465467,0.0,0.0,0.0
2011-07-05 00:00:00-04:00,8.267,8.267,8.267,8.267,0,0.0,0.0,0.0
2011-07-06 00:00:00-04:00,7.987,8.232,7.917,7.917,24690,0.0,0.0,0.0
2011-07-07 00:00:00-04:00,8.302,8.302,7.882,7.917,479705,0.0,0.0,0.0
2011-07-08 00:00:00-04:00,7.917,7.925,7.812,7.847,223351,0.0,0.0,0.0
2011-07-11 00:00:00-04:00,7.707,7.847,7.707,7.847,43100,0.0,0.0,0.0
2011-07-12 00:00:00-04:00,7.707,7.917,7.09,7.917,213507,0.0,0.0,0.0
2011-07-13 00:00:00-04:00,7.707,7.707,7.644,7.707,54043,0.0,0.0,0.0
2011-07-14 00:00:00-04:00,7.707,7.707,7.637,7.672,82681,0.0,0.0,0.0
2011-07-15 00:00:00-04:00,7.707,7.707,7.707,7.707,100,0.0,0.0,0.0
2011-07-18 00:00:00-04:00,7.637,7.637,7.216,7.216,53210,0.0,0.0,0.0
2011-07-19 00:00:00-04:00,7.251,7.567,7.083,7.181,17359,0.0,0.0,0.0
2011-07-20 00:00:00-04:00,7.216,7.216,7.111,7.146,79614,0.0,0.0,0.0
2011-07-21 00:00:00-04:00,7.111,7.111,6.929,7.006,287741,0.0,0.0,0.0
