Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-12-21 00:00:00+00:00,15.021,15.021,15.021,15.021,0,0.0,0.0
1988-12-22 00:00:00+00:00,14.878,14.878,14.878,14.878,0,0.0,0.0
1988-12-23 00:00:00+00:00,14.878,14.878,14.878,14.878,0,0.0,0.0
1988-12-26 00:00:00+00:00,15.357,15.357,15.357,15.357,0,0.0,0.0
1988-12-27 00:00:00+00:00,15.357,15.357,15.357,15.357,0,0.0,0.0
1988-12-28 00:00:00+00:00,14.663,14.663,14.663,14.663,0,0.0,0.0
1988-12-29 00:00:00+00:00,14.663,14.663,14.663,14.663,0,0.0,0.0
1988-12-30 00:00:00+00:00,14.663,14.663,14.663,14.663,0,0.0,0.0
1989-01-02 00:00:00+00:00,15.136,15.136,15.136,15.136,0,0.0,0.0
1989-01-03 00:00:00+00:00,14.449,14.449,14.449,14.449,0,0.0,0.0
1989-01-04 00:00:00+00:00,13.089,13.089,13.089,13.089,0,0.0,0.0
1989-01-05 00:00:00+00:00,13.089,13.089,13.089,13.089,0,0.0,0.0
1989-01-06 00:00:00+00:00,13.233,13.233,13.233,13.233,0,0.0,0.0
1989-01-09 00:00:00+00:00,14.091,14.091,14.091,14.091,0,0.0,0.0
1989-01-10 00:00:00+00:00,14.306,14.306,14.306,14.306,0,0.0,0.0
1989-01-11 00:00:00+00:00,14.306,14.306,14.306,14.306,0,0.0,0.0
1989-01-12 00:00:00+00:00,14.306,14.306,14.306,14.306,0,0.0,0.0
1989-01-13 00:00:00+00:00,14.306,14.306,14.306,14.306,0,0.0,0.0
1989-01-16 00:00:00+00:00,14.449,14.449,14.449,14.449,0,0.0,0.0
1989-01-17 00:00:00+00:00,14.306,14.306,14.306,14.306,0,0.0,0.0
1989-01-18 00:00:00+00:00,14.663,14.663,14.663,14.663,0,0.0,0.0
1989-01-19 00:00:00+00:00,14.663,14.663,14.663,14.663,0,0.0,0.0
1989-01-20 00:00:00+00:00,14.663,14.663,14.663,14.663,0,0.0,0.0
1989-01-23 00:00:00+00:00,14.663,14.663,14.663,14.663,0,0.0,0.0
1989-01-24 00:00:00+00:00,14.663,14.663,14.663,14.663,0,0.0,0.0
1989-01-25 00:00:00+00:00,14.663,14.663,14.663,14.663,0,0.0,0.0
1989-01-26 00:00:00+00:00,15.164,15.164,15.164,15.164,0,0.0,0.0
1989-01-27 00:00:00+00:00,15.521,15.521,15.521,15.521,0,0.0,0.0
1989-01-30 00:00:00+00:00,15.951,15.951,15.951,15.951,0,0.0,0.0
1989-01-31 00:00:00+00:00,15.951,15.951,15.951,15.951,0,0.0,0.0
1989-02-01 00:00:00+00:00,15.951,15.951,15.951,15.951,0,0.0,0.0
1989-02-02 00:00:00+00:00,16.451,16.451,16.451,16.451,0,0.0,0.0
1989-02-03 00:00:00+00:00,17.381,17.381,17.381,17.381,0,0.0,0.0
1989-02-06 00:00:00+00:00,17.31,17.31,17.31,17.31,0,0.0,0.0
1989-02-07 00:00:00+00:00,17.31,17.31,17.31,17.31,0,0.0,0.0
1989-02-08 00:00:00+00:00,18.454,18.454,18.454,18.454,0,0.0,0.0
1989-02-09 00:00:00+00:00,18.24,18.24,18.24,18.24,0,0.0,0.0
1989-02-10 00:00:00+00:00,17.739,17.739,17.739,17.739,0,0.0,0.0
1989-02-13 00:00:00+00:00,17.167,17.167,17.167,17.167,0,0.0,0.0
1989-02-14 00:00:00+00:00,16.952,16.952,16.952,16.952,0,0.0,0.0
1989-02-15 00:00:00+00:00,16.666,16.666,16.666,16.666,0,0.0,0.0
1989-02-16 00:00:00+00:00,16.809,16.809,16.809,16.809,0,0.0,0.0
1989-02-17 00:00:00+00:00,16.809,16.809,16.809,16.809,0,0.0,0.0
1989-02-20 00:00:00+00:00,16.666,16.666,16.666,16.666,0,0.0,0.0
1989-02-21 00:00:00+00:00,16.666,16.666,16.666,16.666,0,0.0,0.0
1989-02-22 00:00:00+00:00,16.666,16.666,16.666,16.666,0,0.0,0.0
1989-02-23 00:00:00+00:00,16.666,16.666,16.666,16.666,0,0.0,0.0
1989-02-24 00:00:00+00:00,16.666,16.666,16.666,16.666,0,0.0,0.0
1989-02-27 00:00:00+00:00,16.666,16.666,16.666,16.666,0,0.0,0.0
1989-02-28 00:00:00+00:00,16.666,16.666,16.666,16.666,0,0.0,0.0
1989-03-01 00:00:00+00:00,16.666,16.666,16.666,16.666,0,0.0,0.0
1989-03-02 00:00:00+00:00,16.666,16.666,16.666,16.666,0,0.0,0.0
1989-03-03 00:00:00+00:00,16.952,16.952,16.952,16.952,0,0.0,0.0
1989-03-06 00:00:00+00:00,16.952,16.952,16.952,16.952,0,0.0,0.0
