Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2013-10-22 00:00:00-04:00,15.485,15.813,14.004,14.644,52183610,0.0,0.0,0.0
2013-10-23 00:00:00-04:00,14.636,15.585,14.004,14.524,16329450,0.0,0.0,0.0
2013-10-24 00:00:00-04:00,14.644,15.205,14.004,15.197,6877865,0.0,0.0,0.0
2013-10-25 00:00:00-04:00,15.141,15.565,14.924,15.245,6310885,0.0,0.0,0.0
2013-10-28 00:00:00-04:00,15.325,15.452,15.013,15.205,1220110,0.0,0.0,0.0
2013-10-29 00:00:00-04:00,15.277,15.285,14.652,14.804,1514449,0.0,0.0,0.0
2013-10-30 00:00:00-04:00,14.884,14.884,14.396,14.46,1448075,0.0,0.0,0.0
2013-10-31 00:00:00-04:00,14.068,14.332,13.604,13.764,6774733,0.0,0.0,0.0
2013-11-01 00:00:00-04:00,13.804,13.908,13.564,13.644,4741568,0.0,0.0,0.0
2013-11-04 00:00:00-05:00,13.604,13.884,13.444,13.604,1867115,0.0,0.0,0.0
2013-11-05 00:00:00-05:00,13.756,13.764,13.404,13.476,1263619,0.0,0.0,0.0
2013-11-06 00:00:00-05:00,13.564,13.604,13.404,13.484,2557119,0.0,0.0,0.0
2013-11-07 00:00:00-05:00,13.604,14.292,13.532,13.844,1842639,0.0,0.0,0.0
2013-11-08 00:00:00-05:00,14.084,14.132,13.844,13.924,1618261,0.0,0.0,0.0
2013-11-11 00:00:00-05:00,14.052,14.052,13.756,13.924,748583,0.0,0.0,0.0
2013-11-12 00:00:00-05:00,13.764,14.004,13.684,13.844,666190,0.0,0.0,0.0
2013-11-13 00:00:00-05:00,13.812,13.812,13.012,13.044,2080984,0.0,0.0,0.0
2013-11-14 00:00:00-05:00,13.116,13.404,12.364,12.484,2012884,0.0,0.0,0.0
2013-11-15 00:00:00-05:00,9.443,10.803,6.562,9.203,21285390,0.0,0.0,0.0
2013-11-18 00:00:00-05:00,9.803,10.715,9.195,10.643,3181301,0.0,0.0,0.0
2013-11-19 00:00:00-05:00,10.763,10.763,8.76,9.891,1907685,0.0,0.0,0.0
2013-11-20 00:00:00-05:00,10.003,10.123,9.523,10.003,1151761,0.0,0.0,0.0
2013-11-21 00:00:00-05:00,9.627,9.643,9.011,9.403,1524671,0.0,0.0,0.0
2013-11-22 00:00:00-05:00,9.363,10.251,8.971,10.251,1123546,0.0,0.0,0.0
2013-11-25 00:00:00-05:00,10.371,10.603,9.576,10.227,303297,0.0,0.0,0.0
2013-11-26 00:00:00-05:00,10.315,10.379,9.955,10.283,652448,0.0,0.0,0.0
2013-11-27 00:00:00-05:00,10.579,10.579,9.923,10.083,233055,0.0,0.0,0.0
2013-11-29 00:00:00-05:00,9.803,10.275,9.603,10.243,478867,0.0,0.0,0.0
2013-12-02 00:00:00-05:00,10.371,10.883,10.307,10.723,2069731,0.0,0.0,0.0
2013-12-03 00:00:00-05:00,11.123,11.123,10.611,10.803,365724,0.0,0.0,0.0
2013-12-04 00:00:00-05:00,10.963,10.963,10.683,10.771,289297,0.0,0.0,0.0
2013-12-05 00:00:00-05:00,10.723,11.067,10.723,11.003,187115,0.0,0.0,0.0
2013-12-06 00:00:00-05:00,11.019,11.083,10.883,11.003,1380233,0.0,0.0,0.0
2013-12-09 00:00:00-05:00,11.395,11.804,10.811,11.203,693887,0.0,0.0,0.0
2013-12-10 00:00:00-05:00,11.003,11.804,11.003,11.603,1442493,0.0,0.0,0.0
2013-12-11 00:00:00-05:00,11.443,11.796,11.443,11.483,519282,0.0,0.0,0.0
2013-12-12 00:00:00-05:00,11.371,11.603,11.363,11.603,634242,0.0,0.0,0.0
2013-12-13 00:00:00-05:00,11.531,11.828,11.531,11.724,669555,0.0,0.0,0.0
2013-12-16 00:00:00-05:00,11.924,11.964,11.635,11.764,63285,0.0,0.0,0.0
2013-12-17 00:00:00-05:00,11.684,11.956,11.363,11.603,531527,0.0,0.0,0.0
2013-12-18 00:00:00-05:00,11.66,11.764,11.603,11.684,373854,0.0,0.0,0.0
2013-12-19 00:00:00-05:00,11.684,11.78,11.684,11.724,337288,0.0,0.0,0.0
2013-12-20 00:00:00-05:00,11.732,11.956,11.692,11.956,673412,0.0,0.0,0.0
2013-12-23 00:00:00-05:00,11.732,12.084,11.732,12.084,60123,0.0,0.0,0.0
2013-12-24 00:00:00-05:00,12.084,12.14,11.772,12.084,27114,0.0,0.0,0.0
2013-12-27 00:00:00-05:00,12.404,12.708,11.924,12.004,289525,0.0,0.0,0.0
2013-12-30 00:00:00-05:00,12.596,12.596,11.852,12.164,15678,0.0,0.0,0.0
2013-12-31 00:00:00-05:00,12.164,12.564,12.164,12.564,246256,0.0,0.0,0.0
2014-01-02 00:00:00-05:00,12.804,13.124,12.004,12.036,191972,0.0,0.0,0.0
2014-01-03 00:00:00-05:00,12.004,12.196,11.964,12.004,71038,0.0,0.0,0.0
2014-01-06 00:00:00-05:00,12.044,12.076,11.932,12.004,130977,0.0,0.0,0.0
2014-01-07 00:00:00-05:00,11.932,12.396,11.924,12.004,258390,0.0,0.0,0.0
2014-01-08 00:00:00-05:00,12.084,12.084,11.652,12.004,165607,0.0,0.0,0.0
2014-01-09 00:00:00-05:00,11.996,11.996,11.315,11.523,171573,0.0,0.0,0.0
2014-01-10 00:00:00-05:00,11.603,11.603,11.283,11.283,301900,0.0,0.0,0.0
2014-01-13 00:00:00-05:00,11.403,11.403,10.931,11.363,237477,0.0,0.0,0.0
2014-01-14 00:00:00-05:00,11.523,11.844,11.523,11.796,15936,0.0,0.0,0.0
2014-01-15 00:00:00-05:00,11.924,11.924,11.451,11.595,83887,0.0,0.0,0.0
2014-01-16 00:00:00-05:00,11.603,11.603,11.283,11.291,312911,0.0,0.0,0.0
2014-01-17 00:00:00-05:00,11.203,11.783,10.771,10.923,580801,0.0,0.0,0.0
2014-01-21 00:00:00-05:00,10.843,10.891,10.547,10.555,425855,0.0,0.0,0.0
2014-01-22 00:00:00-05:00,10.875,10.875,10.299,10.299,402696,0.0,0.0,0.0
2014-01-23 00:00:00-05:00,10.283,10.563,10.283,10.363,60598,0.0,0.0,0.0
2014-01-24 00:00:00-05:00,10.403,10.419,9.147,9.147,503809,0.0,0.0,0.0
