Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-07-20 00:00:00+01:00,860.655,872.444,858.69,860.655,4404424,0.0,0.0
2004-07-21 00:00:00+01:00,856.725,858.69,530.745,858.69,1912762,0.0,0.0
2004-07-22 00:00:00+01:00,856.725,852.795,850.83,852.795,444872,0.0,0.0
2004-07-23 00:00:00+01:00,852.795,854.76,851.812,854.76,235985,0.0,0.0
2004-07-26 00:00:00+01:00,849.847,844.935,841.005,844.935,4851925,0.0,0.0
2004-07-27 00:00:00+01:00,839.04,837.075,837.075,837.075,278409,0.0,0.0
2004-07-28 00:00:00+01:00,841.005,829.215,825.285,829.215,285071,0.0,0.0
2004-07-29 00:00:00+01:00,831.18,844.935,513.642,834.128,560979,0.0,0.0
2004-07-30 00:00:00+01:00,833.145,839.04,833.145,839.04,183701,0.0,0.0
2004-08-02 00:00:00+01:00,841.005,841.005,833.145,837.075,134904,0.0,0.0
2004-08-03 00:00:00+01:00,829.215,817.425,813.495,817.425,502365,0.0,0.0
2004-08-04 00:00:00+01:00,815.46,822.338,506.132,822.338,226876,0.0,0.0
2004-08-05 00:00:00+01:00,825.285,830.198,512.813,830.198,284412,0.0,0.0
2004-08-06 00:00:00+01:00,829.215,823.32,825.285,823.32,370297,0.0,0.0
2004-08-09 00:00:00+01:00,817.425,833.145,506.497,825.285,6327,0.0,0.0
2004-08-10 00:00:00+01:00,825.285,829.215,512.813,829.215,413300,0.0,0.0
2004-08-11 00:00:00+01:00,831.18,837.075,825.285,835.11,244262,0.0,0.0
2004-08-12 00:00:00+01:00,835.11,844.935,835.11,842.97,118590,0.0,0.0
2004-08-13 00:00:00+01:00,848.865,841.005,844.935,841.005,40082,0.0,0.0
2004-08-16 00:00:00+01:00,832.163,829.215,513.838,829.215,407779,0.0,0.0
2004-08-17 00:00:00+01:00,518.731,830.198,518.731,830.198,193790,0.0,0.0
2004-08-18 00:00:00+01:00,833.145,848.865,833.145,841.005,735204,0.0,0.0
2004-08-19 00:00:00+01:00,841.005,846.9,839.04,840.022,232069,0.0,0.0
2004-08-20 00:00:00+01:00,839.04,839.04,520.488,839.04,602990,0.0,0.0
2004-08-23 00:00:00+01:00,841.005,842.97,520.657,841.005,185702,0.0,0.0
2004-08-24 00:00:00+01:00,843.953,844.935,833.145,833.145,21661,0.0,0.0
2004-08-25 00:00:00+01:00,837.075,841.005,833.145,837.075,21976,0.0,0.0
2004-08-26 00:00:00+01:00,844.935,864.585,841.005,858.69,130165,0.0,0.0
2004-08-27 00:00:00+01:00,862.62,868.514,531.578,858.69,69021,0.0,0.0
2004-08-30 00:00:00+01:00,677.559,677.559,677.559,677.559,0,0.0,0.0
2004-08-31 00:00:00+01:00,864.585,880.304,864.585,877.357,80608,0.0,0.0
2004-09-01 00:00:00+01:00,868.514,880.304,868.514,872.444,24061,0.0,0.0
2004-09-02 00:00:00+01:00,886.199,911.744,548.096,899.954,112888,0.0,0.0
2004-09-03 00:00:00+01:00,903.884,919.604,903.884,904.866,317709,0.0,0.0
2004-09-06 00:00:00+01:00,903.884,906.831,559.209,906.831,306252,0.0,0.0
2004-09-07 00:00:00+01:00,911.744,915.674,566.448,912.726,272956,0.0,0.0
