firms,absacc,acc,age,bm,bm_ia,cash,cashdebt,chatoia,che,chempia,chinv,chpmia,chtx,convind,currat,depr,ep,gma,grcapx,herf,hire,lev,ms,mve_ia,operprof,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,ps,quick,roaq,roeq,roic,salecash,salerec,secured,securedind,tb,agr,egr,grltnoa,invest,lgr,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BAJS-L,0.0183392278597167,-0.0183392278597167,21.0,1.1412874336379935e-06,0.1134517084000481,0.1111497216586475,0.0356092158786368,0.8366358722600181,21.51009999999997,-0.3764179601241756,-0.0050144193810026,-0.0083629603359198,-0.0001809932863952,1.0,1.207916674555898,0.0672270804477387,4.422339940747625e-08,0.2012166306481956,0.0189872527481339,0.0001717910179452,-0.0568584210147727,4.457633105485802e-06,5.0,6.789382295182502,0.6416799232036433,-0.0458953336143947,-0.0270953424783057,0.1341872621647794,-0.0375515414694012,-0.0147119042613266,0.0217656701401432,-0.0402970320573237,0.0308898651725268,-2.31846865548656,3.0,0.9266649028252958,0.0057683239841235,0.0296136968737566,0.0018820717407104,6.451727366949729,2.5759767371985234,1.0,1.0,0.708147096359465,0.0129592921513562,-0.1052391688000174,-0.0193012277113127,0.0149362343794642,0.0483799345538314,-0.0264321678139799,0.1208530805687204,0.0798976400341198,0.1806030463164436,0.2744966442953018,0.3219631047685345,0.6872501110617502,0.1714990746452804,0.0731845153998302,-0.0865800865800866,-0.1113710809546093,-0.1656414762741653,-0.0575682382133995,-0.0193648334624322,-0.1097046413502109,-0.1350489637895695,-0.0808325266214908,-0.2425209413641803,-0.1826985151710781,-0.1714659685863875,-0.183225806451613,-0.0909526089037817,-0.1791657661551762,-0.177209705372617,-0.2191611842105264,-0.2330371567043619,-0.2676436559969148,-0.2267915309446254,-0.3001658374792704,-0.342565345334949,-0.3535319148936171,-0.3799183673469388,-0.3988603988603989,-0.3955116982333281,-0.3703580901856764,-0.4062841957167422,-0.3646704583472734,-0.3289752650176679,-0.2880974695407685,-0.3220278471974296,-0.3253996447602132,-0.3432474494207159,-0.3592036443394636,-0.3626447390501762,-0.3640321500334896,-0.371919960310898,-0.2751908396946565,-0.3444943044528823,-0.306934306569343,-0.2795902883156298
BAOH-L,0.1129674702478487,-0.1129674702478487,6.0,5.508573128939594e-07,0.0547589515055526,0.1186837547150151,0.2148400705516514,0.8027885703309335,182.3845,-0.1880013178183097,0.0054529412158322,0.0536362364946655,0.0151583211891773,1.0,0.8050152715571798,0.1309827923269376,3.2055645294707216e-08,0.2231488478754174,-0.2494235649660583,4.02463692479229e-08,-0.0283978428561677,7.245449621726869e-07,3.0,0.5674484536053517,0.4663697548111621,-0.1283586882847895,-0.4620704492811952,-0.1653472898332078,0.1604235589408139,-0.4438778005501337,0.0156962723163483,0.221252929338215,0.4112051281132552,-4.510520212264634,6.0,0.4995612767842896,0.0401190400963308,0.0958382013096232,0.1498520566065278,5.760241153439121,31.76766563862597,1.0,1.0,1.6316617381054266,0.0343670912042211,0.0333590178351636,-0.0698948792969594,0.0518563013401321,0.0346086361386889,0.1076527302446938,0.0289855072463769,-0.0142857142857144,-0.034965034965035,-0.0166270783847981,-0.0142857142857144,-0.0166270783847981,0.0024213075060532,0.0298507462686568,0.0534351145038167,0.4838709677419353,0.4733096085409252,0.4081632653061224,0.3846153846153843,0.3939393939393938,0.4425087108013936,0.4577464788732395,0.5333333333333332,0.5164835164835164,0.5276752767527675,0.5054545454545454,0.4425087108013936,0.4733096085409252,0.5054545454545454,0.4838709677419353,0.4425087108013936,0.5054545454545454,0.5109489051094889,0.5220588235294115,0.5333333333333332,0.4033898305084744,0.3441558441558441,0.3663366336633662,0.3573770491803278,0.3708609271523178,0.3708609271523178,1.145077720207254,1.0699999999999998,1.1122448979591837,1.0597014925373136,1.0699999999999998,0.4892086330935252,0.4526315789473683,0.4425087108013936,0.4577464788732395,0.4577464788732395,0.4838709677419353,0.3892617449664428,0.4475524475524475,0.5109489051094889
BBOU-L,0.0282025880750417,-0.0282025880750417,32.0,1.0845073001865885e-07,0.0107807378187184,0.0842275332276551,0.0821161537123978,0.4891586095431621,-198.0,-0.0851345242099999,0.009287350628444,-0.0355692390376954,-0.0003583224278681,1.0,1.7658559113300492,0.0974421437271619,2.256454202544157e-08,0.2418519938650306,0.1986301369863013,1.1074503580250678e-06,-0.0128596802841917,3.982505543567644e-07,3.0,9.308791174546418,0.6060279870828849,0.0200945894724198,0.3193522828384011,0.1607078885147237,-0.0095830198506186,0.5749284082141375,-0.1414803475230393,0.0807228546571684,0.0130985136347691,-0.6465578424414479,4.0,0.8773091133004927,0.0237180256995316,0.1166568222090962,0.1518552612944342,3.4605418138987045,5.481343283582089,1.0,1.0,0.6276988768305853,0.0642893660531697,-0.1900490371965076,-0.0263141601139248,0.0366820040899795,0.1763481551561021,-0.0866557861195305,0.0942622950819671,-0.1530718500520652,-0.0952910641453467,-0.1441599438793407,-0.1178597252349964,-0.0093382054405196,-0.1322901849217639,-0.2123950936087799,-0.2377382068103717,-0.2189500640204865,-0.2263792010145846,-0.2646172393007836,-0.3205235310498467,-0.3079977311401021,-0.2763938315539739,-0.2742415229030339,-0.2448158464871558,-0.2139175257731959,-0.169503063308373,-0.1592005513439007,-0.1270125223613596,-0.1359773371104815,-0.0875093492894539,-0.1120815138282388,-0.1012891344383056,-0.1301247771836008,-0.0979667282809613,-0.101620029455081,-0.0636991557943208,0.0116086235489218,0.0041152263374484,-0.0317460317460317,-0.1045871559633028,-0.0487329434697856,-0.0408805031446541,-0.0105433901054339,-0.0575511780610275,0.0,0.0734711834579848,0.0413999146393511,0.0863757791629562,0.0706450197455024,0.0701754385964912,0.1151736745886653,0.1563981042654028,0.2410986775178025,0.1296296296296295,0.0868596881959911,0.1708253358925142
BBXK-L,0.1092262469728084,-0.1092262469728084,32.0,1.8954257060480596e-06,0.1884181654493958,0.0333876585104482,0.0965374225763322,1.4966385557829136,-63.150000000000006,-0.2604408220891279,-0.0156809958525319,-0.0002548353242999,-0.003191729748051,1.0,0.6569698280523413,0.092279130719668,1.2132772243980825e-08,0.5580956084553207,-0.0869407057111676,8.313011035833034e-07,-0.039339923915671,3.314960058593816e-06,3.0,0.2912038543915206,0.3207385303991047,0.0708734980834982,-0.0177190252067651,-0.4062506339176128,-0.0613334205997602,-0.0072280986101549,0.1757735232763217,-0.3220806817519387,0.0531110677784236,-40.05907172995781,3.0,0.3519519844273818,-0.0033072612540114,-0.0091019581363943,0.0896594152471433,38.77341964965727,43.79311827956989,1.0,1.0,2.521632399524398,0.4143912669092525,0.3810145468108915,0.2712133501302196,0.1702036054554039,0.4328325183103577,-0.0188295606757055,-0.0566037735849057,0.0927835051546392,0.06,0.06,0.1397849462365592,0.06,-0.3248407643312102,-0.4044943820224719,-0.5023474178403755,-0.4450261780104712,-0.4111111111111111,-0.4361702127659573,-0.4421052631578946,-0.4903846153846154,-0.4976303317535544,-0.5330396475770924,-0.6344827586206896,-0.624113475177305,-0.6200716845878136,-0.6357388316151202,-0.5708502024291497,-0.6357388316151202,-0.6466666666666667,-0.6267605633802816,-0.6513157894736842,-0.6442953020134228,-0.6442953020134228,-0.6280701754385964,-0.6280701754385964,-0.6074074074074074,-0.6357388316151202,-0.6478405315614617,-0.6634920634920635,-0.656957928802589,-0.6778115501519757,-0.6988636363636364,-0.66875,-0.6728395061728395,-0.685459940652819,-0.7173333333333334,-0.7111716621253406,-0.685459940652819,-0.6863905325443787,-0.6873156342182891,-0.6971428571428571,-0.6748466257668712,-0.6900584795321637,-0.6748466257668712,-0.6936416184971098
BCIP-L,0.0723120673801549,-0.0723120673801549,21.0,9.195861253504848e-06,0.9141309530538952,0.063279623142017,0.1239912297923552,0.3697480037558448,108.3476,-0.6673458194342634,-0.0021824308788104,0.0352510945330632,-0.0075351335232432,1.0,1.1827632404033357,0.2526018932368392,4.081003448370391e-07,0.1407535583118467,-0.3445094426633112,1.8598544429706408e-06,-0.1008034514381953,2.1528653903526763e-05,4.0,0.2785664104848449,0.3775721301783196,1.3453205846577163,0.7453515099836584,-0.0414782109796835,0.0732262297764814,0.793093564250787,0.2646858052561108,-0.0732454239055259,0.2663021945024878,-5.611111242244447,6.0,1.1609657934347637,0.0075048543595435,0.0248742886859926,0.0511652020934908,4.36156267069548,4.2034612097706985,1.0,1.0,0.8558978265279801,0.0076988860416825,-0.0204473771125646,-0.1273519904550491,-0.0162154097558758,0.0207574779442111,-0.1048777573277726,-0.1142857142857142,0.129032258064516,0.129032258064516,0.09375,0.09375,0.09375,-0.1860465116279069,-0.1250000000000001,-0.2391304347826087,-0.2553191489361702,-0.2222222222222223,-0.2222222222222223,-0.1666666666666667,-0.2045454545454545,-0.1463414634146341,-0.054054054054054,-0.1250000000000001,-0.1666666666666667,-0.1463414634146341,-0.054054054054054,-0.0789473684210526,-0.2045454545454545,-0.1250000000000001,-0.1025641025641026,-0.1860465116279069,-0.3,-0.2857142857142857,-0.3518518518518519,-0.435483870967742,-0.4067796610169492,-0.3636363636363637,-0.3518518518518519,-0.339622641509434,-0.3137254901960785,-0.3518518518518519,-0.3750000000000001,-0.4067796610169492,-0.435483870967742,-0.396551724137931,-0.4067796610169492,-0.3636363636363637,-0.396551724137931,-0.3636363636363637,-0.3636363636363637,-0.4067796610169492,-0.2857142857142857,-0.4067796610169492,-0.339622641509434,-0.3636363636363637
BCQF-L,0.0350495182967635,-0.0350495182967635,32.0,4.00224896893793e-07,0.0397850681244216,0.1234654588446446,0.0782587365105375,0.3923366950879126,-252.4326,-1.4598384742239645,-0.0492300036719768,0.0035555780646322,-0.0024356865974314,1.0,1.55261460744485,0.2917077001423219,4.531262892060973e-08,0.1578004491303081,-0.3911076655179614,2.158513129039717e-05,-0.2205104946469814,9.246635897311669e-07,4.0,12.307819899342752,0.2479468788575183,-0.1814050684065904,0.1191313163521091,0.0858909281247409,0.1390151554833459,0.2087649838118148,0.1346228068317418,-0.024500380942063,-0.1530543894123393,-1.1509708828306873,6.0,1.3241294403637336,0.0058380953254894,0.020917433599851,0.0257875562361398,3.735307587396186,2.1937725599007347,1.0,1.0,0.5036836820979476,-0.1553912988514887,-0.2255118577457766,-0.1000330067738672,-0.0847333422355302,-0.1325009174765529,-0.326137523527659,-0.0661474858186713,0.0312314098750743,0.1068426093434076,0.1824693042291951,0.3346593096368535,0.5930464083320568,0.2999625046869141,0.0998202389764197,0.0597045338767192,0.0358530026889751,0.1485203180212013,0.2040981708728872,0.2640982012639767,0.2010392609699771,0.0991228997146782,0.1444762323943662,0.1338711435735309,0.2419104477611942,0.2471223021582733,0.2407252773470118,0.1736628300609344,0.1223696989316931,0.1652475913062963,0.0623021141864978,0.0351313694267516,-0.0241133420904484,0.0453266331658293,0.0510307194826193,0.1192295276014203,0.1440985590144099,0.097846738442052,0.017809961835796,0.008141901715615,0.0452215857702742,-0.055227541102734,-0.0176615035889685,0.0243253890092574,-0.002971625766871,-0.0346203824020789,-0.0577950901349759,-0.0641533201367644,-0.0488340192043894,-0.0303002051090807,9.615384615391244e-05,0.0550821667681071,0.1683891260390924,0.1256493506493505,0.1511898173768677,0.1617334971517927
BCYN-L,0.0757163999481357,-0.0757163999481357,31.0,5.272338422787638e-07,0.052410618368221,0.1340794740143563,0.2873516366435714,0.7990841814016186,917.7379,-0.4451665281481638,-0.0013050046488783,-0.0427274869343257,0.0063576061056974,1.0,1.555325848709449,0.0739907967311955,1.0419281177607197e-07,0.2097346623676797,0.2508026089901021,8.51776882580639e-06,-0.0672429813677941,5.536137464487211e-07,4.0,8.653352606116373,0.409900155297851,-0.0127388507620933,-0.1915311782794217,0.0745156767626577,0.1103371323125299,-0.2256345884683499,0.0582995024921036,0.1085315579463229,0.9534166999669724,-0.8616729169473714,5.0,1.244044944028892,0.0365469416958047,0.0787598520380041,0.2055953515437306,4.05724221355129,14.762311960337572,1.0,1.0,0.7774072159305602,-0.0709755400020937,-0.1071542831815065,-0.0705025634200463,0.0542340998613749,-0.004122737579269,0.0250889234394559,0.1186929360884192,-0.0287047841306885,-0.0718108831400536,-0.0718108831400536,-0.0663974876626289,-0.0767524401064774,-0.0491204021018963,-0.0316426244765006,-0.0121053880845004,-0.0370198981952799,-0.0365740740740742,-0.0878807801884725,-0.1016619900712281,-0.0961997828447339,-0.0579447713897691,-0.0596475372797108,-0.025520955279794,-0.0232339826331847,-0.0151443445338381,-0.0246074525427701,-0.0553790285973673,-0.050638686131387,-0.0336661249129325,-0.0287047841306885,-0.0405716920239742,-0.0232339826331847,-0.0767524401064774,-0.0621901757548446,0.0299430833951992,0.1654998599831978,0.0438926511161275,0.0550063371356146,0.0558092338914255,0.1884637350085662,0.1396495071193864,0.171734234234234,0.1069148936170212,0.1884637350085662,0.2335506816834616,0.3242125357938274,0.3592423252775962,0.3063402385436282,0.221961244862008,0.1823863636363634,0.317922735908803,0.3745046235138705,0.4634317862165962,0.5970836531082118,0.8103523270987385
BCZB-L,0.0473988888457205,-0.0473988888457205,32.0,1.8395679810971228e-06,0.1828655288950588,0.0342300136013299,0.0798887911713807,1.5657877285375268,-161.5,-0.2621888142346161,-0.0076537550021368,-0.0006529087913361,0.0011978173106783,1.0,0.629700340333693,0.0914318992502001,3.5972511659174414e-08,0.1508007306401597,-0.0748663101604278,6.74042085126011e-06,-0.0396039603960395,4.772037665102584e-06,4.0,0.6299145559322087,0.2138126773888363,0.0398804105450687,-0.0526698134682075,0.1207334317183628,0.268792752874708,-0.0198120083852966,0.1016428114820356,-0.2146590827124023,0.2229521654609821,-8.026315789473685,4.0,0.4859301070806009,-0.0032036367541253,-0.0115142158754663,0.0488812776888425,26.945167286245358,6.088408231835364,1.0,1.0,1.0175146870006295,0.1867380315194766,-0.080771050141911,0.1489568359299118,0.1670702179176755,0.3366920782234007,-0.0004826421208673,0.0614525139664803,-0.0427807486631016,-0.1182266009852215,-0.0773195876288659,-0.0820512820512819,-0.1596244131455398,-0.1225490196078431,-0.1094527363184078,-0.2217391304347825,-0.1596244131455398,-0.1268292682926828,-0.1863636363636364,-0.0913705583756344,-0.0867346938775509,-0.0913705583756344,-0.1049999999999999,-0.2251082251082251,-0.2382978723404255,-0.2284482758620689,-0.3763066202090592,-0.3245283018867924,-0.415032679738562,-0.4299363057324841,-0.4353312302839116,-0.4509202453987729,-0.4525993883792049,-0.4353312302839116,-0.4335443037974683,-0.4299363057324841,-0.2510460251046025,-0.30078125,-0.2952755905511811,-0.2572614107883817,-0.2317596566523605,-0.2415254237288134,-0.2541666666666666,-0.2415254237288134,-0.2782258064516129,-0.2811244979919679,-0.3584229390681003,-0.3490909090909091,-0.3193916349809885,-0.332089552238806,-0.3062015503875969,-0.2811244979919679,-0.2183406113537117,-0.2952755905511811,-0.2693877551020408,-0.2603305785123966
BCZN-L,0.071364585618149,-0.071364585618149,31.0,2.584190701565853e-07,0.02568860755696,0.1958397698036716,0.2269302019881312,1.238736522277481,103.6182,-0.7252895712938441,-0.0211341473713518,-0.0135256525183237,0.0008621441181308,1.0,2.210567517725063,0.1845219614133427,3.6537356394816495e-08,0.3653909910191326,0.1514353639001588,5.582965432185945e-07,-0.1095559302979201,2.4471756280101093e-07,4.0,2.883529265188988,0.4450323943981975,-0.0184758589633678,-0.0912809532627505,0.1171750873673028,0.0134796454884952,-0.0839165648717192,0.0425778105002978,0.022925971835296,0.1283566729339965,-1.0189845154136965,6.0,1.3857512509518686,0.0268072366984954,0.049322077003551,0.2717097097863252,6.089659646412003,4.900693038545277,1.0,1.0,0.5874758116513951,-0.0685151856218231,-0.0318153861852067,-0.0598104765154592,-0.0275315269771217,-0.1039429993832165,-0.0555798026068313,0.0511247443762781,-0.0027192386131883,-0.03295978905735,0.0955937266616877,0.1849757673667205,0.3813559322033899,0.1354489164086687,0.0411639460610362,-0.0020408163265305,0.0553956834532374,0.0576784426820475,0.1830645161290323,0.2400676246830093,0.147887323943662,0.000682128240109,0.1985294117647058,0.0426439232409381,0.1460937499999999,0.1642857142857143,0.19559902200489,0.3051601423487544,0.2369308600337267,0.2024590163934427,0.0842572062084257,0.0731528895391369,0.0607375271149674,0.1172886519421172,0.1088435374149658,0.1802091713596139,0.1284615384615384,0.0890868596881959,0.0715850986121255,0.125863392171911,0.1670644391408113,0.06150506512301,0.1275941583397386,0.13986013986014,0.217427385892116,0.1975510204081632,0.216417910447761,0.181159420289855,0.2432203389830507,0.3086529884032112,0.3558225508317929,0.4568023833167824,0.5589798087141338,0.5791173304628634,0.7077997671711291,0.793398533007335
BDAJ-L,0.1619408457589831,-0.1619408457589831,32.0,1.0076081862139628e-06,0.1001630849114453,0.0917035398230088,0.2175358166189111,0.939364244752706,-30.15,0.0788127090407623,-0.0008555365436323,-0.0068901294635348,-0.00880065493246,1.0,0.4916175804259176,0.2937521574042112,2.6972303263853693e-08,0.504300014098407,0.2874015748031498,3.2649624552423517e-09,0.0119047619047618,1.5445772032321114e-06,5.0,0.0541647645680616,0.8640703517587941,0.1989730484155076,0.1824388174924562,0.0495790579818608,0.0698512501464566,0.1956174347854231,0.1772566697037996,-2.6391454466983166,0.9179974104445404,-13.520408163265303,5.0,0.4825555052106933,-0.0266961492827095,-0.0676044796503687,-0.004919761040178,8.66983695652174,25.626506024096383,1.0,1.0,0.9193316767828156,0.3070633018468914,-0.0801507537688441,0.1966511855292027,0.2615254476244184,0.8027626084163187,-0.0820025895554596,-0.3309352517985611,0.0220588235294116,-0.0608108108108108,-0.1146496815286625,-0.1366459627329194,0.0610687022900762,-0.45703125,-0.5105633802816901,-0.4981949458483755,-0.4484126984126985,-0.4349593495934959,-0.2645502645502645,-0.1524390243902439,-0.0915032679738563,-0.1524390243902439,-0.0794701986754967,-0.1257861635220126,-0.1257861635220126,-0.1726190476190476,-0.1524390243902439,0.0072463768115942,-0.108974358974359,-0.1366459627329194,-0.2102272727272728,-0.1871345029239766,-0.2606382978723404,-0.268421052631579,-0.2566844919786097,-0.2011494252873563,-0.325242718446602,-0.3766816143497759,-0.3903508771929824,-0.4256198347107438,-0.4159663865546218,-0.4135021097046414,-0.365296803652968,-0.3930131004366812,-0.4184100418410043,-0.3930131004366812,-0.3681818181818183,-0.3504672897196262,-0.3349282296650717,-0.3380952380952381,-0.3118811881188119,-0.2871794871794871,-0.2760416666666667,-0.2835051546391752,-0.3534883720930233,-0.3623853211009175
