firms,age,agr,egr,invest,lgr,mve_ia,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,21.0,0.2936037466713539,0.4124598002708191,0.0904502713427323,0.1625355519958155,0.1906253112337615,0.2208223579741823,0.0555555555555553,-0.0949720670391061,0.1172413793103448,0.0945945945945947,0.0519480519480519,0.0384615384615385,-0.0061349693251532,0.265625,0.2461538461538461,0.2461538461538461,0.1250000000000002,0.1911764705882352,0.1020408163265307,-0.1562499999999999,-0.3414634146341463,-0.3571428571428571,-0.352,-0.4234875444839857,-0.2173913043478259,-0.173469387755102,-0.0999999999999999,-0.0847457627118644,-0.0847457627118644,-0.1049723756906076,-0.2285714285714285,-0.0999999999999999,0.0318471337579617,-0.0357142857142855,-0.0470588235294117,0.0124999999999999,0.0318471337579617,0.0,0.0519480519480519,0.0124999999999999,0.0253164556962024,0.08,0.1824817518248174,0.265625,0.433628318584071,0.5283018867924529,0.603960396039604,0.6363636363636365,0.603960396039604,0.5428571428571429,0.4727272727272726,0.5428571428571429,0.6701030927835052,0.6875000000000002,1.0
BBOU_00-L,21.0,0.1290946527734448,-0.0791881074899942,0.0486054782554439,0.1947350658116773,11.091663839246262,0.1509270704573547,0.0297029702970297,0.0575916230366491,0.0498960498960499,0.086021505376344,0.1259754738015606,0.1981020166073546,0.2392638036809815,0.2784810126582278,0.2562189054726369,0.1038251366120217,0.0509885535900105,0.1412429378531072,0.0233029381965552,0.0531803962460897,0.0,0.1503416856492028,0.1234705228031145,0.0327198364008181,-0.0297790585975024,-0.0453686200378071,-0.0222652468538238,-0.0213178294573643,-0.0648148148148148,-0.0639481000926783,-0.0725436179981635,-0.0725436179981635,-0.0353390639923592,0.0120240480961923,-0.0307101727447217,-0.0682656826568266,-0.0453686200378071,-0.0213178294573643,0.0140562248995983,0.008991008991009,0.0079840319361277,0.0348360655737705,0.0348360655737705,0.0733262486716259,0.0744680851063828,0.0895361380798274,0.0966340933767642,0.1373873873873872,0.1160220994475136,0.1098901098901099,0.1399548532731378,0.1938534278959809,0.1981020166073546,0.1910377358490564,0.212484993997599
BBTU_63-L^C18,21.0,-0.1637964321569234,-0.8158536585365854,-0.0214688392926094,-0.2955819828701707,0.5304556217298653,-0.1193584165173619,0.1039999999999998,-0.2331288343558282,-0.2378048780487804,-0.1830065359477124,-0.2038216560509554,-0.2816091954022989,-0.375,-0.228395061728395,-0.1197183098591548,-0.1496598639455781,-0.2088607594936709,-0.1721854304635761,-0.1258741258741258,-0.2236024844720497,-0.3589743589743589,-0.4047619047619047,-0.4019138755980861,-0.5210727969348659,-0.5487364620938628,-0.5503597122302157,-0.5098039215686274,-0.5210727969348659,-0.5454545454545454,-0.5210727969348659,-0.6376811594202898,-0.6648793565683646,-0.6565934065934066,-0.6301775147928994,-0.6648793565683646,-0.6397694524495677,-0.6397694524495677,-0.6334310850439883,-0.6376811594202898,-0.6770025839793281,-0.648876404494382,-0.6387283236994219,-0.6428571428571428,-0.6246246246246246,-0.6212121212121212,-0.6212121212121212,-0.6418338108882522,-0.6268656716417911,-0.649859943977591,-0.8677248677248677,-0.859075535512965,-0.8585972850678734,-0.8574686431014823,-0.8458692971639951,-0.8483009708737864
BCQE_67-L^A14,21.0,0.117937465715853,0.4668435013262599,0.0987383433900164,0.0152505446623093,0.978966349678712,0.0834914611005692,-0.0326086956521739,0.0250696378830084,0.0823529411764707,0.1185410334346503,0.3049645390070923,0.2432432432432432,0.4263565891472869,0.7037037037037037,1.010928961748634,1.0331491712707184,0.6958525345622122,0.936842105263158,0.8400000000000001,0.4263565891472869,0.0484330484330486,0.0424929178470256,0.1608832807570979,-0.0799999999999999,-0.0080862533692721,0.1757188498402557,0.1682539682539683,0.2026143790849672,0.295774647887324,0.2065573770491804,-0.1024390243902437,-0.0466321243523315,-0.1320754716981131,-0.2252631578947368,-0.2505091649694501,-0.2396694214876032,-0.108958837772397,0.0082191780821918,0.0666666666666666,-0.0212765957446807,0.0697674418604652,0.1185410334346503,0.2822299651567943,0.3529411764705881,0.4603174603174604,0.5726495726495728,0.5081967213114755,0.3529411764705881,0.3285198555956679,0.3381818181818181,0.5397489539748954,0.4319066147859924,0.7037037037037037,0.7037037037037037,1.2857142857142856
BDAJ_H9-L,15.0,-0.1529062663641123,-8.136363636363638,0.0459067900157095,-0.21375368092846,0.129812323025441,-0.0032554576790502,-0.1136363636363636,-0.0112359550561798,0.1282051282051282,0.1891891891891892,0.3538461538461537,0.375,0.3538461538461537,0.2054794520547944,0.517241379310345,0.4915254237288136,0.2941176470588234,0.5999999999999999,0.4915254237288136,0.2222222222222223,0.1578947368421053,0.1891891891891892,0.1282051282051282,0.0,-0.0736842105263158,-0.0927835051546391,-0.0638297872340425,-0.0434782608695653,-0.0329670329670329,-0.1926605504587156,-0.0927835051546391,-0.4601226993865031,-0.4853801169590643,-0.4761904761904761,-0.5138121546961326,-0.5621890547263682,-0.5510204081632653,-0.5728155339805825,-0.7095709570957096,-0.7241379310344828,-0.7292307692307692,-0.7653333333333333,-0.7478510028653296,-0.7317073170731707,-0.7206349206349206,-0.6728624535315986,-0.6799999999999999,-0.6933797909407666,-0.722397476340694,-0.7341389728096677,-0.7478510028653296,-0.7634408602150538,-0.7929411764705883,-0.7990867579908676,-0.7894736842105263
BJJT_37-L,20.0,0.2966239476576951,0.0625984251968503,5.265825451050866e-05,0.2654423807366624,0.5091633091122434,0.2155497534087612,-0.0498084291187739,-0.043956043956044,0.1599999999999999,0.3957219251336896,0.3049999999999999,0.544378698224852,0.4829545454545454,0.5535714285714286,0.5086705202312138,0.4662921348314606,0.4662921348314606,0.359375,0.4745762711864405,0.1863636363636363,0.1548672566371682,0.2608695652173913,0.2083333333333332,0.0275590551181101,-0.0474452554744526,-0.0474452554744526,0.0116279069767442,-0.0038167938931298,-0.0543478260869565,-0.1270903010033446,-0.304,-0.304,-0.3442211055276382,-0.4013761467889909,-0.384433962264151,-0.4081632653061224,-0.4326086956521738,-0.4174107142857144,-0.4174107142857144,-0.3944315545243619,-0.3930232558139535,-0.3539603960396039,-0.3665048543689321,-0.2606232294617564,-0.2368421052631579,-0.2042682926829268,-0.2138554216867469,-0.2042682926829268,-0.2809917355371901,-0.2090909090909091,-0.1818181818181818,-0.1182432432432433,-0.0261194029850747,-0.0038167938931298,0.0524193548387097
BLNT_37-L^D19,13.0,0.0745263601599495,0.024246586196878,0.0075446298033288,0.0871870404820469,0.3917644162410663,0.1221160919082076,-0.0487804878048779,-0.0662525879917185,-0.0643153526970955,0.0391705069124423,0.1081081081081078,0.0687203791469195,0.0112107623318384,0.0738095238095237,0.0157657657657657,-0.0424628450106157,0.0296803652968036,-0.098,0.0112107623318384,0.0661938534278958,0.0022222222222221,0.1163366336633662,0.1534526854219948,0.1837270341207348,0.2026666666666665,0.2026666666666665,0.2527777777777777,0.307246376811594,0.358433734939759,0.334319526627219,0.2322404371584698,0.2091152815013404,0.1564102564102563,0.2058823529411764,0.0893719806763284,-0.0195652173913043,0.0512820512820513,0.0022222222222221,0.0586854460093897,0.136020151133501,0.0738095238095237,0.1053921568627449,0.0920096852300242,0.1505102040816326,0.1446700507614213,0.2633053221288515,0.1274999999999999,0.2740112994350281,0.1806282722513088,0.2356164383561643,-0.0525210084033613,-0.0087912087912087,-0.0961923847695391,-0.0623700623700623,-0.0363247863247863
BLNV_40-L^F19,12.0,-0.2298447561083179,-0.282674690138315,0.0014076328246743,0.0222231342211644,0.0865120829228797,1.201816299642387,0.0999999999999998,0.0,-0.0322580645161291,0.2875536480686695,0.2295081967213115,0.1904761904761904,0.25,0.3392857142857142,0.2931034482758621,0.3761467889908256,0.3574660633484163,0.4423076923076923,0.3636363636363635,-0.0384615384615385,0.2931034482758621,0.4084507042253522,0.075268817204301,-0.1044776119402984,-0.1124260355029586,-0.1428571428571429,-0.1017964071856286,-0.0566037735849057,-0.1176470588235294,0.0714285714285714,-0.1124260355029586,-0.0769230769230768,-0.1428571428571429,-0.1643454038997214,-0.2941176470588235,-0.3258426966292135,-0.3589743589743589,-0.371069182389937,-0.368421052631579,-0.3877551020408164,-0.4140625,-0.4,-0.4,-0.4163424124513618,-0.3478260869565217,-0.375,-0.3333333333333333,-0.25,-0.3150684931506849,-0.3103448275862068,-0.3406593406593406,-0.2682926829268292,-0.2840095465393795,-0.3103448275862068,-0.2248062015503876
BPVK_29-L,14.0,0.0472031816739817,0.1582526977887568,-0.024752053922732,-0.0099396664117311,17.01162143575225,-0.0739727790558924,0.0117603822124219,-0.0159132007233272,-0.0472689075630251,-0.0219266714593817,0.0048005908419499,0.0562888198757762,0.1703225806451613,0.1220618556701031,0.2147321428571429,0.010022271714922,-0.0306376914855717,0.1243801652892562,0.0062869822485207,0.0767708745548081,-0.0054824561403508,0.1165367254821501,0.2774647887323944,0.2481651376146789,0.2938659058487873,0.3510427010923536,0.4488817891373802,0.3050359712230215,0.2573937153419594,0.1871727748691098,0.1678111587982833,0.0993939393939393,0.1188322368421053,0.075494071146245,0.023702031602709,0.0141632500931794,0.0029487652045705,0.001103752759382,-0.0316725978647687,-0.0626937650706166,-0.0083819241982507,-0.0584775086505189,-0.136738578680203,-0.1841079460269865,-0.2078602620087336,-0.158887171561051,-0.166360294117647,-0.0499301675977653,-0.1019801980198019,-0.0639834881320948,0.0275679758308158,-0.0047549378200438,-0.0381760339342522,0.010022271714922,0.0737963693764798
BQMM_18-L^C11,7.0,-0.2445157045014318,-0.2408586431745177,-0.0012326342227453,-0.3416624171341152,0.0010984415595096,-0.8287119538099651,-0.2,0.25,-0.1666666666666666,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.6666666666666667,0.25,0.25,0.25,0.25,0.25,0.0,-0.1666666666666666,0.25,0.0,0.25,-0.1666666666666666,0.0,0.0,-0.1666666666666666,0.0,0.0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,0.25,0.0,0.0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666
