firms,age,agr,bm,bm_ia,cashdebt,chpmia,convind,egr,ep,grltnoa,herf,lev,lgr,ms,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ-L^J02,11.0,-0.1213491985445963,6.765560023579312e-07,0.0315522007464805,0.0375211167422423,0.0180638462994194,1.0,-0.0377122877122876,-1.1676868454918876e-07,-0.1292922948073685,1.9152886600028297e-07,8.923585787653793e-07,-0.175669099756691,2.0,0.6248130307257909,0.2415120103933437,-0.4902448695045968,-0.0283804627249357,0.1712062256809339,-0.0115384615384616,-0.0038759689922481,0.036290322580645,0.4043715846994533,0.0404858299595141,0.0198412698412697,-0.0982456140350878,-0.0688405797101449,0.0532786885245901,0.4941860465116279,0.4855491329479768,0.7482993197278911,2.2124999999999995,1.7634408602150535,4.354166666666667,4.840909090909091,4.840909090909091,5.2682926829268295,4.976744186046512,4.244897959183673,5.424999999999999,4.03921568627451,3.759259259259258,3.849056603773584,1.887640449438202,1.887640449438202,0.6688311688311688,0.4941860465116279,0.117391304347826,0.0753138075313806,0.212264150943396,0.06198347107438,-0.0821428571428571,0.2238095238095236,0.1628959276018098,0.5297619047619047,0.4519774011299433,-0.1076388888888889,0.0078431372549019,0.0798319327731091,-0.1918238993710692,-0.2900552486187846,-0.3807228915662651,-0.4461206896551724,-0.4623430962343097,-0.4461206896551724,-0.4839357429718876,-0.4132420091324201
BALZ-L^I10,13.0,0.3810514346866431,7.037657290436176e-07,0.0328211670340479,0.2638355745871871,0.0175204258483554,1.0,0.3857652798777919,1.6160305950097769e-07,-0.0075844614049231,1.971600565089034e-09,9.307968911592508e-07,0.3775085816043206,4.0,0.1385904651958465,0.128902244914345,-0.1120005865381156,0.2654303062302005,-0.0892857142857143,-0.2112676056338027,-0.263157894736842,0.0181818181818183,0.0566037735849056,-0.2222222222222221,-0.2222222222222221,-0.4509803921568627,-0.4509803921568627,-0.5130434782608695,-0.4563106796116504,-0.631578947368421,-0.6989247311827957,-0.6585365853658536,-0.6956521739130435,-0.7227722772277227,-0.7052631578947368,-0.7227722772277227,-0.7021276595744681,-0.706806282722513,-0.6499999999999999,-0.565891472868217,-0.5590551181102361,-0.6363636363636364,-0.5,-0.4285714285714285,-0.4285714285714285,-0.3086419753086419,-0.2999999999999999,-0.3411764705882352,-0.282051282051282,-0.2911392405063291,-0.2432432432432432,-0.1515151515151515,-0.176470588235294,-0.0344827586206895,-0.0508474576271185,-0.0666666666666665,0.1200000000000001,0.2173913043478261,0.3333333333333335,0.2173913043478261,0.1666666666666667,0.1666666666666667,0.0980392156862746,0.3333333333333335,0.3023255813953489,0.4358974358974359,0.3333333333333335
BAOH-L,20.0,-0.1742644710198214,5.986751535653635e-07,0.027920110916747,-0.0524838024433443,-0.0881601962483862,1.0,-0.2201806628252014,-7.666619830912745e-08,-0.2388505371297575,2.4678079506227097e-08,4.378461841363074e-07,-0.126163669894225,3.0,1.1437234869577109,-0.2061103672253601,-0.0145463716077,-0.0145463716077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2123287671232877,-0.0836653386454183,-0.2255892255892256,-0.1901408450704225,-0.1756272401433692,-0.1958041958041958,0.0454545454545451,0.1979166666666665,0.0313901345291478,-0.0725806451612903,-0.0873015873015873,-0.0612244897959185,0.0,-0.1605839416058395,-0.0212765957446809,-0.2698412698412699,-0.352112676056338,-0.2721518987341773,0.0648148148148146,-0.1958041958041958,-0.2789968652037617,-0.4056847545219638,-0.4306930693069307,-0.3994778067885118,-0.4191919191919192,-0.4320987654320988
BBIO-L^E18,13.0,-0.1343742001535705,4.831323390880177e-07,0.0225315990056903,0.1026288117770767,-0.0282030541918669,1.0,-0.2889498970487302,1.6322038482703302e-08,-0.0740842365207599,6.316799704807261e-07,1.0837833552514993e-06,-0.044014808720691,3.0,2.352602031211317,-0.0033464268796865,-0.1677982541222114,-0.1677982541222114,0.083941605839416,0.0339622641509436,-0.0419580419580418,0.0,0.0620155038759691,-0.0986842105263157,-0.6102418207681366,-0.6051873198847262,-0.6422976501305483,-0.6385224274406331,-0.6204986149584487,-0.6592039800995024,-0.6702767749699158,-0.6124469589816124,-0.6375661375661374,-0.6596273291925465,-0.5861027190332326,-0.6914414414414414,-0.6768867924528301,-0.6832369942196532,-0.7037837837837837,-0.6914414414414414,-0.6518424396442185,-0.6629766297662977,-0.6422976501305483,-0.7189743589743589,-0.7235116044399597,-0.7221095334685599,-0.7186858316221766,-0.7235116044399597,-0.7462962962962962,-0.7522603978300181,-0.7284440039643211,-0.7419962335216572,-0.7088204038257173,-0.6734207389749702,-0.6422976501305483,-0.6566416040100251,-0.5765069551777433,-0.6194444444444445,-0.5275862068965517,-0.591044776119403,-0.6361221779548473,-0.6617283950617283,-0.700218818380744,-0.8423475258918297,-0.8282131661442006,-0.8134785568413887,-0.7772357723577236
BBOU-L,13.0,0.0927119484382746,1.758002533117665e-07,0.0081987076671302,0.1508153371529308,0.00562779396041,1.0,0.101040118870728,4.155217091965024e-08,0.0055081734186211,8.815487792679314e-06,4.012529783994609e-07,0.0910515159893097,4.0,32.37066134084132,0.0366396835280758,0.0801179443976411,0.0801179443976411,0.025943396226415,0.0802547770700639,0.1382550335570469,0.2114285714285715,0.2114285714285715,0.2343522561863174,0.1506105834464044,0.0626566416040099,0.105606258148631,0.1696551724137931,0.1843575418994414,0.1843575418994414,0.2966360856269114,0.1306666666666667,0.1728907330567082,0.2887537993920972,0.3970345963756179,0.469670710571924,0.4570446735395188,0.4086378737541529,0.4747826086956521,0.6307692307692307,0.6792079207920794,0.7740585774058577,0.8844444444444446,0.7028112449799195,0.5008849557522124,0.3993399339933994,0.4039735099337749,0.3354330708661419,0.3568,0.2397660818713451,0.2619047619047621,0.1810584958217271,0.2544378698224854,0.2289855072463769,0.2062588904694167,0.2397660818713451,0.3375394321766563,0.2562962962962964,0.5732838589981448,0.3354330708661419,0.1910112359550562,0.65625,0.65625,0.7062374245472838,0.6434108527131783,0.6402321083172149,0.662745098039216
BBTK-L^C11,11.0,0.1364296081277213,0.000661937724349,30.87045549450304,0.1818181818181818,0.4586699511544003,1.0,0.8411764705882353,7.8248229395893e-05,0.1253396739130146,1.8922365979637146e-08,0.0008797638764511,-0.108730583824317,3.0,0.0020751142706039,-0.4155844155844156,0.3563049853372434,0.2272727272727272,-0.1904761904761903,0.0,0.0,0.0,0.0,0.0499999999999998,0.0499999999999998,0.75,0.0499999999999998,0.0499999999999998,0.1052631578947367,0.1999999999999999,0.3999999999999999,0.6799999999999999,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.6799999999999999,0.6799999999999999,1.0999999999999996,0.5555555555555554,0.909090909090909,0.3125,1.625,1.625,0.909090909090909,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.1666666666666667,0.2352941176470586,0.4482758620689655,0.4482758620689655,0.4999999999999998,0.4482758620689655,0.6153846153846152,0.909090909090909,0.909090909090909,0.826086956521739,0.826086956521739,0.6153846153846152,0.4999999999999998,0.3548387096774192,0.2352941176470586,0.0769230769230768,0.0769230769230768,0.0769230769230768,0.1052631578947367,0.0769230769230768
BBTU-L^C18,13.0,0.0745087220406604,7.609427230224335e-07,0.0354877016384449,0.1377533193570929,-0.000332769973999,1.0,0.0755260420833665,4.050096840902709e-08,0.0276405298961602,9.28891437831132e-07,6.708556633117884e-07,0.0730680429172891,4.0,3.8764041234531432,0.062030868777317,-0.1057039092888807,0.0532202960900924,0.0666666666666666,-0.0047393364928909,0.0194174757281553,0.1797752808988764,0.1413043478260869,-0.1249999999999998,-0.1497975708502025,-0.146341463414634,-0.1322314049586775,-0.054054054054054,0.0194174757281553,-0.0869565217391303,-0.1286307053941908,0.0047846889952154,0.0824742268041238,0.09375,0.0824742268041238,-0.032258064516129,-0.0497737556561085,-0.0582959641255604,-0.1599999999999999,-0.2222222222222222,-0.2526690391459074,-0.1923076923076923,0.2352941176470588,0.0606060606060605,0.0096153846153845,0.0880829015544042,0.0,-0.1322314049586775,-0.1497975708502025,-0.1666666666666666,-0.2307692307692307,-0.3069306930693068,-0.2553191489361701,-0.2631578947368421,-0.0454545454545455,-0.1322314049586775,-0.1025641025641024,-0.070796460176991,0.0096153846153845,-0.1101694915254236,-0.2335766423357664,-0.339622641509434,-0.37125748502994,-0.3823529411764705,-0.3786982248520709,-0.3181818181818181,-0.2758620689655172
BBXK-L,13.0,-0.0401846422556297,4.1859878350979947e-07,0.0195219801516832,0.0904980330063172,-0.0131894026355794,1.0,-0.0529835076345994,1.1714350078846587e-10,-0.0790379975682138,3.497541710030541e-06,2.7325073214688e-07,-0.0198144616478649,3.0,12.175308505818853,-0.0106127190270069,0.9853822219510708,-0.0146177780489293,0.0320855614973261,0.03601108033241,0.0872093023255815,0.272108843537415,0.4666666666666668,0.375,0.5080645161290323,0.4384615384615384,0.5020080321285141,0.4166666666666667,0.3851851851851851,0.5914893617021277,0.669642857142857,1.010752688172043,0.9081632653061228,0.927835051546392,0.8606965174129357,0.7725118483412325,0.7,0.5648535564853556,0.4329501915708813,0.5914893617021277,0.4329501915708813,0.4384615384615384,0.3215547703180212,0.2677966101694915,0.5203252032520327,0.3215547703180212,0.1873015873015873,-0.0742574257425742,-0.0209424083769632,0.0218579234972677,-0.0410256410256409,-0.1179245283018868,-0.0788177339901476,-0.0900243309002433,0.0388888888888889,-0.0922330097087378,-0.0987951807228916,-0.1670378619153675,-0.1670378619153675,-0.3086876155268022,-0.2737864077669902,-0.321234119782214,-0.3187613843351548,-0.3506944444444444,-0.3661016949152542,-0.3484320557491289,-0.3495652173913043
BCPS-L^C06,13.0,-0.0099882949668357,5.649874535463583e-06,0.2634903465701038,0.1109114127607245,0.012973624583809,1.0,-0.017326888065792,4.30607571763116e-07,-0.0191357540585025,3.287788171784622e-07,7.644818415710642e-06,0.0035061120060646,2.0,0.3039580168200509,-0.2816279001455417,0.0263958006576339,-0.3722427868769332,35.65929203539823,-0.0504201680672269,-0.9735981308411216,0.3452380952380951,-0.9736842105263158,-0.9752057048820624,-0.9743356802180332,0.6376811594202898,-0.97305032196518,-0.9733929832823168,0.8079999999999998,-0.9759625611572006,-0.9759702286018076,-0.2870662460567824,-0.9760263074148722,0.527027027027027,-0.9743035815804434,-0.9750027651808428,-0.9753167321974662,-0.9754187513595824,0.6865671641791042,0.9316239316239316,-0.9749889331562638,0.7656249999999998,0.4675324675324674,0.2840909090909089,0.4303797468354429,0.458064516129032,0.4124999999999998,0.2988505747126435,0.3063583815028901,0.3294117647058823,0.3696969696969696,-0.75,-0.7477678571428572,0.6617647058823526,0.7936507936507935,-0.6816901408450704,0.6992481203007517,0.8991596638655461,0.9152542372881356,0.7656249999999998,0.3452380952380951,0.4771241830065358,0.4394904458598725,0.3950617283950615,0.4394904458598725,0.6142857142857143,-0.6771428571428572
BCQE-L^A14,13.0,0.1092367256637168,2.35781651900543e-07,0.010996029873617,0.0683085501858736,0.015230348111892,1.0,-0.1943359375,2.2292083452414977e-08,0.043398452864819,3.3157295467483025e-06,1.982280651614747e-06,0.1606425702811245,5.0,3.838828967052053,-0.2761242656915086,-0.0690786326579754,-0.1296214301527562,-0.1379310344827585,-0.0252100840336134,0.1262135922330096,0.8124999999999998,1.974358974358974,0.3181818181818181,0.3033707865168538,-0.1470588235294119,-0.2108843537414966,-0.2162162162162162,-0.1470588235294119,-0.2704402515723271,-0.366120218579235,-0.2564102564102565,-0.3176470588235294,-0.2839506172839507,-0.2108843537414966,-0.5572519083969466,-0.5284552845528456,-0.536,-0.5084745762711864,-0.6233766233766234,-0.5606060606060607,-0.5871886120996441,-0.5958188153310104,-0.6557863501483681,-0.610738255033557,-0.610738255033557,-0.5871886120996441,-0.6537313432835821,-0.6484848484848484,-0.618421052631579,-0.5929824561403509,-0.6340694006309149,-0.5827338129496402,-0.5555555555555556,-0.4956521739130435,-0.510548523206751,-0.4476190476190477,-0.541501976284585,-0.3763440860215055,-0.4476190476190477,-0.8935779816513761,-0.9037344398340248,-0.9228210246174318,-0.9151426481346012,-0.9101471727343144,-0.909375,-0.8925925925925926
