firms,age,bm,bm_ia,cash,cashdebt,chatoia,chpmia,convind,depr,ep,herf,invest,lev,ms,mve_ia,pchdepr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,tb,agr,egr,grltnoa,lgr,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ-L^I10,18.0,2.305003427585265e-07,0.0845604759060196,0.1344434270469472,0.1219189377761803,1.309598273896566,-0.0364587861848894,1.0,0.1780648865920183,4.4989156460234727e-08,9.257433512114465e-10,-0.0340939140946696,5.006062522426737e-07,3.0,0.1533050085117621,-0.3269567461384275,-0.0017587992599501,0.0890073389017905,0.0903779587473058,0.0188196457414467,0.0596926102256261,0.6453473175325559,0.1577260650019519,0.1832710795419753,0.0904865145621716,0.1385874480014469,0.0862822338717008,0.0202020202020201,-0.0198019801980198,-0.0571428571428571,-0.1,-0.0571428571428571,0.0206185567010308,0.03125,0.2222222222222221,0.125,0.1927710843373493,0.2692307692307691,0.596774193548387,0.5,0.6500000000000001,0.596774193548387,0.7999999999999998,0.7678571428571426,0.98,0.9038461538461536,1.0625,1.0625,1.25,1.152173913043478,1.0625,0.98,1.0625,1.0625,0.6779661016949152,0.7068965517241381,0.9411764705882352,0.98,1.152173913043478,1.1063829787234043,0.9038461538461536,1.4146341463414631,1.3571428571428572,1.6052631578947367,1.9117647058823528,2.413793103448276,2.09375,2.413793103448276,2.193548387096774,1.5384615384615383,1.9117647058823528,2.8076923076923075,1.9117647058823528,2.0,1.75,1.1063829787234043
BAOH-L,32.0,1.3332897914990004e-06,0.4891256036348026,0.0604817352241701,0.3013675258026748,0.7114124175752073,-0.0548024193507177,1.0,0.0662800163622056,1.010438252442746e-07,3.5366673272243774e-08,0.1933014783124302,8.14142963471886e-07,4.0,0.6354419093439488,-0.2566124941101855,0.4110676885228166,-0.0869590929911542,0.6894805111514767,0.0245118493867657,0.0370504156170135,1.1690230558806407,0.1536607348007417,0.0579064577802326,0.1099626070992389,0.3610436961319392,0.1278647812946697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBOU-L,18.0,1.747251714193342e-07,0.0640990094468448,0.0501902778775041,0.2268790762322249,0.7538643128700669,-0.0455671743585421,1.0,0.1089058524173028,7.40505613212105e-08,1.5187429699044513e-06,-0.0041372047540243,3.588424999873754e-07,4.0,15.705785109452652,0.0428108334204748,-0.2289961734393464,0.057070629443398,0.7420316604057324,0.0252518377348216,0.0807926829268292,0.1640314751498653,0.0476154656235895,0.2364734962922274,0.0938246206972557,-0.0226215644820295,0.0789121711992866,0.037162162162162,-0.0187845303867403,-0.024175824175824,0.0022573363431153,0.0496453900709219,0.0533807829181496,0.0471698113207548,0.0660264105642258,0.069879518072289,0.1031055900621118,0.1340996168582375,0.0776699029126213,0.1183879093198994,0.1472868217054264,0.1715039577836412,0.1935483870967742,0.2181069958847736,0.1951547779273217,0.2098092643051772,0.2065217391304348,0.2758620689655173,0.2982456140350877,0.2963503649635037,0.2131147540983606,0.2436974789915968,0.1746031746031748,0.2577903682719549,0.1777188328912466,0.2333333333333334,0.2081632653061227,0.2065217391304348,0.2722063037249285,0.3577981651376147,0.3136094674556213,0.4006309148264986,0.3788819875776397,0.3495440729483283,0.3001464128843338,0.3536585365853659,0.4006309148264986,0.3788819875776397,0.3155555555555556,0.3515981735159819,0.2164383561643836,0.1127819548872179,0.1326530612244898,0.2048846675712348,0.0434782608695654,0.0325581395348839
BBTU-L^C18,17.0,1.0258931946449028e-06,0.3763552614704771,0.0326260272292407,0.0865919715070119,2.716787709306189,0.0033452898268125,1.0,0.1869346733668342,7.76334496044008e-08,3.812307923900194e-06,-0.6129885395239495,1.1239044355572886e-06,4.0,1.5404930892233228,1.359485946241806,-0.4054956364383289,0.9671246237408984,0.1270833440711356,0.0118638144462633,0.0248775407875959,0.3816066017754837,0.0649622881770987,0.0162668548134211,-0.1480181393847981,0.1137076537013801,-0.0328753762591016,0.0406091370558374,-0.0619047619047619,0.0051020408163264,0.0706521739130434,0.076502732240437,0.0824175824175823,0.1726190476190476,0.1520467836257311,0.2389937106918238,0.2507936507936508,0.3447098976109213,0.3493150684931507,0.3539518900343641,0.4379562043795619,0.3221476510067114,0.2468354430379746,0.3265993265993265,0.387323943661972,0.5271317829457365,0.5095785440613028,0.4071428571428572,0.5153846153846153,0.5095785440613028,0.459259259259259,0.4646840148698885,0.5887096774193548,0.7280701754385965,0.7205240174672489,0.7433628318584071,0.7511111111111111,0.8325581395348838,1.010204081632653,1.1648351648351647,0.9898989898989898,0.9898989898989898,1.141304347826087,1.1767955801104972,1.5584415584415583,1.855072463768116,1.5921052631578947,1.4472049689440991,1.359281437125749,1.1888888888888889,1.2514285714285711,1.4936708860759491,1.0309278350515465,1.073684210526316,0.7909090909090908,0.6016260162601625
BCQE-L^A14,18.0,-5.793624780042486e-07,-0.2125427072073968,0.203601108033241,0.0101608806096528,1.3545493159336186,-0.0996777153862731,1.0,0.2040229885057471,-3.6045313502540505e-08,1.739487660057509e-07,-0.0889665889665889,2.48009339977236e-06,2.0,0.6933374920126348,-0.1071469215887105,0.0439490575566524,0.0435822707641495,0.028074751967157,-0.018850987432675,0.0637329286798179,1.7291273734030002,-0.1344211344211344,0.0248833592534992,0.0420658059141933,-0.0852788586251621,-0.1594252480328429,-0.1304347826086956,-0.0416666666666666,-0.0416666666666666,0.1499999999999999,0.0454545454545454,0.2777777777777779,0.2777777777777779,0.6428571428571428,0.5333333333333334,0.5333333333333334,0.7692307692307692,1.2999999999999998,0.9166666666666669,0.7692307692307692,0.4375,0.3529411764705881,0.1499999999999999,0.4375,0.2105263157894736,0.4375,0.9166666666666669,0.6428571428571428,0.4375,0.2777777777777779,0.4375,0.1499999999999999,0.2105263157894736,0.0454545454545454,-0.1153846153846154,0.2777777777777779,0.0952380952380953,-0.28125,-0.1785714285714286,-0.3428571428571427,-0.1153846153846154,0.1499999999999999,0.2777777777777779,0.6428571428571428,1.2999999999999998,0.5333333333333334,-0.5576923076923077,-0.5660377358490566,-0.6515151515151515,-0.6290322580645161,-0.6166666666666667,-0.6891891891891893,-0.6567164179104478,-0.7444444444444445,-0.7830188679245282
BCZB-L,18.0,6.778243781648211e-07,0.2486640640633011,0.0670049956387281,0.0669970516278778,1.7869428484526635,-1.791352354259018e-05,1.0,0.0665722379603399,1.116334539437688e-08,7.432864289312812e-06,0.0246169736615596,1.5318203008346523e-06,2.0,3.494582095994504,0.004763270819139,0.3941607047212191,0.0119014849835104,-1.4037512059420802,0.0049815642896367,0.0162196679438058,1.2428102996334065,0.0971767946290239,-0.1115683584819387,-0.0475271906423147,0.2267076407319458,0.0423129339996106,0.043613707165109,-0.0389221556886226,-0.0389221556886226,0.0031249999999998,0.0490196078431373,0.0190476190476189,0.1107266435986158,8.171428571428573,0.1423487544483985,0.1342756183745583,0.1464285714285715,0.1223776223776225,0.1223776223776225,0.1382978723404255,8.171428571428573,0.1184668989547037,0.1223776223776225,0.1888888888888888,0.2298850574712643,0.202247191011236,0.2637795275590551,8.171428571428573,8.171428571428573,0.1977611940298507,0.1845018450184501,0.1546762589928059,0.2205323193916351,0.0559210526315789,0.1464285714285715,0.02555910543131,0.0771812080536913,0.0881355932203389,0.1672727272727272,0.1546762589928059,0.2159090909090908,0.2637795275590551,0.1888888888888888,0.3375000000000001,0.459090909090909,0.3776824034334762,0.3048780487804878,0.150537634408602,0.0771812080536913,0.1588447653429603,0.1888888888888888,0.0222929936305731,0.0629139072847682,-0.1205479452054794,-0.1485411140583554
BCZN-L,17.0,1.0701804369950334e-06,0.3926023101510749,0.0290524005639197,0.2651778149984439,1.4581546791252775,-0.0092523099204135,1.0,0.1595253936008749,2.7433398891343145e-07,6.206670007420571e-07,0.0597825351216523,1.597206019573615e-06,5.0,0.9798030035057892,-0.1433882105805143,0.0679981955878751,-0.0570291086892795,0.0557989287089032,0.0313969030710008,0.0736344714266432,0.6969924771137804,0.0855570858370456,0.0034404101192855,-0.0179692771616901,0.1518694114045672,0.083497102304737,-0.7966991747936985,-0.0525941719971571,0.2229357798165137,0.2587346553352219,0.2331174838112857,0.2434701492537312,0.2671102661596958,0.274378585086042,0.2297047970479704,0.4696802646085998,0.4664466446644664,0.5906921241050118,0.5719339622641508,0.6788413098236774,0.6538461538461537,0.631578947368421,0.6256097560975611,0.5737898465171192,0.5793838862559242,0.6216545012165449,0.6980891719745224,0.742483660130719,0.7655629139072848,0.7585751978891822,0.7964959568733154,0.8111413043478259,0.8827683615819208,0.9290882778581766,0.8235294117647061,0.7447643979057592,0.7726063829787235,0.8881019830028329,0.9985007496251874,0.8934659090909092,0.8695652173913044,1.122611464968153,1.1091772151898731,1.0828124999999995,1.3761140819964348,1.2290969899665551,1.548757170172084,1.35929203539823,1.1293929712460065,1.2290969899665551,1.2825342465753424,1.1960461285008237,1.259322033898305,1.0539291217257318,1.0539291217257318
BDAJ-L,11.0,1.379745342916417e-07,0.0506168109903214,0.0801965601965601,0.0797364834166288,-0.0567751313741637,-0.0796154013401312,1.0,0.1266375545851528,3.9094252217925285e-08,1.8919197768909062e-08,-0.2714610408531966,1.1798715759463936e-06,3.0,0.6922766687883865,0.1462772100799664,0.2925904260583651,-0.0920760117405001,0.4148364306558132,-0.0009946290033817,-0.0095724313975749,0.1986159820800743,-0.121102628358296,-0.6140394088669952,-0.057816377171212,0.0298186289578849,-0.5851635693441868,-0.0434782608695651,-0.0921052631578946,-0.1302521008403361,-0.1752988047808764,-0.2276119402985076,-0.3235294117647059,-0.3428571428571428,-0.3122923588039867,-0.3122923588039867,-0.2659574468085106,-0.215909090909091,-0.2417582417582418,-0.2333333333333334,-0.2038461538461539,-0.2553956834532374,-0.2553956834532374,-0.2304832713754647,-0.215909090909091,-0.3190789473684211,-0.2787456445993032,-0.2711267605633802,-0.2736842105263158,-0.2983050847457628,-0.3122923588039867,-0.3300970873786408,-0.3490566037735849,-0.382089552238806,-0.3490566037735849,-0.3428571428571428,-0.2580645161290323,-0.2935153583617749,-0.2736842105263158,-0.215909090909091,-0.2736842105263158,-0.2862068965517241,-0.172,-0.1785714285714286,1.0097087378640777,-0.1302521008403361,-0.1191489361702128,-0.1228813559322034,-0.2218045112781955,-0.2607142857142857,-0.3076923076923078,-0.151639344262295,-0.215909090909091,1.0495049504950495,-0.2188679245283019,-0.2762237762237762
BDBL-L^I07,18.0,-3.18508182117643e-07,-0.1168466959202939,0.0915952794584556,0.0644722905050262,1.67369111615499,-0.0085283190993442,1.0,0.3821138211382113,3.5366977663565986e-08,1.2465105227911284e-07,0.0095154699357851,1.044825138037705e-06,5.0,1.4839348657618814,-0.0621308223806098,0.0363626910553329,-0.2485806841628008,0.0097244584230327,-0.0084204733076499,0.0197317513541398,0.5643261230269955,0.0607122008172796,-0.0251445813427206,-0.0294050991501395,0.0339417096865981,0.070568252007412,0.0964285714285715,-0.0070921985815602,0.1155378486055778,0.129032258064516,0.0526315789473683,0.1570247933884296,0.1864406779661016,0.320754716981132,0.1428571428571428,0.0606060606060605,0.1336032388663965,0.0810810810810811,0.1336032388663965,0.1715481171548116,0.1522633744855965,0.2068965517241379,0.0447761194029849,0.0566037735849056,0.1475409836065573,0.3084112149532709,0.222707423580786,0.278538812785388,0.2499999999999997,0.1475409836065573,0.3084112149532709,0.0852713178294573,0.018181818181818,0.0852713178294573,0.2499999999999997,0.7610062893081759,0.6470588235294117,0.5217391304347825,0.8300653594771241,0.7610062893081759,0.971830985915493,1.393162393162393,1.1875,1.393162393162393,2.0769230769230766,1.4999999999999996,1.0,1.014388489208633,0.7499999999999998,0.4736842105263157,0.6470588235294117,0.5909090909090908,0.346153846153846,0.0526315789473683,0.0526315789473683
BDIM-L^C23,28.0,1.9301662866378805e-07,0.0708093436315796,0.040652155266409,0.0678344971397363,0.3521741236108677,0.0681387729644378,1.0,0.1085606201734649,-1.2139927194093113e-08,6.81248880215115e-08,0.3853217716021508,4.151085536222981e-07,4.0,4.807403375615291,0.3694072048662573,-0.0318919465329939,0.0600186302900526,-0.3982098737559882,-0.0160499441047126,-0.058579521711459,1.7291273734030002,0.128597944229458,-0.0731576919257561,0.00515577559151,0.2556119280795395,0.0834830190479431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
