firms,age,agr,bm,bm_ia,cash,cashdebt,chatoia,chpmia,convind,egr,ep,herf,lev,lgr,ms,mve_ia,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ-L^I10,18.0,0.1577260650019519,2.305875422300309e-07,0.0822625736511526,0.1199986947796624,0.1219189377761803,1.273882207473081,0.05342533979469,1.0,0.1832710795419753,4.5006176090747255e-08,9.268873630267343e-10,5.007956341763617e-07,0.1385874480014469,3.0,0.1495353029600062,-0.0017587992599501,0.0890073389017905,0.0903779587473058,0.0862822338717008,-0.0380952380952381,-0.0454545454545455,0.0,0.0824742268041238,0.09375,0.2962962962962963,0.1931818181818181,0.2650602409638556,0.3461538461538462,0.6935483870967742,0.5909090909090908,0.7500000000000002,0.6935483870967742,0.909090909090909,0.875,1.1,1.0192307692307692,1.1875,1.1875,1.3863636363636362,1.2826086956521738,1.1875,1.1,1.1875,1.1875,0.7796610169491527,0.8103448275862071,1.058823529411765,1.1,1.2826086956521738,1.2340425531914896,1.0192307692307692,1.5609756097560976,1.5,1.763157894736842,2.088235294117647,2.620689655172414,2.28125,2.620689655172414,2.3870967741935485,1.6923076923076923,2.088235294117647,3.0384615384615383,2.088235294117647,2.1818181818181817,1.916666666666667,1.2340425531914896,1.1,1.1
BAOH-L,31.0,-0.0267194690686891,1.26030971991285e-06,0.4496180502855108,0.0595956409336939,0.1794464555657846,0.4938770075877564,-0.0502359826963515,1.0,0.2520254692773531,1.4402724564014902e-08,2.783661985696633e-08,5.981754779700792e-07,-0.3448909093163009,4.0,0.6200511404359326,-0.0099509567714725,-0.2822939676590723,-0.0013199657365369,-0.0602575446779774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBTK-L^C11,11.0,0.1364296081277213,0.0004501176525573,160.58038603076096,0.1020806241872561,0.1818181818181818,0.2956347955249854,1.0991389750791278,1.0,0.8411764705882353,5.320879598920724e-05,1.0179355663675845e-08,0.0005982394359867,-0.108730583824317,3.0,0.0016543963959091,0.1172088780784433,-0.4155844155844156,0.3563049853372434,0.2272727272727272,-0.0909090909090909,0.2790697674418605,0.3414634146341464,0.3414634146341464,0.3414634146341464,0.3414634146341464,0.3095238095238097,0.170212765957447,0.2222222222222223,0.3095238095238097,0.375,0.375,0.375,0.4864864864864866,0.375,0.4473684210526316,0.2222222222222223,0.375,0.5714285714285716,0.5714285714285716,0.5714285714285716,0.5714285714285716,0.2222222222222223,0.5714285714285716,0.5714285714285716,0.2222222222222223,0.5714285714285716,0.5714285714285716,0.375,0.375,0.2222222222222223,0.5714285714285716,0.5714285714285716,0.375,0.375,0.375,0.1,0.0,0.1,0.3095238095238097,0.4864864864864866,0.4864864864864866,0.375,1.1153846153846154,1.1153846153846154,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6176470588235294
BBTU-L^C18,17.0,0.0649622881770987,1.069198881434523e-06,0.3814388708128678,0.0326260272292407,0.0865919715070119,2.6426940179672584,-0.0049020624220137,1.0,0.0162668548134211,8.09105644839177e-08,3.817019084183172e-06,1.1713474381249738e-06,0.1137076537013801,4.0,1.4422982071363002,-0.4054956364383289,0.9671246237408984,0.1270833440711356,-0.0328753762591016,0.0714285714285714,0.0652173913043476,0.07103825136612,0.0769230769230768,0.1666666666666667,0.1461988304093566,0.2327044025157232,0.2444444444444444,0.3378839590443685,0.3424657534246575,0.3470790378006871,0.4306569343065691,0.3154362416107381,0.240506329113924,0.3198653198653198,0.380281690140845,0.5193798449612403,0.5019157088122606,0.4000000000000001,0.5076923076923077,0.5019157088122606,0.4518518518518517,0.4572490706319703,0.5806451612903225,0.7192982456140351,0.7117903930131004,0.7345132743362832,0.7422222222222221,0.8232558139534885,1.0,1.1538461538461535,0.97979797979798,0.97979797979798,1.1304347826086951,1.165745856353591,1.5454545454545454,1.840579710144928,1.5789473684210529,1.434782608695652,1.3473053892215567,1.1777777777777776,1.2399999999999998,1.481012658227848,1.0206185567010309,1.0631578947368423,0.7818181818181817,0.5934959349593496,0.5433070866141732,0.5742971887550199
BBXK-L,18.0,0.2159859976662777,1.1715119808525905e-07,0.0417939276667232,0.0789559543230016,0.2032536962193687,2.4505075534343,-0.0071906159639945,1.0,1.5352205398288343,5.2790542476573935e-08,1.754205401788981e-06,4.112105413964706e-07,0.0774790094590285,4.0,5.865557960760553,0.0692551282599919,-0.1200608906011915,-1.5765436393384509,-0.0182063130327487,7.492753623188406,0.0,0.0,-0.8633663366336634,0.0147058823529411,0.0147058823529411,0.0147058823529411,0.0147058823529411,0.0,0.0,0.0,-0.7946428571428572,0.0,0.0,-0.0142857142857143,-0.7988338192419826,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,0.0,-0.75,0.0,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,0.0,0.0,-0.0142857142857143,0.0,0.0,-0.8179419525065963,-0.8235294117647058,-0.8207792207792208
BCQE-L^A14,18.0,-0.1344211344211344,-4.828048722959565e-07,-0.1722416180088366,0.2019748653500897,0.0101608806096528,1.3176073205858203,0.1460639909256539,1.0,0.0248833592534992,-3.003793590915662e-08,1.7416372779111494e-07,2.066756517066606e-06,-0.0852788586251621,2.0,0.8118486299491248,0.0439490575566524,0.0435822707641495,0.028074751967157,-0.1594252480328429,0.0,0.1999999999999999,0.0909090909090908,0.3333333333333332,0.3333333333333332,0.714285714285714,0.6000000000000001,0.6000000000000001,0.846153846153846,1.4,1.0,0.846153846153846,0.5,0.4117647058823528,0.1999999999999999,0.5,0.263157894736842,0.5,1.0,0.714285714285714,0.5,0.3333333333333332,0.5,0.1999999999999999,0.263157894736842,0.0909090909090908,-0.0769230769230769,0.3333333333333332,0.1428571428571428,-0.25,-0.142857142857143,-0.3142857142857143,-0.0769230769230769,0.1999999999999999,0.3333333333333332,0.714285714285714,1.4,0.6000000000000001,-0.5384615384615385,-0.5471698113207548,-0.6363636363636365,-0.6129032258064516,-0.6,-0.6756756756756757,-0.6417910447761195,-0.7333333333333334,-0.7735849056603774,-0.7777777777777778,-0.8064516129032258
BCZB-L,18.0,0.0971767946290239,6.83480162807239e-07,0.2438329351545938,0.0847258178394916,0.0669970516278778,1.7382083848064875,2.624980648916145e-05,1.0,-0.1115683584819387,1.1256492645307074e-08,7.442049647822033e-06,1.5446018501732302e-06,0.2267076407319458,2.0,3.3817241096505475,0.3941607047212191,0.0119014849835104,-1.4037512059420802,0.0423129339996106,0.0,0.0437499999999999,0.0915032679738561,0.0603174603174603,0.1557093425605535,8.542857142857143,0.188612099644128,0.1802120141342755,0.1928571428571428,0.1678321678321679,0.1678321678321679,0.1843971631205674,8.542857142857143,0.1637630662020905,0.1678321678321679,0.2370370370370369,0.2796934865900382,0.2509363295880149,0.3149606299212597,8.542857142857143,8.542857142857143,0.2462686567164178,0.2324723247232472,0.2014388489208634,0.2699619771863117,0.0986842105263157,0.1928571428571428,0.0670926517571885,0.1208053691275168,0.1322033898305084,0.2145454545454546,0.2014388489208634,0.2651515151515151,0.3149606299212597,0.2370370370370369,0.3916666666666666,0.5181818181818181,0.4334763948497853,0.3577235772357723,0.1971326164874551,0.1208053691275168,0.2057761732851986,0.2370370370370369,0.0636942675159235,0.1059602649006621,-0.084931506849315,-0.1140583554376658,-0.1670822942643391,-0.165
BDAJ-L,11.0,-0.121102628358296,1.1345725080977349e-07,0.0404761044795973,0.0801965601965601,0.0797364834166288,-0.055226729544549,0.1166654273106331,1.0,-0.6140394088669952,3.2147427798046865e-08,1.8942577667619733e-08,9.70215163274387e-07,0.0298186289578849,3.0,0.821481963050467,0.2925904260583651,-0.0920760117405001,0.4148364306558132,-0.5851635693441868,-0.0420168067226891,-0.0517928286852589,-0.1119402985074627,-0.2222222222222223,-0.2444444444444444,-0.2093023255813952,-0.2093023255813952,-0.1560283687943262,-0.0984848484848486,-0.1282051282051282,-0.1185185185185185,-0.0846153846153846,-0.1438848920863309,-0.1438848920863309,-0.1152416356877323,-0.0984848484848486,-0.2171052631578948,-0.1707317073170732,-0.1619718309859155,-0.1649122807017544,-0.1932203389830509,-0.2093023255813952,-0.2297734627831715,-0.2515723270440252,-0.2895522388059702,-0.2515723270440252,-0.2444444444444444,-0.1469534050179212,-0.1877133105802049,-0.1649122807017544,-0.0984848484848486,-0.1649122807017544,-0.1793103448275862,-0.048,-0.0555555555555555,1.3106796116504853,0.0,0.0127659574468084,0.0084745762711864,-0.1052631578947369,-0.15,-0.2040133779264215,-0.0245901639344262,-0.0984848484848486,1.3564356435643563,-0.1018867924528301,-0.1678321678321678,-0.1345454545454546,1.2884615384615383
BDBL-L^I07,18.0,0.0607122008172796,-3.467923510986717e-07,-0.1237188750442194,0.1061089708310401,0.0644722905050262,1.6280453144855005,0.0124970793994466,1.0,-0.0251445813427206,3.850763661283934e-08,1.248050931117138e-07,1.1376077176355187e-06,0.0339417096865981,5.0,1.3298956893931189,0.0363626910553329,-0.2485806841628008,0.0097244584230327,0.070568252007412,0.1235059760956176,0.0120967741935482,-0.0563909774436091,0.037190082644628,0.0635593220338983,0.1839622641509433,0.0244897959183671,-0.0492424242424244,0.0161943319838056,-0.0308880308880309,0.0161943319838056,0.0502092050209204,0.0329218106995883,0.0818965517241379,-0.0634328358208956,-0.0528301886792453,0.0286885245901638,0.1728971962616821,0.0960698689956329,0.1461187214611872,0.1205357142857141,0.0286885245901638,0.1728971962616821,-0.0271317829457365,-0.0872727272727273,-0.0271317829457365,0.1205357142857141,0.5786163522012577,0.476470588235294,0.3641304347826084,0.6405228758169932,0.5786163522012577,0.7676056338028168,1.1452991452991452,0.9609374999999998,1.1452991452991452,1.7582417582417578,1.2410714285714284,0.7928571428571429,0.8057553956834531,0.5687499999999999,0.3210526315789472,0.476470588235294,0.4261363636363635,0.2067307692307691,-0.0563909774436091,-0.0563909774436091,-0.1688741721854305,-0.3066298342541437
BDIM-L^C23,28.0,0.128597944229458,1.9301662866378805e-07,0.0688590739889682,0.0272660230249473,0.0678344971397363,0.3425694420514661,-0.0998480059198211,1.0,-0.0731576919257561,-1.2139927194093113e-08,6.820907515254492e-08,4.151085536222981e-07,0.2556119280795395,4.0,4.690965297934671,-0.0318919465329939,0.0600186302900526,-0.3982098737559882,0.0834830190479431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
