firms,age,agr,bm,bm_ia,cash,cashdebt,chatoia,che,chempia,chpmia,chtx,cinvest,convind,egr,ep,grltnoa,herf,hire,invest,lev,lgr,ms,mve_ia,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BAJS-L,15.0,0.0606637795711725,6.031092522089936e-07,0.0945730671376162,0.0946964745678217,0.0840825791760406,0.9684320057590652,-744.2561000000001,0.0260284765020591,-0.0016272782234199,0.0012876947011176,0.0126884491440189,1.0,-0.0022353437874177,9.668400931553904e-08,-0.0268183598088728,0.000105324277397,0.0240382719369006,0.0387093126047726,1.7685599438172254e-06,0.0929217175180102,4.0,23.36224256417968,-0.0018761640449469,0.0545490566338407,0.02094836165879,0.0118714219065057,0.0476369212433259,0.058866841221563,0.2854325172892765,-0.022380106571936,0.0300036589828027,-0.0257830074407336,0.0414354421013687,0.1208441170615171,0.0729940918620164,0.1108918705603787,0.1004691164972635,0.1620227038183692,0.2491679609496337,0.2146709816612728,0.4053919121318021,0.3439961804726663,0.579685746352413,0.5730651019837942,0.4329345889539322,0.4993342210386151,0.6800954938824231,0.8196509372979959,0.9182282793867118,0.8667108753315649,0.8422774869109948,0.7793931731984829,0.936704506363949,0.966468739084876,0.6573447159258168,0.4688233759457343,0.4835309617918311,0.5424657534246575,0.9130139313625552,0.9487712011076496,0.885465505693235,1.0150322118826054,0.7446544778431978,0.3154205607476636,0.2091924398625428,0.3151132912870824,0.2128392934080136,0.2586630896490052,0.2842153284671531,0.2311392958670457,0.2646001796945192,0.3059614938529342,0.3582629674306392,0.4227950467525903,0.71176649437519,0.6380564445737562,0.6952725082806381,0.6423570595099182
BAOH-L,12.0,-0.3695290844819091,1.2705565238588837e-06,0.1992349263304016,0.0481959300521086,-0.0035923745292832,0.3565007235080326,95.997,0.0494522298570693,0.105476597971619,0.0023567583628387,-0.2541180371324569,1.0,-0.3840284930013006,-1.920493064147531e-07,-0.1954697892808467,2.8222400081467832e-08,0.0456709845886027,-0.026676612874546,1.0724261920874411e-06,-0.362599516076749,2.0,0.716256665367505,-0.1481432769183445,-0.1398064844018653,-0.5432787928440275,0.0026387110513651,0.0050594664189255,-0.2335790408911193,1.3762715309649378,-0.0085106382978723,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827,0.0217391304347827
BBIO-L^E18,25.0,-0.0049441786283891,2.932217246458313e-07,0.0459798581261497,0.0288998882324764,0.1618299761010583,1.5336821442943824,-16.0,0.0383489245206306,0.0064100406073798,0.0019927880053141,-0.0295458266511225,1.0,0.127700127064803,6.525215844231175e-08,-0.1048844831721007,5.565075524569052e-07,0.0354166666666667,0.0177033492822966,7.341280813104643e-07,0.0232558139534883,4.0,2.4017097542768022,0.085466751799826,0.0441823530943268,-0.0539009991171634,0.0146658118288187,0.0515492957746478,0.0961597542242703,0.2682858427450638,-0.058673469387755,0.0129198966408268,-0.02,-0.0025445292620865,-0.0025445292620865,0.0509383378016086,0.0425531914893617,0.0594594594594592,0.1199999999999998,0.1666666666666667,0.1104815864022663,0.2852459016393442,0.3154362416107381,0.4151624548736461,0.4848484848484848,0.4572490706319703,0.5742971887550199,0.7117903930131004,0.7737556561085972,0.8490566037735847,0.8064516129032258,0.8232558139534885,0.8490566037735847,1.1538461538461535,1.227272727272727,0.9029126213592232,0.8578199052132702,0.7657657657657655,0.8232558139534885,1.1420765027322402,1.0523560209424083,1.1304347826086951,1.3333333333333337,0.9502487562189056,0.7192982456140351,0.6752136752136753,0.7899543378995433,0.757847533632287,0.9121951219512195,0.9405940594059404,0.9215686274509802,0.7657657657657655,1.0102564102564102,1.202247191011236,1.3195266272189348,1.596026490066225,1.8613138686131383,2.5963302752293576,2.2131147540983607
BBOU-L,26.0,-0.0842604777285959,1.4280601626753876e-07,0.0223932942740619,0.0286099982581431,0.1654093494929507,0.5024352730907278,-156.5,-0.0715776864293824,-0.0034471330979736,-0.0167602554760169,0.0075479802065573,1.0,-0.0302728823194997,4.878804395714976e-08,-0.0645282154826086,1.1499706845691517e-06,-0.0661046715841235,0.0016748414882162,3.217792311442388e-07,-0.0940483205657041,4.0,18.956020749850587,0.0038655717630729,-0.1702821572569832,-0.0229735684453524,0.0131985976489997,0.0451594693762348,-0.1027726755882095,0.2639182215106508,-0.0026219192448873,0.044931506849315,0.0296976241900648,0.0352877307274701,0.0641741071428569,-0.0464999999999999,-0.009865005192108,-0.0368686868686869,-0.0255493101686254,-0.0436308926780341,-0.0818488204140587,-0.0139607032057911,-0.0170103092783504,-0.0324708269913749,-0.0809638554216867,-0.0329614604462473,0.0005246589716685,0.0671516508114158,0.0252688172043009,0.0565096952908588,0.0761851015801355,0.0890919474585949,0.0972382048331417,0.1501809408926417,0.2579155672823219,0.2146496815286624,0.2327084680025857,0.2554312047399605,0.3317039106145252,0.3563300142247509,0.4105029585798816,0.4703161141094834,0.5453808752025933,0.5195219123505976,0.5416329830234439,0.4875195007800312,0.4714506172839505,0.56568144499179,0.5904920767306088,0.5734323432343236,0.5891666666666666,0.609282700421941,0.6640488656195462,0.6468048359240068,0.7273550724637683,0.7383773928896991,0.6921029281277729,0.8301343570057582,0.8024574669187146
BBTU-L^C18,25.0,0.1025592773805043,3.335868071594223e-07,0.052309473605586,0.0260943476413089,0.1904624277456647,1.3079087202640065,-44.95,-0.0002994657160852,0.0402970661341968,0.0050338727888596,-0.04642897516598,1.0,0.014251781472684,5.2342660608152926e-08,0.0073391210954974,1.3652490459553209e-08,-0.0002765677936803,0.0290741437711705,5.808472860024133e-07,0.1608118657298985,4.0,0.5078521749594354,-0.2843628007334214,1.0307082257469569,0.2343906193027681,0.0101126472094214,0.027751756440281,0.0307082257469567,0.012324819680283,-0.0974025974025974,0.0,0.1323529411764705,-0.0434782608695653,0.0266666666666666,-0.1396648044692737,-0.1149425287356321,-0.1937172774869109,-0.0833333333333332,-0.1851851851851851,-0.2903225806451612,-0.2450980392156863,-0.2450980392156863,-0.1894736842105262,-0.3185840707964601,-0.3446808510638298,-0.2903225806451612,-0.2222222222222222,-0.2102564102564101,-0.1630434782608696,-0.0994152046783625,-0.1098265895953757,-0.0064516129032258,-0.0253164556962025,-0.0609756097560975,-0.149171270718232,-0.0609756097560975,0.0,0.0694444444444444,0.1846153846153846,0.1755725190839694,0.1323529411764705,0.2833333333333334,0.2125984251968504,0.0405405405405405,0.0065359477124182,0.0335570469798658,0.013157894736842,0.1755725190839694,0.1492537313432835,0.1492537313432835,0.2520325203252034,0.2222222222222223,0.1492537313432835,0.1492537313432835,0.1492537313432835,0.0921985815602837,0.2319999999999999,0.1079136690647482
BBXK-L,26.0,0.0443067246323189,3.8790431654812763e-07,0.0608269576988097,0.0256982822070582,0.1934887522378765,1.7753672606177389,4.150000000000006,0.0528191786797781,-0.0015199813883065,-0.0008803395219887,0.027334806783155,1.0,0.0805859343817354,7.5193803909599e-08,-0.0364301550672999,1.161591528056296e-06,0.048780487804878,0.0746990499094837,7.445304177885848e-07,0.0226320036211205,3.0,2.769045418517819,-0.0070838920005872,-0.0737014232327841,-0.0170031228798825,0.0144438820700999,0.0421637794112215,0.0282143854470021,0.1951116652130171,-0.0511111111111112,0.0135135135135133,-0.0217391304347824,-0.0999999999999999,-0.0384615384615384,0.0392609699769053,-0.0625,-0.0909090909090909,-0.1017964071856286,-0.066390041493776,-0.0721649484536082,0.0180995475113121,-0.0364025695931476,0.0895883777239709,0.1538461538461539,0.2162162162162162,0.1780104712041885,0.1780104712041885,0.1538461538461539,0.1363636363636364,0.2569832402234637,0.2569832402234637,0.3392857142857144,0.3719512195121952,0.3677811550151975,0.2569832402234637,0.171875,0.2465373961218837,0.3513513513513513,0.4469453376205787,0.3846153846153846,0.4423076923076923,0.4150943396226414,0.3975155279503104,0.3274336283185839,0.2228260869565217,0.1658031088082903,0.1597938144329898,0.3274336283185839,0.3235294117647058,0.2569832402234637,0.2195121951219512,0.1688311688311687,0.0714285714285714,0.1479591836734695,0.271186440677966,0.2534818941504178,0.3761467889908256,0.2605042016806722
BCIP-L,15.0,-0.0712230071918743,1.8242630486016804e-06,0.2860611922967054,0.0940634967179405,0.0685622619177649,0.3810117301624995,1735.8754,-0.2061553358015293,-0.0041333590192993,-0.0014034834973233,-0.0976440304173262,1.0,-0.0968581718633383,-1.0852980652688422e-07,-0.1229257075764452,4.145610451251834e-06,-0.1903921661664748,1.4212448971671576e-05,5.349931268830343e-06,-0.0590064871955355,4.0,3.087472730983313,0.0144865174438401,-0.0449081625022394,-0.0882264719507475,0.0027519737483531,0.0108349346485404,-0.1861581819414569,1.3762715309649378,0.0,-0.0169491525423729,0.0175438596491228,0.1372549019607842,0.1599999999999999,0.2083333333333332,0.2608695652173911,0.2083333333333332,0.4146341463414633,0.6111111111111112,0.657142857142857,0.5675675675675675,0.4499999999999997,0.2888888888888887,0.4146341463414633,0.3809523809523809,0.0740740740740739,0.2083333333333332,0.1599999999999999,0.183673469387755,0.0740740740740739,0.1599999999999999,0.2888888888888887,0.1599999999999999,0.2888888888888887,0.0,-0.0645161290322581,-0.0169491525423729,0.0740740740740739,0.0357142857142855,-0.0645161290322581,-0.0645161290322581,-0.0793650793650794,-0.1343283582089554,-0.0937500000000001,-0.2054794520547945,-0.2266666666666666,-0.2467532467532468,-0.3012048192771084,-0.2926829268292683,-0.2266666666666666,-0.1830985915492957,-0.1470588235294119,-0.2368421052631579,-0.1944444444444444,-0.2054794520547945,-0.1470588235294119,-0.0491803278688525,-0.0645161290322581
BCYN-L,25.0,-0.0733681669069467,6.119965947585129e-07,0.0959666840329501,0.0897052155639829,0.1418819732279398,0.630107382573021,720.3399000000001,-0.0981295743269169,-0.0453911928767977,0.0003320551436697,0.0952885582655421,1.0,-0.0392163308834929,4.8881304270434026e-08,-0.0918173652945401,1.0432385490106203e-05,-0.0906263335288225,-0.0095193567722883,7.672030706551988e-07,-0.0521508837842353,5.0,17.961256830656378,0.1822898016312378,0.0677366214488397,0.9852101251398262,0.0190604025740667,0.0438135151086317,-0.0147898748601738,0.911005358432298,0.0262820512820514,-0.025,-0.0755555555555556,-0.0689346463742166,-0.0307548928238583,-0.0850439882697947,-0.0343546889507893,-0.0201005025125627,0.041388518024032,0.0280065897858319,0.0269914417379855,0.141185076810534,0.0833333333333332,0.0732714138286894,0.0113452188006482,-0.0935502614758861,-0.1519434628975264,-0.1116173120728929,0.0,-0.0145293746051801,0.0619469026548673,0.1158798283261801,0.0386151797603195,0.0196078431372548,0.1255411255411256,-0.1100969766115231,-0.1226096737907762,-0.1318864774624373,-0.2024539877300613,-0.0016,-0.0556900726392252,-0.0405904059040591,0.1063829787234043,-0.1719745222929936,-0.2713685193834657,-0.3115622241835835,-0.2667450058754406,-0.2844036697247707,-0.293957909029192,-0.2734047508150908,-0.2817679558011049,-0.304502897904592,-0.2583788923223199,-0.2352941176470587,-0.1686650679456435,-0.1088260497000856,-0.0956521739130434,0.0743801652892561,-0.0101522842639594
BCZB-L,26.0,0.3028751476959432,9.997855502031442e-07,0.1567755520517457,0.0859256564186526,0.1448331047096479,1.91144877311338,-327.5,0.0206246316749609,-0.0012375097668843,-0.0012622278321236,0.0159320233669676,1.0,0.0470957613814756,1.192481182651093e-07,0.0584231229690439,6.268103338903632e-06,0.019047619047619,-0.0200078771169751,1.7545795054789478e-06,0.5134319781640568,3.0,2.382208643266829,0.0519883923634886,0.0094846704971782,-0.1086418837995888,-0.0103990326481257,-0.0286523404964184,0.0277217525640475,0.3498343835692998,-0.0737463126843658,0.043076923076923,0.0935483870967741,0.0059347181008901,-0.0202312138728323,-0.0712328767123287,-0.146095717884131,-0.1395939086294415,-0.1307692307692307,-0.1240310077519379,-0.1417721518987341,-0.0557103064066851,-0.0887096774193548,-0.1125654450261779,-0.1031746031746031,-0.0116618075801749,0.018018018018018,-0.017391304347826,0.0059347181008901,-0.0423728813559322,-0.0202312138728323,0.0303951367781154,0.0495356037151704,0.1151315789473683,0.1811846689895471,0.0970873786407768,0.0796178343949045,0.1414141414141414,0.1530612244897959,0.1188118811881189,0.1188118811881189,0.1689655172413793,0.2064056939501779,0.1225165562913908,0.1225165562913908,0.0303951367781154,-0.0087719298245613,-0.0258620689655172,0.0149700598802395,-0.0862533692722371,-0.1240310077519379,-0.0984042553191488,-0.0477528089887639,-0.12853470437018,-0.12853470437018,-0.0837837837837838,-0.0286532951289398,0.0694006309148265,0.036697247706422
BCZN-L,25.0,-0.1029993979425667,3.16749722838386e-07,0.0496692642238481,0.0244184700987519,0.134469948563323,1.059092257548886,-47.59810000000002,-0.0373231162477371,0.0086686696939274,-0.0011078427185377,-0.0211870439683267,1.0,-0.0777951401053786,4.7384851185098834e-08,-0.0126869738970795,7.368188899605517e-07,-0.0344692943447797,-0.0090286869067222,5.697146847734349e-07,-0.1164753871763334,4.0,3.946595962674152,-0.0566517224842868,-0.027664622170644,-0.0639900128398083,0.0155772041115156,0.0416794612999571,-0.1188491306555199,0.4790731875089379,-0.0615384615384615,0.0095579450418159,-0.0162980209545984,0.0419235511713933,0.0355392156862743,-0.0093786635404454,0.0,0.0180722891566262,-0.0105386416861826,-0.0174418604651163,0.0406403940886699,0.0602258469259724,-0.0952890792291221,-0.075492341356674,-0.1715686274509804,-0.213221601489758,-0.1851494696239151,-0.1368743615934626,-0.0962566844919786,-0.0309633027522937,-0.0174418604651163,0.0119760479041914,-0.04627539503386,0.0419235511713933,0.0847240051347881,-0.1333333333333334,-0.0673289183222959,-0.1123949579831933,-0.1029723991507431,0.0875160875160874,0.0393603936039359,0.0588972431077692,0.1801675977653629,0.03680981595092,-0.131551901336074,-0.2462087421944693,-0.2728055077452668,-0.3272292993630574,-0.2832909245122985,-0.2881213142375737,-0.3068088597210828,-0.3372549019607843,-0.2528735632183909,-0.1324435318275154,-0.1270661157024794,0.0342717258261933,0.0107655502392345,0.0444993819530283,0.0655737704918031
