firms,age,agr,bm,bm_ia,cashdebt,chpmia,convind,egr,ep,grltnoa,herf,lev,lgr,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,10.0,0.0057539682539682,4.299805903204725e-07,0.0872851597608484,0.1858403343606197,0.0089102003219144,1.0,0.0330275229357798,7.015415366050845e-08,-0.0342269265011371,7.6730714251304e-07,6.419705134345749e-07,-0.012668848057723,1.918040800380891,-0.0059379330549845,0.0005626220497948,-0.0336852861035422,0.9875428566215674,0.0914866581956797,-0.0848837209302325,-0.0964408725602756,-0.1445652173913042,-0.0174781523096129,-0.1741867785939138,-0.2637979420018709,-0.2575471698113207,-0.3549180327868851,6.94949494949495,5.843478260869566,7.554347826086957,-0.2610328638497653,6.94949494949495,-0.2114228456913828,-0.2321951219512195,8.151162790697674,-0.2504761904761905,-0.2432692307692308,8.151162790697674,-0.2374031007751937,-0.2253937007874016,-0.2169154228855722,-0.2351797862001943,7.284210526315791,-0.2851952770208901,-0.2461685823754789,8.8375,9.08974358974359,8.716049382716049,-0.2034412955465587,-0.23069403714565,9.08974358974359,8.481927710843374,8.258823529411766,8.8375,-0.1969387755102041,8.8375,8.962025316455696,8.258823529411766,-0.1944728761514841,-0.1750524109014674,-0.1819126819126818,-0.1380065717415115,-0.1555793991416308,-0.0974770642201835,-0.0995423340961098,-0.0675355450236966,-0.0367197062423499
BACQ-L^J02,8.0,-0.4536251212415131,1.3136304731608811e-06,0.2666642362417055,0.3408582089552238,0.0454615543037035,1.0,-0.4106394411606663,2.699601647068405e-07,-0.4808498961150912,4.150480324848145e-07,8.453322282612601e-07,-0.5092476706994855,0.4368119328037823,0.3997882557447076,0.3099404068464915,-0.0650595931535085,0.6906609657008723,0.3154761904761904,-0.0508474576271187,-0.4166666666666666,-0.3411764705882353,-0.2941176470588235,-0.4716981132075472,-0.5359116022099448,-0.5951807228915663,-0.6379310344827587,-0.6485355648535565,-0.6379310344827587,-0.6626506024096386,-0.6164383561643836,0.2352941176470586,0.1351351351351351,0.3125,0.2727272727272727,0.3548387096774192,0.3228346456692912,0.423728813559322,0.2727272727272727,0.0980392156862743,0.1125827814569535,0.0632911392405062,0.1351351351351351,0.0700636942675159,0.1125827814569535,0.1351351351351351,0.1586206896551725,0.0980392156862743,0.1199999999999998,0.0838709677419353,0.1199999999999998,0.0909090909090908,0.1666666666666667,0.2537313432835819,0.2923076923076921,0.2537313432835819,0.3228346456692912,0.6799999999999999,0.5272727272727271,0.6153846153846152,0.7142857142857142,0.9764705882352942,0.8666666666666665,1.1818181818181817,1.1538461538461535,1.4705882352941173,1.4
BALZ-L^I10,10.0,0.0219924914304369,3.591628796805287e-07,0.072909312742968,0.2327529002585635,-0.0349786447982719,1.0,0.0675062019089265,5.4641535449752526e-08,-0.0113125702999283,1.279725985760478e-09,3.0513672463001614e-07,-0.0254817358303024,0.1479264570451287,-0.0239793655479703,-0.0413290896241814,-0.0803568593834333,0.4312625413780322,-0.0169491525423729,-0.0166666666666667,0.1799999999999999,0.2826086956521738,0.4047619047619046,0.2826086956521738,0.2291666666666667,0.2291666666666667,0.1568627450980391,0.4047619047619046,0.3720930232558139,0.5128205128205128,0.4047619047619046,0.5128205128205128,0.4749999999999998,0.4749999999999998,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.9666666666666666,0.9666666666666666,0.8437499999999998,0.7352941176470587,0.4390243902439024,-0.1060606060606061,0.5526315789473684,0.6388888888888888,0.7878787878787876,0.7352941176470587,0.6388888888888888,0.8437499999999998,1.0344827586206895,1.0344827586206895,1.1071428571428568,0.9032258064516128,1.1851851851851851,1.2692307692307692,1.5652173913043477,1.5652173913043477,1.4583333333333337,1.36,1.2692307692307692,1.4583333333333337,1.95,1.95,1.95,1.95,1.809523809523809,1.6818181818181817
BAOH-L,17.0,-0.0643102847571514,1.1511662404092071e-06,0.2336843370779213,2.762212899565969,0.6226408828879744,1.0,-0.0422685655072333,2.67747442455243e-07,-0.1218045784724576,5.235516174030106e-09,8.002493606138107e-08,-0.2970372658597545,0.4909398275597342,0.1832308888804384,-0.2877725565566442,-0.2877725565566442,0.0239392941925475,-0.1605839416058395,0.1659574468085107,-0.13015873015873,-0.2281690140845069,-0.1329113924050632,0.2685185185185186,-0.0419580419580418,-0.1410658307210031,-0.2919896640826873,-0.3217821782178217,-0.2845953002610966,-0.308080808080808,-0.3234567901234567,-0.3184079601990048,-0.3167082294264338,-0.368663594470046,-0.3814898419864558,-0.3897550111358574,-0.3642691415313224,-0.3333333333333333,-0.4700193423597678,-0.471042471042471,-0.5063063063063062,-0.6063218390804597,-0.520140105078809,-0.5522875816993464,-0.5946745562130177,-0.6575,-0.6575,-0.6575,-0.6753554502369667,-0.6753554502369667,-0.7133891213389121,-0.7419962335216572,-0.7326829268292683,-0.7206931702344546,-0.7151767151767151,-0.6575,-0.6051873198847262,-0.6085714285714285,-0.6846950517836594,-0.7115789473684211,-0.6914414414414414,-0.6846950517836594,-0.6868571428571428,-0.6914414414414414,-0.6955555555555555,-0.6730310262529833,-0.6464516129032258
BBIO-L^E18,10.0,0.0577235772357723,1.699120140348998e-07,0.0344917831739104,0.3907246376811594,0.2497369912218212,1.0,0.8321299638989169,9.491636646087505e-08,0.1228763334650254,8.420106091201031e-07,2.63991375500529e-07,-0.1580352375867592,6.25046340387262,-0.0979722418254528,0.0486944248412138,0.0486944248412138,0.3535205820213529,0.0953002610966058,-0.0401002506265664,0.1839258114374033,0.0638888888888888,0.3206896551724139,0.1432835820895521,0.0172642762284196,-0.0543209876543209,-0.161925601750547,-0.5592635212888377,-0.5197492163009404,-0.4785568413886998,-0.3772357723577236,-0.3857257417802726,-0.4066615027110767,-0.4266467065868263,-0.4493170381020848,-0.3658940397350994,-0.2718631178707223,-0.2490196078431371,-0.2800751879699248,-0.1970649895178196,-0.2262626262626262,-0.1902748414376321,-0.2270433905146316,-0.2347652347652347,-0.3080397470641373,-0.3327526132404181,-0.3333333333333333,-0.2718631178707223,-0.2385685884691849,-0.2246963562753037,-0.2207527975584944,-0.2183673469387755,-0.2078593588417786,-0.0945626477541371,-0.0848267622461169,-0.0166880616174582,-0.0531520395550061,-0.0496277915632754,-0.0737605804111244,-0.0229591836734693,0.0609418282548477,0.1839258114374033,0.2139461172741681,0.1802773497688752,0.2275641025641026,0.3391608391608391,0.3927272727272728
BBMG-L^B01,5.0,0.1986254472108681,4.423960966733099e-06,0.8980548156121516,1.4612792760385256,2.533623124486726,1.0,0.3181997473983268,8.920000798178548e-07,-0.0295931775082426,1.1153230809500547e-09,5.820526381557142e-07,-0.1355534339098598,0.1181673238327007,-0.3421601960795321,0.0142736983056664,0.0142736983056664,0.0871960703734292,-0.2204724409448819,0.1238938053097347,0.1043478260869565,-0.9885585585585586,-0.8311170212765957,-0.7524366471734892,-0.8121301775147929,-0.8098802395209581,-0.8571428571428572,-0.87573385518591,-0.8437884378843789,-0.8432098765432099,-0.851808634772462,-0.8622559652928417,-0.8514619883040936,-0.8768186226964112,-0.8986432561851556,-0.8988853503184714,-0.8905172413793103,-0.9084354722422494,-0.9176928062216462,-0.9166666666666666,-0.9130136986301368,-0.9289709172259508,-0.9120498614958448,-0.9211669770328988,-0.9265046296296297,-0.934468524251806,-0.9335774058577406,-0.9335774058577406,-0.9311279826464208,-0.934670781893004,-0.9405986903648268,-0.9422727272727272,-0.9434046345811052,-0.9412580943570767,-0.9476288659793816,-0.936308926780341,-0.9327330508474576,-0.9233091787439612,-0.9258177570093458,-0.9286917462099944,-0.9235860409145608,-0.924179104477612,-0.9263768115942028,-0.9274285714285714,-0.9271788990825688,-0.9153333333333332,-0.9131326949384404
BBOU-L,10.0,1.2083706642774863,1.829897219963839e-07,0.0371465305146522,0.2423352069494123,-0.1474058804261069,1.0,0.0895953757225433,5.4120302394155984e-08,0.2798101089081262,2.1212064197018784e-05,4.890242570593017e-07,2.3903533370723498,25.86819709039011,1.956056510597436,2.1536997885835096,2.1536997885835096,0.9939967515277808,-0.0184921763869132,0.0277777777777779,0.1088328075709779,0.0414814814814814,0.3042671614100187,0.1070866141732285,-0.0126404494382021,0.373046875,0.373046875,0.4144869215291751,0.3624031007751938,0.3597678916827853,0.3784313725490198,0.255357142857143,0.2875457875457876,0.282846715328467,0.1955782312925171,0.282846715328467,0.2120689655172414,0.1736227045075125,0.235500878734622,0.4003984063745021,0.4060000000000001,0.5382932166301968,0.6198156682027651,0.534934497816594,0.5833333333333333,0.601366742596811,0.5216450216450217,0.4707112970711296,0.5183585313174948,0.4862579281183932,0.5183585313174948,0.4554865424430643,0.5118279569892472,0.5315904139433552,0.5315904139433552,0.4831223628691983,0.5282608695652176,0.3893280632411069,0.3571428571428572,0.4116465863453815,0.4173387096774195,0.4554865424430643,0.4676409185803758,0.5021367521367524,0.5450549450549451,0.669833729216152,0.669833729216152
BBQS-L^G99,10.0,-0.3223404255319148,1.0741638011878712e-06,0.2180530031044507,0.1629494276347611,0.0389347490458076,1.0,-0.4893182240386401,3.782432010003126e-07,-0.1171994479465826,6.316907614036749e-07,3.1423882463269773e-06,-0.2388073828679602,0.2677777507866308,0.3092733011002657,-0.0618206967405234,-0.1680294754532821,0.3869383748685183,0.09375,-0.1578947368421053,-0.1578947368421053,-0.2289156626506023,-0.3962264150943396,-0.5428571428571428,-0.6235294117647059,-0.6144578313253012,-0.6444444444444444,-0.6444444444444444,-0.6483516483516484,-0.6144578313253012,-0.5555555555555556,-0.5675675675675675,-0.5844155844155845,-0.6235294117647059,-0.6190476190476191,-0.6049382716049383,-0.5974842767295598,-0.6097560975609756,-0.6363636363636364,-0.6483516483516484,-0.6666666666666666,-0.673469387755102,-0.6559139784946237,-0.6799999999999999,-0.6483516483516484,-0.6363636363636364,-0.6464088397790055,-0.6559139784946237,-0.6464088397790055,-0.6342857142857143,-0.6483516483516484,-0.6424581005586592,-0.654054054054054,-0.627906976744186,-0.6404494382022472,-0.621301775147929,-0.5870967741935484,-0.6144578313253012,-0.6384180790960452,-0.6666666666666666,-0.6751269035532994,-0.6424581005586592,-0.6521739130434783,-0.654054054054054,-0.6559139784946237,-0.6424581005586592,-0.6342857142857143
BBTK-L^C11,10.0,-0.045045045045045,0.0004701400893017,95.43745398855268,-0.1110152430255967,-2.431960615250744,1.0,-0.3955555555555555,-0.000282084053581,-0.3165544133285467,2.2331128809448856e-08,0.0012908110981269,0.1596273291925465,0.001513393587686,-0.2046398891966759,-0.2983898891966759,-0.3296398891966759,1.4631107299715849,0.1818181818181818,0.0,-0.0434782608695653,-0.0434782608695653,-0.1538461538461538,-0.2142857142857143,-0.2903225806451612,-0.3529411764705883,-0.4358974358974359,-0.4358974358974359,-0.4358974358974359,-0.4210526315789473,-0.4358974358974359,-0.9185185185185184,-0.45,-0.45,-0.5217391304347827,-0.4761904761904761,-0.4634146341463414,-0.4761904761904761,-0.4761904761904761,-0.4761904761904761,-0.4761904761904761,-0.4761904761904761,-0.4761904761904761,-0.5,-0.5,-0.5,-0.56,-0.4883720930232558,-0.4634146341463414,-0.4634146341463414,-0.4634146341463414,-0.4634146341463414,-0.4634146341463414,-0.4358974358974359,-0.4358974358974359,-0.45,-0.45,-0.8562091503267975,-0.8674698795180723,-0.875,-0.8742857142857143,-0.872093023255814,-0.8674698795180723,-0.8735632183908046,-0.8650306748466258,-0.8571428571428572,-0.8493150684931507
BBTU-L^C18,10.0,-0.0463743428588211,4.281930848806754e-07,0.0869222998983374,0.1591272561114919,0.0160548975252721,1.0,-0.1286326822296331,6.242043808436857e-08,-0.0610351929523847,2.088355606267003e-06,5.207263362743807e-07,0.0332133317849262,3.5754796073012485,0.2727246151408675,-0.0243892395649793,0.2264818405743934,0.436943992026207,0.2954545454545454,-0.0909090909090908,-0.0598290598290597,-0.0265486725663715,0.0576923076923077,-0.0677966101694914,-0.1970802919708029,-0.3081761006289307,-0.341317365269461,-0.3529411764705882,-0.3491124260355028,-0.2857142857142857,-0.2413793103448275,-0.1666666666666666,-0.1999999999999999,-0.1729323308270676,-0.2028985507246375,-0.1634980988593154,-0.0909090909090908,-0.1129032258064515,-0.0794979079497907,-0.0557939914163089,-0.009009009009009,-0.0393013100436681,-0.0557939914163089,-0.0476190476190475,0.0784313725490197,0.1111111111111111,0.0476190476190476,0.0576923076923077,0.1578947368421053,0.2154696132596685,0.1458333333333334,0.1398963730569948,0.1640211640211641,0.1827956989247312,0.3017751479289943,0.5068493150684934,0.5384615384615385,0.3496932515337425,0.3017751479289943,0.3253012048192774,0.2865497076023393,0.2865497076023393,0.2154696132596685,0.2359550561797754,0.2865497076023393,0.25,0.3095238095238097
