firms,absacc,acc,age,agr,bm,bm_ia,cash,cashdebt,chatoia,che,chempia,chinv,chpmia,chtx,cinvest,convind,currat,depr,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,ms,mve_ia,operprof,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,ps,quick,roaq,roeq,roic,salecash,salerec,secured,securedind,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BAJS-L,0.0654308399460634,-0.0654308399460634,22.0,-0.0009605788744303,7.779008743752332e-07,0.133868737177719,0.1038116774859127,0.0453526619978294,0.7779247034198057,4422.6407,0.0911617026069763,-0.005935520172274,0.0031695920340956,0.0031767303157974,-0.0888028818869267,1.0,1.1548457552629487,0.0794584410187473,0.0461758829412135,4.6488712765166585e-08,0.2049181641180482,-0.2399677541392452,-0.0214010483975333,0.0001849942651551,0.0214096088354054,0.0137948216980864,2.864548097450704e-06,-0.0136585630639089,3.0,10.018644293217564,0.7749572306882496,-0.0949277611654259,-0.0439359108213828,0.1819409751181598,0.0870144791622084,-0.039674746349236,0.0048762021025292,0.0553173405850214,0.0304540099126821,-5.157154696445417,6.0,0.8898997078549628,0.0103480572858689,0.0460405927133372,0.0321121185138053,5.423675797032348,2.736217747775115,1.0,1.0,-0.0554210278391284,1.0221066573708777,-0.0325732899022801,0.0461586121437422,0.0539950062421974,0.1774755927475593,0.3089147286821707,0.3058778035576182,0.3076476282671831,0.6337687469762943,0.5865633074935401,0.7783043707214325,0.9203866932044358,1.0994715573515697,1.2664429530201344,1.35085276714236,2.0004442470013326,1.083281924737816,0.9084487143260808,0.6243386243386246,0.5802526906878802,0.4837434094903339,0.6759305210918116,0.7438678027368968,0.5832161275199252,0.5381462081530406,0.6345595353339788,0.3470283207020344,0.4534108026683883,0.4733856893542758,0.45247311827957,0.6165629487793203,0.4596931056840285,0.4631715771230504,0.3885690789473686,0.3638933764135703,0.3023524874662555,0.3750000000000002,0.2445181499907869,0.1691189198545959,0.1496170212765959,0.1026938775510204,0.0690091801202912,0.074964189081649,0.1196949602122017,0.0558074097233078,0.1298093007694882,0.193286219081272,0.2659793814432991,0.2056408425562299,0.1996447602131441
BAOH-L,0.0739074533919239,-0.0739074533919239,7.0,0.1048022413612585,7.585486715065579e-07,0.1305384221659031,0.0940080738447964,0.3736302501871069,0.9767276589028788,77.45769999999999,-0.1209174686485851,0.012769450201393,0.042706411932687,0.0066702335836977,0.0531400234077718,1.0,1.9201310628484944,0.1386024435413029,0.2800588001155667,1.4966042883576052e-07,0.3348943018261451,-0.3307778112412708,-0.0974449044984561,7.864910316144884e-08,-0.0283978428561677,0.0859336640568842,7.544293730809613e-07,-0.0320814019770856,4.0,0.5071252299427305,0.7236725072212467,-0.0457708817782609,1.38521072915088,0.0581729178237888,0.2798870445320165,1.7043916365127685,0.0614114207208124,-0.1151007909004447,-0.8839260405846538,-0.7276626609680337,7.0,1.351009338861073,0.02581835660754,0.049482427996885,0.2517828812868438,4.388431787645581,29.132470823880475,1.0,1.0,0.2724563717072337,0.9517780819627516,-0.0050251256281407,0.0,0.0257731958762887,0.0050505050505049,-0.0339805825242718,-0.0455635491606714,-0.0455635491606714,-0.0657276995305163,-0.0657276995305163,-0.038647342995169,-0.0523809523809524,-0.0722610722610722,-0.0546318289786222,-0.0523809523809524,-0.0546318289786222,-0.0363196125907989,-0.0099502487562188,0.0127226463104326,0.4265232974910393,0.4163701067615657,0.3537414965986394,0.3311036789297659,0.3400673400673399,0.386759581881533,0.4014084507042255,0.4740740740740738,0.4578754578754578,0.4686346863468635,0.4472727272727272,0.386759581881533,0.4163701067615657,0.4472727272727272,0.4265232974910393,0.386759581881533,0.4472727272727272,0.4525547445255473,0.4632352941176469,0.4740740740740738,0.3491525423728812,0.2922077922077921,0.3135313531353136,0.3049180327868852,0.3178807947019868,0.3178807947019868,1.062176165803109,0.99,1.030612244897959,0.9800995024875624,0.99
BBOU-L,0.0304622975437091,-0.0304622975437091,33.0,-0.0406809174972979,8.440768950065283e-08,0.0145256949487511,0.0875974086940193,0.1284149617689605,0.6421524441688751,-52.0,-0.0007661545928067,0.008366405663413,0.0289524050643329,0.0005112474437627,0.0112608103048941,1.0,1.6024922990758892,0.0921839554547329,0.0184583579444772,3.2553929834962525e-08,0.2444457787918818,-0.067064083457526,-0.045141815172921,1.5690740729934715e-06,-0.0001799337843673,0.0058544493815299,2.878697509691685e-07,-0.0541257841402605,3.0,11.710899275319246,0.7947430596574129,-0.0640296849391181,-0.0925124248280902,-0.0539621571458032,-0.0077716256188471,-0.1381706636521247,0.0361778558681213,-0.0265994737002529,-0.0944724450878564,-0.3736842105263158,6.0,0.7560907308877065,0.01646140714547,0.0792021120563215,0.1156408399710354,4.549124687388353,5.35,1.0,1.0,0.0834751531654186,0.5425171754853149,0.0258291752274728,0.0479852353122116,0.1330229464582639,0.1854558107167712,0.1580557443915702,0.1838082001389853,0.1643882433356116,0.3589948145193458,0.2760299625468165,0.3963114754098362,0.1825754946199236,0.2632554690396738,0.1950192914766748,0.2317425885755604,0.3832724319935039,0.2115931721194879,0.0997417688831503,0.0643548890971572,0.0905889884763124,0.0802155992390616,0.0268233875828811,-0.0512392091339458,-0.0337492909812818,0.0103795966785291,0.0133848899464605,0.0544722995976476,0.0976159793814432,0.1596324029952349,0.1740179186767747,0.2189624329159214,0.2064447592067988,0.2741211667913239,0.23981077147016,0.2548802946593003,0.2146167557932263,0.2595194085027725,0.2544182621502209,0.3073676132003071,0.4125207296849087,0.4020576131687243,0.351984126984127,0.2502752293577981,0.3282651072124758,0.3392295597484276,0.3815896188158962,0.3159521050598686,0.3963114754098362,0.4989001319841619,0.4541186513017499
BBXK-L,0.1135840776141924,-0.1135840776141924,33.0,-0.1518573434538831,7.671822018493753e-07,0.1320241639132777,0.1075680084652352,0.0328058002650658,1.1936353617179298,21.10000000000001,-0.3342998473587433,0.0064288864212355,-0.0077912665258676,-0.0004593477262287,-0.0513162206444565,1.0,0.6948340447774196,0.0807337998655754,-0.3833896016205266,-6.653616993700232e-08,0.2303832519957973,-0.2704315886134068,-0.2452540472760691,8.112693639948457e-07,-0.0785113568637838,-0.0224668349060771,2.1343996816760804e-06,-0.0191185100534328,3.0,0.4265003822001418,0.0944767049291021,-0.2222458160883464,0.0576346357295143,-0.1251131297407405,-0.3153490853260535,0.201220726618003,-0.2080371776091703,0.0772778260220779,0.2951026487163348,-5.398484848484849,4.0,0.4227720184685077,0.0092794127862551,0.035107314936487,0.0425722128484726,13.215502309468825,47.9105180533752,1.0,1.0,-0.1007866901069543,1.591064704289898,-0.05,0.0126582278481013,0.0526315789473683,0.1034482758620689,0.142857142857143,0.1764705882352941,0.2030075187969924,0.7582417582417582,0.6000000000000001,0.509433962264151,0.6494845360824744,0.6000000000000001,0.6000000000000001,0.7204301075268817,0.6000000000000001,0.019108280254777,-0.1011235955056178,-0.2488262910798121,-0.1623036649214658,-0.111111111111111,-0.1489361702127658,-0.1578947368421052,-0.2307692307692307,-0.2417061611374407,-0.2951541850220264,-0.4482758620689655,-0.4326241134751772,-0.4265232974910394,-0.4501718213058419,-0.3522267206477733,-0.4501718213058419,-0.4666666666666667,-0.4366197183098591,-0.4736842105263158,-0.4630872483221476,-0.4630872483221476,-0.4385964912280702,-0.4385964912280702,-0.4074074074074074,-0.4501718213058419,-0.46843853820598,-0.492063492063492,-0.4822006472491909,-0.5136778115501519,-0.5454545454545454,-0.5,-0.5061728395061729,-0.5252225519287834,-0.5733333333333333
BCIP-L,0.0096466402008831,0.0096466402008831,22.0,0.1046443073682482,1.0254274076549296e-05,1.7646550692006535,0.086797463723911,0.2651933630390999,0.3016674430296175,-39.430400000000006,0.0112526496162484,-5.559604550057346e-05,0.132382630508742,-0.0007511848283846,-0.235980009191955,1.0,0.9682099000398376,0.2545635013412927,0.3668926675954709,2.825743883807653e-06,0.1245768001774313,2.923037837087718,0.0220003976304298,1.940728365026872e-06,0.0026427196921102,0.0587863774650743,1.7365181883755457e-05,-0.0112548568096087,3.0,0.3282871357563027,0.3365220420798098,0.0045964271582485,-0.1814000748707177,0.0077656112522254,-0.0379428420604481,-0.1846969863367628,-0.0543980210109028,0.0445122108977377,-0.1046883078666493,0.0931616889775685,4.0,0.946538910147294,0.0010797224907451,0.003136099760366,0.0311739832937878,2.604647342563684,4.414804455383886,1.0,1.0,-0.0701727589156661,-1.311571193321006,-0.073170731707317,-0.0465116279069768,0.0,0.0789473684210526,0.1714285714285714,0.0789473684210526,0.0789473684210526,0.4642857142857139,0.3225806451612902,0.1714285714285714,0.3225806451612902,0.3225806451612902,0.28125,0.28125,0.28125,-0.0465116279069768,0.0249999999999999,-0.108695652173913,-0.127659574468085,-0.088888888888889,-0.088888888888889,-0.0238095238095238,-0.0681818181818182,0.0,0.1081081081081081,0.0249999999999999,-0.0238095238095238,0.0,0.1081081081081081,0.0789473684210526,-0.0681818181818182,0.0249999999999999,0.0512820512820511,-0.0465116279069768,-0.18,-0.163265306122449,-0.2407407407407408,-0.3387096774193548,-0.3050847457627118,-0.2545454545454546,-0.2407407407407408,-0.2264150943396227,-0.1960784313725491,-0.2407407407407408,-0.267857142857143,-0.3050847457627118,-0.3387096774193548,-0.2931034482758621,-0.3050847457627118
BCQF-L,0.0350495182967635,-0.0350495182967635,32.0,-0.1553912988514887,3.380922267811282e-07,0.0581821938240433,0.0780378714122125,0.0782587365105375,0.3780966461356454,214.3621,-0.9389294446838342,-0.0492300036719768,0.0040868826229339,-0.0006073918404246,-0.0192953867744168,1.0,1.55261460744485,0.2917077001423219,-0.2255118577457766,3.8278097469636665e-08,0.1578004491303081,-0.3911076655179614,-0.1000330067738672,2.605169352156615e-05,-0.2205104946469814,-0.0847333422355302,7.811147544841557e-07,-0.1325009174765529,4.0,14.007262326265003,0.2479468788575183,-0.2363161712941994,0.1191313163521091,0.0858909281247409,0.1390151554833459,0.2087649838118148,0.1346228068317418,-0.024500380942063,-0.1530543894123393,-1.1509708828306873,6.0,1.3241294403637336,0.0095438797989918,0.0313145623117201,0.0257875562361398,3.735307587396186,2.1937725599007347,1.0,1.0,-0.326137523527659,0.533701806599297,-0.0154135982188731,-0.0436491687822454,-0.0278055278055278,0.0320813079982325,0.0125726177057141,0.1124023623547341,0.1519037285460642,0.2516613076098606,0.2023061875836509,0.1227766560907603,0.1578425540352965,0.242737043737363,0.327648931332424,0.4985243166944693,0.7886353193444631,0.4595675540557429,0.2348524902188855,0.1898115129903208,0.1630315705607012,0.2895318021201414,0.3519333178976616,0.4192999513855129,0.348498845265589,0.2340695339744267,0.2849911971830987,0.2730840510192958,0.3943880597014926,0.400239808153477,0.3930573780269593,0.3177612277138342,0.2601704974641199,0.3083127940846963,0.1927280155244612,0.1622213375796177,0.0957027584912741,0.1736683417085427,0.1800727566693614,0.2566447863983643,0.2845671543284567,0.2326366898881149,0.1427732654858597,0.1319181932732382,0.1735503969450305,0.0607684621673176,0.1029467321496033,0.1500886350206813,0.1194401840490797,0.0839056989047708,0.0578856780505481
BCYN-L,0.0649908079380568,-0.0649908079380568,32.0,0.0759721706818696,4.588105565411272e-07,0.0789565763855152,0.1637648514980572,0.3111636643944814,0.7338769840072475,3118.6382000000003,0.0071349040104004,0.0036939797180354,0.0108687125672759,0.0156018927419712,-0.0519020347676729,1.0,1.796760563163251,0.0657421847398498,0.1261327688912098,9.52548208208064e-08,0.2453888266938703,0.063977412198392,-0.0182159153687843,1.0332602087898324e-05,0.0016756543545419,0.064412402575045,4.435311723627573e-07,0.0367564751972835,3.0,10.765819347692986,0.5086911201361992,0.0569042116303179,0.1552309534713484,-0.11148159441116,0.0844163488831472,0.1730217676155972,-0.09467700130816,-0.1390200218076102,0.0268396598037721,-0.625038377661909,7.0,1.4592917992380174,0.0593661911453807,0.1159206827668002,0.2240479097637135,3.4163731214146824,12.964545210276832,1.0,1.0,0.0025390433978924,0.8128778651513137,-0.0599625234228607,0.0267756934423601,0.1392990571072763,0.0031328320802006,0.1217376072867402,0.1616179938327591,0.3040114029729182,0.4584377135048967,0.3754295532646048,0.5386833253243635,0.4945157526254375,0.4281891168599465,0.4281891168599465,0.436518618214446,0.4205856255545699,0.4631025816769476,0.4899953466728712,0.5200569665321624,0.4817214252660806,0.4824074074074074,0.403462634231865,0.3822577163824738,0.3906623235613466,0.4495246717971934,0.4469046543154091,0.4994146569889957,0.5029335836658062,0.5153809749171796,0.5008202484180924,0.4534725374489332,0.4607664233576642,0.4868818202925471,0.4945157526254375,0.4762563393268788,0.5029335836658062,0.4205856255545699,0.4429923388913925,0.5847562484533535,0.793335200224027,0.6062202157010286,0.6233206590621039,0.6245560629122273,0.8286693318103941,0.7535596933187294,0.802927927927928,0.7031914893617022,0.8286693318103941,0.8980438648488442,1.0375437480114544
BCZB-L,0.098796587506356,-0.098796587506356,33.0,-0.0993306367899201,1.0838363865761562e-06,0.1865170912614565,0.0345848262969309,0.0500490677134445,1.6365840863415124,213.5,0.0219483544586773,-0.0040302077251925,-0.0048405620000545,0.0018162319241679,-0.0259298618490967,1.0,0.6036528121532816,0.0936703164841757,-0.1503923838929628,-4.5953087256408804e-08,0.1241364498693489,-0.1150627615062761,-0.0932974255635699,8.166095225110052e-06,0.0051546391752576,-0.0092350646096574,3.045704976087266e-06,-0.0796468954572505,3.0,0.8732837313567171,0.2081564389553583,-0.1120344432616971,-0.0413649580792798,0.0244817974069448,-0.0249956011723082,-0.0431433902465615,0.063675300616084,0.2574618983252383,-0.1023929312053899,-9.367857142857142,3.0,0.4649654348382692,0.0077299101820205,0.0294518473652331,0.0584869675778766,18.53733248245054,8.194076163610719,1.0,1.0,0.0018970096230124,1.591064704289898,0.0149253731343284,0.1260504201680674,0.1213389121338912,0.1964285714285714,0.1074380165289257,0.185840707964602,0.2407407407407407,0.2946859903381644,0.4105263157894738,0.4972067039106145,0.4331550802139037,0.3201970443349755,0.3814432989690723,0.3743589743589743,0.2582159624413147,0.3137254901960784,0.3333333333333335,0.1652173913043479,0.2582159624413147,0.307317073170732,0.2181818181818182,0.3604060913705584,0.3673469387755104,0.3604060913705584,0.3400000000000001,0.1601731601731602,0.1404255319148937,0.1551724137931036,-0.0662020905923345,0.0113207547169811,-0.1241830065359477,-0.1464968152866241,-0.1545741324921135,-0.1779141104294477,-0.1804281345565749,-0.1545741324921135,-0.1518987341772152,-0.1464968152866241,0.1213389121338912,0.046875,0.0551181102362206,0.1120331950207469,0.150214592274678,0.1355932203389831,0.1166666666666667,0.1355932203389831,0.0806451612903227,0.0763052208835342,-0.0394265232974909
BCZN-L,0.0576526644902366,-0.0576526644902366,32.0,0.0915604555818691,2.486351893328604e-07,0.0427875580428744,0.1431547010386466,0.2603397038863815,1.0592500021262683,171.58749999999998,0.3286018234450017,-0.0043603397904712,0.0054539670144422,0.0055237692926851,-0.0583428892711467,1.0,2.2890828886984265,0.1926970974307011,0.1611813028804392,3.349341213581188e-08,0.3427207364119234,-0.1809013294095505,-0.0393868583727051,5.74673954537545e-07,0.0771731582602108,0.0391274931451051,2.064771206395736e-07,0.0182837093585345,4.0,3.345719879763748,0.3619982391934131,-0.0890391575262303,0.0355181962748485,0.0443044066665082,-0.0498096718599081,0.0974088419550224,-0.053847578359153,0.0303788385900534,-0.0979570683971635,-0.7505417430909292,6.0,1.5207356755448138,0.0258085955640703,0.0444271513928619,0.1390615993204438,3.6377567904427215,5.067386093839516,1.0,1.0,-0.0764983943302171,0.4567936356704619,-0.028705636743215,0.0384823848238482,-0.0434348477284074,-0.0219499744767738,0.042437431991295,0.0644444444444445,0.1290512669416619,0.3627311522048364,0.2425421530479896,0.3060668029993183,0.302515295717199,0.2630191166776532,0.4309185959671395,0.5476575121163165,0.8041431261770247,0.4829721362229102,0.3598296664300924,0.3034013605442178,0.3784172661870504,0.3813987022350398,0.5451612903225806,0.6196111580726966,0.4992175273865415,0.3069577080491132,0.565359477124183,0.3617626154939588,0.4968749999999999,0.5206349206349208,0.5615321923390384,0.7046263345195729,0.615514333895447,0.5704918032786885,0.4161123429416113,0.401609363569861,0.3853940708604484,0.4592536176694592,0.4482237339380195,0.5414320193081255,0.4738461538461538,0.4224201930215292,0.3995617238860482,0.4704528012279356,0.524264120922832,0.3863965267727931,0.4727132974634895,0.4887334887334889,0.5900414937759335,0.5640816326530613,0.5887230514096184
BDAJ-L,0.0732691015012323,-0.0732691015012323,33.0,-0.0744256283033114,4.357630676954055e-07,0.0749903406753776,0.0728353338771704,-0.0264625271713448,-0.0637591249590482,-33.1,-3.863240901123812,-0.0007842258570468,-0.1007199464335727,-0.0033131256168053,-0.2626807728781413,1.0,0.4565619223659888,0.3373983739837398,-0.0131111718109806,-1.1699146849281577e-07,0.1156293819436954,-0.7248908296943231,-0.1580775263275763,1.0513719211188947e-09,-0.9072941176470588,-0.0026965807356271,5.993099040626819e-07,-0.1145759087669281,4.0,0.1188309513472549,0.2545752526632068,-0.4889943704747926,-0.0713067625237444,0.1485817737143294,-0.2168409789739133,-0.0730190136506036,-0.2242072820352086,-0.2947115212141467,0.5165334587055321,-0.6742268041237114,2.0,0.4473197781885397,-0.0262721238938053,-0.0615444415651723,-0.286665828829961,5.2736,16.316831683168317,1.0,1.0,-0.4834665412944679,1.591064704289898,-0.1237623762376237,0.0358974358974359,0.0412371134020619,0.188235294117647,0.6160000000000001,0.4532374100719425,0.3202614379084967,1.2696629213483144,1.172043010752688,0.4532374100719425,0.4852941176470586,0.3648648648648649,0.286624203821656,0.2546583850931676,0.5419847328244274,-0.2109375,-0.2887323943661971,-0.2707581227436823,-0.1984126984126983,-0.1788617886178861,0.0687830687830688,0.2317073170731707,0.3202614379084967,0.2317073170731707,0.3377483443708609,0.270440251572327,0.270440251572327,0.2023809523809523,0.2317073170731707,0.463768115942029,0.2948717948717949,0.2546583850931676,0.1477272727272727,0.1812865497076023,0.074468085106383,0.063157894736842,0.0802139037433153,0.160919540229885,-0.0194174757281553,-0.0941704035874438,-0.1140350877192981,-0.1652892561983471,-0.1512605042016805,-0.1476793248945148,-0.0776255707762556,-0.1179039301310044,-0.1548117154811715,-0.1179039301310044,-0.0818181818181819
