firms,absacc,acc,age,bm,bm_ia,convind,currat,ep,herf,mve_ia,pctacc,ps,quick,roic,salerec,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,0.0642555011643933,0.0642555011643933,1.0,6.073201828490873e-07,0.3085999506686187,1.0,1.340713727533212,9.899142765333307e-08,1.1340719988850788e-06,2.340233434374345,0.7078534031413619,4.0,0.878353737952592,0.0961640916355887,5.5967213114754095,1.0857990936261044,-0.1850152905198776,0.0348101265822784,0.0202808112324492,0.1637010676156582,0.1084745762711862,0.0936454849498327,0.0234741784037559,-0.0562770562770562,-0.0494186046511627,-0.0368188512518409,0.0497592295345103,-0.007587253414264,0.0315457413249211,0.0616883116883115,0.1065989847715735,0.1575221238938051,0.2088724584103511,0.2178770949720669,0.1934306569343065,0.3625,0.3212121212121213,0.1978021978021977,0.2386363636363635,0.2798434442270057,0.2022058823529411,0.211111111111111,0.211111111111111,0.1678571428571429,0.27734375,0.3185483870967742,0.3653444676409185,0.5069124423963134,0.7075718015665795,0.703125,0.1275862068965518,0.1160409556313992,0.1084745762711862,0.1616341030195383,0.3027888446215141,0.4248366013071896,0.4405286343612336,0.4004282655246254,0.5912408759124086,0.6899224806201549,0.847457627118644,0.8793103448275863,0.8370786516853932,0.6029411764705883,0.7301587301587302
BACQ-L^J02,0.0364670251560665,0.0364670251560665,13.0,1.30625763828619e-06,0.6637537399869247,1.0,0.9886275120735316,1.7056625161621708e-07,1.5590522287476438e-06,1.3695773892316103,0.6126687435098657,3.0,0.5309238199096433,0.0589946553007238,22.376397515527948,0.6773583858560908,-0.0471698113207547,-0.0940170940170939,-0.4361702127659573,-0.2885906040268455,-0.3375,-0.4011299435028248,-0.4479166666666666,-0.4854368932038835,-0.4591836734693877,-0.4591836734693877,-0.548936170212766,-0.6029962546816479,-0.5923076923076923,-0.537117903930131,-0.4952380952380952,-0.5,-0.5,-0.480392156862745,-0.4752475247524752,-0.3727810650887573,-0.3801169590643274,-0.4903846153846154,-0.4421052631578946,-0.4646464646464646,-0.5309734513274336,-0.5411255411255411,-0.5527426160337553,-0.5673469387755102,-0.5564853556485356,-0.5637860082304527,-0.5619834710743801,-0.5246636771300448,-0.5350877192982455,-0.5655737704918032,-0.6344827586206896,-0.6418918918918919,-0.6645569620253164,-0.670807453416149,-0.670807453416149,-0.6656151419558359,-0.6394557823129252,-0.618705035971223,-0.6029962546816479,-0.6280701754385964,-0.5938697318007662,-0.6394557823129252,-0.6293706293706294,-0.6645569620253164,-0.618705035971223
BALZ-L^I10,0.0803609798023206,-0.0803609798023206,2.0,8.901245814777125e-07,0.4523024422542617,1.0,1.3601496725912068,2.6035493120895073e-08,4.2899255247992934e-08,0.1677104379964218,-10.388888888888898,4.0,0.902712815715622,0.1074914993967313,3.6439024390243904,6.400852681561293,-0.0333333333333333,-0.0909090909090909,-0.1666666666666666,-0.1176470588235295,-0.2105263157894736,-0.1666666666666666,-0.1891891891891892,-0.1176470588235295,-0.1428571428571428,-0.0909090909090909,-0.1891891891891892,-0.1428571428571428,-0.2105263157894736,-0.2500000000000001,-0.2500000000000001,-0.3617021276595744,-0.4642857142857143,-0.4915254237288136,-0.53125,-0.4736842105263158,-0.4827586206896551,-0.5,-0.4339622641509434,-0.4444444444444445,-0.5081967213114754,-0.4915254237288136,-0.375,-0.4117647058823529,-0.375,-0.4230769230769231,-0.5,-0.4736842105263158,-0.4117647058823529,-0.5,-0.6875,-0.6703296703296704,-0.7,-0.6875,-0.6907216494845361,-0.6385542168674698,-0.5522388059701493,-0.5714285714285714,-0.4642857142857143,-0.4339622641509434,-0.4230769230769231,-0.3877551020408163,-0.3877551020408163,-0.4230769230769231,-0.3478260869565218
BAMD-L^J98,0.025770612210967,0.025770612210967,1.0,3.039883727162228e-07,0.1544667861752439,1.0,1.1318914622663463,9.390611741722733e-08,1.7738057424171334e-08,1.028917895904982,0.1323090055484427,5.0,1.1294461768696766,0.158713508164275,0.7532086714492924,1.2004310595079928,-0.163076923076923,-0.1263440860215053,-0.1709183673469387,-0.0091463414634145,-0.0091463414634145,0.0284810126582277,0.0655737704918033,0.0906040268456376,0.0517799352750809,-0.0121580547112462,0.069078947368421,-0.0151515151515151,0.0869565217391303,0.1818181818181818,0.2645914396887161,-0.6319365798414496,-0.6327683615819208,-0.5631720430107527,-0.5185185185185186,-0.4808306709265175,-0.4565217391304348,-0.4619205298013245,-0.4217081850533808,-0.3602362204724409,-0.4080145719489981,-0.3867924528301887,-0.4196428571428571,-0.4237588652482269,-0.3856332703213611,-0.4165170556552963,-0.3186582809224317,-0.2149758454106279,-0.0579710144927536,-0.231678486997636,-0.5454545454545454,-0.5068285280728376,-0.4889937106918239,-0.4386873920552677,-0.3970315398886826,-0.268018018018018,-0.2034313725490196,-0.1310160427807487,-0.1192411924119241,0.0252365930599369,0.0620915032679738,0.1284722222222223,0.3265306122448979,0.2037037037037037,0.2264150943396226
BAOH-L,0.0382838664455814,0.0382838664455814,27.0,1.6658941667433797e-07,0.0846497238514949,1.0,0.8949834773108243,4.06056107889165e-08,6.429966881677427e-08,6.324328456071691,0.2019351297942544,3.0,0.7813743881996701,0.3447165252512542,52.32489415264904,1.4563903844793868,0.082133784928027,0.1247619047619048,0.0707162284678151,0.0102651839178786,0.6704384724186705,0.5642384105960265,0.2100409836065575,0.3497142857142858,0.3035320088300219,0.5377604166666667,0.6178082191780823,0.8253477588871716,0.8169230769230771,0.8169230769230771,1.0719298245614035,1.064685314685315,1.0188034188034192,1.1433756805807622,1.4350515463917528,1.539784946236559,1.3906882591093117,1.4350515463917528,1.2976653696498055,1.25381679389313,1.1829944547134934,0.984873949579832,0.984873949579832,1.0939716312056738,0.8169230769230771,0.9297385620915032,0.9683333333333336,0.7496296296296296,0.7496296296296296,-0.0551999999999999,-0.2732307692307691,-0.3204833141542001,-0.3518111964873764,-0.1922024623803009,-0.132892804698972,-0.2501587301587301,-0.199322033898305,0.0269565217391305,0.0269565217391305,0.181,0.0497777777777779,0.2431578947368422,0.0736363636363637,0.2698924731182794,0.6289655172413793
BBEK-L^L95,0.4834871794871794,0.4834871794871794,1.0,1.6007325532677666e-07,0.0813386416131728,1.0,1.3932632482299934,5.6885180050017495e-08,4.609021836983437e-07,5.6161672643425,1.789673500379651,5.0,1.0223128084102124,0.1805998723675813,3.923878205128205,0.4993270744403518,-0.1108179419525066,0.0243243243243242,0.0106666666666666,0.1590214067278288,0.1313432835820895,0.1843749999999999,0.1484848484848486,0.1081871345029239,0.0828571428571429,0.1590214067278288,0.1955835962145111,0.0412087912087912,0.1017441860465115,0.250825082508251,0.2675585284280934,0.238562091503268,0.2760942760942759,0.3298245614035087,0.4141791044776119,0.6406926406926408,0.6336206896551726,0.48046875,0.528225806451613,0.6550218340611353,0.4862745098039216,0.4410646387832699,0.4576923076923076,0.4410646387832699,0.5857740585774058,0.534412955465587,0.4248120300751878,0.534412955465587,0.7072072072072071,0.3832116788321167,0.0646067415730338,0.0412087912087912,0.1081871345029239,0.0498614958448753,0.0646067415730338,-0.4204892966360856,-0.3827361563517915,-0.4142194744976816,-0.3766447368421053,-0.2902621722846441,-0.3045871559633027,-0.346551724137931,-0.3232142857142857,-0.3984126984126984,-0.3630252100840336
BBIO-L^E18,0.063743096007002,0.063743096007002,1.0,7.472194135490395e-07,0.3796874872132604,1.0,1.2499245852187029,1.438040669587687e-07,2.1487510255516304e-06,2.1591966456279006,0.8249999999999997,3.0,0.6722473604826547,0.0729307588242528,5.66336368505624,0.9721295010121216,-0.0824468085106382,-0.0806845965770171,-0.0334190231362468,-0.0259067357512953,-0.0408163265306122,-0.0157068062827224,-0.1235431235431235,-0.1473922902494332,-0.0623441396508728,-0.0208333333333333,-0.1296296296296297,-0.175438596491228,-0.135632183908046,-0.0481012658227849,-0.0358974358974358,-0.0233766233766234,0.0301369863013698,0.0561797752808987,0.065155807365439,0.2659932659932658,0.2168284789644012,0.1325301204819278,0.2287581699346403,0.2287581699346403,0.1223880597014923,0.2012779552715655,0.1861198738170346,0.2168284789644012,0.2876712328767123,0.1640866873065014,0.197452229299363,0.3476702508960572,0.4920634920634918,0.3925925925925924,-0.0873786407766991,-0.0408163265306122,-0.0738916256157634,0.0329670329670328,0.1223880597014923,0.1393939393939394,0.2168284789644012,0.0773638968481373,0.1604938271604936,0.3772893772893773,0.3722627737226276,0.51004016064257,0.4803149606299211,0.3333333333333332,0.096209912536443
BBNH-L^L97,0.0535281067967462,0.0535281067967462,1.0,5.075239795103971e-07,0.257890120340309,1.0,1.09596713965646,9.214516854584768e-08,4.1540110752029806e-05,13.373483288633231,0.8122047244094487,2.0,0.6221060492905153,0.0791536891848351,8.346499102333931,0.7536800492401668,-0.1519756838905774,0.0092024539877302,0.0362204724409449,0.205128205128205,0.1267123287671232,0.175,0.082236842105263,0.0477707006369425,0.1543859649122807,0.2776699029126213,0.1384083044982698,0.0394944707740916,0.1058823529411765,0.1898734177215189,0.2276119402985075,0.146341463414634,0.200729927007299,0.2751937984496124,0.2876712328767123,0.5302325581395351,0.465478841870824,0.4622222222222223,0.3539094650205761,0.348360655737705,0.331983805668016,0.2927308447937131,0.2927308447937131,0.3456032719836401,0.4029850746268655,0.4029850746268655,0.4493392070484581,0.465478841870824,0.7453580901856764,0.6327543424317617,0.1564147627416519,0.2322097378277154,0.1813285457809694,0.2299065420560748,0.1543859649122807,0.3292929292929292,0.4242424242424243,0.2927308447937131,0.331983805668016,0.4398249452954048,0.4029850746268655,0.4920634920634921,0.5741626794258374,0.6127450980392157,0.709090909090909
BBOU-L,0.0702426564495529,0.0702426564495529,1.0,4.777468098136506e-07,0.2427593320691896,1.0,1.3085834649815693,7.139643299046382e-08,2.171776286463091e-06,15.527197646406826,0.8424507658643327,4.0,0.5629278567667193,0.087149449769258,2.515976331360947,0.849424718758277,-0.117719950433705,0.0163727959697732,0.0399484536082475,0.2062780269058295,0.2044776119402984,0.2339449541284404,0.2135338345864661,0.1763848396501457,0.2415384615384614,0.3517587939698494,0.4232804232804232,0.3585858585858585,0.4916820702402957,0.6011904761904763,0.653688524590164,0.7354838709677418,0.8424657534246576,1.0327455919395463,1.0745501285347046,1.416167664670659,1.4603658536585369,1.373529411764706,1.514018691588785,1.6546052631578947,1.4678899082568808,1.4380664652567976,1.4907407407407405,1.561904761904762,1.7355932203389828,1.6721854304635762,1.8020833333333333,1.8020833333333333,2.280487804878049,2.15234375,1.152,1.279661016949153,1.2049180327868854,1.2479108635097496,1.2605042016806722,1.430722891566265,1.5865384615384617,1.452887537993921,1.7636986301369864,1.792387543252595,1.792387543252595,1.3805309734513274,1.5377358490566038,1.3057142857142856,1.6201298701298703
BBQS-L^G99,0.4327313769751692,0.4327313769751692,1.0,3.745173745173746e-07,0.1903049603232465,1.0,1.4487778816615466,1.0869090114373133e-07,6.536082019612015e-06,3.3298834237202777,2.56970509383378,5.0,0.7745425404033659,0.1293710691823899,8.89365806607186,0.4645205317882902,-0.0782918149466193,-0.00354609929078,0.0643939393939394,0.1957446808510639,0.2488888888888889,0.0807692307692307,0.0446096654275094,-0.0243055555555554,0.052434456928839,0.0144404332129963,-0.0570469798657717,-0.0935483870967741,-0.00354609929078,0.0369003690036899,0.0369003690036899,0.0446096654275094,0.0369003690036899,0.0181159420289855,0.0218181818181817,0.1757322175732216,0.09765625,0.0563909774436088,0.0684410646387834,0.084942084942085,0.007168458781362,-0.0310344827586206,0.0255474452554744,0.0107913669064749,0.0330882352941175,-0.0209059233449477,-0.0538720538720539,-0.0070671378091873,0.2324561403508773,0.1019607843137255,-0.1878612716763005,-0.1300309597523219,-0.132716049382716,-0.0664451827242523,-0.0310344827586206,0.0725190839694656,0.1106719367588933,-0.0442176870748298,0.2217391304347826,0.3009259259259258,0.2831050228310503,0.3317535545023697,-0.0570469798657717,-0.0846905537459282,-0.0070671378091873
