firms,absacc,acc,age,agr,bm,bm_ia,chpmia,convind,currat,egr,ep,herf,invest,mve_ia,pchcapx_ia,pchcurrat,pchquick,pchsale_pchrect,pchsale_pchxsga,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,0.1507274028142141,0.1507274028142141,3.0,0.0429989646141664,4.949531598521611e-07,0.4088171287264818,0.019745393889412,1.0,1.301546778795615,-0.1009240804493567,7.850224441830932e-08,1.9460639313436874e-06,0.0239965893172543,2.7722218558872367,-4.94283510130097,0.1800733585578785,0.2404996890889816,0.3095189035153451,-0.0012081490443203,3.2121982210927573,0.8990839465385194,0.3655308527311778,0.0224299065420561,-0.0962837837837838,-0.1507936507936508,-0.0962837837837838,-0.0055762081784387,0.0229445506692158,0.0408560311284047,0.1382978723404253,-0.0110905730129391,-0.0480427046263346,-0.0663176265270507,-0.1023489932885907,-0.0614035087719299,-0.0018656716417911,0.0037523452157597,-0.0564373897707231,-0.0839041095890411,-0.0377697841726618,0.0742971887550199,0.0531496062992125,0.1358811040339702,0.1431623931623931,0.1263157894736841,0.0037523452157597,-0.1819571865443425,-0.1534810126582279,-0.1653666146645867,-0.0480427046263346,-0.0932203389830509,-0.105351170568562,-0.162754303599374,-0.2279942279942279,-0.2223837209302326,-0.2120765832106038,-0.1412520064205459,-0.1881638846737481,-0.1561514195583596,-0.1314935064935065,-0.0947546531302877,-0.0530973451327434,-0.0110905730129391,-0.0037243947858474,-0.0237226277372264,0.1145833333333332,0.0808080808080806,-0.0201465201465201,0.0132575757575756,0.0469667318982385,-0.0165441176470589
BACQ-L^J02,0.028601458738096,0.028601458738096,2.0,-0.0482998694598122,1.3362901225985075e-06,1.1037373541153983,-0.0116026895633838,1.0,0.9838182131175762,-0.0264927654371306,2.6295011832585247e-08,1.0950332633801329e-06,0.0237458817678872,0.9885298942748306,-2.640507808401013,0.1687570330042822,-0.0539200804094252,0.5336225607909503,0.0708795376557703,4.776595744680851,0.4663453262179377,0.0623081090843417,-0.1578947368421053,-0.1363636363636363,-0.2083333333333332,-0.1914893617021276,0.0555555555555555,-0.05,0.0,0.0,0.0,-0.1739130434782608,-0.1363636363636363,-0.1363636363636363,0.1176470588235294,-0.0952380952380952,-0.4933333333333333,-0.6082474226804124,-0.6122448979591837,-0.6122448979591837,-0.4933333333333333,-0.5064935064935066,-0.5730337078651686,-0.4492753623188406,-0.4794520547945206,-0.6237623762376238,-0.6415094339622642,-0.6752136752136753,-0.7978723404255319,-0.7449664429530201,-0.7625,-0.7853107344632768,-0.8020833333333333,-0.8155339805825242,-0.8061224489795918,-0.8061224489795918,-0.8382978723404255,-0.8576779026217228,-0.8538461538461538,-0.8340611353711791,-0.819047619047619,-0.8207547169811321,-0.8207547169811321,-0.8137254901960784,-0.8118811881188119,-0.7751479289940828,-0.7777777777777778,-0.8173076923076923,-0.8,-0.8080808080808081,-0.831858407079646
BALZ-L^I10,0.0537624942980385,-0.0537624942980385,4.0,-0.1968686868686869,2.228091465793079e-06,1.840339711857943,0.0139483078815567,1.0,2.131091300646066,-0.124014644282463,-1.214758252369584e-07,4.262167424099385e-09,-0.0338816738816738,0.0659240718164551,-5.748750305888853,-0.0080445412319163,-0.0675567182806562,-0.3205582539450917,-0.0862935925358285,-2.319751381215469,1.5559673461211,-0.4893784786641929,-0.0909090909090908,0.0,-0.0833333333333332,0.375,0.2222222222222223,0.0999999999999998,0.2222222222222223,0.5714285714285714,0.0,-0.2142857142857143,-0.2142857142857143,-0.1538461538461538,-0.1538461538461538,-0.2142857142857143,-0.2142857142857143,-0.2666666666666666,-0.3125,-0.3529411764705883,-0.3125,-0.3529411764705883,-0.4761904761904761,-0.5416666666666666,-0.56,-0.6206896551724137,-0.6333333333333333,-0.6666666666666667,-0.6944444444444444,-0.6764705882352942,-0.7105263157894737,-0.6944444444444444,-0.7027027027027026,-0.6764705882352942,-0.6857142857142857,-0.6666666666666667,-0.7027027027027026,-0.6857142857142857,-0.7105263157894737,-0.7250000000000001,-0.7250000000000001,-0.7659574468085106,-0.8035714285714286,-0.8135593220338984,-0.828125,-0.8070175438596491,-0.8103448275862069,-0.8166666666666667,-0.7924528301886793,-0.7962962962962963,-0.819672131147541
BAOH-L,0.0036368948588992,0.0036368948588992,29.0,-0.0895902163237326,4.353007934691386e-07,0.3595459832432778,-0.0111856301173811,1.0,0.9603849862578572,-0.0310016875349358,9.954489967193105e-08,4.371335507978417e-08,-0.024620810770309,2.899536704955078,-6.9731851021421125,0.0119225310258649,-0.0043204282789004,-0.2453854870327793,-0.07098394984402,0.0195221635044664,0.8484806295087377,-0.07098394984402,-0.041044776119403,-0.0428571428571427,-0.1125827814569535,-0.1081530782029949,-0.181679389312977,-0.1326860841423947,-0.5691318327974276,-0.5314685314685315,-0.5972952667167544,-0.5449915110356536,-0.5533333333333332,-0.5,-0.5838509316770186,-0.5722266560255387,-0.54614733276884,-0.45361875637105,-0.4205405405405404,-0.4985968194574368,-0.4880611270296083,-0.5013953488372093,-0.515370705244123,-0.5179856115107913,-0.5544472152950956,-0.5805946791862284,-0.54614733276884,-0.4895238095238094,-0.5140525838621939,-0.5414884516680923,-0.2418670438472419,-0.2900662251655629,-0.4508196721311475,-0.3874285714285713,-0.4083885209713024,-0.3020833333333332,-0.2657534246575341,-0.1715610510046367,-0.1753846153846153,-0.1753846153846153,-0.0596491228070175,-0.0629370629370628,-0.0837606837606836,-0.027223230490018,0.1051546391752578,0.1526881720430106,0.0850202429149797,0.1051546391752578,0.0428015564202335,0.0229007633587785,-0.0092421441774491
BBEK-L^L95,0.0818751003371326,0.0818751003371326,3.0,0.1508977900552485,3.730038563529441e-07,0.308090498106252,0.031684226402708,1.0,1.1534737351730815,0.0752351097178683,1.1995683561563626e-07,5.279826227150346e-07,0.0776933701657458,3.305669835969758,-1.3124661917462044,-0.0477785481850653,-0.0264468769016489,-0.1300932967782724,-0.0482182584959831,0.7112970711297063,0.8585088356330185,0.0526632302405497,-0.0494505494505495,-0.1495327102803738,-0.4986225895316803,-0.5333333333333333,-0.4417177914110428,-0.5368956743002544,-0.5297157622739018,-0.4417177914110428,-0.5235602094240837,-0.6026200873362446,-0.6094420600858369,-0.6352705410821644,-0.6330645161290323,-0.6285714285714286,-0.6300813008130082,-0.6208333333333333,-0.6094420600858369,-0.5777262180974477,-0.5172413793103448,-0.5067750677506775,-0.524804177545692,-0.4739884393063583,-0.4873239436619717,-0.4599406528189911,-0.5197889182058048,-0.5081081081081081,-0.5146666666666666,-0.4434250764525993,-0.4567164179104477,-0.43125,-0.4484848484848485,-0.4678362573099415,-0.48,-0.4434250764525993,-0.4258675078864353,-0.5,-0.4709302325581395,-0.3993399339933993,-0.391304347826087,-0.4052287581699346,-0.3872053872053872,-0.3614035087719298,-0.3208955223880597,-0.2121212121212121,-0.2155172413793102,-0.2890625,-0.2661290322580645,-0.2052401746724891,-0.2862745098039214
BBIO-L^E18,0.0180239324400942,0.0180239324400942,3.0,-0.0069584869751397,7.458638813660276e-07,0.6160621956468095,0.0230182200265073,1.0,1.3763379204892965,-0.0258785472724599,4.1318044446993534e-08,1.303697092424111e-06,-0.0113001070536457,2.456188140897457,-8.240167719494844,0.046633943134332,0.1434944809870935,-0.0797753595434988,-0.0562689932359572,0.8228882833787451,0.8205275229357798,-0.0562689932359572,-0.1348600508905852,0.1133144475920679,-0.0839160839160838,-0.0050632911392405,0.1627218934911243,0.1766467065868264,0.2281249999999999,0.3277027027027028,0.3741258741258741,0.1801801801801801,0.0536193029490617,0.0207792207792207,0.1457725947521866,0.1391304347826087,0.1260744985673352,0.0708446866485015,0.048,0.0796703296703296,0.2476190476190476,0.1945288753799392,0.1981707317073171,0.341296928327645,0.255591054313099,0.1391304347826087,0.0452127659574468,-0.0391198044009779,0.0102827763496144,0.0181347150259068,0.0025510204081633,0.0287958115183246,-0.0839160839160838,-0.108843537414966,-0.0199501246882791,0.0234375,-0.0902777777777777,-0.138157894736842,-0.0965517241379309,-0.0050632911392405,0.0076923076923076,0.0207792207792207,0.0767123287671234,0.103932584269663,0.1133144475920679,0.3232323232323231,0.2718446601941748,0.1837349397590362,0.2843137254901962,0.2843137254901962,0.1731343283582089
BBNH-L^L97,0.0379427097328962,0.0379427097328962,3.0,-0.0247346072186836,4.285060845350772e-07,0.3539337483445555,-0.0066938923700324,1.0,1.356020942408377,0.006196518146946,8.268533830618205e-08,2.691239266374485e-05,-0.1126326963906581,22.005574457949876,56.89659537562423,0.103254829939021,0.1358179943496192,-0.020924161020593,-0.0687672982754949,0.5364741641337386,0.7949389179755671,-0.0687672982754949,-0.0805687203791468,-0.0725274725274724,-0.1757812500000001,-0.1298969072164948,-0.52423900789177,-0.5393013100436681,-0.5496264674493063,-0.5215419501133787,-0.4859926918392205,-0.5046948356807512,-0.4927884615384615,-0.4976190476190476,-0.4631043256997456,-0.4297297297297298,-0.4505208333333333,-0.4802955665024631,-0.4744707347447073,-0.4234972677595628,-0.3625377643504532,-0.3748148148148148,-0.2990033222591362,-0.2355072463768115,-0.2199630314232903,-0.2437275985663083,-0.3586626139817629,-0.352760736196319,-0.3354330708661417,-0.2271062271062272,-0.2773972602739726,-0.2464285714285714,-0.305921052631579,-0.3280254777070064,-0.2596491228070176,-0.1805825242718447,-0.2698961937716263,-0.3333333333333333,-0.2907563025210085,-0.2368896925858952,-0.2126865671641792,-0.264808362369338,-0.2299270072992701,-0.182170542635659,-0.1741682974559687,-0.0186046511627907,-0.0601336302895324,-0.0622222222222222,-0.1316872427983539,-0.1352459016393442,-0.1457489878542511
BBOU-L,0.0362195812110922,-0.0362195812110922,3.0,0.1466970387243735,3.322348149934357e-07,0.2744164380507434,0.0047367042200075,1.0,1.562439024390244,0.0202762268586541,6.085868154833671e-08,3.04382793688974e-06,0.1138952164009111,28.898140652829355,32.34417691621862,0.0064791261409546,0.008009228740936,-0.1320960067478173,0.1707122960604854,-0.4025157232704403,0.7521951219512195,0.1707122960604854,-0.0404411764705883,-0.001834862385321,-0.0978441127694859,-0.1037891268533772,-0.0144927536231882,-0.0779661016949152,-0.0489510489510488,0.0708661417322835,0.0989898989898989,0.0381679389312976,-0.4733785091965149,-0.470817120622568,-0.4465920651068158,-0.4385964912280701,-0.4385964912280701,-0.4008810572687225,-0.3921787709497205,-0.324223602484472,-0.2804232804232803,-0.2851511169513797,-0.2648648648648648,-0.2305516265912305,-0.1964549483013292,-0.2359550561797752,-0.3258983890954151,-0.3148614609571788,-0.2989690721649484,-0.1868460388639761,-0.1880597014925372,-0.1681957186544341,-0.1819548872180451,-0.2069970845481049,-0.163076923076923,-0.0887772194304856,-0.0405643738977071,-0.0841750841750841,0.0055452865064695,0.0793650793650795,0.1147540983606558,0.1698924731182796,0.2420091324200914,0.3702770780856423,0.3984575835475579,0.6287425149700601,0.6585365853658538,0.6000000000000001,0.694704049844237,0.7894736842105263,0.6636085626911317
BBQS-L^G99,0.0273847558192606,0.0273847558192606,3.0,0.0644492603410912,1.1801169590643276e-06,0.9747427956823436,0.005097996213776,1.0,1.9102374882597613,0.5096315691041705,1.8055555555555562e-07,7.625575575251327e-06,-0.0281729953830208,1.8914350215431388,-6.21516232441682,0.4550423174351988,0.7559829327762504,0.1889453053993007,-0.016628473466662,0.4858299595141711,1.1642291694619618,0.1047162649459101,-0.2125984251968504,-0.2012578616352202,-0.2905027932960894,-0.3520408163265306,-0.2208588957055214,-0.1753246753246753,-0.2349397590361445,-0.2395209580838323,-0.2395209580838323,-0.3553299492385786,-0.4147465437788018,-0.4663865546218487,-0.4641350210970464,-0.3952380952380953,-0.4730290456431535,-0.492,-0.492,-0.4304932735426009,-0.2440476190476189,-0.4816326530612245,-0.4879032258064516,-0.5019607843137255,-0.483739837398374,-0.5096525096525096,-0.5480427046263345,-0.549645390070922,-0.518939393939394,-0.4595744680851064,-0.4355555555555556,-0.5115384615384615,-0.5278810408921932,-0.5590277777777777,-0.5243445692883895,-0.5415162454873645,-0.5738255033557047,-0.5903225806451613,-0.549645390070922,-0.5313653136531364,-0.5313653136531364,-0.5278810408921932,-0.5313653136531364,-0.5398550724637681,-0.5381818181818181,-0.4686192468619247,-0.50390625,-0.5225563909774436,-0.5171102661596958,-0.5096525096525096,-0.5448028673835126
BBTK-L^C11,0.1154611811546117,0.1154611811546117,3.0,0.9314679036360916,1.460152671755725e-06,1.2060442708311567,0.1418925960052849,1.0,1.6416831683168316,0.6767180925666197,1.8218829516539443e-08,2.768918005262492e-08,0.3823632101351688,2.7168639015586757,24.48276534247478,-0.4067210398397732,-0.4026693086471938,-0.1874237118870867,-0.3406803494445538,18.955307262569832,1.6147524752475246,-0.2164199944149678,-0.0507246376811593,-0.1736526946107784,-0.3201970443349753,-0.3640552995391705,-0.2540540540540541,-0.3365384615384615,-0.4435483870967742,-0.3811659192825112,-0.5,-0.5619047619047619,-0.5415282392026578,-0.5766871165644172,-0.5805471124620061,-0.5941176470588235,-0.5714285714285715,-0.603448275862069,-0.6101694915254238,-0.6290322580645162,-0.5988372093023255,-0.6339522546419099,-0.6729857819905214,-0.6863636363636364,-0.695364238410596,-0.724,-0.6891891891891893,-0.665859564164649,-0.6625916870415648,-0.6177285318559558,-0.7672849915682968,-0.7752442996742671,-0.7826771653543307,-0.764102564102564,-0.7495462794918331,-0.7341040462427746,-0.7267326732673267,-0.7386363636363636,-0.7335907335907337,-0.7177914110429449,-0.7012987012987013,-0.7044967880085653,-0.6933333333333334,-0.6856492027334852,-0.7212121212121212,-0.7148760330578512,-0.7025862068965517,-0.7250996015936255,-0.7531305903398927,-0.6387434554973822,-0.7044967880085653
