firms,absacc,acc,age,agr,bm,bm_ia,chpmia,convind,currat,egr,ep,herf,invest,mve_ia,pchcurrat,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,ps,quick,roic,salerec,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,0.0384875324582933,-0.0384875324582933,2.0,0.4040533606977937,5.192495860304079e-07,0.3156306281451823,-0.0047576074635674,1.0,1.1029371770465053,-0.0580303806110257,9.116739424958605e-08,1.2585123418093996e-06,0.4485206088592441,2.263216830601093,-0.1773507241730069,-0.1748476712829036,-0.445430094070902,-0.3420575088326967,0.744984786630636,-0.558307533539732,2.0,0.7247756323089475,0.1146785928843201,4.288523773960668,0.1213304693093797,0.9760349517648084,0.0503597122302159,0.1164658634538151,0.0944881889763777,0.1804670912951167,0.188034188034188,0.1705263157894736,0.0431519699812381,-0.1498470948012232,-0.1202531645569621,-0.1326053042121685,-0.0106761565836299,-0.0576271186440678,-0.0702341137123747,-0.1298904538341158,-0.1976911976911977,-0.191860465116279,-0.1811487481590574,-0.1075441412520065,-0.1562974203338392,-0.1230283911671924,-0.0974025974025974,-0.0592216582064298,-0.0159292035398231,0.0277264325323474,0.0353817504655491,0.0145985401459851,0.1583333333333332,0.1232323232323231,0.0183150183150182,0.0530303030303029,0.0880626223091975,0.0220588235294116,0.0296296296296294,0.0296296296296294,-0.0071428571428571,0.0859375,0.1209677419354837,0.160751565762004,0.2811059907834101,0.4516971279373367,0.4479166666666665,-0.0413793103448276,-0.0511945392491468,-0.0576271186440678,-0.0124333925399645,0.1075697211155379,0.2113289760348584,0.224669603524229,0.190578158458244
BACQ-L^J02,0.0364670251560665,0.0364670251560665,13.0,-0.0214014919897272,1.3473301540386185e-06,0.8189870040902657,-0.0232184789630415,1.0,0.9886275120735316,-0.0005420788724759,1.7592934757141557e-07,1.3759741324750292e-06,0.0710529534058945,1.1655473573291029,-0.0239324690231623,-0.0490482891448421,-0.0490903334662364,-0.037555407369483,-0.1135840815283652,0.6126687435098657,3.0,0.5309238199096433,0.0589946553007238,22.376397515527948,-0.0094583447896618,0.5876727629945655,0.0,0.3066666666666666,0.2727272727272727,0.101123595505618,0.4202898550724638,0.3424657534246575,-0.0297029702970297,-0.0754716981132076,-0.1623931623931623,-0.4787234042553191,-0.3422818791946309,-0.3875,-0.4463276836158192,-0.4895833333333333,-0.5242718446601942,-0.5,-0.5,-0.5829787234042554,-0.6329588014981273,-0.6230769230769231,-0.5720524017467249,-0.5333333333333334,-0.5377358490566038,-0.5377358490566038,-0.5196078431372549,-0.5148514851485149,-0.4201183431952663,-0.4269005847953216,-0.5288461538461539,-0.4842105263157894,-0.505050505050505,-0.5663716814159292,-0.5757575757575758,-0.5864978902953586,-0.6000000000000001,-0.5899581589958159,-0.5967078189300412,-0.5950413223140496,-0.5605381165919283,-0.5701754385964912,-0.5983606557377049,-0.6620689655172414,-0.6689189189189189,-0.689873417721519,-0.6956521739130435,-0.6956521739130435,-0.6908517350157728,-0.6666666666666667,-0.6474820143884892
BALZ-L^I10,0.057648401826484,-0.057648401826484,3.0,-0.3456090651558074,1.5897037056972297e-06,0.966315992719072,-0.0130562713435663,1.0,2.148373983739837,-0.0146571335716607,-5.7675849344205054e-08,1.9712226671616736e-08,-0.3663833805476864,0.0812214261897818,0.5795129220205545,0.8485382703567967,0.2389352912673187,0.2874065367159695,-0.0069539091509325,-4.59090909090909,5.0,1.6686991869918697,0.1367515993649695,6.056179775280898,-0.2784471218206158,1.5378501922928445,-0.0588235294117647,0.0625,0.0,-0.1904761904761903,-0.2916666666666666,-0.3199999999999999,-0.4137931034482758,-0.4333333333333332,-0.4848484848484848,-0.5277777777777777,-0.5,-0.5526315789473684,-0.5277777777777777,-0.5405405405405406,-0.5,-0.5142857142857142,-0.4848484848484848,-0.5405405405405406,-0.5142857142857142,-0.5526315789473684,-0.575,-0.575,-0.6382978723404256,-0.6964285714285714,-0.711864406779661,-0.734375,-0.7017543859649122,-0.7068965517241379,-0.7166666666666666,-0.679245283018868,-0.6851851851851851,-0.721311475409836,-0.711864406779661,-0.6458333333333333,-0.6666666666666666,-0.6458333333333333,-0.6730769230769231,-0.7166666666666666,-0.7017543859649122,-0.6666666666666666,-0.7166666666666666,-0.8229166666666666,-0.8131868131868132,-0.83,-0.8229166666666666,-0.8247422680412371,-0.7951807228915663,-0.7462686567164178,-0.7571428571428571
BBEK-L^L95,0.0715290147182902,0.0715290147182902,2.0,0.1881025641025642,1.2953626828095034e-07,0.0787398099585676,0.0153974807262946,1.0,1.2113502935420746,0.1189962223421477,5.585021646644303e-08,5.745715685885622e-07,0.1209230769230769,6.816863263795492,-0.1305661043733276,-0.1374161694793008,-0.0775669951964783,-0.1312287939240664,-0.2711312654696758,0.4267337807606272,5.0,0.8818304982688546,0.2149340825588934,3.533697632058288,0.1884827445374719,0.4360682592239776,0.0812064965197216,0.1432360742705569,0.1680216802168019,0.1253263707571801,0.2456647398843929,0.2140845070422534,0.2789317507418396,0.1372031662269128,0.1648648648648647,0.1493333333333333,0.3180428134556574,0.2865671641791043,0.3468749999999998,0.3060606060606059,0.2602339181286548,0.2314285714285713,0.3180428134556574,0.3596214511041009,0.1840659340659338,0.252906976744186,0.4224422442244224,0.4414715719063542,0.4084967320261436,0.4511784511784509,0.5122807017543858,0.6082089552238803,0.8658008658008656,0.857758620689655,0.6835937499999998,0.7379032258064515,0.8820960698689955,0.6901960784313725,0.6387832699619771,0.6576923076923076,0.6387832699619771,0.8033472803347277,0.7449392712550604,0.620300751879699,0.7449392712550604,0.9414414414414412,0.5729927007299267,0.2106741573033705,0.1840659340659338,0.2602339181286548,0.1939058171745151,0.2106741573033705,-0.3409785932721713,-0.2980456026058632,-0.3338485316846986
BBIO-L^E18,0.0188766916419817,0.0188766916419817,2.0,-0.0457434733257661,7.002316602316603e-07,0.4256422435609221,-0.0119843953044142,1.0,1.3150136487716106,0.02255299954894,9.585585585585585e-08,1.7651582949694974e-06,-0.0199205448354143,2.0681067916616285,0.0520743925854686,0.0674068232221226,0.1075902599495932,0.1444704701694206,-0.0352295833924432,0.3490870032223412,5.0,0.7175614194722475,0.0418392990558989,6.660790075089781,-0.0352295833924432,0.9943993724600348,0.0302197802197801,0.1555555555555556,0.1063829787234043,0.1097560975609757,0.242320819112628,0.1629392971246006,0.0550724637681159,-0.0319148936170211,-0.1100244498777505,-0.0642673521850899,-0.0569948186528497,-0.0714285714285714,-0.0471204188481674,-0.1515151515151515,-0.1746031746031746,-0.0922693266832916,-0.0520833333333332,-0.1574074074074074,-0.2017543859649121,-0.1632183908045976,-0.0784810126582278,-0.0666666666666666,-0.0545454545454545,-0.0027397260273972,0.0224719101123596,0.0311614730878186,0.2255892255892255,0.1779935275080906,0.0963855421686747,0.1895424836601307,0.1895424836601307,0.0865671641791046,0.1629392971246006,0.1482649842271293,0.1779935275080906,0.2465753424657535,0.1269349845201239,0.1592356687898088,0.3046594982078854,0.4444444444444444,0.3481481481481481,-0.1165048543689319,-0.0714285714285714,-0.1034482758620688,0.0,0.0865671641791046,0.103030303030303,0.1779935275080906,0.0429799426934096
BBNH-L^L97,0.0380200105318588,0.0380200105318588,2.0,-0.0156739811912225,4.245898805034442e-07,0.2580908570614479,0.0103419866880963,1.0,1.229109454688113,0.2112223016440314,7.943050582448617e-08,3.742305890055402e-05,0.0096133751306165,16.99588792980244,0.1214838567818624,0.1250208989048739,-0.0527169641369446,-0.1341994359513619,0.0103248010324801,0.5694006309148265,6.0,0.6998823067869753,0.0920231972863551,7.367843137254902,0.0103248010324801,0.6767511098575765,0.0969945355191255,0.1057401812688823,0.0844444444444445,0.2159468438538208,0.3260869565217392,0.3530499075785582,0.3118279569892472,0.1124620060790273,0.1226993865030676,0.152755905511811,0.3406593406593408,0.2534246575342467,0.3071428571428574,0.2039473684210526,0.1656050955414012,0.2842105263157894,0.4213592233009708,0.2664359861591696,0.1563981042654028,0.2302521008403362,0.3236889692585896,0.3656716417910448,0.2752613240418118,0.3357664233576642,0.4186046511627908,0.4324853228962817,0.7023255813953491,0.6302895322939865,0.6266666666666667,0.5061728395061729,0.5,0.4817813765182186,0.4381139489194501,0.4381139489194501,0.4969325153374235,0.5607675906183369,0.5607675906183369,0.6123348017621146,0.6302895322939865,0.9416445623342176,0.8163771712158809,0.2864674868189807,0.3707865168539326,0.3141831238779173,0.3682242990654207,0.2842105263157894,0.4787878787878787,0.5844155844155845,0.4381139489194501
BBOU-L,0.0082929119073697,0.0082929119073697,2.0,0.0626109407777957,4.22001624514041e-07,0.2565175618952809,0.0053822064809887,1.0,1.5523809523809524,0.1128188358404185,6.907284891399376e-08,2.678077548558607e-06,0.0164595772147813,17.170769382362717,0.1863064098878988,0.3256023457090976,0.1657890470951523,0.2128012157174904,0.1820319849482596,0.0951526032315978,5.0,0.746218487394958,0.1028215336679937,3.068376068376069,0.1820319849482596,0.7426960533694346,0.1118012422360246,0.0648148148148148,0.0578186596583443,0.0878378378378379,0.1386138613861387,0.1890694239290991,0.13061797752809,-0.0024783147459727,0.0138539042821159,0.0373711340206186,0.2032884902840059,0.2014925373134328,0.2308868501529053,0.2105263157894736,0.1734693877551021,0.2384615384615385,0.3484087102177555,0.4197530864197532,0.3552188552188553,0.4879852125693162,0.5972222222222223,0.6495901639344264,0.7311827956989247,0.8378995433789957,1.027707808564232,1.069408740359897,1.4101796407185634,1.4542682926829271,1.36764705882353,1.5077881619937696,1.648026315789474,1.4617737003058109,1.4320241691842903,1.484567901234568,1.5555555555555558,1.7288135593220342,1.665562913907285,1.7951388888888893,1.7951388888888893,2.2723577235772363,2.14453125,1.146666666666667,1.2740112994350286,1.1994535519125682,1.2423398328690811,1.2549019607843142,1.4246987951807233,1.5801282051282053,1.4468085106382982
BBQS-L^G99,0.0908950855030041,0.0908950855030041,2.0,0.1978555304740406,4.027871939736347e-07,0.2448378938819004,-0.0064740059278853,1.0,1.3128398159765788,0.0400700252869092,1.0290018832391713e-07,7.534848812598776e-06,0.1992099322799096,2.826678780881145,-0.0938294733828112,-0.1440016843354568,-0.0882925358991724,-0.0910158972965051,-0.0763696922633203,1.2957540263543186,3.0,0.6630071099958176,0.1253616200578592,8.237639241743208,0.1428881297109701,0.4683350512399877,0.1210762331838564,0.3273809523809523,-0.089795918367347,-0.1008064516129032,-0.1254901960784313,-0.0934959349593496,-0.1389961389961389,-0.2064056939501779,-0.2092198581560282,-0.1553030303030304,-0.0510638297872341,-0.0088888888888889,-0.1423076923076923,-0.1710037174721189,-0.2256944444444444,-0.1647940074906366,-0.1949458483754512,-0.2516778523489933,-0.2806451612903226,-0.2092198581560282,-0.1771217712177122,-0.1771217712177122,-0.1710037174721189,-0.1771217712177122,-0.1920289855072463,-0.1890909090909091,-0.0669456066945607,-0.12890625,-0.1616541353383459,-0.1520912547528516,-0.1389961389961389,-0.2007168458781362,-0.2310344827586207,-0.1861313868613139,-0.197841726618705,-0.1801470588235294,-0.2229965156794425,-0.2491582491582492,-0.2120141342756184,-0.0219298245614034,-0.1254901960784313,-0.3554913294797688,-0.3095975232198142,-0.3117283950617284,-0.2591362126245846,-0.2310344827586207,-0.1488549618320611,-0.1185770750988142,-0.2414965986394558
BBTK-L^C11,0.078929135604024,0.078929135604024,2.0,0.2504053885493326,6.73244889287569e-07,0.4092380870746137,0.0001442357509866,1.0,2.7671353251318105,0.0462215700660309,6.412980186645263e-08,5.4380952919346685e-08,0.1534863415242608,2.7060738195635494,0.0495322586491923,0.055220714303352,0.2181679765610405,-0.2007955928805357,0.2549540697068504,1.7472392638036818,5.0,2.703280609256005,-0.0214343928280358,2.6624535315985134,0.3595292331055431,0.5207934393531596,-0.0483870967741936,0.0813953488372094,-0.0132625994694959,-0.1184834123222747,-0.1545454545454545,-0.1788079470198675,-0.256,-0.1621621621621621,-0.0992736077481839,-0.0904645476772615,0.0304709141274239,-0.3726812816188869,-0.3941368078175895,-0.4141732283464566,-0.364102564102564,-0.3248638838475498,-0.2832369942196532,-0.2633663366336632,-0.2954545454545454,-0.2818532818532817,-0.2392638036809815,-0.1948051948051947,-0.2034261241970021,-0.1733333333333333,-0.1526195899772208,-0.2484848484848484,-0.2314049586776858,-0.1982758620689654,-0.2589641434262947,-0.3345259391771019,-0.026178010471204,-0.2034261241970021,-0.1769911504424777,-0.0970873786407766,-0.0792079207920791,0.1005917159763314,0.2696245733788396,0.1923076923076923,0.3726937269372694,0.7884615384615385,0.5435684647302905,-0.0184696569920843,0.0108695652173913,-0.0412371134020618,0.1884984025559106,0.4362934362934365,0.5183673469387755,0.5183673469387755,1.0327868852459017
BBTU-L^C18,0.0138618936756444,0.0138618936756444,2.0,0.0044096241116532,9.995589414595028e-07,0.6075910796056386,0.0029468802017844,1.0,1.4236011477761834,0.0242409301943383,9.182036888532476e-08,6.12519113350572e-06,0.0457444986728315,5.310536255757119,-0.0050267590210379,-0.0850543795483027,-0.1819425871397172,0.3305408730889111,0.0534552269394929,0.2834061135371173,3.0,1.090028694404591,0.0574990736502539,21.12562534741523,0.0385298538051646,0.5117213303611997,0.0780669144981411,0.1695652173913044,0.0934959349593496,0.0189393939393938,0.0112781954887217,0.1115702479338842,-0.0460992907801418,-0.161993769470405,-0.1946107784431138,-0.1567398119122257,0.0228136882129277,-0.0942760942760944,-0.0819112627986349,-0.1567398119122257,-0.2111436950146628,-0.1266233766233766,-0.0460992907801418,-0.1848484848484848,-0.1921921921921922,-0.182370820668693,-0.0756013745704468,-0.5362068965517242,-0.5204991087344029,-0.5082266910420475,-0.49625468164794,-0.4598393574297189,-0.380184331797235,-0.3685446009389671,-0.4100877192982456,-0.3995535714285715,-0.3685446009389671,-0.3844393592677345,-0.3744186046511627,-0.3470873786407767,-0.3374384236453202,-0.3207070707070707,-0.2690217391304348,-0.2569060773480663,-0.1645962732919255,-0.0787671232876712,-0.2357954545454545,-0.4087912087912088,-0.3927765237020315,-0.4087912087912088,-0.365566037735849,-0.380184331797235,-0.3900226757369615,-0.3685446009389671,-0.4035476718403548
