firms,age,agr,bm,bm_ia,cashdebt,chempia,chpmia,convind,depr,egr,ep,grltnoa,herf,hire,invest,lev,lgr,mve_ia,pchdepr,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,9.0,-0.1055900621118012,3.349371981779065e-07,0.0340648598082198,0.161536093581653,-0.0301145600068726,0.0221405932780123,1.0,0.1578563616478308,0.0205992509363295,5.412550004631176e-08,-0.0523185011709543,1.020623634889531e-06,-0.0398489140698773,-0.055678793256433,5.23213167114347e-07,-0.1528182528964389,3.463858033054404,0.3111917302184321,0.0108982153007041,-0.077291012355039,-0.0403660728877267,1.1868452918539651,0.0084905660377359,-0.1311475409836064,9.707070707070708,8.217391304347826,10.52173913043478,-0.0046948356807512,9.707070707070708,0.0621242484969939,0.0341463414634146,11.325581395348838,0.0095238095238094,0.0192307692307691,11.325581395348838,0.0271317829457364,0.0433070866141731,0.0547263681592038,0.0301263362487853,10.157894736842106,-0.0372388737511353,0.0153256704980841,12.249999999999998,12.58974358974359,12.08641975308642,0.0728744939271253,0.0361681329423264,12.58974358974359,11.771084337349398,11.470588235294118,12.249999999999998,0.0816326530612243,12.249999999999998,12.41772151898734,11.470588235294118,0.0849539406345956,0.1111111111111111,0.1018711018711018,0.1610076670317632,0.1373390557939913,0.2155963302752293,0.2128146453089243,0.2559241706161137,0.2974296205630355,0.3006134969325151,0.2958435207823962,0.2325581395348837,0.2604042806183115,0.1738648947951273,0.2311265969802556,0.245593419506463
BACQ-L^J02,7.0,-0.038750655556203,1.3607421857862763e-06,0.1383945767926284,0.2335152192492275,0.0395953800378515,0.0461950527504366,1.0,0.0809958223207434,0.0179411442949348,1.2079237457920089e-07,-0.0610274237157165,5.897447252679808e-07,0.0523943533072505,0.066196608589243,1.0515955999988302e-06,-0.1033665835411471,1.039775206854315,0.1136925569102225,0.0274655057653525,-0.2496387463251781,0.1120633813343963,0.7474735353308162,-0.127710843373494,-0.1056034482758618,-0.1317991631799162,-0.1056034482758618,-0.1666666666666666,-0.052511415525114,2.0514705882352944,1.8040540540540544,2.2421875,2.143939393939394,2.3467741935483875,2.267716535433072,2.5169491525423733,2.143939393939394,1.712418300653595,1.7483443708609272,1.6265822784810129,1.8040540540540544,1.643312101910828,1.7483443708609272,1.8040540540540544,1.862068965517241,1.712418300653595,1.766666666666667,1.67741935483871,1.766666666666667,1.6948051948051948,1.8819444444444449,2.0970149253731343,2.1923076923076925,2.0970149253731343,2.267716535433072,3.1500000000000004,2.772727272727273,2.9903846153846154,3.234693877551021,3.882352941176471,3.611111111111112,4.3896103896103895,4.320512820512821,5.102941176470589,4.92857142857143,5.102941176470589,5.014492753623189,5.384615384615385,6.155172413793105,5.484375,6.410714285714286,6.280701754385966
BALZ-L^I10,10.0,0.0219924914304369,4.344973487270762e-07,0.0441906463419128,0.2327529002585635,-0.1097249825412596,0.0332940286064017,1.0,0.2932646212847555,0.0675062019089265,6.610260588291279e-08,-0.0113125702999283,1.5894634806387592e-09,-0.145192936559843,-0.0196855106371401,3.69139199376437e-07,-0.0254817358303024,0.1776964848363276,-0.0319136558585792,-0.0239793655479703,-0.0413290896241814,-0.0803568593834333,0.4678329532024757,0.0,-0.0588235294117647,0.1428571428571428,0.1162790697674418,0.2307692307692306,0.1428571428571428,0.2307692307692306,0.1999999999999999,0.1999999999999999,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.6000000000000001,0.6000000000000001,0.5,0.4117647058823528,0.1707317073170731,-0.2727272727272728,0.263157894736842,0.3333333333333332,0.4545454545454543,0.4117647058823528,0.3333333333333332,0.5,0.6551724137931034,0.6551724137931034,0.714285714285714,0.5483870967741935,0.7777777777777777,0.846153846153846,1.0869565217391304,1.0869565217391304,1.0,0.92,0.846153846153846,1.0,1.4,1.4,1.4,1.4,1.2857142857142856,1.1818181818181817,1.0869565217391304,1.0869565217391304,0.846153846153846,0.7777777777777777,0.6551724137931034,0.6000000000000001,0.5
BAMD-L^J98,9.0,0.2759953027639453,2.6699341058174304e-07,0.02715462227147,0.0986578295405205,0.0395259229089878,0.0278210901288391,1.0,0.070531720444922,0.0885401189833655,3.4543128709336745e-08,0.010325235692532,8.078668125871196e-09,0.0523024445707789,0.0991182176650628,5.43338440256437e-07,0.3986491402053094,1.022246378153379,-0.0504828825837672,-0.6329725441464642,0.0308760953709526,0.1509468879156127,0.803329343816466,-0.0025252525252524,0.0206185567010308,0.4042553191489362,0.6638655462184875,0.528957528957529,0.4666666666666665,0.4244604316546763,0.7142857142857142,0.5714285714285714,0.5714285714285714,0.32,0.4452554744525545,0.3026315789473683,0.2857142857142856,0.3112582781456954,0.3702422145328718,0.2452830188679244,0.4092526690391458,0.6923076923076923,0.596774193548387,0.596774193548387,0.596774193548387,0.7678571428571426,0.7918552036199096,0.8767772511848342,0.7999999999999998,0.8504672897196262,0.8591549295774648,0.98,0.9038461538461536,0.8767772511848342,0.9507389162561576,0.9223300970873788,0.9411764705882352,0.9317073170731708,0.9603960396039604,1.4444444444444442,1.3855421686746987,1.5222929936305731,1.7310344827586208,1.675675675675676,1.4444444444444442,1.2372881355932202,1.4,1.5063291139240509,1.3571428571428572,1.1758241758241756,1.2372881355932202,1.4146341463414631
BBIO-L^E18,9.0,-0.0167079702614118,1.034773237103158e-07,0.010524183472895,0.2022552849583021,0.0809872096094927,-0.2850923592062784,1.0,0.1057007125890736,-0.236072807501379,5.155187968239559e-08,0.0235801523640559,9.509402074569498e-07,0.1071658478739622,0.105364137820769,3.498430095837933e-07,0.0787306341070091,8.140732908044006,-0.1495289040013775,-0.155822604587185,-0.0135746606334841,-0.0135746606334841,0.7130810083708088,-0.0703703703703703,-0.1137855579868709,-0.5339470655926353,-0.4921630094043887,-0.4486044928522804,-0.3414634146341464,-0.3504410585404972,-0.372579395817196,-0.3937125748502994,-0.417685118619698,-0.3294701986754967,-0.2300380228136882,-0.2058823529411764,-0.2387218045112782,-0.150943396226415,-0.1818181818181818,-0.1437632135306554,-0.182643794147326,-0.1908091908091908,-0.2682926829268293,-0.2944250871080139,-0.2950391644908616,-0.2300380228136882,-0.194831013916501,-0.1801619433198381,-0.1759918616480162,-0.1734693877551021,-0.1623578076525336,-0.0425531914893618,-0.032258064516129,0.0397946084724005,0.0012360939431397,0.0049627791563273,-0.0205562273276904,0.0331632653061224,0.1218836565096952,0.2519319938176199,0.2836767036450078,0.2480739599383665,0.2980769230769229,0.416083916083916,0.4727272727272726,0.3775510204081631,0.2939297124600639,0.3410596026490065,0.3213703099510603,0.289808917197452,0.302250803858521,0.4542190305206461
BBOU-L,10.0,1.2083706642774863,1.7778210924089714e-07,0.0180813676732435,0.2423352069494123,2.0763047607516776,0.1403066250268536,1.0,0.1859614105123087,0.0895953757225433,5.2580119841803796e-08,0.2798101089081262,2.634610984326512e-05,2.7474580394064705,0.3203634967362089,4.751073609023975e-07,2.3903533370723498,38.69309511565493,1.04674508425497,1.956056510597436,2.1536997885835096,2.1536997885835096,1.078286174020577,0.390625,0.0,0.0301810865191147,-0.0077519379844961,-0.0096711798839458,0.0039215686274509,-0.0857142857142856,-0.0622710622710622,-0.0656934306569343,-0.129251700680272,-0.0656934306569343,-0.1172413793103447,-0.1452420701168614,-0.1001757469244288,0.0199203187250998,0.024,0.1203501094091903,0.1797235023041474,0.1179039301310043,0.1531531531531531,0.1662870159453304,0.1082251082251082,0.0711297071129706,0.1058315334773218,0.0824524312896404,0.1058315334773218,0.0600414078674949,0.1010752688172043,0.1154684095860567,0.1154684095860567,0.0801687763713079,0.1130434782608695,0.0118577075098815,-0.0115830115830115,0.0281124497991966,0.032258064516129,0.0600414078674949,0.0688935281837161,0.0940170940170941,0.1252747252747252,0.2161520190023753,0.2161520190023753,0.1377777777777777,0.1327433628318586,0.091684434968017,0.130242825607064,0.0513347022587269,0.147982062780269,0.1689497716894978
BBQS-L^G99,9.0,-0.0462548492987168,4.33051229244433e-07,0.0440435684487729,0.1215626864986457,0.0046023970193335,0.0170129961220975,1.0,0.1156758803483528,-0.0216284987277355,5.7359377011198353e-08,-0.0581029479150742,1.1335017900766842e-06,0.0060900947348069,-0.0475678901820352,8.499324237353585e-07,-0.0582100196113388,1.8900967408406733,-0.0058222356646134,-0.0063231887698314,0.0375047657381329,-0.0358355925337322,0.8481286082911909,0.0240963855421687,-0.0777777777777778,-0.0777777777777778,-0.0879120879120879,0.0,0.1527777777777776,0.1216216216216214,0.0779220779220779,-0.0235294117647059,-0.0119047619047618,0.0246913580246912,0.0440251572327043,0.0121951219512195,-0.0568181818181818,-0.0879120879120879,-0.1354166666666666,-0.1530612244897959,-0.1075268817204302,-0.17,-0.0879120879120879,-0.0568181818181818,-0.0828729281767957,-0.1075268817204302,-0.0828729281767957,-0.0514285714285714,-0.0879120879120879,-0.0726256983240224,-0.1027027027027027,-0.0348837209302326,-0.0674157303370787,-0.0177514792899408,0.0709677419354837,0.0,-0.0621468926553673,-0.1354166666666666,-0.1573604060913705,-0.0726256983240224,-0.0978260869565218,-0.1027027027027027,-0.1075268817204302,-0.0726256983240224,-0.0514285714285714,-0.0726256983240224,0.0246913580246912,-0.0059880239520958,-0.0404624277456647,-0.0726256983240224,-0.0235294117647059,0.0849673202614378
BBTK-L^C11,9.0,0.1416139240506329,0.0006523528278973,66.34768472629992,0.1980542043085476,0.0640439373589806,0.0584669111109918,1.0,0.1200607902735562,0.0098743267504488,2.7833720656952356e-05,0.014407092722568,6.172028372883022e-08,0.0847457627118643,0.1922468354430379,0.0009335893803686,0.2697160883280757,0.0026222186519999,-0.1535209828612296,-0.1789052069425901,-0.1789052069425901,-0.0360480640854472,3.505023182274258,-0.088235294117647,-0.1282051282051282,-0.1282051282051282,-0.1282051282051282,-0.1052631578947368,-0.1282051282051282,-0.8740740740740741,-0.15,-0.15,-0.2608695652173912,-0.1904761904761903,-0.1707317073170731,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.1904761904761903,-0.2272727272727271,-0.2272727272727271,-0.2272727272727271,-0.3199999999999999,-0.2093023255813952,-0.1707317073170731,-0.1707317073170731,-0.1707317073170731,-0.1707317073170731,-0.1707317073170731,-0.1282051282051282,-0.1282051282051282,-0.15,-0.15,-0.7777777777777778,-0.7951807228915663,-0.8068181818181818,-0.8057142857142857,-0.8023255813953488,-0.7951807228915663,-0.8045977011494253,-0.7914110429447853,-0.7792207792207793,-0.7671232876712328,-0.7687074829931972,-0.7687074829931972,-0.7687074829931972,-0.7733333333333333,-0.7718120805369127,-0.7748344370860927,-0.75
BBTU-L^C18,9.0,0.1005559506108991,5.137021922283882e-07,0.0522461919925068,0.127089215590822,0.0085016321742118,-0.0870031070706646,1.0,0.0233869283775318,-0.0284094196609384,4.6194039439308376e-08,0.0828165633126624,1.7243116923754874e-06,0.0112497346760688,0.0565324196780658,5.268567862409065e-07,0.2671620925612539,4.97038392038455,-0.1654510686266151,-0.0138922145434006,-0.0439385948620132,-0.0021963081106521,0.5465786494412437,-0.1383647798742138,-0.0479041916167664,-0.064705882352941,-0.059171597633136,0.0324675324675325,0.0965517241379312,0.2045454545454545,0.1563636363636364,0.1954887218045113,0.1521739130434785,0.2091254752851712,0.3140495867768595,0.282258064516129,0.3305439330543933,0.3648068669527897,0.4324324324324324,0.3886462882096071,0.3648068669527897,0.3766233766233766,0.5588235294117647,0.6060606060606062,0.5142857142857142,0.528846153846154,0.6736842105263159,0.7569060773480663,0.6562500000000002,0.6476683937823835,0.6825396825396828,0.7096774193548387,0.8816568047337279,1.1780821917808222,1.2237762237762242,0.9509202453987732,0.8816568047337279,0.91566265060241,0.8596491228070178,0.8596491228070178,0.7569060773480663,0.7865168539325844,0.8596491228070178,0.8068181818181819,0.892857142857143,0.8596491228070178,1.0254777070063694,1.12,1.0921052631578947,0.9041916167664672,0.8488372093023258,1.064935064935065
BBVN-L^I99,10.0,-0.0498678996036988,1.1256575907864545e-07,0.0114485247475651,0.144223693892568,0.008362458378103,0.0133762802699905,1.0,0.2065404475043029,-0.0444203683640302,2.2206850430481076e-08,-0.0413209144792546,1.407628440635198e-08,0.0110655737704918,-0.0260898282694847,2.526986428296122e-07,-0.0557939914163089,1.1914099148151167,0.1264264742041395,-0.0294089333846746,0.0057132126397269,0.0165094339622642,0.9304160431801544,0.0610328638497652,-0.0273972602739726,0.0544554455445545,0.1513513513513511,0.1899441340782122,0.3653846153846152,0.3067484662576687,0.401315789473684,0.401315789473684,0.2678571428571428,0.2987804878048781,0.2678571428571428,0.2241379310344826,0.2241379310344826,0.1833333333333333,0.2033898305084744,0.2678571428571428,0.2754491017964071,0.2831325301204819,0.2831325301204819,0.3653846153846152,0.3831168831168829,0.3481012658227846,0.401315789473684,0.401315789473684,0.401315789473684,0.4589041095890411,0.704,0.8849557522123894,0.717741935483871,0.6640624999999998,0.6259541984732824,0.6259541984732824,0.6136363636363635,0.6511627906976742,0.7459016393442623,0.936363636363636,0.901785714285714,0.9541284403669724,1.13,1.21875,1.3152173913043477,1.3406593406593403,1.5662650602409638,1.4767441860465116,1.4767441860465116,1.2421052631578946,1.4767441860465116,1.3152173913043477
BBXK-L,10.0,0.1163968645539872,3.432137074099418e-07,0.0349066239604981,0.4091329456010193,0.0342249343995179,-0.0110152860104433,1.0,0.0398735541346361,0.1184509747643123,5.615891706583377e-08,0.0541975887659317,8.045549843369103e-06,0.0452879427633122,0.1006612462959989,1.736597131416879e-07,0.1131280670517219,22.44307414494647,-0.1158504725391714,-0.0726058315186976,1.051186574682156,0.051186574682156,0.6485438178825538,-0.0653357531760434,0.0036429872495444,-0.0434027777777777,-0.0661016949152543,-0.0400696864111499,-0.0417391304347826,-0.0801335559265443,-0.1253968253968254,-0.0967213114754098,-0.1523076923076923,-0.0816666666666666,-0.0723905723905724,0.0846456692913384,0.0954274353876738,0.1176470588235294,0.1384297520661157,0.1086519114688129,0.1244897959183672,0.1221995926680243,0.0998003992015967,0.0782778864970645,0.0846456692913384,0.1199186991869918,0.136082474226804,0.1575630252100841,0.1926406926406925,0.2579908675799087,0.3026004728132385,0.2873831775700932,0.2754629629629628,0.2244444444444444,0.2551252847380409,0.3213429256594724,0.2695852534562211,0.263761467889908,0.2551252847380409,0.3638613861386137,0.3181818181818181,0.3026004728132385,0.3181818181818181,0.4576719576719577,0.4237726098191214,0.3844221105527639,0.3774999999999999,0.3245192307692306,0.3844221105527639,0.2813953488372094,0.3087885985748217,0.3809523809523809
BCPS-L^C06,9.0,0.0151417170076181,2.8320602049921388e-05,2.8803529251550053,0.1390707569830485,-0.0177454008358646,-0.0532761311890617,1.0,0.0450979373408842,0.0821036548590729,3.504165452615398e-06,-0.0437375745526743,4.146147327753146e-06,-0.0234814970858787,-0.0438636614564439,3.772397216540823e-05,-0.0312652002377992,0.1444969096733952,-0.2159866155778414,0.5035264181005197,0.0528252196612706,-0.1654538274947819,0.4456497263880919,0.0980392156862743,-0.0254777070063694,-0.0555555555555555,-0.0254777070063694,0.0928571428571429,-0.7814285714285714,-0.9796,0.2644628099173554,0.3421052631578949,0.2750000000000001,-0.766412213740458,0.3660714285714284,0.3909090909090909,0.2966101694915255,0.3189655172413794,0.3421052631578949,0.2439024390243902,0.5,-0.7406779661016949,-0.7406779661016949,0.2338709677419355,0.2750000000000001,0.5148514851485149,0.5454545454545454,-0.0316455696202532,0.471153846153846,-0.1156069364161849,0.4433962264150943,0.471153846153846,0.471153846153846,-0.6785714285714286,-0.6838842975206612,-0.6845360824742268,-0.6799163179916319,-0.971132075471698,-0.7352941176470589,-0.7375643224699828,-0.7552,-0.7357512953367875,-0.7352941176470589,-0.7301587301587302,-0.7357512953367875,-0.7491803278688525,-0.7479406919275123,-0.7601880877742947,-0.7504078303425775,-0.775330396475771,-0.7671232876712328,-0.7609375
BCUB-L^L00,9.0,0.1094408653463772,1.864662368349185e-07,0.0189645887387339,0.2050718954248366,0.0950904023568443,0.0392047161471791,1.0,0.1261061946902655,0.2098613251155624,7.148030729407854e-08,-0.022622728301031,3.439509947084423e-07,0.1258278145695364,0.0450966356478168,4.7063014284187654e-07,0.0751953124999999,3.201466916126204,0.0618327498858471,0.023510639213964,0.0978421900161031,0.0978421900161031,0.7255681412362883,-0.1104033970276007,-0.2149999999999999,-0.1212686567164179,-0.1229050279329608,-0.1389396709323582,0.0778032036613272,0.0150862068965518,-0.0348360655737705,-0.1129943502824858,-0.2980625931445604,-0.2016949152542373,-0.119626168224299,-0.0889748549323017,-0.1648936170212765,-0.1179775280898876,-0.1277777777777778,-0.1129943502824858,-0.1498194945848375,-0.1907216494845361,-0.1436363636363636,-0.1707746478873238,-0.2070707070707071,-0.1436363636363636,-0.1028571428571428,-0.1325966850828729,-0.109640831758034,-0.1325966850828729,-0.0561122244488978,-0.0328542094455852,-0.0228215767634855,0.0261437908496733,0.0656108597285067,0.0902777777777776,0.0443458980044346,0.0979020979020979,0.13768115942029,0.1834170854271357,0.2233766233766232,0.2975206611570249,0.2593582887700534,0.3731778425655976,0.3852941176470588,0.2329842931937173,0.2593582887700534,0.3193277310924369,0.3573487031700286,0.2729729729729728,0.2170542635658914,0.341880341880342
