firms,age,agr,bm,bm_ia,cash,cashdebt,chatoia,chpmia,convind,egr,ep,grltnoa,herf,lev,lgr,ms,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ-L^I10,15.0,-0.0453556049779965,6.327844388702188e-07,0.0941318197205785,0.1032367592753228,0.0782982849524271,1.1036505030358987,-0.3416950700912282,1.0,-0.0103374292958844,2.0011345008994213e-08,-0.041529988500877,1.0399291515125331e-09,9.175575820111552e-07,-0.0656279001611878,5.0,0.1108524606558668,-0.0119100378814222,0.2032410433224542,-0.0361363743620513,0.1052631578947367,0.1176470588235294,0.3103448275862071,0.1875,0.3103448275862071,0.2258064516129032,-0.0256410256410256,0.1176470588235294,0.4615384615384614,0.1176470588235294,0.1515151515151513,0.0555555555555555,-0.1914893617021276,-0.24,-0.24,-0.2549019607843137,-0.3214285714285715,-0.4647887323943661,-0.5,-0.3090909090909092,-0.2830188679245283,-0.4722222222222222,-0.4722222222222222,-0.6274509803921569,-0.6274509803921569,-0.6695652173913043,-0.6310679611650485,-0.75,-0.7956989247311828,-0.7682926829268293,-0.7934782608695652,-0.8118811881188119,-0.8,-0.8118811881188119,-0.7978723404255319,-0.8010471204188482,-0.7625,-0.7054263565891473,-0.7007874015748031,-0.7532467532467533,-0.6607142857142858,-0.6122448979591837,-0.6122448979591837,-0.5308641975308642,-0.525,-0.5529411764705883,-0.5128205128205128,-0.5189873417721519,-0.4864864864864865
BAOH-L,22.0,0.1959692863476836,8.740930994063105e-07,0.130028440963593,0.0815905869895637,0.6080551500126475,1.0698906761153468,0.0780176294553372,1.0,0.2905643296226703,2.285154917638788e-07,0.1376841288636415,6.390701819332699e-08,5.613603508749464e-07,0.0560487972747959,3.0,1.1085965742387118,0.3694991004798192,-0.0995035045318643,0.405811102904874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2123287671232877,-0.0836653386454183,-0.2255892255892256,-0.1901408450704225,-0.1756272401433692,-0.1958041958041958,0.0454545454545451,0.1979166666666665,0.0313901345291478,-0.0725806451612903
BBIO-L^E18,14.0,-0.0301596688350088,6.006196328783238e-07,0.0893470438427422,0.0536836093660765,0.1373815676141257,1.2234553821153802,-0.0478776987511023,1.0,-0.083011583011583,6.322311925034987e-08,-0.0924647253076932,5.557443704025833e-07,1.466776366608117e-06,-0.0017211703958691,4.0,1.6820209254804808,-0.0071835884460138,-0.037004662004662,-0.037004662004662,0.0236966824644551,0.0549999999999999,0.3187499999999998,0.2339181286549707,0.0876288659793813,0.0497512437810945,-0.109704641350211,-0.0186046511627907,-0.1171548117154812,-0.2214022140221402,-0.1692913385826772,-0.3258785942492013,-0.3682634730538922,-0.3567073170731707,-0.3884057971014493,-0.2895622895622897,-0.2299270072992701,-0.2037735849056604,-0.2622377622377623,-0.2299270072992701,-0.182170542635659,-0.305921052631579,-0.6998577524893315,-0.6959654178674353,-0.7245430809399478,-0.7216358839050132,-0.7077562326869806,-0.7375621890547264,-0.7460890493381469,-0.7015558698727016,-0.7208994708994709,-0.737888198757764,-0.6812688821752266,-0.7623873873873874,-0.7511792452830188,-0.7560693641618497,-0.7718918918918919,-0.7623873873873874,-0.7318932655654384,-0.7404674046740467,-0.7245430809399478,-0.7835897435897436,-0.7870837537840565,-0.7860040567951319,-0.7833675564681725,-0.7870837537840565,-0.8046296296296297,-0.8092224231464737,-0.7908820614469771
BBOU-L,15.0,-0.1241550857081057,2.478984759578201e-07,0.0368769097570264,0.073532135580663,0.0310803055052757,0.5443078254796946,0.3228790012650681,1.0,-0.1744709215130811,3.80304484715267e-09,-0.1122513692706832,4.533943804606109e-06,5.361292433209699e-07,-0.1024545530702856,4.0,21.251493608067648,-0.1101601156594988,-0.1632689239496543,-0.1632689239496543,-0.0212765957446807,-0.0366032210834553,0.0030487804878049,0.0378548895899053,0.0217391304347824,-0.0251851851851852,0.0015220700152207,-0.0986301369863013,-0.175438596491228,-0.1607142857142857,-0.1071913161465399,-0.2267920094007049,-0.2348837209302324,-0.2729281767955801,-0.2832244008714596,-0.2436781609195402,-0.2240566037735849,-0.1617834394904458,-0.1167785234899329,-0.0599999999999999,-0.0599999999999999,-0.0422125181950508,-0.1071913161465399,-0.175438596491228,-0.1421121251629725,-0.0924137931034482,-0.0810055865921788,-0.0810055865921788,0.0061162079510703,-0.1226666666666667,-0.0899031811894882,0.0,0.0840197693574957,0.1403812824956674,0.1305841924398625,0.0930232558139536,0.1443478260869566,0.2653846153846153,0.302970297029703,0.3765690376569037,0.4622222222222223,0.321285140562249,0.1646017699115043,0.0858085808580859,0.0894039735099336,0.0362204724409449,0.0527999999999999,-0.0380116959064327,-0.0208333333333332
BBTK-L^C11,11.0,0.1364296081277213,0.0005626470656966,83.69831636352127,0.1020806241872561,0.1818181818181818,0.272174656195474,-2.6067452989116617,1.0,0.8411764705882353,6.651099498650905e-05,0.1253396739130146,1.795167736733788e-08,0.0007477992949834,-0.108730583824317,3.0,0.0023663314940742,-0.4155844155844156,0.3563049853372434,0.2272727272727272,0.0,0.0,-0.1999999999999999,-0.2727272727272727,-0.1999999999999999,-0.0476190476190475,0.0810810810810811,0.0810810810810811,0.0,0.5384615384615385,0.5384615384615385,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,0.0,0.0,0.6666666666666667,0.0,0.0,0.0526315789473683,0.142857142857143,0.3333333333333335,0.6000000000000001,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.6000000000000001,0.6000000000000001,1.0,0.4814814814814814,0.8181818181818183,0.25,1.5,1.5,0.8181818181818183,0.0,0.0,0.0,0.1111111111111111,0.1764705882352941,0.3793103448275863,0.3793103448275863
BBTU-L^C18,14.0,0.0019354966128809,8.51149145718394e-07,0.1266153416843435,0.0606577296958294,0.1224645846748229,1.5378414055096945,0.0396822402482186,1.0,-0.0811946738079296,3.3525001772416195e-08,-0.0981216210883429,1.5273365517686262e-06,8.955964759202614e-07,0.0966122431759692,4.0,3.086393844143907,0.4542754470554941,0.5633331123156909,0.3164976692777163,0.0165745856353591,0.1753246753246753,0.3115942028985508,0.1907894736842106,0.124223602484472,0.0838323353293413,0.0055555555555555,0.0342857142857142,0.1455696202531644,-0.0670103092783505,-0.0473684210526315,-0.1772727272727273,-0.2642276422764227,-0.2874015748031495,-0.2730923694779117,-0.1919642857142858,-0.1380952380952381,-0.1421800947867297,-0.1213592233009708,0.0168539325842695,-0.0163043478260869,-0.2458333333333332,-0.2672064777327936,-0.2642276422764227,-0.2520661157024793,-0.1846846846846846,-0.1213592233009708,-0.2130434782608694,-0.2489626556016597,-0.1339712918660286,-0.0670103092783505,-0.0572916666666666,-0.0670103092783505,-0.1658986175115206,-0.180995475113122,-0.1883408071748878,-0.276,-0.3296296296296296,-0.3558718861209964,-0.3038461538461539,0.0647058823529411,-0.0858585858585858,-0.1298076923076923,-0.0621761658031086,-0.1380952380952381,-0.2520661157024793,-0.2672064777327936,-0.2817460317460317,-0.336996336996337
BBXK-L,15.0,-0.0606907483106698,1.10109935866931e-05,1.6379746396697028,0.06985212487233,0.1827750951687488,1.4354097889616697,-0.0971007103100098,1.0,-0.0139226949664103,1.7413054299651244e-06,-0.0333096738577023,3.3193558835226592e-06,1.3471289645805116e-05,-0.0957454571991533,3.0,0.2934443493428573,-0.1193580391801135,0.9928460800944022,-0.0071539199055977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536231884,0.0144927536231884,0.0,0.0144927536231884,0.0144927536231884,-0.8153034300791557,-0.8209718670076727,-0.8181818181818182,-0.8186528497409327,-0.8128342245989305,-0.8060941828254847,-0.7965116279069767,-0.7619047619047619,-0.7254901960784313,-0.7426470588235294,-0.717741935483871,-0.7307692307692308,-0.7188755020080322,-0.7348484848484849,-0.7407407407407407,-0.7021276595744681,-0.6875,-0.6236559139784947,-0.6428571428571428,-0.6391752577319587,-0.6517412935323383,-0.6682464454976303,-0.6818181818181819,-0.7071129707112971,-0.7318007662835249,-0.7021276595744681,-0.7318007662835249,-0.7307692307692308,-0.7526501766784452,-0.7627118644067796,-0.7154471544715447,-0.7526501766784452,-0.7777777777777778,-0.8267326732673268,-0.8167539267015707,-0.8087431693989071,-0.8205128205128205
BCPS-L^C06,14.0,-0.0591419037860276,4.825823056595464e-06,0.7178803365928267,0.017149984409105,-0.0251341558501123,0.940794727457314,0.2752799810714048,1.0,-0.2115249472944483,-7.02641713879602e-07,0.031406099822658,3.643651404745931e-07,8.76874962463214e-06,0.0588290840415485,3.0,0.2719702881174378,0.0060827359016667,-0.3227922330995885,0.0808158319870759,-0.0835230677052126,0.0389691235059761,46.68571428571429,51.48427672955975,0.0674085443847529,0.0955756859656031,0.009313014029995,-0.0112559241706161,-0.0330243337195828,-0.0380403458213256,0.0173107399731806,0.0292303897385299,0.080398757120663,0.0744174069782412,0.0730358750160731,0.0072420036210019,35.92477876106195,34.063025210084035,-0.0251168224299064,48.67261904761905,-0.0282952957615276,-0.0844761382336807,-0.0523506699977288,59.47101449275363,-0.004889100882423,-0.0175417942076759,65.76,-0.112422888747075,-0.1127060074428495,25.32492113564669,-0.1147767052084437,55.38513513513514,-0.0511654349061967,-0.0769826346643069,-0.0885757972913936,-0.0923428322819229,61.276119402985074,70.32478632478633,-0.0764718902169101,64.1953125,53.188311688311686,46.41477272727273,51.81645569620253,52.83870967741935,51.15625,46.95977011494253,47.236994219653184,48.08823529411765,49.57575757575758
BCQE-L^A14,15.0,-0.3612873278663159,-1.4718490997427838e-07,-0.0218949496230104,0.0959302325581395,-0.2294919944653093,1.0942064122634472,0.3883959234944165,1.0,-1.7152777777777777,-2.060588739639897e-06,-0.2994995751108946,1.2811307589164226e-06,5.780222920834524e-06,-0.3339370986332949,3.0,0.7441855816535476,0.1262894852642191,-0.0041225284052262,-0.2802639127940333,0.1111111111111111,0.2857142857142856,0.7999999999999998,0.1999999999999999,-0.6538461538461539,-0.6603773584905661,-0.7272727272727273,-0.7096774193548387,-0.7,-0.7567567567567568,-0.7313432835820896,-0.8,-0.8301886792452831,-0.8333333333333334,-0.8548387096774194,-0.8200000000000001,-0.8448275862068966,-0.8487394957983193,-0.825242718446602,-0.71875,-0.5384615384615385,-0.7954545454545454,-0.797752808988764,-0.8676470588235294,-0.8775510204081632,-0.8783783783783784,-0.8676470588235294,-0.8867924528301887,-0.9016393442622952,-0.8846153846153846,-0.8941176470588236,-0.8888888888888888,-0.8775510204081632,-0.931297709923664,-0.926829268292683,-0.928,-0.923728813559322,-0.9415584415584416,-0.931818181818182,-0.9359430604982206,-0.9372822299651568,-0.9465875370919882,-0.9395973154362416,-0.9395973154362416,-0.9359430604982206,-0.946268656716418,-0.9454545454545454,-0.9407894736842104,-0.936842105263158
BCYN-L,14.0,-0.0676135523006361,3.854125999621766e-07,0.0573332514978609,0.0278886281268944,0.1383680331048752,0.5104733587396688,0.1325599894781836,1.0,-0.058442871587462,3.5925487195787085e-08,-0.1009876732256335,1.61210988790626e-06,6.177693800510575e-07,-0.0674746969886292,4.0,12.84678264614232,0.0764439528641032,-0.0058283292122924,-0.0058283292122924,-0.073469387755102,0.0328836424957841,0.0040983606557376,-0.0562403697996918,0.0461144321093081,-0.0120967741935483,-0.0747734138972809,0.0689354275741709,0.1801541425818882,0.0792951541850219,0.1835748792270533,0.0074013157894736,-0.0591397849462365,-0.7567513899920572,-0.774940290281095,-0.7854640980735552,-0.7834924001413928,-0.7663996948893974,-0.7672430172905187,-0.7265625,-0.7082638723505597,-0.7475788172264579,-0.7404661016949152,-0.7633764728607302,-0.775805270863836,-0.7845206684256816,-0.7411242603550297,-0.7598510096059596,-0.7468485224219881,-0.7368421052631579,-0.7050325066217192,-0.7201918684330745,-0.6902654867256637,-0.7356495468277946,-0.7149837133550488,-0.7163695299837926,-0.6921337019351597,-0.6963311849281111,-0.7134502923976609,-0.6867808744566607,-0.7283813747228381,-0.7934581015005902,-0.7559760956175299,-0.7070779531324725,-0.706727316255686,-0.725950782997763,-0.7410695413231875,-0.72,-0.6642915867360921
