firms,age,agr,cashdebt,chatoia,chempia,egr,grltnoa,herf,hire,invest,lgr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
0LOG.L^J12,10.0,0.0172852885396911,0.0778037250099675,1.4623633443747024,0.1963225443889432,-0.0339313377642296,0.569775443874325,2.976410091748025e-07,0.0636391406170451,0.0056082362503386,0.0779973961415552,1.7005887899896714,0.2607281973598788,-0.034849548717154,0.0607281973598788,0.2635476453869044,0.0740740740740739,-0.1486486486486488,-0.3482758620689655,-0.3460207612456748,-0.4391691394658754,-0.4553314121037465,-0.4307228915662651,-0.453757225433526,-0.4202453987730061,-0.4821917808219178,-0.4457478005865103,-0.4645892351274787,-0.4112149532710281,-0.4645892351274787,-0.496,-0.496,-0.5286783042394014,-0.5052356020942408,-0.4457478005865103,-0.4919354838709677,-0.5052356020942408,-0.4584527220630373,-0.4324324324324324,-0.4807692307692308,-0.4272727272727272,-0.4184615384615384,-0.3345070422535211,-0.2092050209205022,-0.3321554770318021,-0.3249999999999999,-0.2730769230769231,-0.1888412017167382,-0.3076923076923077,-0.5298507462686567,-0.536764705882353,-0.5356265356265357,-0.4489795918367347,-0.4441176470588235,-0.3863636363636364,-0.3980891719745223,-0.3636363636363637,-0.247011952191235,-0.1168224299065421,-0.1409090909090909,-0.1250000000000001,-0.1126760563380281,-0.1,-0.055,-0.0454545454545455
AB.L^G07,23.0,-0.0865520305231798,0.1055996115876355,1.8466219107935204,-1.259939607882443,0.1247272727272727,0.5321278339251572,1.0569113134980955e-05,-0.4084170471841705,0.0197721214655307,-0.1640172336948447,14.23664936142556,0.1108705928083127,1.04289029724181,0.0428902972418102,0.0027849634632959,0.0269360269360268,0.0,0.1556420233463036,0.1,0.133587786259542,0.1040892193308551,0.087912087912088,0.0607142857142859,0.1165413533834587,0.049469964664311,-0.0294117647058823,0.017123287671233,0.1040892193308551,0.0421052631578948,0.0241379310344829,0.08,0.1467181467181468,0.1739130434782609,0.2857142857142858,0.375,0.3141592920353984,0.4278846153846154,0.4776119402985077,0.3500000000000001,0.3026315789473686,0.4210526315789475,0.2323651452282158,0.3878504672897196,0.3438914027149322,0.2073170731707319,0.2692307692307694,0.3878504672897196,0.2426778242677825,-0.0294117647058823,-0.0450160771704178,-0.0450160771704178,0.0206185567010308,-0.03257328990228,0.0,0.125,-0.0747663551401868,0.1082089552238805,0.2857142857142858,0.2857142857142858,0.2746781115879828,0.375,0.3500000000000001,0.16015625,0.1785714285714286
ABF.L,34.0,0.1704646345072506,0.2077818951826363,1.365327287191685,0.0964041854221905,0.1539159358935591,0.5364657758385601,5.592128964379964e-06,0.03125,0.1472625036993193,0.1930053693223044,4.419301346380872,-0.2802573482610064,0.115615632872984,0.2242149236531259,0.6628531324183046,0.0658227848101264,-0.0124999999999999,0.0206718346253229,0.0259740259740259,-0.0050377833753149,-0.0100250626566416,-0.0527577937649879,-0.0527577937649879,0.0206718346253229,-0.0050377833753149,0.0076530612244898,0.0286458333333334,0.0972222222222223,0.1189801699716714,0.1721068249258159,0.2006079027355622,0.1686390532544379,0.1686390532544379,0.2866449511400653,0.2908496732026144,0.2153846153846155,0.2539682539682539,0.325503355704698,0.25,0.3435374149659864,0.3763066202090592,0.3620689655172415,0.3527397260273974,0.3811188811188812,0.2700964630225082,0.325503355704698,0.3389830508474576,0.3389830508474576,0.0675675675675675,0.1285714285714285,0.0561497326203208,-0.007537688442211,-0.0270935960591132,0.1126760563380282,0.161764705882353,0.1318051575931231,0.1933534743202416,0.2619808306709266,0.1791044776119403,0.348122866894198,0.3079470198675498,0.2421383647798742,0.3344594594594594,0.2267080745341614
ABP.L^H06,17.0,0.0665328901987834,0.1880783301054443,0.3514534898236325,-0.0618583130263994,-0.0002103491796381,0.4193524503109763,3.6610987650876715e-09,-0.0200517464424321,0.0570013168621057,0.1650877465444946,1.947457142681806,0.9895335608646189,0.0773929857847466,-0.0104664391353811,0.468375657052333,-0.030821917808219,0.0503597122302159,-0.4362934362934363,-0.4921739130434782,-0.5108877721943048,-0.5479876160990712,-0.5444617784711389,-0.5092436974789916,-0.5157545605306799,-0.552833078101072,-0.542319749216301,-0.5458786936236392,-0.5157545605306799,-0.48861646234676,-0.5100671140939597,-0.4840989399293286,-0.4500941619585686,-0.4330097087378641,-0.3693304535637148,-0.3979381443298968,-0.4101010101010102,-0.4101010101010102,-0.4206349206349207,-0.4500941619585686,-0.4602587800369686,-0.4840989399293286,-0.4171656686626747,-0.4296875,-0.4028629856850715,-0.3941908713692946,-0.3333333333333333,-0.231578947368421,-0.3582417582417582,-0.5401574803149607,-0.4948096885813149,-0.5401574803149607,-0.5189456342668863,-0.4710144927536231,-0.4004106776180698,-0.4112903225806451,-0.4101010101010102,-0.2474226804123711,-0.0846394984326018,-0.0580645161290322,-0.0234113712374582,0.0318021201413427,0.0174216027874563,0.1018867924528301,-0.0168350168350168
ACOL.L^E98,9.0,0.174024789510589,0.3391953981590578,1.344654304939526,0.0221865140690492,-0.134911774141803,0.2892018551638317,3.708443580660649e-09,0.0071918927754167,0.2149206282258786,0.6701241250455078,0.7639075068910242,0.0890923692902849,0.0623118930295172,0.1126439411271257,0.4936980684933746,-0.0523255813953489,0.1025641025641024,0.1780821917808219,0.1168831168831168,0.131578947368421,0.0817610062893081,0.048780487804878,-0.0057803468208093,0.0817610062893081,0.0683229813664596,-0.0171428571428571,0.0238095238095237,0.0749999999999999,0.186206896551724,0.2285714285714286,0.2285714285714286,0.2554744525547443,0.323076923076923,0.4098360655737705,0.4827586206896552,0.34375,0.303030303030303,0.4700854700854702,0.323076923076923,0.2740740740740739,0.3759999999999999,0.3870967741935482,0.3543307086614173,0.3129770992366412,0.3333333333333332,0.6226415094339621,0.72,0.5087719298245614,0.0117647058823529,-0.4625,-0.4608150470219435,-0.4556962025316455,-0.362962962962963,-0.3409961685823754,-0.3484848484848485,-0.3879003558718861,-0.362962962962963,-0.2773109243697479,-0.2803347280334728,-0.2252252252252252,-0.2181818181818182,-0.2181818181818182,-0.1179487179487179,-0.14
ADWL.L^I93,10.0,0.3206757645511344,0.0606502307892069,2.8840618936097853,1.1676987779015209,-0.7200095073172388,-0.0750867025403222,1.2083750969539587e-09,0.3785166240409207,0.4175928970733311,0.6664507410344326,0.3502633336385009,0.0725213193014576,0.2018815013045726,0.3053152362443316,1.3033629008225092,-0.0465116279069768,0.093220338983051,0.2403846153846154,0.1025641025641026,-0.0373134328358208,-0.1677419354838709,-0.2411764705882352,-0.2275449101796406,-0.1730769230769231,-0.287292817679558,-0.3246073298429318,-0.3827751196172247,-0.2912087912087912,-0.271186440677966,-0.2456140350877192,-0.2752808988764045,-0.2321428571428571,-0.2037037037037037,-0.2181818181818181,-0.2134146341463414,-0.6271676300578035,-0.5993788819875776,-0.5798045602605864,-0.6456043956043955,-0.6485013623978202,-0.6006191950464397,-0.5865384615384616,-0.5728476821192052,-0.5917721518987342,-0.5505226480836237,-0.5520833333333333,-0.4819277108433735,-0.5222222222222223,-0.6055045871559632,-0.5582191780821917,-0.5930599369085173,-0.5981308411214954,-0.575657894736842,-0.5627118644067797,-0.520446096654275,-0.5057471264367815,-0.451063829787234,-0.4266666666666666,-0.42152466367713,-0.4241071428571429,-0.397196261682243,-0.4292035398230087,-0.4189189189189189,-0.4439655172413792
AEGI.L^I93,33.0,-0.0010366959889012,0.0272380016805562,0.4190891808637287,-0.0966022821134003,-0.1594164804836377,0.3079506246281975,2.842983195330268e-07,-0.0313142142410435,-0.0102602411842727,0.0091262009232224,64.3283082059992,0.3213782474680758,-0.440096545609426,0.0547115808014091,1.3033629008225092,0.1382113821138211,0.0165289256198346,0.0,0.0468085106382978,0.0292887029288702,-0.0080645161290322,-0.0820895522388059,-0.1307420494699647,-0.1744966442953019,-0.2215189873417722,-0.2064516129032259,-0.2165605095541402,-0.111913357400722,-0.0538461538461538,0.0379746835443037,-0.0199203187250995,-0.0080645161290322,0.074235807860262,0.3516483516483515,0.248730964467005,0.144186046511628,0.2178217821782178,0.2238805970149255,0.0165289256198346,-0.0610687022900764,-0.0238095238095238,-0.0681818181818182,0.0789473684210526,0.0165289256198346,0.0649350649350648,0.0789473684210526,0.3442622950819671,0.0789473684210526,-0.365979381443299,-0.3011363636363636,-0.3050847457627118,-0.6630136986301369,-0.6238532110091743,-0.6333830104321907,-0.625,-0.6209553158705701,-0.5993485342019544,-0.527831094049904,-0.5296367112810708,-0.508,-0.5314285714285714,-0.5176470588235293,-0.4446952595936794,-0.5591397849462365
AGA.L^I15,26.0,0.0510620915032679,0.0350877192982456,1.3863798654591972,-0.0196180218347224,-0.2485501242750621,-0.3087034455287735,1.3196123557769406e-09,-0.0063593004769475,0.0441176470588234,0.3424657534246575,-0.9069335490516988,-0.0437428717156761,-0.0420564005322156,0.0427316293929713,7.820177404935053,-0.1040268456375839,0.1778656126482214,0.1778656126482214,0.1967871485943773,0.3013100436681222,0.2521008403361344,0.146153846153846,0.2163265306122448,0.2680851063829788,0.0,-0.047923322683706,-0.035598705501618,0.0205479452054795,0.0101694915254235,-0.053968253968254,-0.0745341614906832,-0.0628930817610063,-0.0628930817610063,0.1161048689138577,0.1245283018867924,-0.0033444816053512,0.0604982206405693,0.0567375886524823,-0.047923322683706,-0.0387096774193548,-0.3493449781659389,-0.3521739130434782,-0.3507625272331154,-0.3646055437100214,-0.3318385650224215,-0.3257918552036198,-0.2531328320802005,-0.3069767441860465,-0.4481481481481482,-0.4323809523809524,-0.4356060606060606,-0.3713080168776371,-0.389344262295082,-0.3288288288288289,-0.2853717026378897,-0.2417302798982188,-0.1581920903954802,-0.0387096774193548,-0.053968253968254,-0.0165016501650164,0.0875912408759123,-0.0324675324675325,-0.0628930817610063,-0.1286549707602339
AGDA.L^I14,11.0,0.1386390372024318,0.2554756917793706,0.891183367924375,-1.2597134393495328,0.1493373675087136,0.3572335707858176,2.701149632614953e-07,-0.4083437332857906,0.3855215690862861,0.13303467327987,0.8521050950587272,0.0197539553949082,0.0392868434173497,0.2554848612358372,0.7591979774122083,-0.058865081233812,-0.117414796342477,-0.1753398058252427,-0.2467186945725434,-0.323187250996016,-0.4308496381667114,-0.3789119625621526,-0.3637453183520599,-0.2692704748795596,-0.187177033492823,-0.1152083333333333,-0.1288205128205128,-0.1734137796808097,0.0021236432279376,-0.1152083333333333,-0.133265306122449,0.0021236432279376,0.0263412276462058,0.1515726681127982,0.0684276729559747,0.1103267973856207,0.1401342281879194,0.0111904761904761,-0.117414796342477,-0.0614364640883978,-0.1081478370432591,-0.0536987522281641,-0.1734137796808097,-0.1311374795417349,-0.1652908805031446,-0.3136716224951519,-0.3589433962264151,-0.290748162992652,-0.4683274912368552,-0.5025767158585148,-0.5550083822296731,-0.4346379126730565,-0.38,-0.4820731707317073,-0.4836474164133738,-0.270901287553648,-0.2801694915254237,-0.2347747747747748,-0.3037704918032787,-0.1631527093596059,-0.2278181818181818,-0.0347727272727272,0.1963380281690141,0.1963380281690141
AIE.L^H15,27.0,0.1180584473130679,0.3072821819541479,0.8251963280606252,-0.5775757364501287,0.2681558721740302,0.4027907304999211,2.715280869353644e-10,-0.1872246696035242,-0.0073192607066209,-0.1014473701507841,0.9481833536382448,0.4548819176514893,0.0194383405449602,0.084438177556402,0.3462546978252369,-0.0615384615384615,0.015625,0.0,0.0655737704918033,0.2037037037037037,0.1607142857142856,0.0655737704918033,0.2264150943396226,0.1607142857142856,-0.1216216216216216,-0.1558441558441557,-0.4247787610619468,-0.59375,-0.6153846153846154,-0.6327683615819208,-0.6327683615819208,-0.5578231292517006,-0.6428571428571428,-0.6036585365853658,-0.6107784431137724,-0.6859903381642511,-0.6859903381642511,-0.7018348623853211,-0.7234042553191489,-0.7291666666666666,-0.6829268292682926,-0.6889952153110048,-0.7149122807017543,-0.7198275862068966,-0.7072072072072072,-0.6904761904761905,-0.6542553191489362,-0.6348314606741573,-0.7430830039525691,-0.8761904761904762,-0.8818181818181818,-0.8605150214592274,-0.8410757946210269,-0.8366834170854272,-0.8247978436657681,-0.8174157303370786,-0.8036253776435045,-0.8,-0.8076923076923077,-0.8088235294117647,-0.8088235294117647,-0.7981366459627329,-0.796875,-0.7949526813880126
