firms,age,agr,bm,bm_ia,cash,cashdebt,chatoia,chpmia,convind,egr,ep,grltnoa,herf,lev,lgr,ms,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ-L^J02,11.0,-0.1213491985445963,5.459607418491617e-07,0.0167216065573406,0.1396538587133994,0.0375211167422423,2.694116186632733,0.0194979821416154,1.0,-0.0377122877122876,-9.422888485068585e-08,-0.1292922948073685,1.9068478880454333e-07,7.201070568589254e-07,-0.175669099756691,2.0,1.0024774756130543,0.2415120103933437,-0.4902448695045968,-0.0283804627249357,1.0728055642623069,0.3917910447761192,-0.2071005917159762,-0.2795698924731182,-0.3128205128205128,-0.2094395280235987,-0.1096345514950164,0.0428015564202335,0.0307692307692308,0.0387596899224806,0.0806451612903227,0.4644808743169399,0.0850202429149797,0.0634920634920634,-0.0596491228070175,-0.0289855072463767,0.098360655737705,0.558139534883721,0.5491329479768787,0.8231292517006805,2.35,1.881720430107527,4.583333333333334,5.090909090909091,5.090909090909091,5.536585365853659,5.232558139534884,4.469387755102042,5.7,4.254901960784314,3.962962962962963,4.056603773584905,2.01123595505618,2.01123595505618,0.7402597402597404,0.558139534883721,0.1652173913043479,0.1213389121338912,0.2641509433962263,0.1074380165289257,-0.0428571428571427,0.2761904761904763,0.2126696832579186,0.5952380952380953,0.5141242937853108,-0.0694444444444443,0.0509803921568627,0.1260504201680674,-0.1572327044025157,-0.2596685082872928
BALZ-L^I10,14.0,-0.1812127992406081,7.909524651270183e-07,0.0242251775880742,0.1415381157431505,-0.1180840664711632,0.6226922468552581,-0.1065460758925356,1.0,-0.2502783995680588,-2.263051343561573e-07,-0.0500978577800263,1.1746940980198786e-09,1.2147732080948107e-06,-0.129401258717469,4.0,0.1196997698479909,-0.1642644008841205,-0.3555716397075974,-0.2264079107949389,1.0728055642623069,0.0303030303030302,-0.0833333333333332,-0.2978723404255318,-0.3399999999999999,-0.3399999999999999,-0.3529411764705882,-0.4107142857142857,-0.5352112676056338,-0.5657894736842105,-0.4,-0.3773584905660377,-0.5416666666666666,-0.5416666666666666,-0.6764705882352942,-0.6764705882352942,-0.7130434782608696,-0.6796116504854368,-0.7828947368421053,-0.8225806451612903,-0.7987804878048781,-0.8206521739130435,-0.8366336633663366,-0.8263157894736842,-0.8366336633663366,-0.8244680851063829,-0.8272251308900523,-0.79375,-0.7441860465116279,-0.7401574803149606,-0.7857142857142857,-0.7053571428571428,-0.6632653061224489,-0.6632653061224489,-0.5925925925925926,-0.5875,-0.611764705882353,-0.5769230769230769,-0.5822784810126582,-0.554054054054054,-0.5,-0.5147058823529411,-0.4310344827586206,-0.4406779661016948,-0.4499999999999999,-0.3399999999999999,-0.2826086956521739,-0.2142857142857142,-0.2826086956521739,-0.3124999999999999
BBIO-L^E18,13.0,-0.1343742001535705,5.294845192219235e-07,0.0162169751961356,0.0456316082359488,0.1026288117770767,0.9296300413775466,-0.0304421681770901,1.0,-0.2889498970487302,1.7887990514254178e-08,-0.0740842365207599,6.288961255740922e-07,1.187762570146477e-06,-0.044014808720691,3.0,2.779351776756405,-0.0033464268796865,-0.1677982541222114,-0.1677982541222114,2.911900817283404,0.0669291338582676,-0.1884984025559105,-0.2395209580838323,-0.2256097560975609,-0.263768115942029,-0.1447811447811448,-0.072992700729927,-0.0415094339622641,-0.1118881118881118,-0.072992700729927,-0.0155038759689922,-0.1644736842105263,-0.6386913229018492,-0.6340057636887608,-0.6684073107049608,-0.6649076517150396,-0.6481994459833795,-0.6840796019900497,-0.694344163658243,-0.6407355021216408,-0.664021164021164,-0.684472049689441,-0.6163141993957704,-0.713963963963964,-0.7004716981132075,-0.7063583815028902,-0.7254054054054053,-0.713963963963964,-0.6772554002541296,-0.6875768757687577,-0.6684073107049608,-0.7394871794871795,-0.7436932391523714,-0.742393509127789,-0.7392197125256674,-0.7436932391523714,-0.7648148148148148,-0.7703435804701627,-0.7482656095143707,-0.7608286252354048,-0.7300743889479278,-0.6972586412395709,-0.6684073107049608,-0.681704260651629,-0.60741885625966,-0.6472222222222221,-0.5620689655172413,-0.6208955223880597,-0.6626826029216468
BBOU-L,14.0,0.04883166969147,2.379913514742202e-07,0.0072891646566433,0.0863029254312442,0.1612550471063257,0.6068458524547012,0.0216239036294675,1.0,0.1569307885097358,6.412798122543144e-08,-0.056636678200692,6.796049784169779e-06,4.734048929424706e-07,0.0082777261593039,4.0,35.817847338985096,-0.1576718471794846,-0.120037438577334,-0.120037438577334,0.4193031024203944,0.0637720488466757,-0.1339600470035252,-0.1430232558139534,-0.1856353591160221,-0.1971677559912853,-0.1528735632183907,-0.1308962264150943,-0.0611464968152866,-0.010738255033557,0.0528571428571429,0.0528571428571429,0.0727802037845706,0.0,-0.0764411027568923,-0.0391134289439374,0.0165517241379311,0.0293296089385475,0.0293296089385475,0.1269113149847094,-0.0173333333333333,0.0193637621023512,0.1200607902735562,0.2141680395387148,0.2772963604852687,0.2663230240549827,0.2242524916943522,0.2817391304347827,0.4173076923076924,0.4594059405940593,0.5418410041841004,0.6377777777777778,0.4799196787148594,0.3044247787610619,0.2161716171617163,0.2201986754966887,0.1606299212598425,0.1792,0.077485380116959,0.0967261904761904,0.0264623955431755,0.0902366863905326,0.0681159420289854,0.0483641536273113,0.077485380116959,0.1624605678233439,0.0918518518518518,0.3673469387755104,0.1606299212598425,0.0351123595505618
BBTK-L^C11,11.0,0.1364296081277213,0.0008656108703025,26.511804412772506,0.1020806241872561,0.1818181818181818,0.2873582643941835,0.495084954126938,1.0,0.8411764705882353,0.0001023246076715,0.1253396739130146,1.8838974175851133e-08,0.0011504604538206,-0.108730583824317,3.0,0.002054559187042,-0.4155844155844156,0.3563049853372434,0.2272727272727272,0.4131751159658884,0.0,-0.2352941176470588,-0.2352941176470588,-0.2352941176470588,-0.2352941176470588,-0.2352941176470588,-0.3809523809523809,-0.3809523809523809,-0.3809523809523809,-0.3809523809523809,-0.3809523809523809,-0.35,-0.35,0.0833333333333334,-0.35,-0.35,-0.3157894736842105,-0.2571428571428571,-0.1333333333333333,0.04,-0.0714285714285715,-0.0714285714285715,-0.0714285714285715,0.04,0.04,0.3,-0.037037037037037,0.1818181818181818,-0.1875,0.625,0.625,0.1818181818181818,-0.35,-0.35,-0.35,-0.2777777777777777,-0.2352941176470588,-0.1034482758620688,-0.1034482758620688,-0.0714285714285715,-0.1034482758620688,0.0,0.1818181818181818,0.1818181818181818,0.1304347826086955,0.1304347826086955,0.0,-0.0714285714285715,-0.1612903225806451
BBTU-L^C18,13.0,0.0745087220406604,8.786142781289955e-07,0.0269100709050505,0.0114483440434997,0.1377533193570929,1.0605698949933842,-0.0003591894496195,1.0,0.0755260420833665,4.6764004760938496e-08,0.0276405298961602,9.247977672718864e-07,7.745962298033022e-07,0.0730680429172891,4.0,4.346753047362655,0.062030868777317,-0.1057039092888807,0.0532202960900924,0.4258235922438785,0.0210526315789474,-0.1363636363636364,-0.2276422764227642,-0.2519685039370078,-0.2369477911646587,-0.1517857142857144,-0.0952380952380953,-0.0995260663507109,-0.0776699029126214,0.0674157303370786,0.0326086956521738,-0.2083333333333333,-0.2307692307692308,-0.2276422764227642,-0.2148760330578513,-0.1441441441441442,-0.0776699029126214,-0.1739130434782608,-0.2116182572614109,-0.0909090909090909,-0.0206185567010309,-0.0104166666666666,-0.0206185567010309,-0.1244239631336405,-0.1402714932126697,-0.147982062780269,-0.24,-0.2962962962962964,-0.3238434163701068,-0.2692307692307693,0.1176470588235294,-0.0404040404040404,-0.0865384615384615,-0.0155440414507772,-0.0952380952380953,-0.2148760330578513,-0.2307692307692308,-0.246031746031746,-0.304029304029304,-0.3729372937293729,-0.3262411347517731,-0.3333333333333333,-0.1363636363636364,-0.2148760330578513,-0.188034188034188,-0.15929203539823,-0.0865384615384615,-0.1949152542372881,-0.3065693430656935
BBXK-L,14.0,-0.065146749161619,1.11664608144673e-05,0.3420047451490039,0.113470148216123,0.1127210112972995,1.434478194895519,0.0084524609454866,1.0,-0.3366986696516983,5.544635396142852e-07,-0.1122292685547688,3.533801762963071e-06,1.4897674281048136e-05,0.3556588840522356,2.0,0.3919723812269282,0.3189269395488051,1.0073925480144137,0.0073925480144135,1.2796536959337972,0.0144927536231884,0.0,-0.8179419525065963,-0.8235294117647058,-0.8207792207792208,-0.8212435233160622,-0.8155080213903744,-0.8088642659279779,-0.7994186046511628,-0.7653061224489797,-0.7294117647058824,-0.7463235294117647,-0.7217741935483871,-0.7346153846153847,-0.7228915662650603,-0.7386363636363636,-0.7444444444444445,-0.7063829787234043,-0.6919642857142858,-0.6290322580645162,-0.6479591836734694,-0.6443298969072165,-0.6567164179104478,-0.6729857819905214,-0.6863636363636364,-0.7112970711297071,-0.735632183908046,-0.7063829787234043,-0.735632183908046,-0.7346153846153847,-0.7561837455830389,-0.7661016949152543,-0.7195121951219512,-0.7561837455830389,-0.780952380952381,-0.8292079207920793,-0.8193717277486912,-0.8114754098360656,-0.823076923076923,-0.8372641509433962,-0.8300492610837438,-0.832116788321168,-0.8083333333333333,-0.8325242718446602,-0.8337349397590361,-0.846325167037862,-0.846325167037862,-0.8724584103512015,-0.8660194174757282
BCPS-L^C06,13.0,-0.0099882949668357,5.395874412255422e-06,0.1652640602856477,0.0244872388527224,0.1109114127607245,0.6456381025678285,0.0140036344560384,1.0,-0.017326888065792,4.112488451939385e-07,-0.0191357540585025,3.273298726521464e-07,7.301132054658522e-06,0.0035061120060646,2.0,0.4120716928288677,-0.2816279001455417,0.0263958006576339,-0.3722427868769332,0.4028641180130037,0.0575399244178957,0.0117168228909718,0.0620145002589331,0.0561349298313376,0.0547769062620548,-0.0098974049487023,35.296460176991154,33.46638655462185,-0.0417056074766354,47.82738095238096,-0.0448299953423381,-0.1000548546352166,-0.0684760390642743,58.44202898550725,-0.0218220844264249,-0.0342594772780786,64.624,-0.1275260582854711,-0.1278043593833067,24.876971608832807,-0.1298398217884798,54.42567567567568,-0.0673109721432632,-0.092688861851565,-0.104084753167322,-0.1077876876223623,60.21641791044776,69.11111111111111,-0.0921868083222664,63.0859375,52.26623376623377,45.60795454545455,50.91772151898734,51.92258064516129,50.26875,46.14367816091954,46.41618497109827,47.25294117647059,48.71515151515152,8.074115044247788,8.155133928571427,59.31617647058823,64.10317460317461,10.553521126760565,60.67669172932331,67.9327731092437,68.51694915254238,63.0859375,47.82738095238096
BCQE-L^A14,14.0,-0.1943405634505111,5.56143454114303e-08,0.0017033481194347,0.0833978028779204,-0.0745637635483127,1.1079455937443587,-0.0609992076095163,1.0,-0.8254545454545454,-3.356171261287009e-07,-0.1373835001724995,2.5953690283744454e-06,2.345457775580668e-06,-0.1244232987312572,4.0,3.6780081883474,0.2073769695147286,-0.1192414543501914,-0.1133155284242655,1.0728055642623069,0.1044776119402983,-0.2555555555555555,-0.3679245283018868,-0.3796296296296296,-0.4596774193548386,-0.3299999999999999,-0.4224137931034482,-0.4369747899159663,-0.3495145631067961,0.046875,0.7179487179487181,-0.2386363636363636,-0.247191011235955,-0.5073529411764706,-0.5442176870748299,-0.5472972972972973,-0.5073529411764706,-0.5786163522012578,-0.6338797814207651,-0.5705128205128205,-0.6058823529411764,-0.5864197530864197,-0.5442176870748299,-0.7442748091603053,-0.7276422764227641,-0.732,-0.7161016949152542,-0.7824675324675324,-0.7462121212121212,-0.7615658362989324,-0.7665505226480837,-0.8011869436201781,-0.7751677852348993,-0.7751677852348993,-0.7615658362989324,-0.8,-0.7969696969696969,-0.7796052631578947,-0.7649122807017543,-0.7886435331230284,-0.7589928057553956,-0.7432950191570882,-0.708695652173913,-0.7172995780590717,-0.680952380952381,-0.7351778656126482,-0.6397849462365591,-0.680952380952381,-0.9385321100917432
BCYN-L,13.0,0.0392066420664206,4.093353322192791e-07,0.0125370632917781,0.0420076772651553,0.1798969072164948,0.4904603298950012,-0.026646610360731,1.0,0.0065133319763891,6.216599282035968e-08,-0.0632586895875744,1.7116859697965475e-06,6.624692949951244e-07,0.0646534521750698,5.0,17.160269046549804,0.0246144241729292,0.0892651019622931,0.0892651019622931,0.7128228715937297,0.0966183574879226,-0.1488486842105263,-0.2050691244239632,-0.7944797458300239,-0.8098475105640273,-0.818739054290718,-0.8170731707317074,-0.8026315789473684,-0.8033441003230097,-0.7689732142857143,-0.7535127411288403,-0.7867298578199052,-0.7807203389830508,-0.8000772648251884,-0.8105783308931186,-0.8179419525065963,-0.7812764158918005,-0.7970986081160557,-0.7861128332300062,-0.7776584317937701,-0.7507825668191669,-0.7635906806761078,-0.7383059418457649,-0.7766508416055244,-0.7591903210795719,-0.7603611947210003,-0.7398843930635839,-0.7434308378780368,-0.7578947368421053,-0.7353618000511378,-0.770509977827051,-0.8254931714719271,-0.7938247011952191,-0.7525107604017217,-0.7522145080201101,-0.7684563758389262,-0.7812301838934687,-0.7634285714285715,-0.716360646752535,-0.7639680729760547,-0.7001738122827347,-0.6700669429391138,-0.6491525423728814,-0.6292979942693411,-0.6325878594249201,-0.6516324469875463,-0.6342756183745584,-0.5379464285714286,-0.6276978417266188
