firms,age,agr,chpmia,egr,herf,invest,lgr,mve_ia,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,21.0,0.2936037466713539,-0.0489067897274021,0.4124598002708191,4.3144184966989606e-08,0.0904502713427323,0.1625355519958155,0.187769193403319,0.2208223579741823,-0.0949720670391061,0.2344827586206896,0.2094594594594594,0.1623376623376622,0.1474358974358973,0.098159509202454,0.3984375,0.3769230769230769,0.3769230769230769,0.2430555555555555,0.3161764705882353,0.217687074829932,-0.0677083333333332,-0.2723577235772357,-0.2896825396825396,-0.284,-0.3629893238434164,-0.1352657004830917,-0.0867346938775509,-0.0055555555555555,0.0112994350282487,0.0112994350282487,-0.011049723756906,-0.1476190476190476,-0.0055555555555555,0.1401273885350318,0.0654761904761904,0.0529411764705882,0.1187499999999999,0.1401273885350318,0.1049382716049383,0.1623376623376622,0.1187499999999999,0.1329113924050633,0.1933333333333333,0.3065693430656933,0.3984375,0.5840707964601772,0.6886792452830188,0.7722772277227723,0.8080808080808082,0.7722772277227723,0.7047619047619047,0.6272727272727272,0.7047619047619047,0.8453608247422681,0.8645833333333335,1.2098765432098766,1.0340909090909092
BBOU_00-L,21.0,0.1290946527734448,-0.0505334992788876,-0.0791881074899942,3.503415965836607e-05,0.0486054782554439,0.1947350658116773,11.194230074440432,0.1509270704573547,0.0575916230366491,-0.007276507276507,0.0268817204301075,0.064659977703456,0.132858837485172,0.1717791411042946,0.2088607594936709,0.187810945273632,0.0437158469945355,-0.0062434963579602,0.0790960451977402,-0.0324214792299897,-0.0041710114702814,-0.0544554455445543,0.0876993166287016,0.0622914349276975,-0.0235173824130877,-0.0826128722382324,-0.0973534971644611,-0.0755082284607937,-0.0746124031007751,-0.1157407407407407,-0.1149212233549581,-0.1230486685032139,-0.1230486685032139,-0.0878701050620821,-0.0430861723446893,-0.0834932821497119,-0.1190036900369002,-0.0973534971644611,-0.0746124031007751,-0.0411646586345381,-0.0459540459540458,-0.0469061876247504,-0.0215163934426229,-0.0215163934426229,0.0148777895855474,0.0159574468085106,0.0302049622437974,0.0369163952225841,0.0754504504504505,0.0552486187845304,0.0494505494505495,0.0778781038374718,0.1288416075650118,0.132858837485172,0.1261792452830188,0.1464585834333733,0.1506024096385543
BBTU_63-L^C18,20.0,0.2000926784059315,-0.2573568383062118,-0.2724046140195209,5.551730597015545e-07,-0.1675625579240036,0.0608576284481632,0.4996174878240152,-0.0509311740890689,-0.2331288343558282,-0.0060975609756097,0.065359477124183,0.0382165605095541,-0.0632183908045977,-0.185,0.0061728395061726,0.147887323943662,0.1088435374149658,0.0316455696202531,0.0794701986754966,0.1398601398601398,0.012422360248447,-0.1641025641025641,-0.2238095238095239,-0.2200956937799043,-0.3754789272030652,-0.4115523465703972,-0.4136690647482014,-0.3607843137254902,-0.3754789272030652,-0.4072727272727273,-0.3754789272030652,-0.527536231884058,-0.5630026809651475,-0.5521978021978022,-0.5177514792899409,-0.5630026809651475,-0.5302593659942363,-0.5302593659942363,-0.5219941348973607,-0.527536231884058,-0.578811369509044,-0.5421348314606742,-0.5289017341040463,-0.5342857142857143,-0.5105105105105106,-0.5060606060606061,-0.5060606060606061,-0.5329512893982808,-0.5134328358208955,-0.5434173669467788,-0.8275132275132275,-0.8162344983089065,-0.8156108597285068,-0.814139110604333,-0.7990135635018496,-0.8021844660194175,-0.78748370273794
BCQE_67-L^A14,21.0,0.117937465715853,-0.0850143852483359,0.4668435013262599,2.1081002058565167e-06,0.0987383433900164,0.0152505446623093,1.051859194197825,0.0834914611005692,0.0250696378830084,0.0558823529411764,0.0911854103343463,0.273049645390071,0.2128378378378377,0.391472868217054,0.6620370370370368,0.9617486338797812,0.9834254143646408,0.6543778801843319,0.8894736842105264,0.7949999999999999,0.391472868217054,0.0227920227920228,0.0169971671388102,0.1324921135646688,-0.1025,-0.0323450134770889,0.1469648562300318,0.1396825396825396,0.1732026143790848,0.2640845070422535,0.1770491803278688,-0.124390243902439,-0.0699481865284974,-0.1533018867924529,-0.2442105263157895,-0.2688391038696538,-0.2582644628099173,-0.1307506053268765,-0.0164383561643836,0.0405797101449274,-0.0452127659574468,0.0436046511627907,0.0911854103343463,0.2508710801393727,0.3198529411764703,0.4246031746031744,0.5341880341880343,0.471311475409836,0.3198529411764703,0.296028880866426,0.3054545454545454,0.5020920502092048,0.3968871595330738,0.6620370370370368,0.6620370370370368,1.2298136645962732,1.0514285714285712
BDAJ_H9-L,14.0,-0.0608196721311475,-0.130505427708789,-0.6691729323308271,1.101977650317748e-07,0.0481967213114754,-0.07380073800738,0.1522893610048507,-0.0228293413173651,-0.0112359550561798,0.1410256410256409,0.2027027027027026,0.3692307692307692,0.390625,0.3692307692307692,0.2191780821917808,0.5344827586206897,0.5084745762711866,0.3088235294117647,0.6181818181818182,0.5084745762711866,0.2361111111111111,0.1710526315789473,0.2027027027027026,0.1410256410256409,0.0113636363636364,-0.063157894736842,-0.0824742268041236,-0.053191489361702,-0.0326086956521739,-0.021978021978022,-0.1834862385321101,-0.0824742268041236,-0.4539877300613496,-0.47953216374269,-0.4702380952380952,-0.5082872928176796,-0.5572139303482586,-0.5459183673469388,-0.5679611650485437,-0.7062706270627063,-0.7210031347962382,-0.7261538461538461,-0.7626666666666666,-0.7449856733524356,-0.7286585365853658,-0.7174603174603175,-0.6691449814126393,-0.6763636363636363,-0.6898954703832753,-0.7192429022082019,-0.7311178247734139,-0.7449856733524356,-0.760752688172043,-0.7905882352941176,-0.7968036529680365,-0.7870813397129186,-0.7870813397129186
BJJT_37-L,19.0,-0.0554049516893194,0.1579915829194002,0.1480225988700565,4.801551798479296e-08,0.0002984443587798,-0.0666610291869669,0.5571002247628708,-0.291469681397739,-0.043956043956044,0.2133333333333333,0.4598930481283421,0.365,0.6153846153846154,0.5511363636363635,0.625,0.5780346820809248,0.5337078651685392,0.5337078651685392,0.421875,0.5423728813559321,0.2409090909090907,0.2079646017699117,0.318840579710145,0.2638888888888888,0.074803149606299,-0.0036496350364964,-0.0036496350364964,0.0581395348837208,0.0419847328244273,-0.0108695652173912,-0.0869565217391304,-0.272,-0.272,-0.3140703517587939,-0.3738532110091743,-0.3561320754716981,-0.3809523809523809,-0.4065217391304347,-0.3906250000000001,-0.3906250000000001,-0.3665893271461716,-0.3651162790697674,-0.3242574257425742,-0.3373786407766991,-0.2266288951841359,-0.2017543859649122,-0.1676829268292682,-0.1777108433734939,-0.1676829268292682,-0.2479338842975206,-0.1727272727272727,-0.1442006269592476,-0.0777027027027027,0.0186567164179103,0.0419847328244273,0.1008064516129032,0.06640625
BLNT_37-L^D19,12.0,0.3388293193823754,-0.1496040463033993,0.0358686730506155,1.2310790405665466e-07,0.016106645516526,0.454621978298508,0.4274358784882131,0.1249337605269808,-0.0662525879917185,0.0020746887966804,0.1129032258064517,0.1867321867321867,0.1445497630331753,0.0829596412556055,0.1499999999999999,0.0878378378378377,0.0254777070063694,0.1027397260273972,-0.034,0.0829596412556055,0.1418439716312056,0.0733333333333332,0.1955445544554455,0.2352941176470588,0.2677165354330708,0.288,0.288,0.3416666666666665,0.3999999999999999,0.4548192771084338,0.4289940828402367,0.319672131147541,0.2949061662198391,0.2384615384615385,0.2914438502673797,0.1666666666666667,0.05,0.1258741258741258,0.0733333333333332,0.1338028169014085,0.2166246851385389,0.1499999999999999,0.1838235294117647,0.1694915254237288,0.2321428571428572,0.2258883248730965,0.3529411764705883,0.2075,0.3644067796610168,0.2643979057591623,0.3232876712328767,0.0147058823529413,0.0615384615384615,-0.032064128256513,0.0041580041580042,0.0320512820512821,0.1206496519721578
BLNV_40-L^F19,12.0,-0.2298447561083179,-0.7921395468204209,-0.282674690138315,8.848320209186134e-10,0.0014076328246743,0.0222231342211644,0.0817804802332917,1.201816299642387,0.0,-0.0322580645161291,0.2875536480686695,0.2295081967213115,0.1904761904761904,0.25,0.3392857142857142,0.2931034482758621,0.3761467889908256,0.3574660633484163,0.4423076923076923,0.3636363636363635,-0.0384615384615385,0.2931034482758621,0.4084507042253522,0.075268817204301,-0.1044776119402984,-0.1124260355029586,-0.1428571428571429,-0.1017964071856286,-0.0566037735849057,-0.1176470588235294,0.0714285714285714,-0.1124260355029586,-0.0769230769230768,-0.1428571428571429,-0.1643454038997214,-0.2941176470588235,-0.3258426966292135,-0.3589743589743589,-0.371069182389937,-0.368421052631579,-0.3877551020408164,-0.4140625,-0.4,-0.4,-0.4163424124513618,-0.3478260869565217,-0.375,-0.3333333333333333,-0.25,-0.3150684931506849,-0.3103448275862068,-0.3406593406593406,-0.2682926829268292,-0.2840095465393795,-0.3103448275862068,-0.2248062015503876,-0.3119266055045872
BPVK_29-L,13.0,0.348190861322737,0.0175041867579166,0.4880418554056397,0.0001944526575066,0.0730528615479188,0.2850424294822248,17.481634559152724,0.4774647382742412,-0.0159132007233272,-0.0318627450980392,-0.0061107117181884,0.0210487444608566,0.0733695652173911,0.1892473118279569,0.1402061855670102,0.234375,0.0263548626577578,-0.0149625935162095,0.1425619834710743,0.0225591715976332,0.0941828254847645,0.0105994152046784,0.1345917111202297,0.2981220657276995,0.2683486238532109,0.3147883975273418,0.3728897715988082,0.4723109691160807,0.3261390887290165,0.2777264325323474,0.2063699825479927,0.1866952789699569,0.117171717171717,0.136924342105263,0.092885375494071,0.0402558314522196,0.0305628028326501,0.0191669738297088,0.0172921265636496,-0.0160142348754449,-0.0475370306579401,0.0076530612244896,-0.0432525951557093,-0.1227791878172589,-0.1709145427286357,-0.1950509461426492,-0.1452859350850077,-0.1528799019607843,-0.0345670391061453,-0.0874587458745875,-0.0488476092191263,0.0441842900302114,0.0113386978785661,-0.0226228349240014,0.0263548626577578,0.091160220994475,0.041039156626506
BQMM_18-L^C11,6.0,0.2513365883076066,-4.06631987500747,0.256197748030735,7.953393718644777e-13,0.0039662750646549,0.1348379629629628,0.0014277512275002,-0.2495854506552553,0.25,-0.3333333333333332,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.3333333333333335,0.0,0.0,0.0,0.0,0.0,-0.2,-0.3333333333333332,0.0,-0.2,0.0,-0.3333333333333332,-0.2,-0.2,-0.3333333333333332,-0.2,-0.2,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,0.0,-0.2,-0.2,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.5555555555555556
