firms,age,agr,bm,bm_ia,cashdebt,chatoia,chpmia,convind,depr,egr,ep,grltnoa,herf,invest,lev,lgr,mve_ia,pchsale_pchinvt,pchsale_pchxsga,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BABJ-L^I00,7.0,0.0647325559874144,5.9008333333333336e-05,2.228712055415601,0.1391695478500218,1.18220557534593,0.0307430788394331,1.0,0.1156429942418426,0.1461638070573002,1.125e-05,-0.0312843152634279,1.3904397825630825e-06,-0.0058763649824171,0.000126025,0.0310199072811562,0.0179184317047451,-0.0037237254092889,-0.0012672325541054,0.0388835877862595,1.02741539087275,-0.9183673469387756,11.25,11.40506329113924,10.529411764705884,0.0030706243602867,0.0272536687631028,0.0187110187110188,0.0733844468784228,0.0515021459227469,0.1238532110091743,0.1212814645308926,0.1611374407582939,0.1995104039167687,0.2024539877300613,0.1980440097799511,0.1395348837209302,0.1652794292508919,0.0852713178294575,0.1382113821138213,0.1515863689776735,0.1342592592592593,0.1694510739856802,0.1980440097799511,0.1778846153846154,0.162514827995255,0.1736526946107786,0.2645161290322582,0.2694300518134715,0.2596401028277635,0.2280701754385965,0.3189771197846569,0.3649025069637885,0.384180790960452,0.3387978142076504,0.3066666666666668,0.3668061366806137,0.4040114613180516,0.3297150610583448,0.4736842105263157,0.5360501567398122,0.5605095541401275,0.7915904936014628,0.8317757009345796,0.6554054054054055,0.5555555555555558,0.6554054054054055,0.8215613382899629,0.8738049713193117,0.9066147859922182
BACQ-L^J02,5.0,0.0048186494758089,4.494906087539829e-07,0.0169770112446168,0.225211542633977,1.076740841536515,-0.2640679694392305,1.0,0.0878022568511553,0.023020038167939,3.8780815025993633e-08,-0.0482655580096102,5.281300625859005e-07,-0.0001953506544246,3.59194197551568e-07,-0.0170658253262583,2.849269553477211,0.0686877216686371,-0.0731796242925101,-0.0161290322580644,0.4714594750854479,0.0307692307692308,-0.0298507462686566,0.0236220472440944,0.3,0.1818181818181816,0.25,0.3265306122448981,0.5294117647058825,0.4444444444444444,0.6883116883116884,0.6666666666666667,0.9117647058823528,0.8571428571428574,0.9117647058823528,0.8840579710144929,1.0,1.2413793103448278,1.03125,1.3214285714285712,1.2807017543859651,1.2807017543859651,1.363636363636363,1.3214285714285712,1.363636363636363,1.166666666666667,0.8571428571428574,0.9696969696969696,0.7567567567567568,0.7567567567567568,0.7105263157894737,0.625,0.5116279069767442,0.5476190476190477,0.625,0.6455696202531644,0.7105263157894737,0.8055555555555556,0.8055555555555556,1.03125,1.9545454545454544,2.25,3.0625,2.421052631578948,1.9545454545454544,1.7083333333333337,1.7659574468085109,2.611111111111111,2.25,2.421052631578948
BALZ-L^I10,7.0,0.0677656770007037,5.214492583130995e-07,0.0196948495685343,0.0211752249867654,1.2854794730149373,0.0856428942528149,1.0,0.2180368636629607,-0.252415062101597,-3.1184890301718134e-08,-0.0541111181618371,1.8303296143535127e-09,0.0031968317965478,8.118461348806913e-07,0.4904765912087295,0.0977276675647254,0.0400340651632582,0.0283242241666245,0.0907253094028894,1.4182114291188268,0.0384615384615385,0.1304347826086955,0.1304347826086955,0.0833333333333334,0.04,0.0,0.0833333333333334,0.3,0.3,0.3,0.3,0.2380952380952381,0.1818181818181818,0.1304347826086955,0.1304347826086955,0.0,-0.037037037037037,-0.1034482758620688,-0.1333333333333333,-0.1875,-0.2352941176470588,-0.2571428571428571,-0.2121212121212121,-0.1875,-0.1875,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.1304347826086955,0.3,0.5294117647058822,0.5294117647058822,1.0,0.857142857142857,0.857142857142857,1.0,1.0,2.714285714285714,1.6,1.8888888888888893,1.6,1.3636363636363638,1.3636363636363638,1.166666666666667,2.25,1.8888888888888893,1.6,1.8888888888888893
BAMD-L^J98,7.0,0.1803260872673818,5.012035344302255e-07,0.0189301797949705,0.0891417070187868,0.4571425608567361,-0.1355604814447847,1.0,0.0560997506234413,0.0918002973503957,4.3049969530773925e-08,-0.0087201180521396,5.507885247729598e-09,0.0378938457534583,7.499603900060939e-07,0.2491410591489254,0.4900691071247802,-0.1856084474472362,0.126160324838273,0.1428945847902358,0.713070563554402,-0.0384615384615385,-0.0142180094786729,0.0246305418719212,0.0097087378640776,0.0196078431372548,0.0146341463414634,0.0297029702970297,0.2839506172839505,0.2530120481927711,0.3248407643312101,0.4344827586206898,0.4054054054054055,0.2839506172839505,0.1751412429378531,0.2606060606060607,0.3164556962025315,0.2380952380952381,0.1428571428571428,0.1751412429378531,0.2682926829268293,0.3506493506493506,0.0246305418719212,-0.0325581395348836,-0.0837004405286343,-0.1297071129707113,-0.0796460176991149,-0.0095238095238094,0.0246305418719212,0.0612244897959184,0.1304347826086955,0.1304347826086955,0.0505050505050506,0.0297029702970297,0.149171270718232,0.2023121387283237,0.3419354838709678,0.3419354838709678,0.4054054054054055,0.6507936507936509,0.6000000000000001,1.0,0.9259259259259258,0.6507936507936509,0.5407407407407407,0.3419354838709678,0.4054054054054055,0.6507936507936509,0.368421052631579,0.3081761006289307
BBIO-L^E18,7.0,0.0453905550104518,3.1369600411848775e-07,0.011848124266876,0.1880347730850845,1.0794662243201871,-0.3069314751284631,1.0,0.123462028001697,0.1580395098774694,6.347077431635133e-08,-0.0396279147374084,1.252727980803727e-06,0.030032848427968,4.920170429528473e-07,-0.0111632972568238,4.408740528794024,0.0067006245344186,0.171403125253016,0.171403125253016,0.9111667879717544,0.0107526881720432,0.0744544287548136,0.034610630407911,0.0384615384615383,0.0120918984280531,0.0676020408163264,0.1592797783933517,0.2936630602782071,0.3264659270998415,0.2896764252696455,0.3413461538461537,0.4632867132867131,0.5218181818181817,0.4234693877551019,0.3370607028753993,0.3857615894039734,0.3654159869494289,0.3328025477707004,0.3456591639871382,0.5026929982046677,0.4283276450511943,0.3456591639871382,0.5557620817843865,0.5586592178770948,0.3857615894039734,0.5852272727272725,0.7081632653061221,0.7510460251046023,0.8116883116883116,0.7012195121951219,0.7081632653061221,0.8558758314855874,0.8038793103448276,0.7365145228215766,0.8116883116883116,0.7884615384615383,0.7884615384615383,0.8683035714285712,1.0717821782178216,1.082089552238806,1.174025974025974,1.4617647058823526,1.129770992366412,1.3711048158640224,0.9510489510489508,1.1189873417721516,1.4763313609467454,1.5059880239520955,1.6156249999999996
BBNH-L^L97,7.0,0.139482564679415,0.0007131864242825,26.9366560919172,0.1138646051585868,0.679338706203417,-0.1910083412833794,1.0,0.1084057971014492,-0.1238662131519274,0.0001386687288883,0.0757097791798107,9.635402663438976e-06,-0.0171796707229778,0.0017648537558515,0.2353036175710594,0.0064716450137944,0.0533533507488317,0.031491002570694,0.031491002570694,0.6701697934604773,-0.8718535469107551,-0.0581896551724137,6.945454545454545,0.0022935779816513,-0.0179775280898876,0.0684596577017115,0.146981627296588,0.1291989664082686,0.0952380952380951,0.0979899497487437,0.1063291139240505,0.1530343007915566,0.1972602739726028,0.0737100737100737,0.1560846560846562,0.0479616306954437,0.0870646766169156,-0.0179775280898876,0.0530120481927709,0.0606796116504855,0.0282352941176471,-0.0819327731092436,-0.0331858407079644,-0.0662393162393161,-0.0876826722338204,-0.0819327731092436,0.0479616306954437,0.0710784313725489,0.0504807692307691,-0.0395604395604395,0.0454545454545456,0.0162790697674419,0.0790123456790123,0.0658536585365854,0.0115740740740739,-0.0374449339207048,-0.0090702947845805,-0.0602150537634409,-0.0223713646532437,0.0606796116504855,0.0870646766169156,0.1262886597938144,0.0355450236966825,-0.0395604395604395,-0.146484375,-0.0989690721649483,-0.5073280721533258,-0.5229257641921397,-0.5336179295624333
BBOU-L,7.0,0.0522083226959407,4.608929235838242e-07,0.0174076703580908,0.1949875344442986,0.3933831927264518,0.1633046987419235,1.0,0.0817228050800662,0.0858880162148467,6.398303535519725e-08,-0.0171673819742382,1.8181702693884176e-06,0.0227214705131478,4.135777377749389e-07,0.0188079470198675,13.88579905743374,-0.0145522875613656,0.007514450867052,0.007514450867052,0.5982707037123118,0.0,-0.0316455696202532,-0.0021739130434782,-0.092885375494071,-0.1138996138996139,-0.0783132530120482,-0.0745967741935483,-0.0496894409937889,-0.0417536534446764,-0.0192307692307691,0.0087912087912087,0.0902612826603326,0.0902612826603326,0.02,0.0154867256637167,-0.0213219616204691,0.0132450331125826,-0.0574948665297742,0.0291479820627802,0.047945205479452,-0.0275423728813558,-0.0437499999999999,-0.0171306209850107,-0.1173076923076923,-0.1306818181818182,-0.0397489539748955,-0.0336842105263158,0.0576036866359446,0.0851063829787233,-0.0982318271119843,-0.0150214592274678,-0.0357142857142857,-0.023404255319149,-0.0457380457380457,-0.0783132530120482,0.0177383592017739,-0.0021739130434782,-0.1104651162790698,-0.1774193548387097,-0.1404494382022472,-0.1452513966480447,-0.1206896551724138,-0.1562500000000001,-0.1577981651376147,-0.2388059701492537,-0.2438220757825371,-0.1684782608695652,-0.2220338983050848,-0.1975524475524475
BBQS-L^G99,7.0,-0.2845765986522783,5.456504246164486e-07,0.0206089142107383,0.0124675324675324,1.6344209142888269,0.4144854844105774,1.0,0.1149784904184591,0.0032095369096744,-3.790624522015548e-08,-0.146141801499869,1.7841166690372089e-06,-0.1707742330710145,7.122383970313424e-07,-0.3203775680177679,1.7962749959161564,-0.0700995568488356,0.0339282746827213,-0.1896940116388212,1.4182114291188268,-0.0337078651685394,0.0532544378698225,0.1483870967741936,0.072289156626506,0.0056497175141243,-0.0729166666666666,-0.0964467005076141,-0.0055865921787709,-0.0326086956521739,-0.0378378378378378,-0.0430107526881721,-0.0055865921787709,0.0171428571428571,-0.0055865921787709,0.0987654320987654,0.0658682634730538,0.0289017341040462,-0.0055865921787709,0.0470588235294118,0.1633986928104576,0.1055900621118011,0.0532544378698225,0.0532544378698225,0.0171428571428571,-0.0055865921787709,0.1194968553459119,0.1558441558441559,0.0853658536585366,0.1265822784810126,0.0532544378698225,0.2027027027027026,0.2361111111111111,0.1866666666666667,0.1337579617834394,0.1125,0.1055900621118011,0.2275862068965517,0.3383458646616541,0.5213675213675215,0.6792452830188678,1.0941176470588236,0.78,0.4015748031496062,0.1194968553459119,-0.0055865921787709,-0.0918367346938775,0.0920245398773007,0.1558441558441559,0.072289156626506
BBTK-L^C11,7.0,0.0234593837535014,0.0004885514156218,18.452316277703595,0.1626884422110552,0.1996836223099093,-0.6498052166968066,1.0,0.1245157719977863,0.0037209302325581,1.5394576581226766e-05,-0.0342619830420417,6.070977887778217e-08,0.0161064425770308,0.0007348646409215,0.039718129404228,0.003297842559179,0.1030246913580247,-0.698793490460157,-0.0169753086419753,4.58833109420797,0.0,-0.025,-0.025,-0.7450980392156863,-0.7650602409638554,-0.7784090909090909,-0.7771428571428571,-0.7732558139534884,-0.7650602409638554,-0.7758620689655172,-0.7607361963190183,-0.7467532467532467,-0.7328767123287672,-0.7346938775510203,-0.7346938775510203,-0.7346938775510203,-0.74,-0.738255033557047,-0.7417218543046358,-0.7132352941176471,-0.7310344827586206,-0.74,-0.6776859504132231,-0.6976744186046512,-0.6953125,-0.6637931034482758,-0.6578947368421052,-0.7272727272727273,-0.7328767123287672,-0.7346938775510203,-0.708955223880597,-0.7547169811320755,-0.7483870967741936,-0.743421052631579,-0.7531645569620253,-0.7833333333333333,-0.7621951219512195,-0.7531645569620253,-0.7745664739884393,-0.7758620689655172,-0.7592592592592593,-0.7022900763358779,-0.717391304347826,-0.7664670658682635,-0.8078817733990148,-0.8202764976958525,-0.7891891891891892,-0.8125,-0.842741935483871
BBTU-L^C18,7.0,-0.1368675419147505,8.259558457367344e-07,0.0311958946584004,0.0604902897166507,0.902187834382864,-0.9553775677703384,1.0,0.0276443536024527,-0.0593393898020269,2.7619469189767423e-08,-0.0595817510830496,2.214928026514078e-06,-0.0841782715926359,7.687342075656136e-07,-0.2068506184586108,3.238398161998593,0.7950298353729649,0.0069966514786573,-0.1176645951338087,0.802627169401139,0.1005917159763314,0.1575342465753424,0.1818181818181818,0.0368098159509202,0.0,0.0180722891566265,-0.0116959064327485,-0.0116959064327485,-0.0662983425414365,-0.050561797752809,-0.0116959064327485,-0.0397727272727272,0.0059523809523809,-0.0116959064327485,0.0764331210191082,0.1266666666666667,0.1118421052631577,0.0119760479041917,-0.0174418604651163,0.0974025974025973,0.0368098159509202,-0.0913978494623656,-0.1288659793814432,-0.2028301886792453,-0.1715686274509804,0.0432098765432098,0.1192052980132449,-0.0174418604651163,-0.101063829787234,-0.1633663366336634,-0.1105263157894737,-0.1058201058201058,-0.0558659217877095,0.0368098159509202,-0.0397727272727272,-0.1333333333333333,-0.1913875598086124,-0.0765027322404372,-0.1288659793814432,-0.028735632183908,-0.0174418604651163,0.1818181818181818,-0.0451977401129943,-0.1796116504854369,-0.2808510638297873,-0.3293650793650794,-0.2028301886792453,-0.271551724137931,-0.1952380952380953
