firms,absacc,acc,age,agr,chpmia,currat,depr,egr,herf,invest,pchcurrat,pchdepr,pchquick,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.1764841917473322,-0.1764841917473322,6.0,0.0298417381974248,0.1811304516285359,1.4365733113673806,0.0888360531719442,-0.0172312741765327,7.941294973167713e-06,0.0129425965665234,-0.0515684362707191,-0.0226952104153464,-0.0404549296561423,0.0293202584748197,-8.844370860927153,0.7622970110614262,0.0087158628704241,0.0653846153846153,0.1111111111111111,0.015625,0.1504424778761064,0.1353711790393013,0.1403508771929826,0.1926605504587155,0.1711711711711712,0.1818181818181816,0.0743801652892561,-0.0647482014388488,-0.0151515151515151,-0.1275167785234898,-0.1156462585034012,-0.1390728476821191,-0.1925465838509317,-0.2485549132947976,-0.2307692307692307,-0.1875,-0.1772151898734177,-0.1390728476821191,-0.1034482758620689,-0.0579710144927535,0.0526315789473683,0.5116279069767442,0.7049180327868854,1.139917695473251,0.7931034482758621,0.5116279069767442,0.3866666666666667,0.4325068870523416,0.8705035971223023,0.6613418530351438,0.7747440273037542,0.7931034482758621,0.7508417508417509,0.4484679665738162,0.5294117647058825,0.5476190476190477,0.9771863117870724,0.8637992831541219,0.0420841683366732,-0.1937984496124031,-0.2024539877300613,-0.2024539877300613,0.0420841683366732,0.015625,-0.1216216216216216,0.1328976034858389
BALZ_07-L^I10,0.0668336944745395,-0.0668336944745395,6.0,-0.1022670079136459,0.7735451663268534,2.3278688524590168,0.2589292880648527,-0.0356373315306941,2.239366899953152e-08,-0.0727220157844575,0.1186658019492333,0.3885810181134252,0.1460388588031494,0.0812437596989196,-5.403284671532846,1.6461688452372356,0.0121269587783212,-0.1153846153846154,-0.037037037037037,-0.1034482758620688,-0.1333333333333333,-0.1875,-0.2352941176470588,-0.2571428571428571,-0.2121212121212121,-0.1875,-0.1875,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.1304347826086955,0.3,0.5294117647058822,0.5294117647058822,1.0,0.857142857142857,0.857142857142857,1.0,1.0,2.714285714285714,1.6,1.8888888888888893,1.6,1.3636363636363638,1.3636363636363638,1.166666666666667,2.25,1.8888888888888893,1.6,1.8888888888888893,2.714285714285714,1.3636363636363638,0.857142857142857,0.857142857142857,1.0,1.0,0.857142857142857,0.857142857142857,0.7333333333333334,0.625,0.5294117647058822,0.625,0.5294117647058822,0.2380952380952381,0.0833333333333334
BAMD_17-L^J98,0.0129616455864089,-0.0129616455864089,6.0,0.114155527586152,-0.4154325446527167,1.292787692435543,0.0570751182864121,0.0406553481882606,6.137609636737756e-08,0.0357863208373827,-0.0112082020007852,0.0285345364211516,-0.0286331922898863,0.1153326855082581,-0.4162230181008616,1.2114245943531463,0.1438236696872656,0.0443037974683542,-0.0595238095238094,-0.1318681318681318,-0.1073446327683615,-0.0365853658536584,0.0259740259740259,-0.2216748768472904,-0.2651162790697674,-0.303964757709251,-0.3389121338912134,-0.3008849557522123,-0.2476190476190476,-0.2216748768472904,-0.1938775510204081,-0.1413043478260869,-0.1413043478260869,-0.202020202020202,-0.2178217821782178,-0.1270718232044199,-0.0867052023121386,0.0193548387096773,0.0193548387096773,0.0675675675675675,0.2539682539682539,0.2153846153846155,0.5192307692307692,0.462962962962963,0.2539682539682539,0.1703703703703702,0.0193548387096773,0.0675675675675675,0.2539682539682539,0.0394736842105263,-0.0062893081761006,0.0821917808219179,0.1532846715328466,-0.0062893081761006,-0.0919540229885057,-0.1022727272727271,-0.1727748691099475,-0.0246913580246913,-0.2440191387559808,-0.2818181818181818,-0.278538812785388,-0.2511848341232227,-0.0919540229885057,-0.0306748466257668,-0.1270718232044199,-0.2946428571428572
BBEK_99-L^L95,0.5759162303664921,-0.5759162303664921,6.0,-0.2054543942795377,-7.637862657322038,1.296165803108808,0.1680799515445185,-0.5946219167003639,3.618364805678929e-06,-0.0096449654943045,-0.1380110365788668,0.4007702084192525,-0.1659781420186613,0.1317504472951228,-1.287549202403149,0.8147150259067357,-0.0267290848686198,0.0172413793103447,0.0450450450450448,-0.2317880794701987,-0.1470588235294119,-0.1212121212121213,-0.1594202898550725,-0.2467532467532468,-0.0937500000000001,-0.0866141732283465,-0.1654676258992805,-0.1343283582089554,-0.1594202898550725,-0.2704402515723271,-0.3012048192771084,-0.3519553072625698,-0.3294797687861271,-0.3446327683615819,-0.2839506172839507,-0.2926829268292683,-0.4257425742574258,-0.4934497816593887,-0.4703196347031964,-0.526530612244898,-0.4703196347031964,-0.4867256637168141,-0.3862433862433863,-0.3294797687861271,-0.3626373626373627,-0.4579439252336449,-0.6804407713498623,-0.7025641025641025,-0.6441717791411044,-0.7048346055979644,-0.7002583979328165,-0.6441717791411044,-0.6963350785340314,-0.7467248908296944,-0.7510729613733906,-0.7675350701402806,-0.7661290322580645,-0.763265306122449,-0.7642276422764228,-0.7583333333333333,-0.7510729613733906,-0.7308584686774942,-0.6923076923076923,-0.6856368563685638,-0.6971279373368147,-0.6647398843930636
BBNH_32-L^L97,0.0756767738331047,-0.0756767738331047,8.0,-0.0132189707366296,0.1491939838339253,1.2995363214837712,0.1142061281337047,-0.0472589792060491,0.0001318152658341,-0.1063572149344097,-0.1441459510406489,0.3792190519210018,-0.0348461180251325,-0.0597986553989456,-1.6555555555555554,0.917774343122102,-0.041871921182266,-0.0935251798561151,0.0373134328358208,-0.0629213483146068,0.0048192771084336,0.0121359223300969,-0.0188235294117646,-0.1239495798319327,-0.077433628318584,-0.1089743589743589,-0.1294363256784969,-0.1239495798319327,0.0,0.0220588235294116,0.002403846153846,-0.0835164835164834,-0.0023923444976076,-0.0302325581395348,0.0296296296296296,0.0170731707317073,-0.0347222222222223,-0.0814977973568282,-0.054421768707483,-0.1032258064516129,-0.0671140939597315,0.0121359223300969,0.0373134328358208,0.074742268041237,-0.0118483412322274,-0.0835164835164834,-0.185546875,-0.1402061855670102,-0.0586907449209931,-0.0895196506550218,-0.1089743589743589,-0.054421768707483,0.0145985401459853,-0.0211267605633802,0.002403846153846,-0.0071428571428572,0.0610687022900762,0.127027027027027,0.0859375,0.0270935960591134,0.0399002493765585,0.139344262295082,0.2598187311178248,0.2337278106508875,0.3853820598006645,0.5108695652173914
BBOU_00-L,0.041506339494102,-0.041506339494102,6.0,-0.0230702082553934,1.268870684349115,1.6250563316809374,0.0790358744394618,0.0584607133279699,2.607106145975036e-05,0.0225713929417633,0.1093592645752526,-0.0120515695067264,0.1359262138892603,-0.0351862128515293,-0.5132605304212169,0.7877422262280307,0.0061064262867112,-0.0368324125230201,0.0362595419847326,-0.0372340425531915,0.0523255813953487,0.0710059171597632,-0.0054945054945055,-0.0233812949640287,0.0036968576709794,-0.0980066445182724,-0.1112929623567922,-0.0180831826401447,-0.0127272727272728,0.0816733067729083,0.1081632653061224,-0.0780984719864176,0.007421150278293,-0.0145190562613429,-0.0018382352941177,-0.0251346499102335,-0.0572916666666666,0.0402298850574711,0.0206766917293232,-0.0904522613065327,-0.1594427244582044,-0.1213592233009709,-0.1270096463022508,-0.1009933774834437,-0.1380952380952381,-0.1394611727416799,-0.2220630372492837,-0.2275960170697013,-0.1502347417840375,-0.2049780380673499,-0.1797583081570997,-0.0765306122448979,-0.0523560209424085,-0.1039603960396039,-0.0919732441471573,-0.0873949579831933,-0.0456942003514939,-0.0320855614973263,-0.0320855614973263,0.0342857142857142,0.0482625482625482,0.1652360515021458,0.2397260273972603,0.2340909090909089,0.2686915887850465,0.3276283618581908
BBQS_26-L^G99,0.0816537710778203,-0.0816537710778203,6.0,-0.0037089201877934,0.0699523306953383,1.6966885710604305,0.1034904250984653,0.0352848101265822,3.955049136278377e-05,0.038356807511737,-0.0660796698556764,-0.116360384519361,-0.0935375873031865,-0.1131317253978738,-1.7120315581854042,1.0739595412962246,-0.0725773106134795,-0.0299401197604789,-0.0346820809248554,-0.0670391061452514,-0.0176470588235294,0.0915032679738561,0.0372670807453414,-0.0118343195266272,-0.0118343195266272,-0.0457142857142857,-0.0670391061452514,0.050314465408805,0.0844155844155842,0.0182926829268292,0.0569620253164555,-0.0118343195266272,0.1283783783783783,0.1597222222222223,0.1133333333333332,0.0636942675159235,0.0437499999999999,0.0372670807453414,0.1517241379310345,0.2556390977443608,0.4273504273504274,0.5754716981132073,0.9647058823529412,0.6699999999999999,0.3149606299212597,0.050314465408805,-0.0670391061452514,-0.1479591836734693,0.0245398773006135,0.0844155844155842,0.0060240963855422,0.0,0.0,-0.1522842639593908,-0.2304147465437788,-0.2878464818763326,-0.284796573875803,-0.1932367149758453,-0.2968421052631579,-0.3211382113821138,-0.3211382113821138,-0.2391799544419134,0.0090634441087613,-0.3070539419087137,-0.3155737704918032,-0.3346613545816732
BBTU_63-L^C18,0.1884177083205554,-0.1884177083205554,6.0,-0.0299420009666505,-1.6202434610765952,1.080961235874696,0.0335692519414135,-0.1200092421441774,4.141130679769126e-05,0.0537699371677139,0.0366893092891302,-0.1305657254839466,0.0339202555893781,-0.3011689297456924,-2.526315789473684,0.7958804176798743,0.0265059673736492,0.0469613259668508,-0.0136239782016348,-0.1017369727047147,-0.127710843373494,-0.0294906166219839,-0.0788804071246819,-0.1937639198218262,-0.2281449893390192,-0.2901960784313725,-0.2642276422764227,-0.0765306122448978,-0.0054945054945054,-0.127710843373494,-0.2026431718061674,-0.2566735112936344,-0.2096069868995632,-0.2061403508771928,-0.1620370370370371,-0.0788804071246819,-0.148235294117647,-0.2297872340425532,-0.2817460317460317,-0.1791383219954648,-0.2264957264957264,-0.1380952380952381,-0.127710843373494,0.0492753623188406,-0.1522248243559717,-0.2716297786720321,-0.3615520282186948,-0.4046052631578947,-0.2915851272015656,-0.3535714285714285,-0.2859960552268245,-0.3535714285714285,-0.3637961335676626,-0.3996683250414593,-0.4207999999999999,-0.462109955423477,-0.4226475279106857,-0.3453887884267631,-0.4094616639477977,-0.4473282442748091,-0.4588938714499253,-0.4161290322580645,-0.3169811320754716,-0.3615520282186948,-0.4055829228243021,-0.4094616639477977
BBVN_02-L^I99,0.5245763898613639,-0.5245763898613639,6.0,-0.2393984220907298,-10.32441972484836,0.9021636876763875,0.2511415525114155,-1.0881612090680102,3.425405065204327e-07,-0.2583826429980275,-0.291266323325414,0.9954648526077096,-0.3162074908422503,0.036698717948718,-1.0782959124928038,0.6081843838193792,-0.0466346153846153,-0.0348837209302326,0.0,-0.0947368421052631,0.0,0.0617283950617282,-0.0549450549450549,-0.0652173913043479,-0.328125,-0.362962962962963,-0.4027777777777778,-0.2950819672131147,-0.3333333333333333,-0.4068965517241379,-0.3768115942028985,-0.572139303482587,-0.5028901734104047,-0.4556962025316455,-0.5,-0.5141242937853108,-0.5028901734104047,-0.5567010309278351,-0.6073059360730594,-0.6160714285714286,-0.5763546798029556,-0.5376344086021505,-0.5113636363636364,-0.4970760233918129,-0.4819277108433735,-0.5656565656565656,-0.6653696498054474,-0.684981684981685,-0.6518218623481782,-0.6573705179282868,-0.6730038022813688,-0.6704980842911877,-0.6614173228346456,-0.6692307692307693,-0.6416666666666666,-0.656,-0.6504065040650406,-0.6036866359447004,-0.6194690265486725,-0.6055045871559633,-0.5904761904761905,-0.5804878048780487,-0.5376344086021505,-0.6143497757847534,-0.5804878048780487,-0.5473684210526315
BCPS_48-L^C06,0.0577339279250136,-0.0577339279250136,6.0,0.0143196239353367,-0.6485419256188332,1.154070766059773,0.0447022572889189,-0.0090591787913251,7.812718132303481e-05,0.0961726422266006,-0.240083373681579,0.018729645450107,-0.2753951650456231,-0.0228202163486581,-1.5701717637201509,0.8894423451276767,0.0423947093630352,-0.0485893416927899,0.0407830342577488,-0.0631424375917767,-0.0289193302891933,-0.003125,0.0240770465489565,-0.1001410437235542,-0.0793650793650793,-0.0617647058823529,-0.0950354609929078,-0.0123839009287926,0.0175438596491228,0.1292035398230087,0.1474820143884891,-0.0154320987654321,-0.0406015037593985,0.0323624595469256,0.0722689075630251,0.1292035398230087,0.1134380453752179,0.1352313167259786,0.1495495495495495,0.2658730158730158,0.2993890020366598,0.4115044247787611,0.6358974358974359,0.99375,0.8875739644970415,0.5263157894736843,0.2559055118110236,0.2633663366336634,0.5373493975903614,0.7336956521739129,0.4633027522935777,0.4906542056074765,0.515439429928741,0.268389662027833,0.2269230769230767,0.1599999999999999,0.1413237924865831,0.2175572519083968,0.2129277566539924,0.1372549019607842,0.119298245614035,0.127208480565371,0.3488372093023255,0.2633663366336634,0.2862903225806452,0.4146341463414635
